comment,id,date,num_likes
"Your babies are like, &quot;not today&quot; every time you talking and showing your coffee lol too cute💖💖💖💖",Priya Destiny,2020-11-26T13:25:45Z,0
where did you get your beautiful necklace !,Kimberly Aguilera,2020-05-10T03:03:42Z,0
Plz more vlogs more vlogs!!!!!,Asheleyann Gonzalez,2020-04-29T02:44:16Z,0
Where can you get that coffee? Been wanting to make iced coffee.,C F,2020-04-29T02:37:19Z,0
I&#39;ve been re watching all your videos during quarantine and you make me so calm and relaxed. I&#39;ve been watching since 2012 and I love you so much! My favorite Youtuber! &lt;3,Anna Banks,2020-04-22T20:36:56Z,1
"&quot;Are you guys cool with these lazy, at home vlogs? &quot; we&#39;ll take what we can get lol",Mariana Jimenez,2020-01-02T05:15:26Z,0
I literally bought the coffee cause of you,sany,2019-12-25T01:12:20Z,0
"Nicole, I finally gave you coffee a try and so yumm!",Nancy Lee,2019-12-19T16:33:06Z,0
So delicious. Thank you.,Nancy Lee,2019-12-19T16:33:24Z,0
What car mount do you use for the vlog camera ? ❤️,Briyaili Jhanneth,2019-11-10T18:53:25Z,0
"I personally LOVE when pets mess with others channels, videos, life, etc!!   It&#39;s cuz they LOVE YOU!!",Black Panther,2019-10-31T23:01:08Z,0
The description box😂 this is why you’re my favorite to watch!,Christie Paul,2019-10-14T17:35:00Z,0
Bishhhhh tell me why I bought the coffee you get but the target I got it at they didn&#39;t have the creamer so I had to use my regular everyday creamer which is Coffee mate french vanilla sugar free / fat free and that with the coffee is disgusting!!! BUT when I finally got my hands on the almond milk creamer tell me why I&#39;m shook right now !!! That combo is everything! Thank you for my new fav coffee creamer boo!!!!💛🧡,Carissa Stephens,2019-10-10T00:51:26Z,0
Need another vlog! Pls ♥️♥️♥️,xXs.vXx beauty_10,2019-08-24T13:55:17Z,0
Time to get married hehehe. jk no rush.,Eugene Vang,2019-07-31T17:15:12Z,0
THE LOOK she gave the man in traffic lmfaoooo,Conner Canfield,2019-07-22T03:35:30Z,0
I don&#39;t get iced coffee from McDonalds or Starbucks because I&#39;m in love with the coffee you said to try!! The Coffee and creamer combo is life! So good!,monica Garcia,2019-07-16T07:04:44Z,0
BIG FACTS on the pajama shirt lol,Shalini Wanasingha,2019-07-08T01:09:15Z,0
yes you can take an allergy pill everyday! (I&#39;m a pharmacist) Zyrtec is also a good choice!,Anh Vu,2019-06-27T16:15:01Z,0
"Miss the vlogs so much :,(((",carave 5,2019-06-19T16:21:25Z,1
Jelly Beans LOL!!!!,Marielis Cuello,2019-06-14T15:52:25Z,0
Shorter nails so much better!!!,JaxxieT,2019-06-14T03:54:42Z,0
$15 later &amp; I have both the coffee &amp; creamer. I hope I like it. <b>lol</b>,x0x0BRANDYYBABYYx0x0,2019-06-13T01:28:02Z,0
Just watching this now... happy 10 year tomorrow! 😊,Shalynn Moser,2019-06-08T00:34:21Z,0
"That’s so exciting about your teeth! My abusive ex knocked several of my top teeth out and it’s awful. Even though I was able to get my daughter and I away safely and he’s not a part of our lives anymore it’s like he still wins because I almost never leave the house anymore and when I do I’m so ashamed and embarrassed when I have to talk and I never smile. We can’t afford to get them fixed. Not for a long time but we’re trying to save. I’m so happy for you, no understands more than me how good it feels to have a beautiful smile! You totally deserve it. 💜",Melissa Leigh,2019-06-07T18:39:20Z,0
"I miss these so much, I’m currently scoring YouTube for Yesterday’s I haven’t watched yet. Nicole please come back with these vlogs!",So She Did,2019-05-30T23:19:29Z,1
Please don’t take excessive allergy medication. My grandma passed away 4 years ago from cirrhosis of the liver. She never drank alcohol but was a chronic allergy pill taker and her liver never recovered.,Lynn Adams,2019-05-22T15:51:58Z,0
"What did you say at <a href=""https://www.youtube.com/watch?v=wNb11k2gfBU&amp;t=8m32s"">8:32</a>?? Lol it sounds funny",Stephanie Long Hair,2019-05-22T04:30:18Z,0
I love how you panned over to the 1st gray jewelry organizer and there’s Orange. Just sitting on everything 😂🧡,Kiara,2019-05-22T03:52:59Z,0
MY SPROUTS CLOSED!!!! 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😢🥺😩😤,dici jay,2019-05-22T03:10:42Z,0
Orange! 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😹😹😹,dici jay,2019-05-22T03:03:34Z,0
"Miss you soooo much. You’re literally my fave youtuber, the first person I started watching &amp; I reallllly look forward to your uploads THE MOST.",Shanice M.,2019-05-20T04:39:55Z,0
Super late to the game on this... but Flonase works wonders. :),Kat Arcuri,2019-05-17T17:21:57Z,0
"Love your vlogs, more yesterdays please",Myesha Bryant,2019-05-14T15:25:57Z,0
"Ugggh I miss vlogs!!! Make a vlog come back!!! I’ve switched to a non dairy creamer finally, I use the same brand but mine is coconut instead of almond &amp; mine is sweat cream. Same coffee too!!!",Queen_DeVitt,2019-05-07T16:08:34Z,0
More vlogs! More vlogs! Lol please 😇,The Blaq Barbie,2019-04-29T01:08:23Z,0
"<a href=""https://www.youtube.com/watch?v=wNb11k2gfBU&amp;t=15m15s"">15:15</a> same look when someone tries to cut me off lol",Daniel Garcia,2019-04-26T06:46:04Z,0
I love you and your video is my favorite I would love to see you 🔜 😉😉😍😍,Sneha,2019-04-22T08:43:18Z,0
The jewelry organizing was good asmr 😂,Sheena,2019-04-21T21:16:52Z,0
It’s so strange seeing you with short nails,Stacy Hardy,2019-04-20T04:33:30Z,0
Your teeth 😩😍😍😍,MeAndMy3,2019-04-19T18:30:07Z,0
Yes absolutely We would love to see such lazy home vlogs.. Anytime  😍😍😍😍😍😍,Nayaab Shaikh,2019-04-15T22:31:17Z,0
Your vlogs are my life,Janne Vianney,2019-04-14T22:29:17Z,0
I missed your vlogs.,G R,2019-04-13T19:00:26Z,0
You definitely can become immune to medicine. I&#39;m super allergic and spring is a struggle. Can last more than a month at times🥺,Brenda Garcia,2019-04-12T19:19:07Z,0
I know we could be bffs..... lol I give people the &quot;stank eye&quot; while driving too :),Amber Brown,2019-04-12T16:24:01Z,0
Sooo when did you get a new car?? Does that mean you’re not moving to L.A? Omg I haven’t been on YouTube in forever 😪😪,Stefannia Camero,2019-04-10T23:32:47Z,0
I was wondering why you had a lisp. I used to watch you for years and been off YouTube. What? You don’t need veneers girl. Your teeth are perfect.,Marta Joy,2019-04-09T15:45:10Z,0
Plllllzzzzzz give me a link your glasses plzzzzz👓👓👓👓💎💎💎😭😭😭😭😭,Brenda Trujillo,2019-04-09T06:44:16Z,0
cat not included  ha ha,cutepoiisonn,2019-04-06T00:49:42Z,0
Where are the crystal artwork in your living room from ?,Olivia Shaw,2019-04-01T18:24:30Z,0
Love the video 👑☺️💕,Aneeqa Hussain,2019-03-31T00:33:41Z,1
Anyone know what car nicole has now??,joneseygurl17,2019-03-30T03:58:53Z,0
I live for yoir vlogs. Do them everyday 😍 lol,Cindy Velasquez,2019-03-28T05:01:04Z,0
Why she looks so different? 😕,M3rmaid Denise,2019-03-22T15:41:26Z,0
You&#39;re thee goddess of all goddesses mmmm so perfect so gorgeous,Steven Trujillo,2019-03-22T05:57:31Z,0
"What ever happened to her cousin charlo i think her name was, she just disappeared",Nancy Pacheco,2019-03-21T08:40:01Z,0
I miss your vlogs they are to me what the Real housewives are to you haha 💕,Kirsiellyxo,2019-03-20T21:18:00Z,0
WE NEED MORE VLOGS !!!! THE ONLY YOUTUBER WHO VLOGS THEYYYYY BEST.  ALWAYS TOP 1,Talyn Parker,2019-03-20T01:45:16Z,0
what works the best for your hives?,Jessica Topete,2019-03-20T00:22:54Z,0
"Wow you did asmr in this vid, that was great. ( when she moved the earrings out of the box.)",amazinqq nerak,2019-03-19T23:24:22Z,0
Literally my favorite YouTuber! You are so effortlessly perfect and I love all of your content! You also make me want to move to Florida more than anything lol,Khayla Peters,2019-03-19T14:47:50Z,0
On your anniversary it’s my sisters birthday awh,Dania Rodriguez,2019-03-19T03:49:19Z,0
Girl please don t do permanent vaniles!<br />Ur<br />Nails are poppin!,Mylene D,2019-03-18T19:32:42Z,0
Where’s charlo?? We haven’t seen her in your videos in forever!!,Erica Covarrubias,2019-03-18T15:38:51Z,0
The Selena shirt. 😍💄🌹🎤,S. A.,2019-03-18T10:07:20Z,1
Really BLACK DUDE?,Peace and LOVE,2019-03-17T17:55:38Z,0
its not that serious,Drea K,2019-03-19T15:20:44Z,0
I can’t with All those Damn CATS!,Peace and LOVE,2019-03-17T17:51:06Z,3
"Between her and her damn friend Carli, they have like 10 damn cats!, so unsanitary !",Peace and LOVE,2019-03-21T14:41:14Z,0
"Dang 10 years!, no Marriage!, no kids! Just Shacking!!!!",Peace and LOVE,2019-03-17T17:48:07Z,1
I saw a twinkle ✨ in the background around 8.08 time and it reminded me of her spirit in her house lol,Edna Ramirez,2019-03-17T13:17:36Z,0
She showing up here nails lol nice,Hagir Gadelmoula,2019-03-17T11:07:45Z,0
Why always so scared of cops?!?!,Holly Marie,2019-03-17T06:59:42Z,0
Love your rundown,Monserrat Garcia,2019-03-16T16:23:49Z,0
"The first time ever I have commented on anyone&#39;s youtube, but just wanted to give you some advice on your jucier.  I think you should invest in a vitamix.  It&#39;s a very powerful blender that juices entire fruit and leaves no pulp whatsoever.  I love juicing but hated all the pulp (the best nutrients) it left behind.",Vilda Betancourt,2019-03-15T21:49:14Z,0
Tip for anyone buying jewelry 10k gold is nothing and if you&#39;re paying 300+ dollars for 10k gold PLATED brass earrings you&#39;re being cheated... For ex you can be getting 24K gold for the same price and complete gold not plated at the right gold shops.. Sorry I am shookidth from the jennifer fisher earnings,Fatimah M,2019-03-14T19:03:49Z,0
Nicole try getting allergy shots I have really bad allergies...only thing that is  helping  mine is getting allergy shots once a week and fluticasone nose spray.,joyyishh,2019-03-14T16:38:42Z,0
Those organizers are so great for accessories! Love them!,Patty's Kloset,2019-03-14T05:23:43Z,0
I ❤️all your vlogs! Always makes me smile! 143!!!!!!!!!,Michelle Jimenez,2019-03-14T04:03:19Z,0
Yes honey give that guy that look! lol,Jissell Dominguez,2019-03-14T02:12:31Z,0
I live for the description box like you make so much effort to give us the low down and I feel like you need more appreciation for that!,I Shaz,2019-03-13T22:11:08Z,8
"If your allergies are that bad, try taking Zyrtec in the morning and Singulair at night. They’re two different types of allergy meds, so they don’t interact negatively with one another or anything. My doctor actually recommended that I do this for my own allergies, and this combo has legit allowed me to keep my kitten, even though I’m SUPER allergic to cats.",Cyndi Lou,2019-03-13T19:46:03Z,0
Alternate zyrtec and Allegra every three months because you do become immune.,Rowan Remixed,2019-03-13T18:55:37Z,0
