comment,id,date,num_likes
Jeremy should have a YouTube cooking channel!,Rachael Leigh,2020-09-28T14:33:59Z,0
I love all your vlogs 🥰 I’m taking notes so I can be on your level when I start posting mine ☺️,ANIMA BELLA,2020-07-23T18:07:53Z,0
&quot;Why do crowds make don&#39;t wanna go to places&quot;  _everyone in 2020,Purplebutterfly,2020-06-07T02:59:43Z,0
Been binge watching your videos while here on quarantine! I love how your a total cat mom. 🧡🐈,Jess R.N.,2020-05-30T06:08:41Z,0
In louisiana you have to come with a deductible. For smaller than a quarter its $25 but for entire windshield it can be a $100 deductible you have to pay for insurance to change its.   And this happens often because our roads are so bad in louisiana,Deni Leigh,2020-05-25T19:58:24Z,0
Just wanted to pop on here and say thank you...... I’ve been having some really low and dark days. I decided to watch some videos and you have changed my mood and mindset so much. You truly have a beautiful souls so thank you for being you and helping me out during this difficult time. Anxiety is no joke 🥺,Alexandria Warden,2020-04-16T17:34:42Z,0
What camera do you Vlog with,VionBritne,2020-04-12T01:10:31Z,0
What camera do to used?,Nataly Uviedo,2020-03-24T14:48:36Z,0
Anyone know where the sunglasses are from??,Jazlyn Jackson,2020-03-19T16:44:38Z,0
Can you do an update on your skincare routine? Your skin is flawless 😍,Carmen Jimenez,2020-02-28T18:01:17Z,0
Where did you get those earrings I love them.,Destiny Good,2020-01-19T05:59:07Z,0
I live in Washington and it&#39;s like 2-300$ if they have to replace your window,Zazoo Flores,2019-12-27T16:06:50Z,0
"It’s not free, the deduction doesn’t apply to the replacement. Nothing in life is free.",Jacqui L,2019-12-17T16:30:58Z,0
Which blender do you use?,Sthefany Rosales,2019-12-07T20:17:05Z,0
"<a href=""http://www.youtube.com/results?search_query=%23thanksgiving"">#thanksgiving</a> <a href=""http://www.youtube.com/results?search_query=%23fall"">#fall</a> <a href=""http://www.youtube.com/results?search_query=%23thankful"">#thankful</a> <a href=""http://www.youtube.com/results?search_query=%23family"">#family</a> <a href=""http://www.youtube.com/results?search_query=%23canada"">#canada</a> <a href=""http://www.youtube.com/results?search_query=%23thanksgivingdinner"">#thanksgivingdinner</a> <a href=""http://www.youtube.com/results?search_query=%23autumn"">#autumn</a> <a href=""http://www.youtube.com/results?search_query=%23turkey"">#turkey</a> <a href=""http://www.youtube.com/results?search_query=%23love"">#love</a> <a href=""http://www.youtube.com/results?search_query=%23halloween"">#halloween</a> <a href=""http://www.youtube.com/results?search_query=%23grateful"">#grateful</a> <a href=""http://www.youtube.com/results?search_query=%23canadianthanksgiving"">#canadianthanksgiving</a> <a href=""http://www.youtube.com/results?search_query=%23longweekend"">#longweekend</a> <a href=""http://www.youtube.com/results?search_query=%23christmas"">#christmas</a> <a href=""http://www.youtube.com/results?search_query=%23holiday"">#holiday</a> <a href=""http://www.youtube.com/results?search_query=%23happythanksgiving"">#happythanksgiving</a> <a href=""http://www.youtube.com/results?search_query=%23toronto"">#toronto</a> <a href=""http://www.youtube.com/results?search_query=%23october"">#october</a> <a href=""http://www.youtube.com/results?search_query=%23food"">#food</a> <a href=""http://www.youtube.com/results?search_query=%23pumpkin"">#pumpkin</a> <a href=""http://www.youtube.com/results?search_query=%23blessed"">#blessed</a> <a href=""http://www.youtube.com/results?search_query=%23givethanks"">#givethanks</a> <a href=""http://www.youtube.com/results?search_query=%23blackfriday"">#blackfriday</a> <a href=""http://www.youtube.com/results?search_query=%23thanksgivingweekend"">#thanksgivingweekend</a> <a href=""http://www.youtube.com/results?search_query=%23friends"">#friends</a> <a href=""http://www.youtube.com/results?search_query=%23turkeyday"">#turkeyday</a> <a href=""http://www.youtube.com/results?search_query=%23dogsofinstagram"">#dogsofinstagram</a> <a href=""http://www.youtube.com/results?search_query=%23foodporn"">#foodporn</a> <a href=""http://www.youtube.com/results?search_query=%23foodie"">#foodie</a> <a href=""http://www.youtube.com/results?search_query=%23bhfyp"">#bhfyp</a>",Karter T. Jefferson,2019-11-28T05:21:24Z,0
Lmao my Alexa tried to teach me how to pack,Andi Nnachetam,2019-11-23T21:58:50Z,0
Not in VA unless you have full coverage and it ain&#39;t even worth making insurance go up. I have to pay outta pocket .,Melissa,2019-11-17T13:26:35Z,0
My face is allergic to mask I always break out into a rash it sucks,Mary See,2019-10-30T18:52:19Z,0
