comment,id,date,num_likes
"Love your workout,  totally sweating ❣",Lori Bartley,2020-11-26T15:00:52Z,0
Can this even be called barre?,Klee McCarthy,2020-09-17T16:40:35Z,0
Hard 💦 rather this than get covid in a gym 😂,Mery Cortes,2020-08-10T17:17:06Z,1
😍,Ana Carol Vaz,2020-07-28T22:05:48Z,0
Plus 1 sub and like,LUCAS WONG YEW JIE Moe,2020-07-24T06:10:38Z,0
Because my fat is more than Katie little bit yeah,LUCAS WONG YEW JIE Moe,2020-07-24T06:10:10Z,0
"Me look Katie:woah You sweat very hard than I imagine,omg this is a good wokout ever!!!<br /><br />After I do the workout: I cannot do the second time this set workout because I sweat to much and my sweat are wet my shirt and the sweat drop on the floor.",LUCAS WONG YEW JIE Moe,2020-07-24T06:00:44Z,1
Your plié form is a bit dangerous. Could cause ankle rolling and injury for anyone watching who&#39;s not done them before. Other wise good workout!!,Amy Deacon,2020-07-23T11:56:33Z,0
👊👊,Lambo Lapdog,2020-07-06T08:53:43Z,0
Great workout! Thank you!,Elizabeth Duncan,2020-07-04T15:49:59Z,0
I love your workouts! I need to know what this playlist is,Misty Kaihani,2020-06-26T22:44:36Z,0
Good,Shweta Chaudhary,2020-06-19T15:39:43Z,0
Great class! Thank you!,Nuria Lopez,2020-06-11T16:23:37Z,1
It was really fun and i loved it people should try it,pompi ndegwa,2020-06-09T04:55:02Z,1
Thanks for this! Great workout.,Hilary,2020-06-06T00:53:34Z,0
Grazieee è andata👏👏👏😜🥰,cris beauty channel,2020-06-05T18:10:12Z,0
"nailed it! with my 11 daughter , both of us dripping a pool in the living-room👌😂",Daniel Wax,2020-06-05T15:39:35Z,0
Круто!!! спасибо💕 отличная тренировка👍,Катерина Е,2020-06-02T17:44:54Z,0
Also my first Barre workout and let me tell you ... I was SWEATING! Those endorphins after are just 👌 will be doing more!,Ivy Rosales,2020-06-01T21:38:47Z,1
Fantastic workout during quarantine,miky lee,2020-05-31T21:22:28Z,0
Whew. Decevingly tough!!,Treepose Go,2020-05-30T13:39:52Z,1
Thank you for this amazing drenching sweat workout!,Cheryl P,2020-05-30T13:08:11Z,0
Ç0,Arben Dodani,2020-05-29T06:37:08Z,0
Can we wear shoes here?,Krish Goyal,2020-05-29T04:47:31Z,0
Thank You Katie and PS ..Realy help me to workout at home in pandemic,Sumie Tan,2020-05-29T00:57:18Z,0
thank u! so good &lt;3,Ana Beatriz Quinto,2020-05-28T23:13:22Z,0
I loved this workout! Such a great sweat to end my day!,Madelyn Leclaire,2020-05-28T00:53:07Z,0
Я чуть не умерла 😂,Валерия Табан,2020-05-27T10:27:57Z,0
"Great workout, sweating wicked ❣",Lori Bartley,2020-05-26T13:25:48Z,0
I loved that workout it really helped me wake up because I do these at 6 am,Sofia V,2020-05-26T10:51:38Z,2
this was amazing!!,rakelg,2020-05-26T06:15:07Z,0
You’re awesome Katie <br />Great workout 🖤💋😎💪🌸,Creighton Chaney 1941,2020-05-25T16:33:23Z,0
Love LSF!,Tiffany Woolfe,2020-05-25T15:27:45Z,0
Love her! My favorite workouts! 😓,Emily Hale,2020-05-25T01:46:35Z,0
First barre workout &amp; loved it!,Christina Sydney,2020-05-24T21:59:32Z,0
Can you do a video for TOP inner thighs someday?,Monique Jenkins,2020-05-24T17:42:13Z,0
This was awesome and totally sweaty.,Olga Pekalska,2020-05-24T14:45:59Z,3
My first barre class and I loved it! I can&#39;t do or keep up with a lot of the POPSUGAR videos but I actually kept up with you on this one (for the most part)! I feel good about it considering I haven&#39;t been a regular workout person at 71! Thank you! Linda,Linda,2020-05-24T14:17:50Z,14
please do a workout with barre 3!,freya,2020-05-24T14:07:22Z,2
This workout was so amazing!!! I’ve never done a barre workout so I really didn’t think I would sweat. Lawd was I wrong! I thought I was going to have to give my soul back to God the way i was panting 😅,Takanya Spencer,2020-05-24T12:42:05Z,3
"Thanks Katie! Although I didn’t join when you streamed live, but I just skimmed through this video and it looks like a sweaty workout without being too challenging, and it looks fun too!❤️",Alison Chu,2020-05-24T11:51:16Z,3
I loved this thank you 💪💦,jade cole,2020-05-24T08:39:59Z,2
"Love it, not super intense but still feeling everything! Thank you Katie and PS❤️",TheSupersizzina,2020-05-24T08:36:52Z,1
I looove her and her workouts!!!! :D,Jenny,2020-05-24T08:33:36Z,2
"Поздравляю, ты нашёл русский коммент",Aruuke Babaeva,2020-05-24T05:24:12Z,1
Great work out..love it..,Lynzkie Family,2020-05-24T03:28:40Z,3
♥️♥️♥️,melissa63881,2020-05-24T01:13:49Z,1
"<a href=""http://fitness-alley.com/"">Fitness-alley.com</a>",Chua Jyun Yuen,2020-05-24T01:11:47Z,1
"<a href=""http://fitness-alley.com/"">Fitness-alley.com</a>",Chua Jyun Yuen,2020-05-24T01:11:43Z,1
What a great workout. My thighs are on fire right now. Thank you!!!,Jen Nunez,2020-05-24T00:40:52Z,4
I am sweating too!  Thank you so much!,Yana Chu,2020-05-24T00:38:27Z,2
"Honestly, I have never done a barre workout before. I usually I&#39;m just looking for cardio with maybe some weights. I never thought barre would be intense enough but this was a great workout and I&#39;m glad I tried it!",Jessie P,2020-05-23T23:47:55Z,6
Thanks  me too,pompi ndegwa,2020-06-09T05:11:49Z,1
This is good 💗thanks so Much✨,Ntash Ali,2020-05-23T23:46:05Z,1
Just did this workout! Loved it.,Samantha Belle,2020-05-23T23:25:47Z,2
Nice work out. I will be doing this later tonight.Thank you!!!,Brenda Wischmeier,2020-05-23T21:28:02Z,2
This is just the sweat session I needed today,HelloWifey,2020-05-23T21:18:05Z,4
Wow! This is exactly what I was looking for and needed ❤️ she’s great! I sweated my butt off!,Salvaxe Flor,2020-05-23T20:00:45Z,3
SOOOO GOOD!!!! Loved! Thank you!!!!,Kaari Wallerich,2020-05-23T19:55:11Z,1
nice....thank,Rosana Feliciotti,2020-05-23T19:40:25Z,1
Great job ❤️,Daniel Kaz,2020-05-23T19:19:59Z,2
Love the pants! Where are they from?,Tisha Sievers,2020-05-23T17:35:14Z,2
Thank you for this! I always wanted to do barre and bought a couple DVDs but it was too hard. I was able to do your class today and it was fun,Jessica Gimeno,2020-05-23T17:33:08Z,5
"Yes, I am sweating!",Jessica Gimeno,2020-05-23T17:32:09Z,1
only women!!!!,Sami and more,2020-05-23T17:30:42Z,1
😘😘,titi Haylay,2020-05-23T17:24:44Z,1
