comment,id,date,num_likes
Wow!!! You melted my heart. This is the kind of people that make the world a better place!<br />Thank you so much.<br />Love from Argentina,Daniela Martínez,2020-03-17T00:50:02Z,60
Manda uma mensagem falada não quero escrita Se queres falar comigo fala falada uma mensagem falada,Luís Antunes,2020-04-16T23:09:00Z,0
Quero falar comigo Que idade é que tens és solteira Eu sou solteiro,Luís Antunes,2020-04-16T23:06:53Z,1
💋💋💋💋💋💋🌹🌹💖💖🥰🥰💝💝🌜🌛,Luís Antunes,2020-04-16T23:06:11Z,0
@Luís Antunes p,Tiana Huff,2020-04-16T22:16:16Z,0
❤❤❤❤❤❤❤❤❤❤😘😘😘😘😘😘😘,Luís Antunes,2020-04-06T16:13:29Z,0
Thank you! I love it-just what I needed. I love the challenges I’ve been looking for so many to keep me motivated well done 👏,Sarah Synk,2020-08-03T18:56:37Z,0
AWESOME,cena,2020-05-29T14:43:48Z,0
HI,bob von,2020-05-29T14:45:24Z,0
Thank you so much for your classes they have helped me maintaining some sanity is there anyway you can add a step class for 30 or 40 minutes THAT WOULD BE FANTASTIC!!!!!! thank you,Tania Molina,2020-05-27T14:42:14Z,0
Hey amazing💪,EXPLORE with GARRY,2020-05-25T13:17:52Z,0
"<a href=""http://fitness-alley.com/"">Fitness-alley.com</a>",Chua Jyun Yuen,2020-05-24T01:12:01Z,0
Thanks so much!! This has helped me to kickstart my fitness journey and maintain consistency. You all are the best!,Brittany F.,2020-05-03T12:20:05Z,0
thank you!! muchisimas gracias desde Quito-Ecuador,Denisse Mediavilla,2020-04-29T20:53:58Z,0
"Nice workout! If you combine it with these tips to lose weight it will be perfect! CHECK IT OUT <a href=""https://shrinkme.io/H7YMb"">https://shrinkme.io/H7YMb</a>",Spas Tetimov,2020-04-27T13:56:17Z,0
I&#39;m so grateful for these awesome videos and workouts!  Thanks so much for being such incredible role models.,Chris D'Angelo,2020-04-24T17:42:30Z,0
"Great job with the swatch comparison , top and bottom with entire pallets instead of swatching one on one color👍",nnng805,2020-04-23T12:20:17Z,0
Hey popsugar <br />M doing your exercise now everyday <br />Can you just let me know some face exercises <br />To slim your face too,kanika aggarwal,2020-04-23T09:19:16Z,0
Your videos are really motivating. Hope you guys will visit and subscribe also to my channel. Thank you. 🙂,Brendz BBG,2020-04-23T06:02:11Z,0
الي جاي من فيصل لايك,محمد,2020-04-19T18:32:06Z,0
Thank u so much!! 💗💗❤️❤️💕💕,S G,2020-04-17T17:44:09Z,0
You have saved my life with your workouts during this quarantine! Im a fan of the box/kickboxing ones! Love from Mexico.,Carla Mondragón del Castillo,2020-04-16T02:37:11Z,0
thank you ANNA and team!!,Dominika Juillet,2020-04-15T07:20:03Z,0
"Guys i&#39;m really confused.  The app doesn&#39;t have some of the workouts that are on YouTube (like Jeanette Jenkins&#39; 500 calories in 45 mins, one of my all time favs).  I would love to pay for this thing but not when it has less than what&#39;s available for free.  Can someone help me make sense of this??  Thanks PopSugar!",Sol,2020-04-12T18:25:14Z,0
More Stacey beaman!!!!,Katie A,2020-04-11T16:32:12Z,0
Why am I not able to get to the site to sign up?,Bj Bonner,2020-04-11T14:40:06Z,0
Thank you so much for your videos! My life is full of joy even during this pandemia as I practise yoga with you every day :D,Виктория Фирсанова,2020-04-11T09:19:21Z,1
Thanks a lot,premi jimee,2020-04-10T02:02:35Z,0
إلي جاي من طرف فيصل اليامي يضغط لايك👍❤❤❤,نواف العمري,2020-04-09T05:31:23Z,0
Is that possible to reduce your wilderness from exercises ?? Please reply ???,l ea,2020-04-08T23:34:48Z,0
Yes! I am ready for PopSugar Fitness,Magdalena Kozlowska,2020-04-07T20:40:40Z,0
"Subscribe it <br /><br /><a href=""https://www.youtube.com/channel/UCFZMnYHo9X_1E_LT_7ARCXQ"">https://www.youtube.com/channel/UCFZMnYHo9X_1E_LT_7ARCXQ</a>",Blessings Upon you!,2020-04-07T09:32:57Z,1
"thank you so much! i could never find a good fitness channel from my country, but this is awesome!",Daniela Ugeda,2020-04-05T22:41:26Z,0
I have been looking for a workout session since my F54 studio is currently closed (due to COVID19) and this session did not disappoint!!!! Thank you so much. I&#39;ll be checking out more of these classes!!!!!,Heather Decker,2020-04-05T20:51:13Z,0
"<a href=""https://youtu.be/2SIjTfgZ0aI"">https://youtu.be/2SIjTfgZ0aI</a> fitness",fitness,2020-04-05T06:48:33Z,0
How much is your subscription normally?,Danielle The Unicorn,2020-03-31T14:25:35Z,0
