comment,id,date,num_likes
I just can&#39;t do any seated forward folds. My body has never been able to bend that way  - even as a child! Any modifications?,adrienne quane,2021-05-02T20:34:14Z,0
Peaceful eligent,nil s,2021-04-08T12:16:15Z,0
Needed and loved this because I’m still sore from a work out two days ago 💗,gaelgarseeya,2021-03-07T08:28:40Z,0
So good! Amazing practice im keep doing it with my sis and thats joyful! Thanks a lot for the practice! Warmest wishes :),Yanski Noa,2021-03-06T20:41:28Z,0
This class was exactly what I needed today! I&#39;ve been struggling with a migraine all day. But the minute I started doing this class my headacke reduced till it disappeared. Thank you soooo much,Ana Laura Coloccini,2021-02-22T23:11:23Z,0
I love yoga and this is so relaxing. Please share more videos.,Roma Dani,2021-02-17T03:55:21Z,0
I loved this! Thank you.,Nikki J,2021-02-11T03:22:12Z,0
"&quot;Your way of expressing these concepts always attracts me, and nothing, but nothing compares with it-- the tone, the depth of spirituality, I can&#39;t put it into words. Your Manifesting Manual is something I can read over and over and soak up. I am in process of making the routine a solid part of my life, and it has made a difference! I LOVE your 12 meditations too ==&gt; <a href=""http://long.af/xiuxrn"">long.af/xiuxrn</a> I know I am a different person after 9 months with Super Manifestor, and in process of continued positive change! You deserve accolades every day of the year! Keep on with everything, and as we say in Spanish, &quot;ANIMO!&quot; Lots of love and every blessing to you both.&quot;",charlotte george,2021-02-02T13:05:36Z,41
Love yoga on rest day man,premlata sharma,2021-01-28T08:50:46Z,0
Thanks! Wonderful restorative practice!,Amy Irish,2021-01-19T00:18:32Z,0
thank you &lt;3,Juliette Brousset,2021-01-18T19:12:52Z,0
Loved this!,Little Creators Homeschool,2021-01-12T13:25:49Z,0
Thank you Koya. I really enjoyed your video!,Robert Taylor,2021-01-03T13:49:52Z,1
V good Thank  you !,Belinda Low,2021-01-03T10:45:38Z,0
Koya has ASMR voice 💛 love it! So relaxing!,FictionalWishes,2021-01-01T18:28:14Z,1
I have been loving this refreshening restorative practice since finding this video over the summer. It has been very healing while getting me through a very challenging year. I had to finish the year by doing this for New Year&#39;s Eve! Thank you PopSugar Fitness and Koya for restoring my peacefulness and fitness this year! Happy New Year!,Optima17,2021-01-01T03:59:02Z,2
namaste,Nim K,2020-12-30T11:53:07Z,0
I would really like a list of yoga poses in that video for me to put in my log.,Angie Choi,2020-12-06T02:30:28Z,0
"Loving this yoga program <a href=""https://www.yogafitnessfun.com/"">https://www.yogafitnessfun.com</a>",rosemary K,2020-12-02T22:51:41Z,0
"<a href=""https://www.youtube.com/watch?v=LI6RwT0ulDk&amp;t=2m22s"">2:22</a> no one is watching? only 350k veiws so far but i guess everything is relative.<br />I will be honest these ppl move in ways that will put me in the hospital",Monkey D Luffy,2020-11-20T19:36:05Z,0
"Thankyou for removing the ads! Love this instructor, she just calms my whole body ❤",suuzj4,2020-10-31T08:47:18Z,2
"Koya your voice is very relaxing , waiting for new yoga meditations... You are the best 🎖🎖🎖",Tülay Yaprak,2020-10-30T09:24:55Z,1
Amazing!!!,Mariana Dantas,2020-10-03T14:51:42Z,0
This is exactly what I needed... thanks Koya! :),Koren Kiener,2020-09-26T19:11:39Z,0
Had a terrible shock yesterday at work and I needed this so much. Thank you ❤️,kiwicanadiangirl,2020-09-22T23:34:24Z,1
"Hi, I really liked your instructions for yoga, accompanied by pleasant music and the girls who demonstrate with you, definitely one of the winning yoga videos, thank you very much",רונית רון,2020-09-21T09:29:32Z,2
Dang! Koya&#39;s body is 🔥,asahb,2020-09-18T20:04:51Z,0
"<a href=""https://www.youtube.com/watch?v=LI6RwT0ulDk&amp;t=2m23s"">2:23</a> r u sure abt that ma’am I’m doing this for online p.e and um everyone see’s me thank you very much😁",Eve Kitenge,2020-09-18T14:55:49Z,0
What the hell-<br />Slutty people doing this,Ssopmii,2020-09-17T15:28:22Z,1
Very beautiful Koya Webb,manju kutty,2020-09-17T11:15:14Z,0
i love yoga and meditation💙this was so peaceful,Jacqueline Eaves,2020-09-14T04:25:08Z,1
Koya is fantastic!   Wold LOVE to have more of her!,Shell S,2020-09-03T05:13:17Z,1
what is this?,Thomas YUILE,2020-09-02T04:37:16Z,0
jeez,Thomas YUILE,2020-09-02T04:23:51Z,0
"Thank you very much , i had a great time",Maria Juliana,2020-08-18T02:32:18Z,0
EXCELLENT VIDEO! THANKS FOR SHARING! BEST REGARDS 😊,Eduardo Rodriguez,2020-08-12T19:22:42Z,1
I return to this video so often.,Hazel,2020-08-11T06:25:21Z,1
My sister and I had a busy day and started our workout at 9pm and I knew we needed a relaxing workout. This was perfect. I&#39;m amazed at Koya&#39;s flexibility and hope to be that flexible some day.,shoptwoblooms,2020-08-09T04:28:37Z,1
"Global Meditation Marathon 2020<br /><br />To Empower Global Consciousness towards Humanity 2.0 based on age old Yoga Principles and practices.<br />Mehodology: Using Technology and Spiritualtity we can transform the Global Mindset when a large number of people practice meditation for 15 minutes every day for 30 days using the 20 Yogic Values such as Truth, Non-Violence, Austerity, Forgiveness, Cleanliness etc<br /><br /><a href=""https://www.youtube.com/playlist?list=PL20KdtuEbS-zck6vbabLLUnstDyt2EbMzzz"">https://www.youtube.com/playlist?list=PL20KdtuEbS-zck6vbabLLUnstDyt2EbMzzz</a>",WellnessByAllMeans,2020-08-07T15:48:33Z,0
"Love the teacher, dislike the ads","Simply Organized, LLC",2020-08-06T16:56:15Z,0
These adverts are so jarring especially for a relaxation video.🙏🏾,CC Francis,2020-08-05T06:06:31Z,1
I come back to the video often! Ms. Webb’s calming voice and guidance are so wonderful! Please do another one with a meditation 🧘‍♀️🙏💗,apal4u,2020-08-01T23:16:06Z,1
"Love this yoga meditation workout! Best teacher, with best workout.",Juliana Jonas,2020-08-01T13:10:33Z,1
"I feel amazing, relaxed, and connected to the universe after this session. More like these, please. This was perfect to end/begin the week (also a good workout if you&#39;re sleep deprived).",In The Sone,2020-07-27T03:44:08Z,2
Ugh the ads RUIN this workout. It’s so relaxing and then all of a sudden you are blasted with a loud ad.,Nikki Hess,2020-07-20T22:13:38Z,1
"PLEASE, consider removing mid-roll ads for yoga and especially meditation videos. You will make a little less money, but earn a lot more in appreciation. Namaste.",Carola Bianchi,2020-07-19T16:48:29Z,1
"great yoga session, but too many ads, difficult to concentrate",Наталя Бінявська,2020-07-17T19:44:46Z,0
An excellent yoga session but the number of ads is quite frankly excessive. Hard to relax when a blaring ad starts every 4 minutes,Victoria Owens,2020-07-16T17:41:36Z,0
Love this so much! Never felt so much relax before. Hopefully can have her back for more yoga!,Ciani Susanti,2020-07-14T14:43:20Z,0
"Did anyone hear the fart noise at <a href=""https://www.youtube.com/watch?v=LI6RwT0ulDk&amp;t=18m00s"">18:00</a> hahahaha",LC,2020-07-14T02:00:45Z,0
"Both the practice and instruction were superb! Thank you, Koya!",Willie J.,2020-07-12T15:07:51Z,0
I really liked this video except the adds kept interrupting it while I was stretching and meditating,ThesixfigureCRNA Crystal G,2020-07-12T11:44:18Z,0
"Excellent, thank you.",Kristin E,2020-07-09T18:26:11Z,0
100 million ads!,Shilpa G,2020-07-03T15:45:49Z,0
Truly love this yoga class!,Kasia_chwa,2020-07-02T09:01:45Z,0
Wish I could enjoy this without ads ever 2 minutes....,Jessica P,2020-06-30T17:10:01Z,0
"this video is great.... but the ads! come on POPSUGAR this isn&#39;t helpful to the viewer! it&#39;s a disservice to those working so hard on these videos and the content. You will make your money with people coming back to the this video over and over. But people won&#39;t do that if they know their workout will be constantly interrupted by ads. put one at the beginning, one at the end, MAYBE one in the middle during a transition or pause in the workout.",Jessica Payne,2020-06-25T15:32:53Z,0
"The amount of ads this video has is ridiculous, how can you focus if there are at least 10 ads so annoying 🙄🙄🙄🙄🙄",Lizeth Márquez,2020-06-25T03:49:10Z,0
What is the affirmation she says for the Sacral chakra? I cannot quite understand what she says. Is it &quot;I am special&quot; ?,Nathalie Aguilar,2020-06-24T19:32:58Z,1
Scrolled through all the comments to find that answer myself. Looks like everyone else either understood it or didn&#39;t care.,Manasi Patil,2021-04-07T22:27:56Z,1
Impressive and gifted instructor,Angela Ainsley,2020-06-21T18:54:38Z,0
