comment,id,date,num_likes
Türk yokmu olm,Guldane Qocayeva,2021-05-04T20:19:28Z,0
Loving Betina’s workouts right now....they are fun and pack a punch of glute pain...in a good way!  Please bring BG back for a 45 mins workouts...she is my go to for full body strength &amp; a little HIIT workout every Monday....like how she puts a short HIIT at the end of the workouts as a finisher .  😁💚🙏,Tracy’s Home & Garden,2021-05-04T06:35:21Z,0
This was GREAT!,Isabel Jiménez G,2021-05-02T17:15:59Z,0
"What an awesome, killer working! 😃💪❤️",Devorah Friedlander,2021-04-27T05:27:11Z,0
Betina always makes me feel like I’m the most fit person ever 💪🏾😩absolutely LOVE HER,Nakayla B,2021-04-25T07:11:03Z,0
Excellent workout! Definitely was a burner!,Kimberly Ghorm,2021-04-09T13:36:34Z,0
All I can say is..... How were you guys laughing the whole time??? I tried to laugh along at the end but all I could do was cry!!😂😂,Aria Calatinie🌷,2021-04-08T15:20:05Z,0
"Just found this video...I AM SO GLAD! I LOVE the PopSugar family...Anna, Jeanette, but I never worked out with Betina..You are GREAT!! LOVE your personality, energy, calmness, and ability to push us...this  may be my new favorite go to work out! I&#39;m in good shape and I really felt this one! Awesome!!",Diana D'Ambrosio,2021-04-01T23:46:45Z,0
"Coming here the day after to say <a href=""http://www.youtube.com/results?search_query=%23betinahurtmybooty"">#betinahurtmybooty</a>... lol! Thanks for this awesome workout. I love Betina.",Hope R.,2021-03-28T14:17:18Z,0
"I did it! Thanks Betina and the rest of the Pop Sugar team. My first time doing HIIT and even though it was challenging, I could modify it to make it manageable but still push myself. Thank you.",Omari,2021-03-27T20:55:41Z,0
this is probably the best one so far. Free! Super intense. Thank you so much!,B N,2021-03-24T07:28:16Z,0
Sunday workout. Done and dusted! This was a good one!,Theresa Bernardo,2021-03-21T13:09:30Z,0
KILLERRRR...,Duaa Fattash,2021-03-17T12:30:50Z,0
"Excelente, saludos desde Perú",Milagro Tesen,2021-03-16T12:03:34Z,0
"I just died doing this workout, was a good one though!",Stephanie90M,2021-03-11T05:32:11Z,0
This is a kick ass workout! That is all!!!,M & M,2021-03-10T19:36:55Z,0
Amazing workout in such a short time!  Time well-spent!  Thanks so much!,tiffanytranchandler,2021-03-10T05:45:23Z,0
Bettina hurt my booty.<br />..and my quads..<br />...and my arms.,GoldeeLoxs,2021-03-09T18:42:12Z,0
Amazing trainer!!!! One of my best workouts yet. Thank you!!,Caterina Toffoli,2021-03-07T08:10:10Z,0
Great workout. Betina is awesome! 💪,Tim Hipkiss,2021-03-06T15:25:37Z,0
This was a great one!!,Gulsah Kasirga,2021-03-04T11:37:23Z,0
