comment,id,date,num_likes
i love this woman shes so good at it,Mitra,2021-03-07T04:18:44Z,0
She looks into my soul when she makes eye contact,superlitjamo 420,2021-01-08T20:24:25Z,5
"SUPER AMAZING! 60 minutes went by fast, no awkward pause, no wasting time, a challenging and complete work out. LOVE the instructor, she makes it re fun and easy to understand.",J R,2020-12-29T20:05:53Z,0
👍,sam adam,2020-11-28T17:14:49Z,0
I used this for before my morning run :) Thank you I&#39;m warm,Chelsie Rowbottom,2020-08-25T14:33:24Z,1
Christa is the best mega-celebrity-fitness-creator-trainer-bubbly-supermodel-extreme-dark-ninja-champion-kickboxing-fighter in the world and to add on she is funny and have her mind right! Nevertheless some more long follow along workout videos (1 hour or so) would be appreciated! 🤪🤣😛😘 🐱‍👤,Paulo Coelho,2020-08-12T10:00:02Z,0
"<a href=""https://resurge.com/welcome/?hop=wakame&amp;s=dQxEaf40yI9SijRm6VAY%26&amp;atid=%C2%A0%C2%A0"">https://resurge.com/welcome/?hop=wakame&amp;s=dQxEaf40yI9SijRm6VAY%26&amp;atid=  </a><br />Would you like to lose weight and feel more confident about yourself while keeping enjoying the food that you like and without spending long hours in a gym?<br />Would you like to maintain a healthy lifestyle which will help you to greatly reduce the risk of developing heart disease, high blood pressure, diabetes, cancers, and sleep apnea; and also to avoid joint pains  in your knees, depression and anxiety?  If yes, RESURGE is the solution : Click on the link above.<br /><br /><br />What is Resurge?<br /><br />           -  Resurge is a 100 % natural weight loss supplement which helps to burn fat; it improves deep-sleep, enhances natural metabolic regeneration in both women and men, restores your health and boosts your energy. It is an anti-aging nutritional protocol that targets the true cause of unexplained weight gain, stubborn belly fat and metabolic slowdown.<br /><br /> You can take 2 tablespoon of Resurge in a glass of water 1 hour before you sleep to start burning your fat. By losing weight you will reduce any back pain and risk of osteoarthritis, improve your sex drive, decrease stress and risk of heart diseases and stroke.<br /><br />Every capsule of Resurge is manufactured here in the USA, and is certified and approved by the FDA (Food and Drug Administration) and the GMP (good manufacturing practices).<br /><br />To make your purchase, please Click on the link above. We will ship your order directly to your home or office address anywhere in the world.<br /><br />N.B: When you click on the link, you will see a video explaining about the benefits of Resurge, if you don’t want to watch the video till the end, you can just click on the refresh button of your browser to refresh the page, or close the page and open it again to purchase the product directly.",Wajabel Shop,2020-07-19T03:04:24Z,0
Like it,Shaunny Channel,2020-07-13T05:13:45Z,0
"<a href=""http://www.youtube.com/results?search_query=%23comida"">#comida</a>",claudia castillomendoza,2020-07-12T23:34:28Z,0
"<a href=""http://www.youtube.com/results?search_query=%23fresa"">#fresa</a>",claudia castillomendoza,2020-07-12T23:34:17Z,0
"<a href=""http://www.youtube.com/results?search_query=%23asiyosoy"">#asiyosoy</a>",claudia castillomendoza,2020-07-12T23:33:54Z,0
"<a href=""http://www.youtube.com/results?search_query=%23soyasi"">#soyasi</a>",claudia castillomendoza,2020-07-12T23:33:15Z,0
Extreme sports,teestock,2020-07-11T23:55:47Z,0
soooo fun,Dr.Naïka,2020-07-08T16:41:32Z,0
This is great even though I felt silly that some of the moves gave me difficulty,Minny Minx,2020-07-07T13:33:02Z,2
Thank u for your Puch video,Tanu,2020-07-05T03:58:39Z,0
Hii app morning mm live nhi atee kyaa,Tanu,2020-07-05T03:58:15Z,0
NICE !!,Joan Ojenima,2020-07-03T16:13:47Z,0
Love it! Such a quick warm-up makes me a well behaviour in the other workouts!,Timothy Leung,2020-07-02T09:50:00Z,9
"I feel super warm, now I am heading to your ab knockout class, but I will definitely use this warm up again! Thank you Christa and PS❤️",TheSupersizzina,2020-07-02T08:14:40Z,1
Awesome!!!,smallvilledaly,2020-07-02T00:34:50Z,0
My daughter s name is christia,Guerline Ladouceur,2020-07-01T19:37:36Z,0
I love this,Kid's world,2020-07-01T13:56:42Z,0
That was excellent!,Susan Valenta,2020-07-01T11:47:04Z,1
Where is Anna...Without Anna Pop sugar has lost its charm....,Anshu Dua,2020-06-30T16:39:19Z,3
Anna Renderer has her Youtube channel too.,Half Pinoy Half Japanese,2020-07-03T01:29:40Z,0
"Wow! great! amazing! workout i love doing this but before anything else i make goodvibes<br /><a href=""https://youtu.be/O106MERi5OY"">https://youtu.be/O106MERi5OY</a><br />Ur video is highly recomended,its nice for cardio it burn fat",How to be HoUSeBAND?,2020-06-30T15:32:02Z,0
É a MELHOR PROFESSORA. Até o Warmup com ela é melhor. Top.,Flavia Freitas de Oliveira,2020-06-30T11:51:29Z,4
Sou tiete dela e da Jeanette Jeankins,Keila Sachimbombo,2020-07-02T01:26:33Z,1
"Amazing. Thank you <a href=""http://www.youtube.com/results?search_query=%23krutikaanimationstudio"">#krutikaanimationstudio</a>",LADOO ki amazing KAHANIYA & Poems,2020-06-30T01:43:23Z,0
👍👍👍👍,Fitness Models,2020-06-29T21:19:37Z,1
Iupiiii,SamanthaVoce,2020-06-29T20:02:15Z,0
"Christa is amazing, but other girls..... really guys?",Daria Nikulina,2020-06-29T19:28:30Z,4
Sis who are we fighting?,McKena Sharp,2020-06-29T17:05:16Z,4
our fitness goals!! and Mondays~,Suman Sparkle,2020-12-11T22:50:00Z,0
Excelente,Patry Carp,2020-06-29T16:57:43Z,2
Love this👍perfect warm up,Ludmila Mudrikova,2020-06-29T16:10:47Z,2
What are the benefits of boxing sports?,انعام جاسم مسيعيد /مسائي أ,2020-06-29T16:05:17Z,0
@Levisama YT  thx deary,انعام جاسم مسيعيد /مسائي أ,2020-10-15T17:34:30Z,0
"build&#39;s stamina, power, and you learn to protect yourself",Levisama YT,2020-10-15T17:28:50Z,1
I love Christa and B&amp;B!,Kristi Tlahuetl,2020-06-29T15:29:41Z,2
"I absolutely love your workouts! Especially these days, i am really stressed bc of my law exams and they really help me, mentally and physically!!!",Adamantia P,2020-06-29T15:05:59Z,10
I love this! I have to incorporate this into my workouts! This is so very important.<br /><br />Small YouTuber in the making! 😊💜,Love Dance Fitness,2020-06-29T14:33:53Z,1
But I don&#39;t want to fight,bbaasje,2020-06-29T14:32:10Z,1
I love you💕💕,maria bgm,2020-06-29T14:26:12Z,2
✔👍🏾,Myrna J,2020-06-29T14:25:52Z,2
