comment,id,date,num_likes
"Jake has me laughing, close to giving up, feeling like a strong beast and then loving my body all during the course of one work out. Pure magic this soul is !",Rahul Rajkhowa,2021-05-06T15:48:16Z,0
"Jake is relentless. And funny!<br />I will curse him tomorrow, as always 😊",Erika Wybourn,2021-04-29T15:10:37Z,0
We need more jake,Masuma Begum,2021-04-16T06:02:53Z,0
Gracias gracias tengo 50 años y gracias a yake tengo cuerpo de 25,Mary Hollands,2021-04-10T10:14:17Z,0
thank you!!!,Angela MarañonG,2021-03-24T08:30:07Z,0
Jake you awesome 😘😘😘,Нигяр Разагова,2021-03-20T10:36:38Z,0
omg the bend and snap... works every time.,Robin Anderson,2021-03-17T20:21:23Z,0
Thank youuuuuuu!!!!!,Mariana Carbajal,2021-03-17T15:38:29Z,0
"Ughhh, Is there a way to subscribe only to Jake Dupree on Popsugar??",M,2021-02-26T01:14:15Z,0
"I love your work outs Jake! They are so effective, you never loose a second to work <a href=""http://out.love/"">out.Love</a> from Sweden!&quot;",Janni Groenwold Tschanz,2021-02-23T11:35:29Z,0
Thank u so much,Tashobya Babra,2021-02-19T07:43:32Z,0
Love your workouts and the laughs... YESSS <br />Totally needed to laugh today. Gracias...,Chiquita Banana,2021-02-13T20:05:05Z,0
Jake💕 I love your workout♥️ I though it was never ending 4😂,Asami Kurosawa Dath,2021-02-12T19:40:17Z,0
Just watched this addictive workout again. U r a great teacher.,mlcoreworx lifestyle lydick,2021-02-11T17:25:32Z,0
Me: all I think is does he ever get tired like what the heck😐🙃,Chow Bella,2021-02-11T02:15:42Z,0
"Love his workout, if he could just go a bit slower it would be perfect",laralarubi,2021-02-08T18:31:44Z,0
This is too hard. My body doesn&#39;t bend like that :(,ICan&IWill,2021-02-05T18:15:34Z,0
Awesome😍😍😍,Slaylor Lyn,2021-02-02T23:51:40Z,0
Thank YOU &lt;3 XD,Farzi T,2021-02-02T17:35:15Z,0
advanced!!,Renee Z,2021-01-28T14:05:37Z,0
Love Jake!,J Wolf Artist,2021-01-19T19:41:48Z,0
"I recognize that posture, those hands, that flexibility...classical dance is an important part of you. Never give it up 💙",NorthernIsland Italia,2021-01-18T09:56:21Z,0
Exeleenteee,Carolina Varas,2021-01-16T10:59:18Z,0
"Hey!  Thank you!  Had a little trouble following...rhythm was quite rapid, almost did not have enough time to finish movements.",MARIE FRANCE letarte,2021-01-14T22:58:42Z,0
His butt is strong and muscular . Woww,Ka I .,2021-01-12T00:17:01Z,0
Great class,Marleentje Willems,2021-01-04T08:28:21Z,0
"LOVE this workout, Jake!",Tuyen Tran,2020-12-31T01:43:48Z,0
Today I completed my first ever Jake DuPree workout with no breaks. I remember when  I started I could not even do the warm up. Thank You. I have become stronger.,Deepti Dhoundiyal,2020-12-29T13:30:19Z,1
More of Jake please!,Parisa Rahimi,2020-12-21T19:14:26Z,0
My booty was not ready for Jake Dupree. Thanks for the great workout! I am for sure going to do this one again. Hopefully next time I can get through it without crying.,Jessica Aydinian,2020-12-19T21:40:03Z,0
That was amazing !!,Melynda Jacobs,2020-12-18T08:45:40Z,0
Doing this workout every week. Thank you so much. <br />Feels great.,Ângela Silva,2020-12-17T10:01:23Z,0
"Wonderful, thank you 🖤",Romča,2020-12-11T08:47:00Z,0
Show them sitting in the cover tile was clickbait. -.-,Raya,2020-12-09T20:30:22Z,0
Just love it make me sweat you are my answer to 10 months of no gym. Thank you,PAE,2020-12-03T01:14:03Z,0
This went by so fast! Super fun! :),caramel,2020-11-23T18:12:39Z,0
jake is such a sweetheart. im gonna do this with ankle weights,erika Erhardt,2020-11-22T19:39:33Z,0
A very good energy love jake dupree’s exercises!!!,Mia Chang,2020-11-22T17:22:52Z,0
These workout killed my ass!!! Damn yeah!!! 🤟🤟💪🏼💪🏼,Francisco,2020-11-11T22:34:48Z,0
He&#39;s got the jokes! Makes workout more enjoyable. Thanks jake!,Bb L,2020-11-07T03:49:25Z,0
So fun!,Ash Michele,2020-10-27T20:03:08Z,0
Omg I adore Jake!! He is so funny and makes working out so fun! Definitely have to do this workout again just so I can hear his lil jokes! Lol love him! ❤️,Katie Yamaguchi,2020-10-19T22:37:18Z,0
Excellent work out experience,Dhruv Shriya,2020-10-18T02:29:11Z,0
Jake Dupree always makes these workouts so much fun🤗,Alekhya K,2020-10-15T15:50:35Z,0
SUPER!!!!,יערה קרקו,2020-10-07T07:45:35Z,0
&quot;You&#39;re not a cave person&quot; hahahaaha that killed me! I love you Jake! hahaha,Lauren D,2020-10-05T14:25:06Z,0
"Love him, please try him. Im just in love..... youre welcome lol😍",Pao G,2020-10-02T17:15:01Z,0
Love it! Thanks a lot!!!,Oleksandra,2020-09-30T05:50:28Z,0
Jake is awesome. Your workout is so simple but soooooo hard to do.,Doreen Wong,2020-09-29T17:40:28Z,0
"I recognize those infamous &quot;circles&quot; from Jake&#39;s 45 minute workout. As usual, this was fiya. Thank you, Popsugar and Mr. Dupree :)",Dinkinish O'Connor,2020-09-27T17:02:23Z,0
How many calories does this workout burn?,Anely Bekbergenova,2020-09-27T12:18:59Z,0
Jake’s workouts are no joke. He is not here to play. 😫,ingrid3578,2020-09-26T02:46:50Z,0
This is perfect,Tanya Shrivastava,2020-09-25T11:52:42Z,0
Loved this!!!!  Painful but awesome!!!!!,Kristin Anzelc,2020-09-19T17:27:46Z,0
He is Perfact man,youn hye jo,2020-09-12T06:43:31Z,0
This was so good. Jake is legit the best. It blows my mind and my booty every time.,Ash Z,2020-09-10T02:18:34Z,0
love Jakee,Alejandra Bustamante,2020-09-09T01:23:22Z,0
"Aaay, I love his workouts, they&#39;re so much fun and pain 🤣 also no siento mi poto ay 😆",Ana Lucía,2020-09-03T14:09:54Z,0
"I know a lot of ppl like Jake but it&quot;s not a military training! it&#39;s just my personal opinion but i want to enjoy my training secession and feel strong and happy after it not crying and exhausted, again my personal opinion.",Tanya Riabochkina,2020-08-29T15:49:36Z,0
I thought I would never try his workout again but no here I am its so hard!!!!!!,Rosa Rodriguez,2020-08-27T00:06:03Z,0
Jake is the best! Thank you 😍,Tina Blake,2020-08-23T16:09:32Z,0
"yes yes, uh-huh, uh-huh, i love circles",Keith Schaub,2020-08-22T22:15:20Z,1
Best workout!!!! A real challenge,Sharita Hall,2020-08-21T19:35:16Z,0
"I know this is an older workout, but I Love it. I feel so good when its over ,lol ! Thx Jake",Diane Fuller,2020-08-19T19:03:22Z,0
Ohh am dripping with sweat😓 Lord give Me strength to match his speed🙄🙏🏻,Ayshwarya JK,2020-08-19T17:34:43Z,1
"Hey! Amazing workout, i love your energy!!!!  You are a fantastic trainer",Arathi Dinesh,2020-08-19T03:11:16Z,0
Yes been looking for a trainer like him to motivate me to work harder and hes so funny lol. He should have his own utube channel.,Meagan Elizabeth,2020-08-18T00:42:04Z,0
Jake you’re the best! I like the attitude 😂😂😂,Cherie Lamson,2020-08-16T02:15:22Z,0
Yas Jake is my fav,Ricky Leung,2020-08-15T17:14:42Z,0
Jake is the best trainer of all !<br />Shake for Jake✌🏼,Parisa Rahimi,2020-08-14T17:56:00Z,0
