comment,id,date,num_likes
I have a Versa not a charge but I loved looking at the zones and trying to learn a new mode on the watch for HIIT workouts! HR peaked at 173 and I got a great workout in!!,Maddie Short,2020-06-01T02:07:59Z,21
99999999988899999,Recsegen Limante,2020-08-02T22:50:28Z,0
Maddie Short great workout!,POPSUGAR Fitness,2020-06-01T15:28:24Z,5
Love 🇧🇷,Sulamita Lima,2021-05-04T20:29:11Z,0
His intense energy is more draining than the workout,Michelle Chery,2021-04-26T12:41:10Z,0
It’s an intense 30 minute workout from start to finish. I would do it again. 👍,Jamey Ritter,2021-04-08T12:59:28Z,0
I love Justin and Taylor! Idk why a lot of people are complaining about the teaching. I know a lot of trainers who would stop doing the exercise to walk around class to see if the exercise is performed correctly. He does that here showing what Taylor does right. And there also are other workouts of the two on popsugar where he doesn&#39;t stop working out while teaching the class. For me I guess there really isn&#39;t a problem... I love how the low impact protects my joints and this workout really pushes me. My fav workout is the 45min with foam rolling though - so amazing!,Strawberry Island,2021-04-06T11:06:00Z,0
"Love this workout!! I found his screaming very motivating, I love the “YES U CAN, 5.. etc”  😂",Francesca Socco,2021-03-23T21:26:28Z,0
Whoa ...I was sweating and smiling all through the workout.. . loved it ❤️🔥💪. Thank you so much guys 🙏,the among us gamer,2021-03-13T03:57:36Z,0
I almost went in my peak zone! I have a Inspire HR and my max was 168. I&#39;m in good shape so it means that&#39;s a great work out x),anne-sophie alain,2021-02-26T02:06:34Z,0
"For someone who always does high intensity workouts, I was surprised at how high my heart rate got with this! I don&#39;t know why some people have complained about his teaching style as I much prefer his approach than the other classes on here where some of the instructors talk too much, over explain, show too many slow examples and ultimately waste my time.",Lisa Leath,2021-02-01T08:22:33Z,0
This was a great low impact cardio workout with a little strength thrown in there.  Loved it!,Carrie Davis,2021-01-29T15:40:15Z,0
That was Great! Good motivation,VFitness,2021-01-25T22:07:17Z,0
"Love you guys,  you are my sunshine during the pandemic. ❤️🇨🇦",MARIE FRANCE letarte,2021-01-16T18:35:07Z,0
I cried in the middle of this and unlocked my true potential. Thank you both! &lt;3,Renee Marshall,2021-01-13T21:48:14Z,0
fait trois fois ds la semaine . un nouveau ? meme intensité,icila,2021-01-10T13:07:47Z,0
I loved how he counted faster towards the end 😂 I was dying 😅,Aurora Schinetti,2021-01-10T10:23:27Z,0
What a killer workout! And I always love Justin&#39;s energy.,Jennifer L,2021-01-08T01:51:20Z,0
"That was fantastic! I would love more workouts like these please too, I like to switch it up",The Curated Shelf,2020-12-21T08:07:43Z,0
Holy.  Shit.  I thought I had done a good workout before this.  I was wrong.,Mary Vukic,2020-12-21T01:15:54Z,0
"I thought this was a great workout. No equipment or high impact at all, but definitely made me sweat!",Jennifer Seidenberg,2020-12-07T12:15:30Z,0
Too much clapping! Stop with the clapping!,Brittany Penney,2020-12-07T04:47:42Z,0
the guy is quite annoying screaming a lot and misses the number 5 ;)<br /> but a nice low-impact workout,Rachel,2020-11-17T12:10:56Z,0
Everything ok if he shuts up,Any R,2020-11-17T02:03:02Z,0
the guy is super lazy he is just sitting there,Ella Gagliarducci,2020-11-16T14:51:33Z,0
Love this workout but I really despise when he counts the same number over and over on the 10 second countdown.  Its so annoying and frustrating!  Stop it please.,Citywide Commercial,2020-11-03T16:47:29Z,0
Could u pls make a playlist of &quot;low impact workouts&quot;,Mehnaz ahmed,2020-11-02T01:01:04Z,0
This is my favorite low impact workout. I am 66 years old and have back issues but am able to get my heart rate up and work up a sweat. Thank you!,Beverly Marston,2020-10-21T18:09:16Z,0
I did not like how he counted down while yelling. I also have watched a lot of pop sugar fitness and the instructors do it all with you. He stopped during every exercise to catch his breath which did not make me feel motivated.,Elizabeth Sipe,2020-10-20T12:37:22Z,2
An a nice quick workout. &quot;YES I CAN&quot; fight the feeling of wanting to throw something at the TV because he doesn&#39;t stop talking!!  Also the constant &#39;Fitbit&#39; references are tiresome.,Marina Minides,2020-10-07T16:42:08Z,1
🔥🔥🔥🔥,Sasha Styles,2020-10-03T17:59:28Z,0
Awesome workout. Thanks guys!!!!,zahir mawji,2020-09-29T08:19:48Z,0
They have great workout routines get a good sweat and workout every time. I just wish Justin can tone down the yelling and the inspirational talk. I understand he has to motivate people to keep going but some of his inspirational talk is way too long. Becomes distracting and annoying after awhile or if he goes on a long motivational speech. Keep it short and less frequent and just focus on the workout. And Taylor is awesome kills it every time. People usually like when a trainer works out with them together rather than on breaks and talking frequently.,Christine Chang,2020-09-27T18:47:33Z,0
Today I killed something ...<br />.....oh it&#39;s my fat and my fat bleed in the form of sweat,Ashish Umare,2020-09-26T03:03:15Z,0
That was just annoying and boring,Beth Morgan,2020-09-24T11:44:33Z,0
"WHEW!  This is one of the most intense workouts I&#39;ve ever done!  During the marching/mountain climbing section, I&#39;m gasping for breath!  I&#39;ve done this workout four times so far, and each time, I&#39;m drenched in sweat afterward, but I feel accomplished!  Personally, I think the motivation and the trainer&#39;s high energy are great.  It&#39;s really inspirational, especially when he says &quot;you can do anything you put your mind to.&quot;  My late grandmother used to say that to me all the time.  Great workout!",MsNotzi,2020-09-23T03:32:07Z,0
The yelling was awesome 👌,Rosa Rodriguez,2020-09-17T00:14:02Z,0
First time doing a hitt workout really enjoyed it.hard work!,Rosa Rodriguez,2020-09-17T00:10:54Z,0
"I have the Apple Watch. I burned 335 calories and average heart rate was 159. Thank you for this workout, kept me motivated entire time.",Mercedes,2020-09-16T17:57:28Z,0
I did it. I did the whole thing I didn&#39;t have a fit bit and minimum plaques of what I could do.😥,Latasha Drake,2020-09-16T01:32:53Z,0
Every time he yells “yes you can” it makes me want to quit.,Santiago Montero,2020-09-14T18:27:20Z,1
I would love more exercises variety. That would motivate me more.,Kamx1,2020-09-11T18:50:07Z,0
This is the most annoying workout. They do 1 minute intervals with no breaks in between. The trainer YELLS. And the girl is so annoying when she constantly says “fam” and “WOO!”,Gigi Camp,2020-09-10T00:44:09Z,0
On yes!!! Super sweat... Great low impact cardio &amp; full body workout.,Jona C,2020-09-04T18:51:39Z,0
Too much chains and too much talking. Coaching Persona must be perfected.,Macha,2020-08-25T01:38:13Z,0
"this is an absolute waste of time. I can&#39;t grasp how you get paid to do a video and don&#39;t have a professional mic so we can actualy hear what he says and not only the screams. Other than a lot of sweat due to humidity in my area, this feels like a super low intensity workout at most. I will have to be more carefull to wich coach I get on this channel as of now....",GuilFil,2020-08-24T23:27:35Z,0
This was such a waste of time.,my fairy queen,2020-08-21T13:15:55Z,0
Ten minutes into this workout it occurred to me that his voice sounds like Duffman from The Simpsons. It is a thought I could not get rid of for the rest of the video. Yes you can! Duffman!,Izzy -,2020-08-21T08:24:04Z,0
thanks for the free workout but will never do the workout with these guys again. I find the guy really annoying with all that yelling and talking and not counting properly! I wanted to switched off the workout halfway because of him.,Sasa Speidel,2020-08-20T23:43:27Z,0
Amazing you too love love love,Alma_Liloan,2020-08-16T23:53:43Z,0
"I agree with several of the previous comments. However, I would like to provide some constructive feedback:<br /><br />- There is nothing wrong with the workout itself. The variety is good and I can replicated it at home.<br />- The intensity of his encouragements is fine. Some people need that extra &quot;oomf!&quot; factor to help with motivation.But what seems to be less appealing, but the combination of poor sound (maybe  he had to compensate) and a tendency to &quot;over-encourage&quot; with cliché sentences such as &quot;You can do it, you are beautiful&quot;. It seems un-natural and distracting.<br /><br />Compared to the other Popsugar videos, it looks &quot;homemande&quot;. With a cleaner sound, maybe some better video editing,  and more strategic motivating comments, it would be a great video workout.",D.R. Seuss,2020-08-14T14:31:48Z,1
Yes I can &#39;&#39;three  two  one&#39;&#39;  ♡♡♡,magpie lucky,2020-08-14T08:49:26Z,0
Hi would be appreciate if you guys would do other HIIT workouts low impact like theses. This is the best!!!,Pamela Cote,2020-08-12T17:43:01Z,0
What an awesome workout! Sometimes I just need to give my knees and joints a good rest! It also got my heart rate up just as high as a regular HIIT (or close to). Those abs at the end we’re a great burn and a perfect way to finish!! 👌<br />Love the motivation at the end to keep me going!!,Kelsie Linnell,2020-08-11T20:28:48Z,0
Great workout. Thanks,Caroline Neilsen Gregerson,2020-08-09T19:23:12Z,0
I thought the same. She was doing the whole workout not him. To me looks like he was tired and couldn&#39;t follow up with her.....,Meli M,2020-08-08T21:36:50Z,0
Can someone explain to me how can I track my exercises with the Fitbit Inspire HR? Please and thank you 😊,Tasha Brown,2020-08-06T18:58:17Z,0
So he keeps stopping to talk and she keeps going. She worked harder,GrantSmith78,2020-08-05T02:37:14Z,0
"I love HIIT workouts but have hip issues. I was so happy I came across this workout and his upbeat intense direction helped me push through. When I first started this video 2 weeks ago I could get through 10 minutes but now I can hang in there for the full session... now I&#39;m not saying I&#39;m going full out the entire time but that&#39;s the goal. Thank you for such a great session! <a href=""http://www.youtube.com/results?search_query=%23gettinmyselftogether"">#gettinmyselftogether</a> ♥️🤙",Eleanor Arreola,2020-07-31T20:54:04Z,1
Great workout!! 249 calories burned!!,Mariana Hartt,2020-07-29T19:12:02Z,0
I made it 8 minutes before I was fed up with the yelling.,Justin Munafo,2020-07-28T22:22:30Z,0
Great workout! Thanks!,Ana Cinco,2020-07-27T13:44:00Z,0
"Go Justin and Taylor 💥🔥⚡️ ‼️‼️‼️<br /><br />We’re in lockdown in Melbourne, Australia and you’re getting me to step up to the next level !! Thank you!",Paddy Mac,2020-07-25T09:04:53Z,0
Big respect to Taylor for doing the whole workout and putting up with this d-bag who seemed to sweat more from shouting and forgetting how to count than from actually working out. I guess now I know which videos to skip if he&#39;s in the thumbnail.,The Angry Viking,2020-07-24T13:20:30Z,1
"The workout is great, but the screamimg did not help my concentration.",Huong Nguyen,2020-11-07T00:25:13Z,1
Wow! I was not expecting this workout to be that intense. Love it. :),Sharlene Almond,2020-07-23T20:30:22Z,1
"I’ve done over 100 pop sugar workouts, and you’re really annoying. The way you’re sitting there not even working out, screaming at the tv. Your pep talks are super douschy. It all seems so rehearsed and fake, almost seems like you’re being sarcastic.",Primo Liquors,2020-07-23T11:50:55Z,0
"Don&#39;t do drugs, kids.",Lauren Michael,2020-07-21T16:34:40Z,0
Whew! Awesome workout. Great energy from both instructors. I feel really accomplished.,Mic1Mic2,2020-07-21T13:18:27Z,0
Guy needs to shut up,Hisham Sidek,2020-07-16T16:45:58Z,0
I’m smiling 😅😅😅,Ju Ribas,2020-07-16T15:59:49Z,0
"I tried with my friends yesterday, we all voted that we don&#39;t like it as much.  1. The sound is not clear, the man talk a lot when the girl scream way too much, when the music is not as loud.  2. It is too much going to the ground.. 3. Too long of the time for each position and too make repeats. It is the only exercise that we didn&#39;t finish to the end after 90 days exercise with Youtube during COVID time.",Siwaporn Archariya,2020-07-15T23:37:04Z,0
"He talks the talk, but she walks the walk!",Pauline Moysés,2020-07-14T21:42:19Z,1
Whew!   That was insane!    Loved it!,Jennifer,2020-07-11T00:44:02Z,0
One of the bests low impact training that i did,Bruna Medeiros,2020-07-09T22:18:18Z,0
Great workout!!!,Chiquitta Martin,2020-07-08T22:34:06Z,0
Great workout! Thanks!,Kim Richardson,2020-07-08T21:16:40Z,0
"I didn&#39;t like this workout, the coach was screaming so much that i felt myself stressed!",ARAGOSTA,2020-07-07T10:02:38Z,0
This work out really got me sweating and my muscles burning. I enjoyed it and will be adding it to my weekly fitness routine for a few weeks :),Morven Buckby,2020-07-04T17:16:36Z,0
Only managed in the peak for 2 mins - 26 in cardio and 8 in fat burn......,Morven Buckby,2020-07-04T17:19:03Z,0
"Sweet, but boring. Too many similar exercises",Vera Solomenko,2020-07-03T18:16:29Z,0
Please don’t do videos with him ever again 😞,Kathryn Sawyer,2020-07-02T15:03:47Z,0
👊👊,Lambo Lapdog,2020-07-01T13:34:50Z,0
"Great workout! You guys really pushed me to the limit! Thanks!,",Ana Cinco,2020-06-30T13:38:25Z,0
