comment,id,date,num_likes
"Love, love, love, Christa’s workouts. All of her workouts are serious calorie burners and they are so much fun! She’s my absolute favorite trainer!",Carrie,2020-01-26T19:14:44Z,25
"I am from switzerland ,i like your trainings and your great laugh.and humor.and verry beauty ,and proffesional.",Fredy Della Torre,2020-02-03T19:20:31Z,0
"Love ya Carrie, thanks a ton! xx",Christa DiPaolo,2020-01-26T19:27:51Z,3
Done !,Lily Rom,2020-05-03T11:44:17Z,0
Done,Bwv1008,2020-04-04T08:59:08Z,0
Reduce weight or toning body?,Naina Gupta,2020-02-17T15:18:06Z,0
Did it..........,Princess Bebora,2020-02-14T01:55:31Z,0
"It helps your entire body boost its functions and allows you to cope with the tasks that involve heavy exertion and loss of energy. <a href=""https://nplink.net/a3uukdo9"">https://nplink.net/a3uukdo9</a>",#Смотреть #HD,2020-02-08T14:23:31Z,0
"Christa is a beast, love her kickboxing workouts! I do them ALL THE TIME :)",Michelle Simmons,2020-02-04T14:39:08Z,0
"Damn, I love this Girl.🔥",Chrissie M,2020-02-03T16:00:59Z,0
Is there any 4 week workouts of just Christa? 😁 I love her workouts best,Joan jett,2020-02-02T12:22:46Z,1
What&#39;s the best workout to do after getting over the flu?,Samaria J,2020-01-31T00:17:59Z,0
"Hey,<br />If You&#39;re looking to lose fat then you have to try my method 2020. if you would like more info email me : mdnurulhuda623@<a href=""http://gmail.com/"">gmail.com</a>  I will send you Programme.",MD NURUL HUDA,2020-01-30T16:52:59Z,0
Hey guys i want to ask you i want to loose fat around hips and thighs so if i do squats or lunges will it make my legs bigger cause i build muscle fast from lower body ?? Thank you,jojo Channel,2020-01-29T17:41:40Z,0
👍🏻😅💪🏼,Sha N,2020-01-29T02:43:06Z,0
Ms. Christa!  The best coach ever. Awesome Workouts!!!!,Jess Montes,2020-01-29T01:50:16Z,0
This hostess needs to dye her hair darker. Some people just should not be blond. It just doesn&#39;t look right on her at all.,Autumn Harvest,2020-01-28T14:52:05Z,0
@Gina Zagari me too!  Christa&#39;s workouts are tough yet so much fun!!,Maggie Franzen,2020-01-28T18:17:15Z,0
Do not know about you but I am here to get in a great workout ….,Gina Zagari,2020-01-28T16:13:51Z,6
"Yay, Christa!! My favourite popsugar trainer, I´ve been doing her workouts for over a year, they are hard but so much fun! And I love her energy, so contagious!!",Beatriz Garcia,2020-01-28T12:21:29Z,2
Thanks so much Beatriz and loveeee having you on the B&amp;B Squad!! xx,Christa DiPaolo,2020-01-28T17:36:17Z,0
This is just like Turbo Jam,lola cruz,2020-01-28T07:16:18Z,0
"Completely different ,  there is no Dance component to these workouts... its all boxing, kickboxing with strength and conditioning drills.",Gina Zagari,2020-01-29T00:28:25Z,0
Love love love Christa! So excited to try this!,kelly patton,2020-01-28T01:50:44Z,2
Hope you love it!,Christa DiPaolo,2020-01-28T17:36:31Z,0
🙌 LOOOVEEE getting my ass kicked with Christa (Lynn) She&#39;s my absolute fave trainer!!,Sylvia Madrigal,2020-01-28T01:19:10Z,3
She&#39;s the best !,Gina Zagari,2020-01-29T00:30:03Z,0
"You&#39;re the BEST, thank you my Sylvia Sophia!! xx",Christa DiPaolo,2020-01-28T17:37:13Z,1
Unsubscribed. She looks so stupid 😂,L P,2020-01-27T23:05:06Z,0
"Burn calories while laughing at this <br /><a href=""https://youtu.be/XctqJzUx2k8"">https://youtu.be/XctqJzUx2k8</a>",Busra Sert,2020-01-27T22:08:19Z,0
Christa is the absolute best - seriously so grateful to have found her on Popsugar! I always break a serious sweat during her workouts and see such amazing results. Thank you always Christa 💕,Magda Sit,2020-01-27T20:31:04Z,9
Thanks so much Magda!! xx,Christa DiPaolo,2020-01-28T17:37:52Z,0
Christa&#39;s workouts are the absolute best mix of body + brain! Intense and super-fun!,April Prince,2020-01-27T16:15:52Z,7
Thanks a ton April!! xx,Christa DiPaolo,2020-01-28T17:38:06Z,0
My favorite videos and fave instructor Christa! Can&#39;t go wrong with an awesome kickboxing workout!,Anais Inv,2020-01-27T15:52:22Z,5
"Woohoo, hope you love it!",Christa DiPaolo,2020-01-28T17:38:17Z,1
"Esta é a MELHOR treinadora. E o boxing o MELHOR exercício para queimar. Todos os dias farei esses  15 min pela manhã, ao acordar. E depois buscarei a aula completa. Valeu DEMAIS.",Flavia Freitas de Oliveira,2020-01-27T09:34:04Z,2
Christa - You are my inspiration!!! You are AMAZING at what you do - Never change!!,MsAdreaL,2020-01-27T03:04:41Z,10
Awe thanks a ton!! Hope you love the workout! xx,Christa DiPaolo,2020-01-28T17:39:08Z,1
TaeBo circa 98,Olivia Purse,2020-01-26T21:32:22Z,1
"This is not TaeBo, which I loved. Do the complete workout, and you will be hooked. Her workouts are tough, and her positivity is infectious!",Maggie Franzen,2020-01-29T03:35:18Z,0
I used to work out to TAEBO for years.... this workout/ workouts are completely different from TAEBO...,Gina Zagari,2020-01-29T00:27:18Z,1
"I had the absolute pleasure to study under Billy and teach Tae Bo! He is an absolute legend and was one of my first mentors. I made sure to make my program completely different. Once you get past the warm up, you can see that&#39;s not the same ;))",Christa DiPaolo,2020-01-28T17:43:12Z,1
