comment,id,date,num_likes
I love these alternatives to Crunches. Definitely keeps it interesting. Keep up the good work !,Your Next Body,2020-02-02T18:12:39Z,88
i dont know if anyone gives a damn but yesterday I hacked my friends Facebook account using Siczine. Find it on google :),Waylon Jaxtyn,2021-03-10T09:34:37Z,0
Nnnooooooooooo,LUCILLE PANSCH,2020-12-01T18:33:56Z,0
💪🏽🥵👏🏽👏🏽,Mandy Ambrose,2021-05-05T17:16:34Z,0
make pauses please,Raphaël Bst,2021-05-02T18:09:01Z,0
Awesome,Margaret McGrane,2021-05-01T23:15:28Z,0
This workout is not it. Could not get the v crunch move at the end.,Christy D'Adamo,2021-04-29T15:53:03Z,0
woo hoo !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Tal Ofek,2021-04-26T18:56:25Z,0
Astrid just sounds like she&#39;s throwing shade at the &quot;burn&quot; comments 🤣 She&#39;s not chipper cool like the other folks. More Anna please 😃,Melissa Archie,2021-03-30T00:54:53Z,0
Loved this one! Loved the arm and ab combo and the slight burn buildup! Wish there was a tad bit more stretching for the abs and a warm up but other than that loved it and will be dong it again!,Melissa Savino,2021-03-02T16:56:01Z,1
How much is the weight of dumbbells?,Dhaliwal Brothers,2021-02-28T04:01:22Z,0
11.48 camera not showing the instructor who seems like to be demonstrating errors. Stupid cameraman.,Kriti Darshni,2021-02-20T12:19:18Z,0
"Wow, this is a good one! It’s now the next morning, and I am FEELING it! Thank you!",Kristina Noall,2021-02-13T15:49:35Z,1
"📣This is my this is my second day working out with you Ladies!!!  I&#39;m so super excited that I found this workout video!!☺👍This will be my every Tuesday and Thursday toned arms and abs!!!🔥💥<br /><br /><a href=""http://www.youtube.com/results?search_query=%23thanksladies"">#ThanksLadies</a>!!!",Patricia Edwards,2021-02-09T15:22:18Z,1
"Woohoo, just did this after a HIIT workout, and I am feeling the burn! Thank you!",Zimuahaha,2021-02-05T22:43:17Z,1
"<a href=""https://www.youtube.com/watch?v=WcKW8h1Plec&amp;t=21m00s"">21:00</a> -- STILL THE STUPIDEST PLACE ANYONE HAS EVER PUT AN ADVERT IN ANY VIDEO ON YOUTUBE.",Michael On Keys,2021-02-04T16:45:24Z,2
I&#39;m working out everyday now because I discovered popsugar fitness during lockdown!,Sarah Keogh,2021-02-02T19:42:25Z,2
Thanks for the workout ladies!!!,StrongFamilyForever,2021-02-01T19:12:04Z,0
perfect,Mehrnoush Bahiraie,2021-01-15T19:05:55Z,0
i love how you show 3 versions for modifications. this is so helpful. and the comment that some days we feel stronger than others so mods are super helpful to know!,KD Antonacci,2021-01-10T19:04:04Z,0
"I loved the side bend with the weight held up; it was new, challenging, and felt great!",Kit Prelewitz,2021-01-09T22:46:43Z,1
"<a href=""https://youtu.be/u2CUK-Rgdoc"">https://youtu.be/u2CUK-Rgdoc</a>",Tejaan Music,2021-01-08T02:52:49Z,0
Bruhh the instructor is skinny but she lifts really heavy weights if i do that i will break my arm for sure.,Daniella,2021-01-03T14:34:32Z,0
Absolutely loved it!,MARIE FRANCE letarte,2020-12-30T16:14:20Z,1
Thanks for the workout today!,Bikini Fit,2020-12-29T07:25:22Z,0
Loving this!!! Please3x do more workouts from Astrid 🙏🙏🙏,Mustika Sabda,2020-12-20T02:51:28Z,0
"nice workout, pretty efficient, however cannot handle astrid&#39;s big headedness",Megan Dennis,2020-12-17T04:48:08Z,1
"Anna - thank you for acting like a real human doing workouts. It’s really NOT motivating for me personally when the person leading the class is super peppy, not struggling a bit, and saying “oh come on! You can do it!!!” - because that’s not always true.",Aqua CrimeFighter,2020-12-15T17:07:47Z,0
"Please please move/remove the ad that comes in at the worst possible moment during this workout and RUINS IT FOR EVERYONE.  Why must you have an advert at the point you are supposed to be on the ground, busting a gut, balanced on one forearm and with the other arm in the air holding a weight.  RIDICULOUS.",Michael On Keys,2020-12-11T09:08:39Z,0
Where can I find crystal’s workout outfit? Great routine👍🏼,Katrena Luoni,2020-12-09T15:49:30Z,1
I did this workout at lunch and it was a slow burn but booooooy am I feeling it the next morning! Wowza&#39;s!!,Cutecare,2020-12-05T16:20:54Z,1
It was too easy,LUCILLE PANSCH,2020-12-01T18:33:36Z,0
How many times a week should I do this exeiese,Lisa Webster,2020-12-01T10:40:28Z,0
"If you want anyone to actually workout to your videos and hence see any of the ads, then DON&#39;T PUT ADS IN THE MIDDLE OF AN EXERCISE WHEN YOU ARE LYING BALANCED ON ONE ARM WITH THE OTHER IN MID AIR.  You could literally not have chosen a worse place to put an advert.  Completely ruins this.",Michael On Keys,2020-12-01T09:26:14Z,0
Loved the workout but did not appreciate the commercial halfway through while doing plank to commandos. I&#39;d much prefer to have a few commercials at the beginning than any in the middle.,Alessa Young,2020-11-29T23:51:28Z,0
You kicked my butt ! Thank you.   Feeling it today,Christine Tower,2020-11-27T03:32:04Z,1
Loved it!!!! Thank you so much!,Tanya Sahai,2020-11-15T02:45:25Z,0
"I know Anna fakes the burn. I love that about her. When I first started on my journey, it made me felt welcome when I was struggling. Now that I’m stronger, I realize Anna is truly humble. I like Astrid as well but seriously, why act so pretentious?! Anna is strong,  don’t act like she doesn’t know this is “popsugar fitness”. She should of got the hint and encourage Anna so that the viewers who are doing beginners will hear the encouragements. Anyways, Astrid is no doubt an awesome trainer! More of Astrid, and always more of Anna :)",Rin Seguin,2020-11-09T06:23:10Z,7
Yeahhhh not feeling this Astrid chics attitude lol,Melissa Archie,2021-03-30T00:52:58Z,0
ADVERTS IN THE MIDDLE OF AN EXERCISE COMPLETELY RUIN THIS.,Michael On Keys,2020-11-05T09:41:09Z,1
Awesome class!,Daniela Cánepa,2020-10-30T09:35:48Z,0
Does anyone know how often to do this workout? Every day? Every other day?,Raistar7,2020-10-28T13:31:19Z,1
I say every other day.. you don’t want to overwork the arm muscles etc..,Love Is Everything.,2020-11-25T20:18:11Z,0
amazinggggg,Tal Ofek,2020-10-26T22:44:38Z,0
Really? I’m dead!,DD R,2020-10-21T18:39:10Z,1
Thank you Astrid for an AMAZING workout 🏋️‍♀️🔥,Rebecka Flygare,2020-10-21T16:59:42Z,0
Where can I get those shoes?,Katrena Luoni,2020-10-18T17:46:12Z,0
i am so glad i found this channel. they make excercise fun! thank you &lt;3,acab,2020-10-09T18:37:40Z,0
Where can I get your yoga pants and tops?,Ms. Fafasuli,2020-10-08T00:36:10Z,0
ok but did the lady doing the mods need to comment/complain the whole time...,olive,2020-09-30T18:14:26Z,0
"Love how different this workout was! I was shaking. Plus, I always love how popsugar gets your heart rate up during every workout, even if it isn’t cardio.",Natalie Teerlink,2020-09-29T13:49:32Z,2
"ADVERTS COMPLETELY RUINING THIS VIDEO.   <br /><br />You cannot have 2 x 15 seconds adverts (especially when you can&#39;t skip them) coming up mid-exercise.   (and especially whilst the exercise you&#39;re doing is on hands and knees on the floor!)  <br /><br />The ads were definitely not in this place previously?   <br /><br />Anyway, is completely ridiculous, when there is plenty places in between exercises you could put an advert.  <br /><br />:-(   :-(     :-(",Michael On Keys,2020-09-29T08:19:34Z,0
My new favourite workout 👏🏾,MissNessaB,2020-09-20T17:18:00Z,1
"I recently started workout, and I find this video great, thank you💎",Karima Baouia,2020-09-17T14:43:31Z,0
I broked my right hand last year still hurt can i use 6  5 pound dumbel?,Nahid S,2020-09-13T03:17:49Z,1
Love this workout sooo much!!!,arcadia without,2020-09-06T12:24:16Z,1
i was wondering why her voice was so familiar -- she&#39;s the same trainer from the cosmo turbo ab workout i&#39;ve been doing everyday for weeks now! lol i love her and this workout!,elf suju,2020-09-04T09:46:11Z,2
Love Astrid!!! These short workouts are so good for those days when I&#39;m tired but still want to get some kind of a workout in. Loved all the modifications as well,Eva L,2020-08-28T00:17:32Z,1
does anyone else notice they are all wearing the same shoes?,Graycie,2020-08-27T21:21:33Z,0
Favorite workout!!,Brittany Garcia,2020-08-25T21:41:28Z,0
Anna is very helpful🥰🥰,Shruti Sheth,2020-08-22T04:24:47Z,0
I love this teacher. She adds humour to the  class that smashes your abs,Yoga Beach Girl ShellyB,2020-08-17T01:18:21Z,0
what is the weight of dumbell required to tonne arm without building the muscles,rabina thapa,2020-08-15T04:27:19Z,0
Hoy hice estos ejercicios 🙌 de a poco volviendo a moverme 👏,Yamila Linares,2020-08-12T23:15:43Z,1
Love it! Sweating profusely now,jo miranda,2020-08-11T08:20:20Z,0
thanks for this video! great morning workout,arcadia without,2020-08-06T11:17:45Z,1
So boring... she&#39;s so slow and you lose interest!,Mariana Berrutti,2020-08-05T17:57:19Z,0
Thank you guys first Journey back in 5 months 🙏 ❤ thanks,Valresha Bryan,2020-07-27T14:04:16Z,1
Hi dear I too do with you all every day during lockdown days. Lovely. Thank you dear,Litva,2020-07-10T12:47:26Z,1
This was a great workout💗,Jen C,2020-07-08T20:35:43Z,0
"should not use negative affirmations i.e., &quot;regression&quot; just call it a modification p.s. we love you ana and pop sugar",Jennifer Meza,2020-07-06T22:26:53Z,0
So good!!!!,Kelly Zemnickis,2020-07-06T13:18:04Z,0
Another great workout from Astrid! My arms and abs and shredded. :),Devorah Friedlander,2020-07-02T05:52:25Z,1
"This was fantastic!! I try so many videos, and this arms/abs combo was perfect. Very doable for a beginner, but still feel like I got a great workout. 👌💜",Belle Clementine,2020-06-30T06:06:50Z,0
Awesome workout...but Anna needs to STOP TALKING AND MOANING!! GROSS!,Tracy Rutledge,2020-06-28T16:26:57Z,1
I  won&#39;t be doing this workout again. It  focus mostly on arms and not enough ab workouts.,syreeta cunningham,2020-06-27T22:51:19Z,0
Love Astrid&#39;s workouts but hate her pretentious attitude,Emma Robards,2020-06-25T18:37:52Z,10
🔥🔥,Arlyn Rodriguez,2020-06-24T16:28:51Z,0
This was a marvelous workout! Thank you,Alexandria Thompson,2020-06-15T06:14:01Z,0
I love this work out!!!!,Lidia Carbone,2020-06-05T13:15:20Z,0
Excellent!,LB GaPeach,2020-06-02T17:01:44Z,1
I loved this even 5 months into my pregnancy i was able to keep up and push through with 10 lbs. I feel so great without being totally exhausted! I love anything with Anna in it!,HorrorShow694,2020-06-02T13:06:43Z,13
"You, prior pregnant woman, are lying. This shits difficult asf yo baby finna be lit :)",Felix Mattstedt,2021-04-08T18:34:49Z,0
You go girl!,Estee,2020-12-05T00:25:11Z,3
Amazing.,Dayana,2020-05-31T17:26:52Z,1
Can anyone tell me the expecting number of calories burnt in this exercise,Haneen Asiri,2020-05-31T04:01:19Z,0
nnikitina Thanx ❤️,Haneen Asiri,2020-06-03T07:18:05Z,0
My fitness band counted 67 calories,nnikitina,2020-06-01T06:50:57Z,0
