comment,id,date,num_likes
Great workout <br />Great coach 🙌🏻,Adel Leda,2021-05-04T00:26:33Z,0
Such a super super session...totally recharged....loved it,Nandita Kanwar,2021-05-03T13:20:17Z,0
"Omg it really awesome, challenging",Arulponni Chandran,2021-05-02T13:06:54Z,0
This woman is intoxicated with her own thoughts. Narcissist! Like... just stop talking about yourself for five seconds. Back right lady should have run the class. She is at least a normal human being. Stop making it about you!,Luke Soloway,2021-04-20T11:18:27Z,0
"I LOVE this workout.  I’ve been doing HIIT and strength for a long time and was recently told, because of some arthritis conditions, that while I MUST move, I shouldn’t be doing impact. I was bummed, because I love the challenge of HIIT &amp; strength.  I also love multitasking.  This workout fits both.  I actually get my heart rate higher doing this than I do with HIIT.  And the cardio is from working and wearing out the whole body - arms, legs core.  While it’s not exactly like doing strength with weights, my muscles were pretty fatigued by the end of just 30 short minutes.  My sweat cloth is wringing wet. Thank you!",Danette Childs,2021-04-20T10:35:27Z,0
Me gusta siento que trabajo varias pastéese de mi cuerpo,Sandra Muñoz,2021-04-18T17:32:47Z,0
من سمر 😭,サンアシュムカカ,2021-04-17T23:08:24Z,0
مثلك🤝😭,rawan Alq,2021-04-18T11:30:54Z,0
"Just doibg for 10 min. Already sweated like never in my life. <br />Love kit so much, been doing her routines since pandemic from last year.",Graciela Ma,2021-04-15T23:39:31Z,0
Nice video,Paula Reis,2021-04-09T21:35:37Z,0
Thank you ladies had lots of fun,Hamed Haeri,2021-04-08T14:15:24Z,0
Awesome thank you,Hamed Haeri,2021-04-01T14:30:57Z,0
"Sunday, 3/28/2021. Pizza is okay. Jiggle is okay. Thanks-",ladykws,2021-03-28T23:19:46Z,0
I never had so many planks in one workout! she makes you so focus you didn&#39;t realize how many sweats you make,revani rahardja,2021-03-28T04:19:54Z,0
Loved this workout . What a burn in 30mins . I feel Super toned just in a day,Pavithra B,2021-03-27T06:07:18Z,0
Most amazing workout I have done in a long time! Right amount of challenge and   doesn&#39;t forget any muscle group 🤩 bring her more often,Aurora Schinetti,2021-03-23T10:38:06Z,0
"Dearest Kit, thank you for sharing all these workouts with us. They keep on making go through these challenging times and series of lockdowns. A heartfelt thank you to you and your team! Big hug from Brussels, Belgium:)",Melina Lepida,2021-03-21T14:57:47Z,0
Super workout! Loved it! One of my favourites! Thank you :),Wanita Wells,2021-03-20T23:26:46Z,0
"really enjoyed Kit Rich&#39;s work out. I love that she didn&#39;t say the word &quot;bikini body&quot; once, and instead focused on the things we can&#39;t see, like gratitude and positivity. thanks Kit!",Tasmin Golding,2021-03-02T15:39:19Z,1
Love it!!!,Ghina Ghemraoui,2021-03-02T04:48:37Z,0
i burned 288 calories) thank u for the workout!,Анастасия Волокитина,2021-02-28T09:45:36Z,0
I love the super clear instructions! She tells us when one move is almost done and gives us enough instructions to start the next move right with her. She has a really positive attitude.,Leslie Russek,2021-02-27T18:49:13Z,1
"so grateful for this class, for having the time and health to do it! Thank you Pop Sugar!",Lorenza Simoni,2021-02-27T17:39:01Z,0
Excellent full-body toning workout! Love it!,Kiki Horton,2021-02-24T18:30:06Z,0
love it &lt;3,Mihaela,2021-02-22T21:46:57Z,0
WHY would you place the ad in the middle of the workout -<i>__</i>-,Daphne Johnson,2021-02-22T06:29:29Z,0
"It looks easy, but it&#39;s a killer work out. Amazing",ratika gupta,2021-02-19T16:28:39Z,0
really good workout :) Kit adds different moves and makes it very dynamic.,Maria Rita Santos,2021-02-19T14:46:00Z,0
Cracking workout! Sweated like I had just come out of hot yoga 😂,Louise C,2021-02-18T07:06:12Z,0
What she said at the end really touched my heart 🥺 thank you for this awesome workout 💗,Reem Abdulrahman,2021-02-17T12:43:00Z,0
Great quick workout but please don&#39;t put ads in the middle of it - found that to be really frustrating,smeredithmancuso,2021-02-16T00:11:28Z,0
Thanks PopSugar and Kit. That was a great workout. Unbelievable what you can do in 30 minutes!,Suzanne Lightstone,2021-02-15T17:51:35Z,0
That was an amazing and intense workout! Highly recommend!  Feel the burn and sweat!,Susan Smith,2021-02-10T03:54:53Z,0
i hate how much the blonde girl interrupts her,n,2021-02-07T19:09:15Z,0
Absolutely loved this!,Angharad Treasure,2021-02-07T16:30:02Z,0
It was awesome🤩<br />Love it😎😍😍😍🔥❤,Sharareh Radfard,2021-02-06T10:51:18Z,0
love love love this workout,jennifer rangel,2021-02-05T11:53:57Z,0
Such an awesome challenging workout! Thanks Kit!,Malika Mathis,2021-02-04T20:46:34Z,0
"thank you Kit, great for my sciatica pain I feel so strong!!",Anna-Marie Griffiths,2021-01-27T18:32:22Z,0
This workout got me through the first terrible months of lockdown. When I’m depressed or low energy I come back to it and I’m ready to tackle my day. Thanks so much for the positive vibes.,Twisty Cats,2021-01-22T17:13:58Z,11
"Excellent instructor. Love Kitts workouts that fuse Pilates into their typical cardio routines.<br />Her detailed instructions ensure you follow correct form and feel the movement in the correct muscle or area.<br />Thanks PopSugar, great content and contributors as always.",Paul Stanley,2021-01-14T10:26:41Z,0
Wow - left me shaking  but in a good way! A great workout - thanks!,Kerry Davis,2021-01-08T10:00:28Z,0
Amazing dears go ahead ❤🧡💛💚💕💞,handrin Ali,2021-01-07T12:09:15Z,0
"what an awesome trainer and workout! hard as hell, had to take a few extra pauses this first time threw, but damn. Where have i been, Kit? thank you, algorithm, you did great on this one.",Danez Smith,2020-12-27T20:20:46Z,0
what a wonderful trainer!,Liliya Donets,2020-12-23T21:26:11Z,0
the talk throughout was so motivating i really needed that thank you,Ashie Da,2020-12-14T05:59:38Z,0
loved this !!! Tnk u!!! =),Sofia Lima,2020-12-10T22:30:17Z,0
Oooo this looks fun. I have been doing Pilates for a while now and love it. I can’t wait to add this into my routine,Sarah Baldwin Pro Makeup Artist & Academy,2020-12-06T17:04:47Z,0
"My fave workout and fave instructor.  Kit, you are an inspiration!  I not only love this workout, I really love hearing your words of encouragement.  Your energy brings me joy.  Best of all, I feel powerful and stronger today than when I first tried this workout a few months ago.",Liz Horowitz,2020-12-03T16:03:37Z,0
Awesome  !!!<br />👍👌🔥🔥🔥🔥🔥❤,sam adam,2020-11-25T15:29:32Z,0
"Fantastic, sweaty and fun workout. It hit my full body and I feel so strong because of it. Thank you Kit and Popsugar!",Erika Freed,2020-11-23T17:11:43Z,0
Absolutely loved this workout !! &lt;3 Thank you guys !!,Lakshmi Gayathri R,2020-11-20T14:02:56Z,0
great modifications in this one!,Jean-Marie Evans,2020-11-19T15:51:40Z,0
Thank you so much for brining Kit back!!!,Nilima (Nili) Raitz von Frentz,2020-11-18T04:05:12Z,0
Did this with my 5yr old tday while my 4month old looked on! Yaaaaaaay! It was so good!,sharon ibironke,2020-11-17T18:27:38Z,0
Awesome 👏 🤩thanks from Germany !🙌,Marie van Kleef,2020-11-16T07:51:26Z,0
Man I just did that!,Tosin Farai,2020-11-16T07:23:51Z,0
Wonderful and very challenging workout. Perfection! I am sweaty and feel great.,dbels,2020-11-15T17:45:21Z,0
great workout. i was very sweaty. i like the relatively intense cardio in the first half of the workout and then the pilates in the last half. i do wish this workout was a little longer to allow for longer reps. but is a great option if you only have 30 mins. kit is one of my favourite trainers. motivating and just a badass in my option.,Morgan Ebanks,2020-11-11T18:05:33Z,0
Just finished doing it! I&#39;m a beginner but i must say these 30 minutes felt like a lifetime but i feel so good at the end of it ! Cheers,gauri chandna,2020-11-09T13:18:55Z,0
I see why anna isn’t in this video lol she’s a killer !! 👍🙏,품비,2020-10-30T18:29:31Z,0
"This workout KILLED me and I enjoyed every minute. Every part of my body feels worked and in just 30 minutes. Kit, thank you for the variety of exercises, your workouts are so fun to do because you incorporate your own twist on traditional exercises. PopSugar is lucky to have you! Thanks for all your encouraging words and upbeat attitude :)",Kit Prelewitz,2020-10-25T22:17:31Z,0
this was a good one,Lauren Nicole,2020-10-24T18:17:42Z,0
Love Popsugar workouts but would love if the instructors called out the opposite limb from which they are working so the audience hears &quot;left leg&quot; and sees the mirror image of what they are doing.,Ellen Judson,2020-10-23T12:59:36Z,0
Kit Rich ain&#39;t playing games this was killer 🔥🥵 thanks Pop Sugar  and Kit Rich.🔥🥵🙂👍,Maria Ramirez,2020-10-17T01:12:49Z,0
Love it,Steve Olortegui,2020-10-13T13:20:36Z,0
"Really feel good, actually I don’t like cardio, but today I did my best❤️",Ainur Kabdrakhmanova,2020-10-13T03:26:36Z,0
did the booty section with a band and nearly died,Elle K,2020-10-11T15:19:06Z,0
My favourite so far of pop sugar. Instructor was awesome!! Not unrealistically hyper but super motivating and said all the right things to keep me going. I’ll be looking for more of her vids ❤️,Bonnie Reynolds,2020-10-09T18:19:07Z,0
I love you!,umniah alhalaby,2020-10-08T08:56:01Z,0
GREAT LESSON,יערה קרקו,2020-10-07T07:13:42Z,0
Love this workout but it needs a proper stretch and cool down at the end.,Nikki Troy,2020-10-06T00:49:39Z,0
That was great. I followed Megan. Thanks for the alternative exercise and the reminders about form.,Suzn M,2020-10-05T14:38:55Z,0
that was a burn,Ann baptiste,2020-09-29T10:06:36Z,0
What a blast! Very smartly designed routine. And love the pizza comment - so relatable. Being healthy doesn’t mean not eating!,Zoe Brannagan,2020-09-25T04:46:35Z,0
This was hard (mainly the cardio portion) but I feel amazing after &lt;3,Kali the Forest Nymph,2020-09-24T20:47:37Z,0
Kit is my favorite honestly. Such a good coach!,Tekla Paraidi,2020-09-16T18:09:26Z,0
"Out of all workouts from pop sugar, this has touched me, the instructor was absolutely brilliant, love her vibe and the way that she not only works you but makes you feel great about yourself. Amazing, more of her please x",s n,2020-09-16T07:30:59Z,1
"Omg Kit is a GREAT trainer, i loved her so much!! Thank you for this workout! =)",Louise Schachter,2020-09-12T22:55:04Z,0
Who else is a guy and did this for school but <br />Damn this killed me I mean killed me I was trying to be strong but it was to much <br />I was sweating my ass was sweating <br />Man it was just tiring<br />But by far the best in just 30 minutes it was worth it even though it made me swore and tired and I was so swore I could not sleep,respect everybody no hate,2020-09-03T19:32:10Z,0
I love this!!,intansyariez,2020-09-02T23:39:13Z,0
"Intense, good. Would do again",turnstyletouchbunny,2020-09-01T03:28:54Z,0
I just adore this woman. Her posture is amazing. Her voice is so nice. She is not histerical or annoying like some other trainers. Most important of all: her exercises are awesome! 😘,Antonia,2020-08-31T17:34:52Z,0
one of my favorite workouts! by the best trainer KIT &lt;3,Kany Favela,2020-08-30T18:48:55Z,0
That was so intense!! Thanks for sharing 😁😁,Alexandra Esmond,2020-08-28T06:22:52Z,0
I had sweat pouring down my face. I loved that so much. So challenging but my goodness this woman will make you feel strong.,Romy - Satya Flow,2020-08-27T18:03:42Z,0
I love this workout!  Kit Rich is  the best!,Stephanie Armenta,2020-08-26T21:19:42Z,0
That was an amazing workout,Jay Bush,2020-08-26T12:53:30Z,0
