comment,id,date,num_likes
Very similar to Amoila Cesar&#39;s final Crucible challenge in 6 Weeks of the Work. Definitely a solid workout!,Clayton Cummins,2020-07-28T15:37:25Z,0
"<a href=""https://www.youtube.com/watch?v=jrU5xC1Xy7c&amp;t=0m43s"">0:43</a>",Gabriela Lopez,2020-07-07T13:02:43Z,1
why not do like other videos and have the whole workout recorded? It is much better... I don&#39;t like videos like this,Debora Hanauer,2020-06-19T22:34:07Z,0
"Ummmm.... so this isn’t even a workout... just an ad, ok.",Michelle H,2020-06-09T21:22:56Z,0
she can&#39;t do it also,Ignacio Rodríguez,2020-06-09T17:19:44Z,0
I don’t understand how 500 rep ? Please can anyone explain this 😓,Abd Ha,2020-06-07T00:41:50Z,0
So you will do 25 of the 10 moves (250) and di another round for a total of 500(250 x2) . Got it .,Erica D.,2020-06-04T14:43:51Z,0
My personal advice : don&#39;t wear shoes or socks while working out even running ... try running on the grass. Feet has nerve endings .. you will feel the difference.,Xalxo Clarice,2020-06-04T03:33:38Z,0
What about the Bee? 😫😵😪,Madalina Sima,2020-06-04T11:38:42Z,0
67 years old and did it! Nothing like a challenge to motivate,Gail B,2020-06-02T13:50:09Z,17
Gail B wow that’s amazing !!!! You must be extremely fit !! :),Ramya,2020-06-15T14:52:30Z,3
"This exercises(jumping lunges and squats)really slimmed down my legs,but its really bad for my knees,what shall I do?",Jaro Jaric,2020-06-01T18:46:33Z,0
Without jumping 🤩,La Flaca,2020-11-23T21:34:13Z,0
"If you&#39;re looking for a good blog with tips on how to start keto and intermittent fasting, I would suggest you go to Kimmy G&#39;s blog.<br />Just Google search &quot; <b>Push Pedal Crank</b> &quot; and it pops up. She&#39;s got great info that I&#39;ve been using.",ibrahim tayfor,2020-05-31T12:28:56Z,0
I&#39;ve been pairing this with tips for Kim&#39;s blog (Google Search &quot;Push Pedal Crank&quot; to find her guides on Fasting and Keto) and I&#39;m finally melting off weight.<br />Only problem is I&#39;m just burnign through what I&#39;vegained during quarantine lmao,aftab alam,2020-05-31T12:00:33Z,0
"&quot;DOWN 10 LBS!!!<br />Just wanted to thank you, it&#39;s thanks to your videos and blogs like Kimmy G&#39;s (𝗸𝗶𝗺𝗳𝗶𝘁.𝗰𝗹𝘂𝗯) that I&#39;ve been able to crack the code.<br />Finally losing, even while stuck at home!&quot;",Aminz Shtevidim,2020-05-31T11:59:37Z,2
