comment,id,date,num_likes
"Always a great workout, thank you!",Catherine Hinstridge,2020-11-30T20:56:58Z,8
"@Mario Ryker definitely, have been watching on Flixzone for since december myself =)",Boden Jasper,2021-04-29T02:31:07Z,0
pro tip: watch series at flixzone. I&#39;ve been using it for watching all kinds of movies during the lockdown.,Mario Ryker,2021-04-29T02:20:14Z,0
Me too,uma maheswari,2020-12-04T14:13:11Z,0
Great workout. Does anybody know how many calories this workout burns?,MultiLadystardust,2021-04-26T15:57:00Z,0
Love this class. Thank you!,Nicky Vita,2021-04-20T12:28:42Z,0
"Great workout. However, needs to be a bit clearer and warning of when to change right/ left sides especially beginning of the workout. The last half was much clearer. Thank you.",dbels,2021-04-16T15:09:59Z,0
I freaking LOVE working out with Britany!!! She rocks!,Sevans343,2021-03-30T16:56:11Z,0
Just perfect!!!!!,Inga Paliulionyte,2021-03-24T07:37:38Z,0
"that was so much harder than I had expected. Dang, my legs are jello!!! Great workout, thank you!!!",Julia Levy,2021-03-07T17:01:03Z,0
"She&#39;s an excellent trainer, love these workouts.",mary w,2021-01-30T13:43:34Z,1
GrEAT!!!!,Mariana Carbajal,2021-01-28T15:55:52Z,0
wait did she do the right leg one more set than the other? for the standing workout before the glute bridges... im confused lol,Yoojin Cha,2021-01-28T13:26:17Z,0
Great whole body barre workout! I wish the L &amp; R instructions were mirrored as it&#39;s confusing to do the opposite of what&#39;s being demonstrated. I ignored the left and right directions and just moved to the same as the instructor.,Lindsey Jo Scott,2021-01-27T22:00:07Z,0
"This was intense, I was almost going to give up but you motivated me a lot! Thanks Britany and PS ❤️",TheSupersizzina,2021-01-26T23:35:06Z,0
really amazing workout! love the motivational lines and the burn!! definitely one i’m excited to come back to,Air Florence,2021-01-22T17:20:48Z,1
Great workout...Love it ❤,role_ 07,2021-01-20T02:51:48Z,0
She is amazing! Loved it!,Sofia De Almeida Rocha Pedrosa De Moura,2021-01-19T19:25:23Z,0
"2021 Body Motivation <a href=""https://youtu.be/4IlFhr-_n6U"">https://youtu.be/4IlFhr-_n6U</a>",THE RATIONALIST,2021-01-18T23:54:53Z,0
That was tough! Thank you :),Annie Howarth,2021-01-17T11:11:57Z,0
"Love it!  Perfect do at home away from gym during COVID! Great Workout, thank You!",judy bajus-davis,2021-01-15T21:39:51Z,0
Holy shit! Great 30 minutes 🙌🏻,IHeartMyDogs,2021-01-14T17:27:35Z,0
"so under-rated! BUT it needs music and NO ADS... you&#39;re a great trainer!! I only really get a real burn from Jake Dupree, Kit Rich and some of Annas.. and now you!!! great job!!",Dominika Juillet,2021-01-14T08:02:18Z,1
im in love!,Diana Barkovskaja,2021-01-05T11:25:57Z,0
Omg this workout was FIRE!! So so good.,Louna C.,2021-01-03T16:59:14Z,0
Such a great workout! Thanks!,Madeline McCarthy,2021-01-02T16:24:52Z,0
I can barely feel my legs. Good work put. Happy New Year!!!!,quiet storm,2021-01-02T00:21:48Z,1
THANK YOU BRITANY!!!   XOXO,Mark Fichera,2020-12-30T15:17:09Z,0
thank you so much! what a great workout!,Stephanie Alves Santos,2020-12-29T14:15:34Z,1
Great workout. My glutes were on FIRE!!!!,A Martin,2020-12-28T14:00:38Z,0
Excellent full body workout!,Bronwen D,2020-12-27T09:18:55Z,0
Oh wow that was gooooood! Thank you for an amazing class! I loved Britany was amazing!,Lynda Kirkland,2020-12-23T14:22:04Z,1
"This workout was amazing, such a good instructor. Thank you so much",Rayda Sanchez,2020-12-22T21:29:12Z,3
"Great energy, so natural. Thankyou So Much x",Mmm,2020-12-20T08:53:28Z,0
"<a href=""https://youtu.be/CaLACDBc3BM"">https://youtu.be/CaLACDBc3BM</a> discoverd the truth befor you dai prophet mohammed in the bible discoverd the truth gad is one and he has not a son that it is truth that is islam",Um Asem,2020-12-19T18:06:26Z,1
Great workout love your energy. I only wish I could see a time count always find that extra motivation when it gets hard to know how much time I have left to push through.,Erica Lemon,2020-12-17T13:58:56Z,0
Great workout. Low impact but still got my heart rate up. Perfect for those days when your feet are too sore to be jumping around.,kiwicanadiangirl,2020-12-16T23:31:48Z,1
