comment,id,date,num_likes
"FINALLY Eliza AGAIN, she has such amazing and inspiring energy! We&#39;ve been waiting for her new video for quite a while, and we still follow the first Kick It workout very often!<br />I find that imagining something or/and someone nasty in front of you really helps that kick 😂 And it&#39;s a good way to release some negative energy since we are in the",Loli Q,2020-11-22T18:19:57Z,28
"So glad you liked it, Loli!",Eliza Shirazi,2020-12-15T21:25:10Z,0
@POPSUGAR Fitness Thank you so much Popsugar for all those wonderful &amp; helpful workouts!,Loli Q,2020-11-24T09:41:17Z,0
"Such an energetic workout! Glad you enjoyed it, Loli ☺️",POPSUGAR Fitness,2020-11-23T18:35:35Z,1
this workout kills me but I finish it,Mariam Kahdem,2021-05-04T10:31:34Z,0
Love love love these classes! Eliza’s energy is amazing and I feel so strong and happy when finished. If you can please get her on for more.,Odie T,2021-04-02T10:08:18Z,0
"I love your workout Eliza.  I am from the UK, aged 63 and I have been doing your workout nearly every day.  Thank you so much.",Jackie8981,2021-02-21T13:08:17Z,0
Loved this! Thank you!,Lauren D,2021-02-01T22:20:35Z,1
"I Love Eliza&#39;s energy, wonderful wo, can&#39;t wait to have her back! Thanks PS ❤️",TheSupersizzina,2021-01-29T23:56:57Z,0
"this is the worst workout I&#39;ve ever seen. What is this girl doing? Just do the workout, stop approaching to the camera.",Lucía Vizcaíno,2021-01-24T13:46:04Z,0
"Wow, this was amazing! I feel strong and energized! Thank you!!",El Huerto de Azul,2021-01-05T04:00:17Z,1
This was such a fantastic workout. This will definitely become part of my normal workout routine!,alli prokop,2021-01-03T00:57:19Z,1
"💚thank you, so 👍awesome💙💪☺",Jona C,2020-12-24T14:40:09Z,1
Wow! Dis workout kicked my anxiety&#39;s butt!! :D,IsabellaNesi,2020-12-19T17:25:31Z,1
love that. I am so glad!,Eliza Shirazi,2020-12-29T00:06:40Z,0
"This workout was awesome!!! So much fun, so much energy, so much sweat by the end, but I feel energized!",lailailai,2020-12-09T11:02:39Z,1
glad you enjoyed it!!,Eliza Shirazi,2020-12-15T21:25:21Z,1
You are amazing Eliza,Asmaa Shafee,2020-12-07T18:51:27Z,1
"Thank you, friend!",Eliza Shirazi,2020-12-15T21:25:31Z,0
