comment,id,date,num_likes
I love this type of combo workout! Thanks for sharing.,Fit and Vibrant,2021-05-04T19:42:41Z,0
I’m not Barbara 🤣,Dana M,2021-04-25T17:01:21Z,0
"just found it and love it, i love the speed, killing me :))",Anh Hoài,2021-04-25T12:14:05Z,0
"This was great, but very focused on arms. Had to go to modified moves but I’ll use this video as a motivator!",Katie White,2021-04-24T15:04:11Z,0
"Yeah, Jake. I know when I have a Jake DuPree workout, I;m going to WORK.",Ciara Gorglione,2021-04-16T10:15:01Z,0
Who&#39;s Barbara? lol love it ;),Amanda Klein,2021-04-14T15:46:33Z,0
This is a good burner!!! 🔥🔥🔥,Andrietta Lee,2021-04-05T20:31:55Z,0
Thank you. Yes. Yes!,susan williamson,2021-04-01T21:56:28Z,0
Holy crap!,Cynthia Vasquez,2021-03-27T21:05:44Z,0
Popsugar should rename this to upper body workout. It&#39;s focused very much on arms so the title is misleading,Vik,2021-03-21T22:37:22Z,0
"Although I love me some Jake, I wish a warm up was included.",Tiffany Walker,2021-03-18T16:02:33Z,0
I&#39;ve just done this now. I definately didn&#39;t realise I would work up such a sweat. Great workout,Shooting Star,2021-03-11T13:22:58Z,0
MORE JAKE PLSSSS,Wesley Reges,2021-02-25T10:54:57Z,0
Jake! Your comments make me laugh 😂. Your counts make cry 😭... but I’d say the average comes to: I looove your work outs 💕. Also to the crew: nicely done you! 🙌🏽,Fabiola Hernandez,2021-02-20T00:08:18Z,0
Oh lord🔥Awesome! Jake’s Jam❣️,Nastya Solo,2021-02-16T15:05:12Z,0
"I love your workouts! You are the best, Jake! Thanks for everything!",Alicia LLAMA BEDIA,2021-02-15T23:01:06Z,0
"You can also watch this on how to loss weight <a href=""https://www.youtube.com/watch?v=sWhT8DMmFA8&amp;t=121s"">https://www.youtube.com/watch?v=sWhT8DMmFA8&amp;t=121s</a>",Body Works,2021-02-15T08:03:43Z,0
I&#39;m currently watching this video as entertainment to determine if I should do this at 10pm at night. Hmm!,Dianne O,2021-02-15T02:51:09Z,0
When can we have more videos from Jake ❤??,Aikaterini Niota,2021-02-12T01:16:42Z,0
my favorite trainer❤❤❤,ELENA H.,2021-02-10T01:00:30Z,0
"Dude needs to add some breaks - as a PT, its very unsafe to do continuous work like that youll do an injury.",Leigh Gwilliam,2021-02-07T23:41:01Z,0
