comment,id,date,num_likes
"Thank you Ania, I really enjoyed this class!",Louise B,2020-11-30T18:26:08Z,11
"@POPSUGAR Fitness I loved doing gate pose, I feel it does not get enough love! Felt very envigorated after this workout :-)",Louise B,2020-11-30T19:34:41Z,1
"Thanks, Louise! What was your favorite exercise?",POPSUGAR Fitness,2020-11-30T19:31:17Z,1
Русская она?,Katya Naumova,2021-04-24T06:00:04Z,0
Love this flow. Perfect for an afternoon pick me up! Thank you!,The Movement Space by Kristen,2021-04-07T10:58:38Z,0
"Too much knee work, and too advanced for me",Letasha Turnbow,2021-04-03T16:04:14Z,0
Perfect for the second day when muscles are hurting after the first day :) Looking forward to day 3!,Daria Dubinina,2021-03-30T21:06:10Z,0
This is completely ridiculous - there are like 5 or 6 commercials in a 30 min yoga practice?! Will not be doing this one again. Terrible Popsugar!!,Zoë Church,2021-03-29T05:59:49Z,0
Feedback to prompt the poses you transition to more frequently. I had to look up quite a bit to check what we were up to which compromised the poses and the flow. Left pretty unsatisfied.,E C,2021-03-21T08:07:12Z,1
best yoga video I&#39;ve watched!,Hannah Creech,2021-03-09T19:35:23Z,0
😍,Елена Гаврилова,2021-03-07T11:26:33Z,0
"Learn to speak English, I can&#39;t understand you without pausing the video",Qijing Fan,2021-03-05T04:21:27Z,0
"This was amazing I had never connected with myself the way I did in this class, thankyou.",Samantha Rendon,2021-02-17T00:46:54Z,2
"спасибо,Анечка!",Валерия Киселева,2021-02-08T12:25:22Z,0
I loved this class! So fun and sweaty!! Nice job!!,Maria Rodrigues,2021-02-08T11:12:22Z,0
Thanks Ania for this practice. Namaste,Jam Azza,2021-02-03T02:24:42Z,0
"I loved this class and the combination of poses! I wished you&#39;d finished it with savasana, I found it the best part of the practice (not just because I&#39;m lying down, lol). Anyway, I really found some awareness and peace, thank you so much Ania and PS for having her! ❤️",TheSupersizzina,2021-01-28T00:10:05Z,0
Nice class I really enjoyed and I dont have problems with ads,Paola Cárdenas,2021-01-22T16:17:11Z,0
"2021 Body Motivation <a href=""https://youtu.be/4IlFhr-_n6U"">https://youtu.be/4IlFhr-_n6U</a>",THE RATIONALIST,2021-01-18T23:55:08Z,0
Cześć Ania :) dziękuję za trening!,Malgorzata Sz-K,2021-01-16T17:03:10Z,0
Nice flow but so very slow!,Corinne Tulk,2021-01-12T07:59:21Z,1
"U mnie nie ma reklam, pewnie target ustawiony na USA. Aniu, świetna sesja, ja i mój kręgosłup dziękujemy ♥️",M Cz,2021-01-09T12:43:47Z,1
drag the red line till the end then press 🔄 in the middle... works for me.,dobu C,2021-01-02T08:24:48Z,1
Dziękuję za tę praktykę :),Monika K.,2021-01-01T12:36:48Z,0
Awesome. Thank you,Mel H!,2020-12-31T16:22:52Z,0
Thanks ...very nice,Carla Hendriks,2020-12-31T11:10:59Z,0
