comment,id,date,num_likes
Oh this was so good! Thanks so much Ashley! This workout felt tough but it went by so quick! I really love a good HIIT! And Ashley was so motivating and lovely! Please more of this!,Lynda Kirkland,2020-08-28T14:03:16Z,12
"We love Ashley, too! Thanks for watching, Lynda ✨",POPSUGAR Fitness,2020-10-29T20:46:37Z,0
Love this &lt;3,Monika Leszczyńska,2021-04-12T08:15:45Z,0
I adore her! And I love her workouts!!,Katie Yamaguchi,2021-01-23T18:49:41Z,0
"love you Ashley, you are the best...your workouts give me so much energy and positive vibes...please please give us more",Veronica Pais,2021-01-17T10:02:29Z,0
"Second workout of the year, and I dont regret it  Great workout. This one will be saved for sure.",Will2ChangeDaily,2021-01-05T12:45:59Z,0
Love your workouts! And... I love to hear that you are a runner! I love staying strong for  running halfs and full marathons!!,Raylene Knight,2020-12-23T17:39:33Z,0
You are so beautiful &lt;3,fosfogliser aldehit,2020-11-15T10:07:25Z,0
Lo ame gracias Ashley Joi. 😄❤❤❤❤❤,†Ash† Hunter,2020-10-20T14:58:04Z,1
This whole video has like 3 moves and the music sucks,Qijing Fan,2020-10-13T23:57:12Z,0
"Ella es asombrosa, se divierte y es contagioso.",María Alejandra López Martínez,2020-10-01T17:02:22Z,0
Loved it!,Franzi H.,2020-09-29T07:41:51Z,0
Thank you 😊 my face is tomato 🍅 red from this session!,Tali M,2020-09-26T07:49:26Z,0
This is just a worst video on this channel.,Макс Кливер,2020-09-24T16:14:03Z,0
Awesome workout!!!  Thank you!!,Allison Vincell,2020-09-19T21:20:18Z,0
Ashley is a JOY! (pun intended),Jessica Caracciola,2020-09-17T20:57:39Z,0
If i can have Ashley’s arms please!,Kusta Kuties,2020-09-14T23:14:39Z,0
It was incredible!! Thanks!!,Isa Bel,2020-09-14T12:34:40Z,0
"I know that she was doing it to keep us hyped, but I found her constantly stopping the exercise to go up to the camera really distracting. I loved the workout though!",Madison Ranta,2020-09-11T15:12:07Z,0
Awesome workout. I would love to see more of Ashley Joi at PS. My favorite move was the gluten bridge combined with a sit up. Never did it before.,Barbara Havers,2020-09-10T14:00:36Z,1
Thanks for the fun workout! I can&#39;t wait to be able to complete it without modifications.,Elizabeth Smith,2020-09-09T11:00:56Z,2
thank you ashley for being such a great instructor! &lt;3,Ana Beatriz Quinto,2020-09-05T00:04:39Z,2
"She&#39;s the best! Thanks for watching, Ana!",POPSUGAR Fitness,2020-10-29T21:09:37Z,0
I&#39;m love it!,Lilian López,2020-09-04T13:36:47Z,0
This was above my fitness level but I pushed through. Thank you for this!,Corin D. Media,2020-09-03T19:01:42Z,6
Loved this workout!,A. Chenai,2020-09-02T18:55:12Z,1
Great workout!  I would love to take another class of hers!!,Alana Cornish,2020-09-01T23:12:13Z,2
Ashley has been my new favorite trainer since the live popsugar ig workouts have started! Her workouts are always challenging and she’s so radiant and positive and gorgeous!,gaelgarseeya,2020-08-31T05:24:57Z,1
Hello  de argentina,Vero Duarte,2020-08-28T18:28:16Z,0
"Sorry I missed you live, Ashley 💋🖤👍🏼👏💪",Creighton Chaney 1941,2020-08-28T17:13:20Z,1
Thank you! That was awesome :),Alejandra Serrano Saloma,2020-08-28T16:02:40Z,1
www this was an awesome workout!!!!!!,Noémie,2020-08-27T18:33:54Z,0
Nathan lacaria Or  Current  Resident   33408 Sherwood cir  Gastonia NC 28056-6652,Nathan Lacaria,2020-08-27T18:01:03Z,1
how go Todays is good time,Nathan Lacaria,2020-08-27T17:56:27Z,1
hey,Nathan Lacaria,2020-08-27T17:55:32Z,1
T&gt;ime to workout!,JACQUELINE Di MATTIA,2020-08-27T05:05:53Z,0
I will do the workout again after 3 days my ass and legs are burning! But I see the shape) want again check my strength doing this without stopping.,Anna K,2020-08-26T16:08:09Z,2
Loved!!,Pablo Guzmán,2020-08-25T18:32:37Z,0
Definitely my favorite PopSugar instructor!!! What a powerful being!,Gaby Rikys,2020-08-25T18:14:04Z,5
Thank you from Flagstaff AZ,Nevitta Mason,2020-08-25T13:54:13Z,1
This is kind of a messy workout for me. The instructions and her timing is confusing I needed to adjust,S Heo,2020-08-25T10:13:03Z,1
Good one 👍,Aashish fitness mantra,2020-08-25T03:20:34Z,0
Woohooo! Thanks for the workout!,Marianne Escande,2020-08-24T18:25:15Z,2
I&#39;m soaked with sweat. Thanks from the UK,Hannah Chater,2020-08-24T16:32:19Z,3
"Thanks for sweating with us, Hannah 🥵",POPSUGAR Fitness,2020-10-29T21:10:40Z,0
this was the easiest hardest workout ive ever done. I dont know how to explain it,Abby Taylor,2020-08-24T16:29:56Z,2
Muito bom amei!🇧🇷,Nayara ferreira,2020-08-24T12:32:43Z,0
Hugely motivating i will try &amp; give this a go tomorrow morning as I needed a bodyweight cardio &amp; this fits perfectly thanks..,Tony P,2020-08-24T10:18:32Z,2
Awesome workout,Tara Rattan,2020-08-24T00:31:45Z,0
Good workout. A little tyoo much tme/talking between exercises.,TM STROZ,2020-08-23T18:19:22Z,3
"Very  sweaty, and did I say sweaty?",Eileen Nahan,2020-08-23T17:24:07Z,1
This is a GREAT workout! Saved in my playlist. Thanks so much!,ScaredOfPlasticBags,2020-08-23T16:55:20Z,2
Is anyone else impressed that she can speak throughout this session?,Leslie CAS,2020-08-23T16:42:23Z,35
"THE SWEAT WAS SOOOOO REAL! 😩😩😩🥵🥵🥵 BUT I DID push myself to power through to the end, and I am so damn proud of myself especially after eating off my diet last 2 days. Definitely a great way to jumpstart me back on track. Thanks beautiful for this kick my ass workout lol 😝I truly appreciate it💜🌻🔥",Itz Jazi,2020-08-23T16:31:11Z,3
We need this motivation.,Anderson's Epic Adventures,2020-08-23T15:59:12Z,2
Loved this workout! You are an amazing trainer!,Maria Paula Ribeiro Marques,2020-08-23T15:28:35Z,1
"Thank you! Love from Toronto, Ontario, Canada!",Rockawaysiren,2020-08-23T15:17:53Z,4
😤 Holy Guacamole!  😅 That was challenging...thanks Ashley and POPSUGAR. 😊,Jennifer Murray,2020-08-23T14:42:29Z,1
"I did not know this trainer before, but I loved her wo! please bring her back again here on PS! Thank you so much Ashley and all PS people ❤️🙏",TheSupersizzina,2020-08-23T14:18:43Z,25
Ashley Joi is so pretty!❤️ <br />Love from India 🇮🇳,Rucha Katekar,2020-08-23T13:10:59Z,0
It&#39;s my Sunday morning in London uk.  A great way to start my day.  Love your energy Ashley 😄,Jen Howell,2020-08-23T11:08:58Z,1
Yea! Ashley Joi!,Rebekah VanArsdall,2020-08-23T10:29:45Z,1
"the angle and the plant on the left are a bit stressful for me.<br />chould put the camera futher from the wall, <br />give more floor for the view and send more breath between us and the trainer. <br />and for the pot, it makes me worried if she would hit the pot just right next to her movement.<br />because it is not a simple wall, there are too many different pieces in the background, <br />if there is more space in the picture or make it less and simple behind, <br />we would watch it more comfortably.",Liny W.,2020-08-23T09:45:23Z,1
"Increíble esta rutina, maravillosa!!!",Edith Porras,2020-08-23T09:37:41Z,0
Virginia Beach Va,Gail Walton,2020-08-23T09:16:05Z,0
I&#39;m gonna try this but so scared - I don&#39;t do exercise even though I know I should...,Stella sole,2020-08-23T08:43:47Z,1
@Rockawaysiren thankyou!,Stella sole,2020-08-23T20:25:52Z,1
modify modify modify-go at half the speed-don&#39;t do the full jumping jack tap one leg at a time. If you can do even a little then you&#39;ve done a LOT!,Rockawaysiren,2020-08-23T15:16:37Z,0
Please will you mention the calories burned along with the workout ?,BD Jai,2020-08-23T08:31:30Z,1
Hi,Shankari Arun,2020-08-23T07:59:45Z,0
Wooooooooooooooooooooo,the man official,2020-08-23T07:23:08Z,0
Australia,Robert Melrose,2020-08-23T07:15:27Z,0
Will do this shortly... She is very pretty. Love her hair too...,Heather Waithera,2020-08-23T06:17:32Z,2
Had to do this work out. Representing Nairobi Kenya,Jackie Nganga,2020-08-23T05:10:19Z,3
Hey girl. Doing this shortly...,Heather Waithera,2020-08-23T06:18:22Z,1
From Turkey,Michael Mike,2020-08-23T05:07:25Z,0
Goodmorning from pakistan 🇵🇰,Uzma Ameer,2020-08-23T04:03:45Z,0
Ack!🥵🥵🥵🥰,NIKKI,2020-08-23T02:56:26Z,0
how about a series for beginners to log into to get into shape,Tonya Childs,2020-08-23T01:34:24Z,1
Thank you. This workout made me realise that I am making progress. I didn&#39;t realise the strength that I had. I love your workouts :),Jessica marshall,2020-08-23T00:01:52Z,12
"Proud of you, Jessica! 💪",POPSUGAR Fitness,2020-10-29T20:45:07Z,1
Ashley how many calories burned ?!?,Chelsie Rowbottom,2020-08-22T23:31:46Z,0
Thank you from Brazil,Janine Von Rosenthal,2020-08-22T22:55:17Z,0
Hi everyone! Watching from Philippines...,Luzzy Pings,2020-08-22T22:06:47Z,1
Good morning from the Philippines 🖐️🖐️🖐️🖐️,Joy Caminoy,2020-08-22T22:01:06Z,1
200 cal for 30 min! My personal record!!! Thank you!!!,Alyona Borysova,2020-08-22T21:09:15Z,8
Alyona Alyona  I&#39;m 155lbs so maybe a little bit more burned,Chelsie Rowbottom,2020-08-25T23:08:50Z,0
@Chelsie Rowbottom 115 lbs,Alyona Borysova,2020-08-25T22:59:06Z,1
Alyona Alyona ......<br />how much do you weigh if you don&#39;t mind me asking for a estimate of calories burned ...,Chelsie Rowbottom,2020-08-22T23:34:53Z,0
Who is doing this workout right now &amp; wishing to look a little more lean + toned like Ashley Joi?!  🤩👍🇨🇦,Tracy’s Home & Garden,2020-08-22T21:07:06Z,21
Bonjour !!!🇫🇷,Abana Chelsea,2020-08-22T20:01:39Z,0
anyone know how many calories this burned ?,Kamryn _,2020-08-22T19:55:18Z,3
@Anna Maria okay thankss,Kamryn _,2020-08-23T14:00:28Z,1
"Depends on each person (age, weight)the intensity you do it with and your commitment to each exercise. Buy a fitbit and do it again. Someone may do this and burn 200 calories and someone else 400. Just exercise and sweat.",Anna Maria,2020-08-23T07:18:39Z,1
Muito bom! Very good! Adorei!Obrigada! Thank you!,Consuelo Hascaska dos Santos,2020-08-22T19:48:50Z,0
ABSOULTY loved this. We need more of her,ch11pper,2020-08-22T19:44:24Z,8
Your body is sick🔥🔥🔥✊🏾✊🏾✊🏾...,Chay AJJCN,2020-08-22T19:34:21Z,0
I swear. She&#39;s a whole smoke show 💪🏾,NIKKI,2020-08-23T02:55:14Z,0
Good evening from Croatia :-)!,Ana Glabutschnig,2020-08-22T19:25:02Z,3
"Great workout 💪 love doing the burpees move, it gave me lots of high energy 🙂 please do more videos for popsugar someday🙂",Monique Jenkins,2020-08-22T18:50:39Z,2
Much love 😍🤩😍💗🥰 from Nigeria,aunduchiaga msendoo,2020-08-22T18:31:46Z,0
Here in Leicester United Kingdom 😘,pamela mukwaira,2020-08-22T18:13:42Z,0
"Hey , hpw r u ,, i wanna join ur group ..how could i do that",poushu mishra,2020-08-22T18:09:55Z,0
"Night time here in Africa  ,but we are in it to win it! go Ashley!!!",JESSIE BAKHITA,2020-08-22T17:46:24Z,0
incredible ( Brazil),BRACONSEG -EMPRESA DE SEGURANÇA,2020-08-22T17:36:38Z,0
Good &amp; blessings morning to you Miss Ashley Joi!,Reshia Moore-Coleman,2020-08-22T17:29:54Z,3
This workout was absolutely amazing. Will definitely stay in touch with Ashley&#39;s workouts!,Universal Universalium,2020-08-22T17:29:45Z,3
great workout!,Nora Nora,2020-08-23T13:39:38Z,0
Amazing !! Me encantó!!😍😍👍👍,veronica200434,2020-08-22T17:21:08Z,0
Thanks so much for doing this live workout stream.  Your positivity and motivation is much appreciated!,Lisa Nonken,2020-08-22T17:14:58Z,18
"Glad you liked it, Lisa! We have some exciting live workouts coming up. Be sure to subscribe to receive notifications: <a href=""https://www.youtube.com/user/popsugar"">https://www.youtube.com/user/popsugar</a>",POPSUGAR Fitness,2020-10-29T20:45:49Z,0
Good morning gorgeous from Greece,eva hantzis,2020-08-22T17:05:50Z,0
You are smashing it !!!,Kay Lives Life,2020-08-22T16:46:03Z,2
