comment,id,date,num_likes
Super session Christa. You always bring a lot of energy and enthusiasm to your workouts. Great job. Carlos &amp; Bex x,The Carlos Method Fitness TV,2020-10-19T15:27:04Z,4
"Happy to see another band workout! I am tempted to get the felt ones; my Thera Bands rode up too much hehe. Overall, this is such a great, quick workout that had me huffing and puffing. Thank again, Christa for kicking my booty!",Kit Prelewitz,2021-02-13T19:40:26Z,0
"Can Christa or Popsugar recommand me a glutes band, the same used in this workout would be great :)",Dounila Naïma,2020-12-15T14:01:59Z,0
This was short but still so brutal. I am a sweaty mess and I rarely touch my resistance bands so it was nice to really use them! Thanks for this workout x,Olivia's Catastrophe,2020-12-11T11:54:54Z,0
Please bring her back she is the best,Ka I .,2020-12-07T17:13:52Z,0
"WOTEK Elastici Fitness Set on Amazon !!!<br />Link is here : <a href=""https://amzn.to/32Wnpts"">https://amzn.to/32Wnpts</a>",WEFTY CO,2020-11-19T11:58:37Z,0
I really love to watched this video. so I try it🙂 to myself! Thank you🥰,dots me,2020-11-02T19:42:32Z,0
This was a super packed 13 minutes. You would think after all of this time I would know better than to be surprised on how tough a short Christa workout can be but this was extra caliente!,KTs Monthly Workout Challenges,2020-10-30T03:49:41Z,0
Nice one!  Quick little burner,Cindy Gambino,2020-10-29T15:56:58Z,0
Did this yesterday and it was harder than I thought it would be. LOVED every move. So much fun.,Lisa Sipes,2020-10-29T12:55:46Z,0
"I love pop sugar fitness, especially Christa, but I recently tore my pec muscle and have been advised by my dr to only workout my lower body. But all of the lower body workouts I’ve tried from you guys end up having mountain climbers, burpees, planks, etc. which I can’t do. I do my best to modify them but it is frustrating to end up doing push ups when you want lower body 😕",Cody Davis,2020-10-27T23:35:03Z,0
Podrían traducir al español p toda la comunidad de habla hispanA .por favor,Albertina Milano,2020-10-22T15:42:12Z,0
"You need to add fourth option: a person doing it with cat, which wants to participate in EVERYTHING!",Полина Савина,2020-10-22T12:28:14Z,7
i don&#39;t have a band but i still felt it :),depression uwu,2020-10-22T05:35:09Z,3
Thank you for your videos I luv it,Jeramie Baldado,2020-10-21T15:36:48Z,1
Christa!!!,Wynn Neal,2020-10-20T19:47:59Z,1
"This was hell, thanks Christa and PS❤️",TheSupersizzina,2020-10-20T16:18:48Z,2
Love Christa and her style of workouts!💞,Celine 123,2020-10-20T10:53:51Z,3
"Thanks for tuning in, Shelby! 💕",POPSUGAR Fitness,2020-10-28T22:09:29Z,0
Great band workout Christa 👏🤗😀 👍,lutfah firfirey,2020-10-20T09:57:27Z,2
Go Christa!,JACQUELINE Di MATTIA,2020-10-19T21:33:30Z,1
"Hi, i post workout videos on my channel if this interest you i invite you to take a look. Thank you ❤❤",Ksenija Krstic,2020-10-19T21:02:43Z,0
"yes, love mini band workouts, would love to see more of those",Kamx1,2020-10-19T18:50:10Z,2
Noted! 📝,POPSUGAR Fitness,2020-10-28T22:09:57Z,0
"Hi, i post workout videos on my channel if this interest you i invite you to take a look. Thank you ❤❤",Ksenija Krstic,2020-10-19T21:03:29Z,0
"Wowww that was fire, total burner. Geez my muscles are dead😭☠️ RIP my muscles",Krista Noel,2020-10-19T17:30:26Z,3
She knows how to bring the heat! 🔥,POPSUGAR Fitness,2020-10-28T22:10:24Z,0
Where can I buy the bands?,Jessica Gloria Oppermann,2020-10-19T17:28:54Z,0
band shop,mxxn dxst,2020-10-19T19:40:11Z,0
Happy Monday workout 🏋️‍♀️,Creighton Chaney 1941,2020-10-19T17:08:12Z,2
Best way to start the week! 😅💪,POPSUGAR Fitness,2020-10-28T22:11:21Z,1
Which bands are these?,EricA Terry,2020-10-19T15:35:34Z,0
So nice,Baiks Vlog,2020-10-19T15:17:22Z,1
XOXO,Liv O,2020-10-19T15:17:04Z,0
Fabulous session I am so fond of resistance bands,Garage Gym Fitness,2020-10-19T15:05:09Z,1
Thank for these band workouts ladies! Love when I can use my bands!! Wearing a mask at the gym is getting old lol! Hey ladies if you want to intensify it even more add a second band higher or lower than the first one. Talk about feeling the burn! 🔥Can’t wait until this begins!,Noire Sculpt,2020-10-19T14:44:06Z,1
"Thanks, Noire! We are big fans of band workouts as well! 💪",POPSUGAR Fitness,2020-10-28T22:08:53Z,1
"Hi, i post workout videos on my channel if this interest you i invite you to take a look. Thank you ❤❤",Ksenija Krstic,2020-10-19T21:03:14Z,0
What we have to do to loss belly fat in stomach,Rajeshwar rao modes and vlogs,2020-10-19T14:32:57Z,1
"Hi, i post workout videos on my channel if this interest you i invite you to take a look. Thank you ❤❤",Ksenija Krstic,2020-10-19T21:04:16Z,0
yesssss<br />i can&#39;t wait,Naba Khadija,2020-10-19T13:24:00Z,1
🎇💞💯BRING BACK JEANETH JENKIS SHE AND CHRISTA ARE THE BEST TRAINERS 🎇💞💯,Carolina Oqueli,2020-10-18T12:31:21Z,2
I agree! They keep me so engaged!,Noire Sculpt,2020-10-19T14:50:41Z,0
yup,Naba Khadija,2020-10-19T13:22:05Z,0
"Love Christa, but i don&#39;t know how i feel about the band...",SamanthaVoce,2020-10-17T14:10:48Z,1
"Resistance bands are amazing. I highly recommend using them! Lilly Sabri has a great adjustable band so you only need one,  and you can adjust it to make it tighter or looser.",Cait Marie,2020-11-13T16:41:40Z,0
"Yes I love Christa, can’t wait!",victoria a,2020-10-13T01:07:04Z,10
"I&#39;m joining tomorrow, can&#39;t wait to get my abs activated!!",Lisa Wong,2020-10-12T21:18:22Z,5
"Hi, i post workout videos on my channel if this interest you i invite you to take a look. Thank you ❤❤",Ksenija Krstic,2020-10-19T21:03:00Z,1
Yaayyy Looking forward to see this!  More loop band workouts pleaseeee!,Andromeda Planet,2020-10-12T18:53:09Z,8
You got it! 💪,POPSUGAR Fitness,2020-10-28T22:10:47Z,0
🥰🥰🥰,RED X,2020-10-12T16:27:50Z,1
Oh it&#39;s coming out on my birthday yaaaayyy❤️❤️❤️❤️,tsumiki chan,2020-10-12T16:24:57Z,4
Happy birthday!!! 🎉🎉🎉,Noire Sculpt,2020-10-19T14:49:53Z,0
