comment,id,date,num_likes
I love him.  He explains everything with his comforting personality.,Jamilah Rosales-Webb,2021-05-05T22:33:47Z,0
how much are those weights !!! ?,Lucile Gautier,2021-05-03T21:28:16Z,0
Raneir is AMAZING! My favorite trainer!!!,Tasha Sanders,2021-04-20T13:20:45Z,0
"I am such a snob when it comes to trainers but I ADORE you Raneir. I started with 15lbs and then realized it was one of those strength/endurance workouts, haha and dropped to 10lbs. I am jelly, just a bowl of jelly. Loved this, thank you so much &lt;3",Lexus15207,2021-04-15T22:20:09Z,0
Thank you,Nadia Tapia,2021-04-09T02:39:49Z,0
Perfection!,Ami Gram,2021-04-09T02:14:44Z,0
THIS GUY IS AMAZING,Samantha Rendon,2021-04-05T23:56:35Z,0
I loved the breathing tips in this video,مَها وليد,2021-03-29T08:50:40Z,0
💕💕,Sweety Evehanee Eve veve,2021-03-23T02:35:28Z,0
love these exercises as it is helping me transform from being skinny fat. many many thanks and love from India,Chethan Kodandarama,2021-03-16T14:51:31Z,0
Another great workout with Raneir. He never disappoints!,MosDefSteph510,2021-03-12T16:34:35Z,0
He was absolutely perfect!!,SiNDYMOP19,2021-03-07T16:46:43Z,0
The very best! Love you Raneir!,Miss Moo,2021-03-03T01:28:26Z,0
omg i’ve just died. his workouts are amazinggg!!!!,Rebeca Alvarenga,2021-03-02T23:56:31Z,0
Almost fained in the warmup lol,NOBUBELE JELE,2021-02-27T18:35:52Z,0
best workout it felt like 10 min,NOBUBELE JELE,2021-02-27T19:02:54Z,0
This is awesome!,Helen Arrington,2021-02-26T01:04:04Z,0
"Great exercises, easy to follow but challenging, and a fun, motivating trainer.",Carlos Castillo,2021-02-19T07:59:19Z,0
Loved this workout and his energy.,Heather Morgan,2021-02-18T16:31:41Z,0
I&#39;ve probably commented on this video before but this has to be my favorite Popsugar workout of all time! I love the pacing and the challenge and Raneir is amazing! &lt;3,Sara Carraway,2021-02-13T19:04:03Z,0
"Wow, I absolutely loved this arms workout and it&#39;s made it onto my favourites workout playlist. Also this trainer was fantastic - loved his encouragement so much. Would love to see more of him too.",Olivia's Catastrophe,2021-02-12T11:12:07Z,0
I love your videos!! You make me happy to workout haha— and my mom too!!!,Sofia Mesa,2021-02-11T13:59:54Z,0
"While reading the comments before I did the workout, I did see &quot;cool down already?&quot; a lot and said ok lets see. I can confirm that I did say that out loud when I saw the words cool down. When I tell you he motivated me and I felt like I was at the gym again doing a strength training class just like before pandemic! LOVE TRAINER RANEIR!!!!!!!! Will definitely look for more videos with him in it!!! Thank you!!!",Shalimar Shimmer Zumba,2021-02-09T12:04:47Z,0
Thanks Ranier!!! : D,Jean Williams,2021-02-07T23:57:39Z,0
Great workout! Thanks Raneir,tiega alberts,2021-02-07T15:22:27Z,0
"Can I do this every week , some say you should not workout same set of muscles? Please clear my 🧐 doubt",DEBDUTT BHATTACHARGEE,2021-02-07T04:18:15Z,0
Raneir is my favourite so far!! Makes me giggle every time 👐🏽💓,heidi gee,2021-01-22T00:36:17Z,0
wow i love Raneir&#39;s positivity and calm pace. perfect for a strength workout after a long day. And this workout had great warm up and cool down movements too!,Grace Song,2021-01-22T00:27:58Z,0
Rainer is a fantastic trainer! Absolutely enjoyed but still challenged by this workout 💪🏼,Lori Linsey,2021-01-19T10:25:23Z,0
This was one of the best and most effective work out. Awesome trainer .. you’re the best 🙏🙏🙏🙏,hannah zare,2021-01-15T18:33:22Z,0
"Thanks for the motivation Raneir. Your workouts are simply, the best!",Jen MacCormack,2021-01-12T17:48:24Z,0
"I&#39;m so thankful to have found you! What a great motivator, and mentor...reminding us all to be positive and enjoy life. I commend you - and you make me laugh!! Here&#39;s to getting stronger. You new fan, me!",Adriene Morgan Hammond,2021-01-12T12:13:40Z,0
Love this workout..will save it for my workout playlist👏,yolly curtis,2021-01-11T22:24:26Z,0
"Love your training style!! Thanks for the video, really enjoyed it!",Lee Zhang,2021-01-07T13:32:28Z,0
"I love his workouts, he is so supportive and cheerful 😍 the people who train with him in real life are so lucky!",dagliocchibui,2021-01-06T13:43:20Z,0
Excellent workout 💪🏾,dominicaliente5,2020-12-19T13:15:12Z,0
So good I was like “cool down already”?,Melissa Louidor,2020-12-17T19:53:21Z,4
"Raneir is my favorite at home trainer, he makes working out a joy!",Misty Parker,2020-12-15T02:27:57Z,0
Loved this. Love your motivational words too 💜,Vegan Queen V,2020-12-14T09:45:08Z,0
He is always awesome!,Brittany Penney,2020-12-06T01:26:17Z,0
Ranier makes me so happy!!!!,Diana Aqra,2020-12-05T22:17:24Z,0
This was WONDERFUL wow.. I&#39;ve been looking around for a pure strength training workout without any weird jumping around and this is it! Thanks!,serious,2020-12-05T19:43:51Z,0
"I love your positive energy.  Your positivity and friendly energy has helped me get through these workouts during COVID, which has helped my mood while teaching high school math during the day.  My students are benefiting!  Thank you.",Christopher Lawnsby,2020-12-03T23:23:45Z,0
He’s THE BEST!!! Wow!!! 3rd work out I’ve tried and amazing!! I suffer from hyper mobility but this work out has helped with my muscle pain as the doctor said it would!,Irina Bustamante,2020-12-03T15:04:33Z,0
I did this workout and I was thinking I was pretty unaffected. I just went down some stairs and nearly went ass over teakettle,Erika MacLean,2020-12-03T13:17:54Z,0
Awesome!!!! I&#39;m all sweat!!!!👏👏👏👏👏👏👏💖💖💖💖,Andrea Almeida,2020-12-02T15:34:13Z,0
Wow the workout went by so fast. I never knew I could enjoy working out so much. Thank you guys. Y’all are changing lives,Isa Isa,2020-11-28T19:32:32Z,0
"As always, I love doing your workouts.  Have to choose what I can do though as others are just too tough for me. 👍👍👍",marie ong,2020-11-27T10:18:16Z,0
You laugh at your jokes the perfect amount.,Elizabeth Hoover,2020-11-25T20:53:37Z,0
You Are the BEST 🌟🌟🌟,Nanees Essam,2020-11-23T06:11:42Z,0
Thanks 🙏 it was awesome 👏!,Marie van Kleef,2020-11-17T08:21:10Z,0
"Finally got weights, so I could do Raneir&#39;s workouts, will be bingeing this week!",Chelsy Christina,2020-11-16T17:17:51Z,0
Thank you so much for this amazing workout!,thalat monajemi,2020-11-15T13:14:27Z,0
Yesss!!! Great workout.  I often skip stretches but Raneir&#39;s are so creative I always hang around cause I wanna see what magic he has for us :D,Eve Southwood,2020-11-14T07:24:19Z,0
Just awesome! Thank you.,Nancy Schick,2020-11-13T18:03:48Z,0
Ranier I absolutely loooove ur energy n workouts.... u have a huge part in my 35kgs I&#39;ve lost so far..... thank u so much..... mwa!!!!,Claartjie,2020-11-13T02:55:20Z,0
Thank you for making me smile while I burn calories. Great workout.,Karen Bonilla,2020-11-13T00:13:19Z,0
"I really appreciate this workout , thank you !",C Lou,2020-11-12T19:17:40Z,0
Raneir!!! So pumped i found you on youtube.  Been missing your classes at Equinox since lockdown.  Gonna get all my friends to do your workouts with me.,Phil Chang,2020-11-10T02:30:31Z,0
You really got my shoulders burning with this one! LOVE your videos!!!!!,Kerrie Carsey,2020-11-02T23:23:10Z,0
Fantastic workout!,Erika Wybourn,2020-11-02T15:32:53Z,0
Another great workout from Raneir Thanks.,Just look at the Flowers,2020-11-01T11:17:36Z,0
Amazing work out Raneir.  I just love  your classes.  You are such a wonderful instructor.  Thank you so much.,Robin Glanzman,2020-10-30T15:29:32Z,0
you are an amazing trainer!!,P S,2020-10-22T13:30:18Z,0
10Q!,Mrs 4rNOVA,2020-10-14T10:00:35Z,0
"Love how dynamic yet mindful the movement are, thank you!",Cindi Lee,2020-10-06T23:40:02Z,0
"Thank you Raneir, you make me laugh and work it all out.",Amber La,2020-10-06T22:47:45Z,0
"I almost cried doing this, but can’t wait to do it again! 😅😂",Kimberly Rodriguez,2020-10-06T21:58:38Z,0
I love your workouts .,Leila beglo,2020-10-06T14:00:42Z,0
"That was awesome! I needed that support and positivity for this workout, feeling good!!",M eo,2020-09-25T17:29:52Z,0
This was great! Loved this style of workout!,Chels Rench,2020-09-24T16:08:31Z,0
I haven’t trained like this in 2 years. Thanks Rainer for putting me on track again you’re the best!,Nour Emad,2020-09-23T21:18:18Z,0
Definitely. Great work out. Thanks Raneir.,J Bridge,2020-09-23T07:39:21Z,0
it&#39;s been a week that I follow this routine every other day. I feel like 30 mins go by so fast.,Dream Promkunya,2020-09-23T06:38:23Z,2
"Im 2 weeks in, havent given up yet.  Feel like this dude keeps me motivated.",Robert Michling,2020-09-19T15:19:23Z,0
Raneir is definitely now one of my fave trainers on here. Thank you for this workout! 🧡💛💙,alexis aquino,2020-09-19T14:44:52Z,0
"this turns into my coach since today, it&#39;s amazing.",Susan B. De Sutter,2020-09-19T05:28:40Z,0
When I know I need a strong workout but I am not feeling motivated I always look up Raneir.  He gets my head back in the right place.,Queenie Valade,2020-09-16T01:41:14Z,0
He&#39;s literally speaking the whole time while exercising :O when tf does he breath? XD lmao he&#39;s God,Sena Görmez,2020-09-13T12:59:36Z,5
Raneir is the funniest fitness guy! I love all his workout too.,Doreen Wong,2020-09-10T23:21:06Z,0
this workout sucked. I did not feel any muscle working. I just felt my neck the whole time what a waste of time,Samantha,2020-09-09T23:02:27Z,0
"I usually never comment, just get in, do the workout and move on, but I wanted to take a brief moment to thank you for the workout and the great energy. I really needed this boost!",Mariana Michelena,2020-09-07T10:59:36Z,0
Raneir just virtually kicked my ass and I actually enjoyed it,Le Een,2020-09-04T16:54:26Z,1
i love raneir! this was an amazing workout!,Johanna is,2020-09-03T10:50:49Z,0
Love you Rainier! You make pain so much fun!,Mindie Villani,2020-09-01T13:33:14Z,0
"I can see you, too!",Shelly SF,2020-08-28T18:09:56Z,0
"I loved your workout today...I have been in a funk and not being active and feeling unmotivated. I love your positive attitude and this workout was perfect for starting back up again. Thank you for sharing your workout, I am grateful for finding this today!",Isaac Dehart,2020-08-27T16:11:42Z,0
I love his encouragement.. He makes me enthused to work out,Nyree Ali,2020-08-25T21:36:15Z,0
I love this trainer because he distracts me from my pain. ALSO I LOVE HOW HE DOESNT MAKE YOU FEEL WEAK😭😭😭,Erika Perez,2020-08-24T20:01:21Z,3
Thank you Raneir Polland for being the best trainer! &lt;3 <br />And thanks to the ladys as well...,Peggy S.,2020-08-24T18:58:50Z,0
Why do I work harder than Raneir :)  Great Class!!!,Alexis Paige Elliott,2020-08-23T16:14:05Z,0
He had me at “I see you”,A Johnson,2020-08-21T12:51:56Z,1
Gah I love him 😍,Samantha Pena,2020-08-20T20:50:15Z,0
Amazing!!!,Nicole Riddell,2020-08-20T14:51:35Z,0
"Oh wow! Thank you Raneir!!! You are fantastic, love all your workouts!!! Hi from Switzerland",Gaëlle,2020-08-20T07:33:58Z,0
This isn&#39;t strength training... This is barely a warmup..,Negative F,2020-08-19T22:10:06Z,0
Thank you so much,Muge Se,2020-08-19T19:26:02Z,0
"Oh yeah, Raneir...I am going to be cursing and thanking you tomorrow.  Great workout! Muchas gracias.",Kathleen Evans,2020-08-19T17:03:26Z,0
Raneir!!! I missed you love! Welp guess I have my workout tomorrow,JA Adkins,2020-08-19T09:16:59Z,0
"That felt SO GOOD!!!<br />Thank you Raneir, you were amazing",Meghna Prakash,2020-08-18T14:57:42Z,0
I did this for the first time this afternoon. So challenging! Was definitely feeling the burn!<br />I loved Raneir&#39;s energy! I&#39;ll definitely be doing this workout again.,Kelle Salle,2020-08-18T14:35:20Z,0
Great workout Raneir! Thanks for starting my day off so positively!,kim schmelz,2020-08-18T11:23:16Z,0
Time over tension,shana Burch,2020-08-17T21:16:19Z,0
"Wow. Raneir&#39;s workout is always great.  I&#39;ve done his other workouts, but this is my 1st time doing this one.  I feel stronger, super sweaty, &amp; challenged.  Thank you PopsugarFitness.",Jona C,2020-08-17T19:11:35Z,0
THE BEST TRAINER EVERR,Abhira Ravirala,2020-08-15T14:33:52Z,0
i like his training and their outfits look so good!,Thitiwan Lentas,2020-08-15T02:44:34Z,0
I enjoyed this!,Cynthia Smith-Durán,2020-08-12T08:07:03Z,0
