comment,id,date,num_likes
"Holy that was like... The best workout ever! Buildable levels, thorough workout, GREAT energy and motivation, just WOW!!! I hope I can follow more workouts with her!",Ariane Blondin,2020-07-26T01:59:22Z,31
"I loved her passion and energy. She has a you tube channel with some workouts: <a href=""https://www.youtube.com/c/DejaRiley/videos"">https://www.youtube.com/c/DejaRiley/videos</a>",two blooms,2020-08-12T19:36:49Z,1
She has some great ones on Popflex Active. :),Maya Tanner,2020-07-26T06:47:33Z,2
Lindos y bellos consejos de amor 😍<br />Nice comments about love 😘,Gus Golan,2021-04-10T16:48:17Z,0
more boxing workouts with Deja!!!!,Farheen Jooma,2021-01-09T15:30:14Z,2
Love this workout. 👍👍👍👍👍,Cynthia Lomax,2020-11-22T13:03:33Z,0
Alright! Let&#39;s fight for LOVE!! ❤️❤️❤️<br />Enjoyed this workout!  Thank you ^3^,Anna Sirena,2020-11-21T14:24:31Z,0
I love this class!<br />Kiss from Brazil!!!!,Jacqueline Gomes,2020-10-08T12:44:10Z,1
Haven&#39;t done any workouts for months and months. I had to have very many breaks throughout the workout but finished anyway. Loved this workout. 💪❤️,Helena Kindlam,2020-10-05T11:03:05Z,0
Loved this workout!,Becky Mosshammer,2020-10-02T19:56:42Z,0
We loveee Deja 👊♥️,Carson Mullins,2020-08-31T16:39:21Z,0
"I held dumbells while doing this workout and it&#39;s really insane! Every punches, jumps and kicks were so heavy but so good too! I really love your workout!",Claire K.,2020-08-24T10:31:54Z,3
Great workout! Thank you 😊🇬🇧,Matt Edwards,2020-08-24T08:20:08Z,1
"Love the routine, the energy and positive vibes. THANK YOU! Hope to see more of your workouts",Eva Rojas,2020-08-19T22:16:48Z,1
Had a really shitty day and I’m super grateful for you and this workout Thankyou!,Sarah Regep,2020-08-18T09:35:52Z,1
This is my favorite popsugar workout!! This workout burned so many calories for me and left me feeling so refreshed and energized after. Deja’s energy makes it go by so quickly too.,Sabrina M,2020-08-17T16:18:02Z,1
Just what I needed this morning! Thank you,Brandy Davis,2020-08-15T15:40:38Z,1
"Loved this workout, your energy is so good! Thank you!",Giulia Viotti,2020-08-14T22:12:23Z,1
"Deja, you  are  a real treasure 😍 kisses  from Poland",Ola Rebizant,2020-08-14T08:28:07Z,1
i love boxing with you .Thank you.,Threerayawag สไตล์,2020-08-14T00:53:49Z,1
Deja is incredible!!! love these workouts,Sofia Polanco,2020-08-13T22:05:09Z,1
Awesome workout. I modified all the cardio and was amazed at Deja&#39;s energy because I was feeling so tired.,two blooms,2020-08-12T19:27:57Z,1
wooooooow what an engaging workout!! Time flew by because she made it so fun!!! Amazing!!,Mary Music and Vlogs,2020-08-12T16:25:45Z,1
Love Deja Riley,Erin Rowson,2020-08-11T18:06:51Z,0
Hi deja loved your workout really got me so pls post a workout on how to reduce breast size or breast fat i trust in u only to give us an effective and  great workout,Lydia Mughadi,2020-08-11T03:37:55Z,2
I absolutely loved this workout and the positive affirmations. Perfect combo!!,Sara ElShafie,2020-08-08T13:26:25Z,1
Who else was happy that their were so many ads,Shalz thegirl,2020-08-07T05:48:19Z,0
"Not just an amazing workout but such a wonderful, inspiring woman!!!",Hannah,2020-08-06T23:49:53Z,1
Beautiful thank you.,Thobile Mphego,2020-08-06T05:34:02Z,1
Where is your outfit from sis?,Janine Rudder,2020-08-05T23:35:38Z,1
Gym Shark ❤️,Deja Riley,2020-08-25T17:52:59Z,0
A very nice and amazing workout. Thanks from Italy!,Jessica Tabasco,2020-08-04T19:23:09Z,1
"Love love love it! Best workouts to overcome quarantine. And I’m from Germany, living in Vancouver ❤️",Hannah,2020-08-04T19:16:26Z,1
Love your energy 😍,Crissy Wilson,2020-08-02T18:04:36Z,1
Thank you  very much for this,Alice Bradley,2020-08-02T11:28:18Z,1
"What an amazing workout! I love how you&#39;ve encouraged and motivated us &#39;til the very end. And I love your playlist as always (can you share it? Lol!) Again, super thank you, Deja Riley! You are one of my fave trainers on POPSUGAR Fitness (for real!!) Keep safe! &lt;3 - From Elena of Manila, Philippines 🇵🇭",ELENA SAPNIT,2020-08-01T10:46:08Z,2
First Pop Sugar workout I have done! That was GR8! I’m hooked! Your energy and positivity is amazing! What is your personal page! I wanna follow!,jennifer sapero,2020-07-31T14:05:53Z,1
Thanks so much Deja! This was awesome! Your energy and spirit and encouragement were amazing!,Lynda Kirkland,2020-07-31T13:30:28Z,1
Amazing workout! Thank you Deja. You have a wonderful energy that makes the workout fun and easy to complete.,naadia moolla,2020-07-31T04:47:18Z,1
you r so inspiring!! I love your sport sessions and we love u too!!!!!! &lt;3 &lt;3 AMAZING (from Guadeloupe a French West Indies island),Yasmine B,2020-07-30T23:35:36Z,1
"I had an amazing practice, I only am sorry that I couldn&#39;t attend the live session, I bet there were some incredible energies on the net. Deja is not just a natural guide and trainer, she truely inspires on some higher levels - a session not only for body, but for soul. LOL. Anna from Israel...",Anna Arow,2020-07-30T14:42:46Z,1
It was great thank you,simin sahebnasagh,2020-07-30T12:46:23Z,1
what do you eat,Joetta Smith,2020-07-29T21:10:11Z,0
Are you on Instagram? I would love to follow you,sandra amaramiro,2020-07-29T19:01:22Z,1
Ok am following you right away!,sandra amaramiro,2020-08-25T17:52:57Z,0
Yes queen I am: @dejariley ❤️,Deja Riley,2020-08-25T17:50:58Z,1
Love from Winnipeg Canada💕😘,sandra amaramiro,2020-07-29T19:00:52Z,1
Accidentally clicked on this and I am not mad at all!!!! Lovely energy from the start... I’m still halfway sleep but I will be trying this for my workout  later!!!,The Veronica ASMR Show,2020-07-29T13:12:31Z,1
"Just to let you know you are helping and inspiring men as well as women, here. This was a work out and a therapy session all in one. You’re awesome ❤️❤️❤️❤️",Antonio Castilla,2020-07-29T09:03:43Z,2
I’m from Pakistan 🇵🇰   I love you girl you rock 🤩🤩,Yashal Naeem,2020-07-29T08:38:46Z,1
I’m from Pakistan 🇵🇰 I love you girl you rock,Yashal Naeem,2020-07-29T08:34:11Z,1
This was sooooo good!! Deja made this class so fun and full of positive vibes!!!,ellepark,2020-07-28T23:17:57Z,1
Deja great work out!  Thank you so much.  Definitely build-able work out.  I&#39;ve got a way go.,Robin Glanzman,2020-07-28T21:14:38Z,1
Love ya girl awesome awesome workout. Pls do more ❤️,Adriana Vetrano,2020-07-28T20:30:56Z,1
"This workout was everything, I love the energy now I feel that I’m going to have a great day, thanks so much for the love and the amazing energy ❤️",DVRua,2020-07-28T19:13:58Z,2
You kick ass! Nice workout and I like your positive attitude. I was smiling a lot during this session. Thank you very much. We need more empathy towards each other in this world.,Humble Turtle,2020-07-28T18:09:37Z,1
OMG I will fight for ❤️ anytime with Deja! Thank you! Great workout! 💪🏽 love the kickboxing 🤜🏽,Stacie S,2020-07-28T15:44:24Z,1
"Totally love the workout, the vibe, the motivation",Linda Castillo,2020-07-28T15:35:45Z,1
This was great!!!  Thank you so much!!! Love your positive attitude ❤️❤️,Jenny Smith,2020-07-28T15:22:27Z,1
Great workout Deja! Love your kickboxing workouts!,Maya Tanner,2020-07-28T08:01:49Z,1
your gym outfits are always stunning girl ! &lt;3<br />thanks for the workout :),Nan,2020-07-28T05:18:34Z,1
hope to see more of Deja! loved this workout!,rubihobbit,2020-07-28T01:21:29Z,1
Frear  class Deja! I love fight classes 👏🏻❤️,Aline Castilho,2020-07-27T22:04:11Z,1
FIRST TIME Working out with you love your energy you are cute as a button this 53-year-old made it to the end and drumroll I burned 302 cal in 35 minutes awesome sauce keep doing what you’re doing. LOVE IS. BETTER THAN HATE ANYDAY,Teresa Tatom,2020-07-27T16:18:15Z,1
@Teresa Tatom It was a great workout!,Maya Tanner,2020-08-02T03:54:08Z,0
Maya Tanner weights,Teresa Tatom,2020-08-02T01:54:06Z,0
Did you add weights or extra impact?,Maya Tanner,2020-07-28T01:05:38Z,0
AMAZING energy! Great workout! 🔥🔥,Martial Lee - Vegan Roundhouse Kicks,2020-07-27T14:31:55Z,1
I LOVE YOU SOOOOOOO MUCH! And I didn‘t even know you before this. I seriously never had this much fun doing a workout. And not just fun.... I felt totally unbreakable. You are so energizing.,Just Me,2020-07-27T09:48:02Z,3
"Your energy is incredible, I love how inspiring you were, both for the workout itself and attitude towards people in general. Thank you so much Deja and PS ❤️",TheSupersizzina,2020-07-27T09:11:30Z,1
