comment,id,date,num_likes
Wow!! I am so surprised!!! It is the first time that I have Salsa Choque in a Latin Dance Workout!!! I love it!!!,Ivette Gracia,2021-04-25T06:22:17Z,0
I love her!! Such a good workout,Julia M,2021-04-21T19:31:21Z,0
Yes.....,Mimi Alex,2021-04-08T01:38:15Z,0
This went by so quickly. Totally in for a follow up twice as long workout!,Dagmar,2021-03-28T10:14:02Z,0
That was amazing! I would follow a dance program taught by you Meagan! Thank you! It challenged me yet was detailed enough and broken down enough for me to get. And so much fun! Sending love (from Boulder where really we need right now),Marie,2021-03-27T04:41:58Z,0
I want more MEAGAN&#39;s latin dance!,Katie Chak,2021-03-16T22:48:06Z,0
More  Megan  Kong workout she my favorite fitness dancer and workout so much I have do more than one because she doesn’t have that many videos,tanya Camberos,2021-03-11T17:00:47Z,0
"Yes, I agree...Meagan we need more dance!",Living Abroad One Ocean Technology,2021-03-09T13:09:28Z,0
Thank you! Her energy is perfect!!))) I love it!),Ангелина Плаксина,2021-03-01T09:18:46Z,0
"Loved it, thanks!",akiramma,2021-02-27T22:32:43Z,0
Thus kicked my butt thank I,Shoe Girl,2021-02-27T22:16:54Z,0
Love this am doing it daily! The timers baffle me though ha 😂,Helena King,2021-02-24T18:10:13Z,0
I really loved the energy of this class!,Isabella Camargo,2021-02-24T16:37:55Z,0
This is so fun,Helen Li,2021-02-24T01:23:51Z,0
I love everything with Meagan in it. She makes me so happy. Her energy is amazing!!,Rosa Odie,2021-02-12T00:53:28Z,0
Didn&#39;t have such fun since a long time ago,Ranim K,2021-02-02T10:35:19Z,0
exellent! many thanx!,charisma pixel,2021-02-02T09:19:52Z,1
Loved dancing with you! Great moves and energy,cheyenne meza,2021-02-02T02:19:55Z,0
I wait for my channel,O7,2021-02-01T19:39:17Z,0
This was so great thank you!,Maria Rodriguez,2021-01-25T21:51:26Z,0
I burned 170 calories,premlata sharma,2021-01-25T05:16:24Z,0
Love Meagan,Music,2021-01-23T11:18:37Z,1
I cant figure out how the video is 19 minutes long but the workout is at least 20 minutes 😭 however that was SO good and SO much fun. WE NEED MORE MEAGAN!!!!,Emily Wisniewski,2021-01-22T11:28:05Z,0
The energy she brings is infectious!! Loved this session so much.,Brittany Henkin,2021-01-22T01:42:50Z,2
Meagan love your moves so much so much fun working my way through all your routines - they all hip fabulicious xxx,sass boo,2021-01-21T16:40:24Z,0
Honeslty this was so much fun but i think i looked ly a fool doing it hahaha,Suya Götz,2021-01-19T12:34:12Z,0
"ohhh i love this one, great for beginners",Giang Ha,2021-01-15T18:34:14Z,0
Thanks for this wonderful workout!,maria_2p,2021-01-15T18:08:48Z,0
"Just did her hip-hoppissh workout yesterday, and sharing this with my family to do tomorrow. This living room is beautiful and her energy is contagious. Do more videos with her, please!!",Ada daCosta-Larkin,2021-01-12T20:07:31Z,2
I wish I could give you two likes! Love this workout and the positive vibes,Ekaterina Eimer,2021-01-12T19:54:10Z,0
This was great and she was an excellent teacher. Very easy to keep up for someone who is not a dancer!,Nicole Pender,2021-01-12T18:14:06Z,0
who here for school,Bailey Aroche,2021-01-08T17:56:54Z,0
"I needed some activity at lunch time whilst work from home, to lift my mood and loosen my body up. Didn&#39;t fancy a full sweaty work out, or learning a complicated dance routine, and this was just perfect!! Some really fun latin dance moves and stretching fit into 20 minutes, thank you! :)",Isobel Gibbon,2021-01-08T13:33:19Z,0
"This was a really fun workout, although it was a bit fast even for me who has been dancing for over 10 years! :D",IsabellaNesi,2021-01-08T12:39:08Z,0
This Latina loves these moves baby!,Isabel Mejia,2021-01-08T02:53:55Z,0
"I was looking for a fun video to start working out again after the holidays: as always PS you got me covered! I loved this class, bring Meagan back, please! Thanks PS team and Meagan for such a fun sweat ❤️",TheSupersizzina,2021-01-07T15:49:41Z,0
I enjoyed this. I&#39;ve done other dance workouts in the past but this was fun and really got me moving.,Danielle Box,2021-01-07T01:01:42Z,0
Love her! I&#39;m not talented enough for this yet but she is fun and *cut*! Inspiring!,just scrolling by ツ,2021-01-06T23:42:27Z,0
Loved the workout.  She was easy to follow and did an amazing job!,Jon Tyrrell,2021-01-06T10:59:55Z,0
Wow are you made of rubber? :P<br />Fantastic and fun workout. Thanks so much.,Zoey Nguyen,2021-01-05T22:52:44Z,1
Love the moves! Wish you do more video like this!,ome charee,2021-01-04T18:11:13Z,0
"Thank you, Meagan!! 👯<br />Have a great 2021!! 🎉🎉🎉",Elizabeth Lascuráin,2021-01-04T16:24:48Z,0
"Я официально заявляю, это самое лучшее видео на канале и во всем интернете!!!!!! Я обожаю эту тренировку.",Anfisa Evstratova,2021-01-04T10:13:31Z,0
"This instructor is amazing! Loved the dance, thank you!",El Huerto de Azul,2021-01-03T00:58:11Z,0
The stamina is ridiculous...my god,Ultraman619,2020-12-30T11:03:58Z,0
