comment,id,date,num_likes
Again another perfect workout!!! Raneir you&#39;re the best!!! My favorite coach ever. I don&#39;t even feel like i&#39;m working out and i laugh so much. Love you! x,NATHALIE,2020-08-04T16:09:55Z,28
@Elisha Gianni whoa! Took roughly 10 minutes but it actually worked!!,Preston Salvador,2021-03-09T21:48:06Z,0
I have lost 45 kg with the help of this page thanku so much popsugar💕<br />Love from Pakistan❣️,Tanzeel Yasin,2021-04-28T19:21:43Z,0
Ty! Thank goodness no burpees.,Beth Helmly,2021-04-24T10:56:01Z,0
Thank God for this man hes cracking me up!,Divine Star,2021-04-22T16:07:08Z,0
Perfect,Anthony Gabriel,2021-04-21T07:31:42Z,0
This was an AMAZING workout! Thanks so much Raneir!,M,2021-04-08T12:15:45Z,0
"I love you Ranier, thanks for great workouts and helping me keep some muscles throughout lockdowns!",pomange83,2021-04-05T09:49:29Z,0
"Hello I have a Apple Watch, does anyone know how many calories this burns? And which exercise category this would be under?",RyanLily Camacho,2021-03-30T21:27:08Z,0
Good workout 💪🏾💪🏾💪🏾 Love you Rainer 👍🏾,Karima Larabi,2021-03-22T08:17:46Z,0
"Rainier, every time I workout with you, I DEFINITELY funout too!!😁",J Wallace,2021-03-19T10:37:54Z,0
A genuinely enjoyable workout that is perfectly paced and effective. It&#39;s great to have trainers with a sense of humour too and Ranier definitely has that in spades!,Sorcha Grisewood,2021-03-14T14:31:56Z,0
Best!,Andrea T. Weetch,2021-03-12T22:45:01Z,0
"I had 4 separate non-skippable ad breaks, each with 2 ads, come on popsugar, at the very least time the ads with rest periods, omg",Amanda the G,2021-03-08T22:50:23Z,0
Hi,Gopi Gunda,2021-03-02T21:45:00Z,0
"i alternate his workouts and other workouts on Popsugar and i&#39;ve lost 3kg in 10 days xD yes i have my diet watched too, so the workouts definitely help! love you Raneir!! more of him pleaseee",Jundi Mulia,2021-02-27T11:24:40Z,0
Mu god!!!! I love this man!!!!,Sofia Lopez,2021-02-26T05:58:40Z,0
Oh you’re so good!,Alejandra Gómez,2021-02-22T19:19:06Z,0
"I can not get enough of Raneir&#39;s workouts! He is amazing! Always so well thought out, challenging and fun. He is my absolute favourite and I ♥️ him",Layla Al-Najjar,2021-02-19T19:02:57Z,0
"🙏 and ❤️ to Raneir for being such a great coach. I ❤️ all your popsugar classes, and on your YouTube channel. Your energy has really helped me stay positive (and in shape!) through these last few difficult months. 🙏 🙏 🙏",Christie Macdonald,2021-02-19T17:32:54Z,0
Hello! Love this workout! How many calories does it burn approx? Thanks!,Aanchal Ghai,2021-02-17T09:52:18Z,0
"One of the best discoveries of quarantine has been PopSugar fitness! This was great-challenging, fun, and Raneir is hilarious. I&#39;m def putting this on ein regular rotation.",MosDefSteph510,2021-02-14T18:55:25Z,1
"My toddler had to teach me how to walk again after I did this. <a href=""http://www.youtube.com/results?search_query=%23burnssogood"">#burnssogood</a>",Sara Broom,2021-02-08T17:41:31Z,0
I&#39;ve missed Raneir! I haven&#39;t seen one of your workouts for a long time and I was so excited when I came across one I hadn&#39;t seen before. You work us OUT and make me laugh. Thank you,Marci,2021-02-04T14:29:19Z,0
wonderful workout but an 8 minute stretch got me nd my mrs a bit bored,An Uninformed Idiot,2021-02-03T08:38:20Z,0
"I need him to be my friend 🥰🌻 <br />He is so funny, I even forgot my burned legs 🙈 <br />Thanks, sweat a lot and happy 🌈💖",irene pistia,2021-02-01T09:25:05Z,0
"Love Raneir the time flies by, found him on Gymra.  Love the countdown clock in each section, pushed me beyond.  And the cool down was lovely, thank you!",manon stovel,2021-01-26T13:15:17Z,0
Oh my gosh you are so great! So funny and a great workout!,Kristin Gutierrez,2021-01-26T00:08:53Z,0
Me and my husband trains together with Raneir and we both get what we need. Amazing discovery! Thanks so much!!,Hannah Eline Jøines,2021-01-25T19:39:24Z,0
Lots of fun! Thank you Raneir!  Loved the hard work plus extra time to stretch at the end!,caroline gee,2021-01-19T01:43:05Z,0
A total FUN-OUT!,Kerry Davis,2021-01-18T15:53:32Z,0
im so happy I found this classes Raneir is the best,Leave it to Ari,2021-01-17T02:19:39Z,0
"My first workout with Ranier, and all I can say is just brilliant ... thank you for all your hard work, you are very much appreciated!  ... Elaine, Chester, Cheshire, UK",Elaine Suzanne,2021-01-09T12:31:03Z,0
"Laughing while working out?? YES!! Raneir, you&#39;re just awesome!! Thank you!",Yvonne FS,2020-12-30T12:51:28Z,0
A powerful funny workout. Thank&#39;s Raneir!,Luz Rodriguez,2020-12-29T15:24:26Z,0
Fun 🤩 fun 🤩 fun 🤩!! And yes: you ARE Beyoncee!👏👏💪💪😘😘thanks and greetings from Germany 🇩🇪!💜💙💜💙,Marie van Kleef,2020-12-29T10:46:58Z,0
Popsugar always get the best trainers and Raneir is so fun!! Can&#39;t wait to see more from him!,Zoe Angel,2020-12-28T10:19:42Z,0
I love him. He is hot💥💥💥💥,Sasha Styles,2020-12-27T17:18:43Z,0
How many calories Burned?,Vanessa Riitano,2020-12-20T11:41:51Z,0
sugar pop the best🥰😗,Filipina Swedish,2020-12-16T18:16:25Z,0
Loved this workout,Kalyani Tripathi,2020-12-16T15:09:04Z,0
"Without a doubt one of my favorite trainers..the workout always goes so quickly. Thank you, fantastic job!","Positive, Productive & Peaceful",2020-12-13T17:39:00Z,0
What a amazing workout!!!,Gabriely Rosa,2020-11-28T23:29:06Z,0
"One of the most satisfying workout/funout I have ever done, thank you!!",jessica alfieri,2020-11-25T08:46:18Z,0
"Another great workout! When ads drop right in the middle of a set it&#39;s pretty disruptive, though.",Kerrie Carsey,2020-11-21T21:07:20Z,0
"Omg so fun! Towards the end when he had us squatting for a long time with the weight, his lil comments/jokes had me laughing! I almost forgot my legs were on 🔥🔥🔥!! Lol",Katie Yamaguchi,2020-11-19T14:51:10Z,0
Loved it &amp; even loved the stretch at the end 👏🏽,Heaven’Leigh Sanders,2020-11-18T19:14:52Z,0
"I like pushing myself but not hurting myself. These workouts ease me into the muscle use, and then stretch in a way that I just feel full of oxygen, happy and awake at the end. Invigorating! Thank you!",Peggy Proffit,2020-11-16T16:55:11Z,0
Great workout 💪👍!! Thank you!,Modesty Blaze,2020-11-15T20:09:18Z,0
Been using YouTube to get my workouts for a long time. Love this workout! Love this coach! My favorite so far!,Gina Reeves,2020-11-08T14:58:00Z,0
"I&#39;m 6 months pregnant and did the modified version. I loved it and the baby loved it!  Raneir, keep being awesome x",Hannah Baumer,2020-11-07T12:29:24Z,0
You are the best!!!,Yasmin Viviana Lerma Rodriguez,2020-11-06T22:46:18Z,0
I love Raneir! Thanks for another great workout!,Sarah Dominello,2020-11-06T13:43:48Z,0
He is so much fun!,Jessica Campbell,2020-11-01T17:18:06Z,0
Raneir is the best!!,S. Lawson,2020-10-25T19:33:58Z,1
