comment,id,date,num_likes
Hi Marnie!  It has been one year since I left my gym and have struggled EVERYDAY to get started w/o at home. Today I found you!  I completed your video. ( Not gracefully lol but still it was so so good). I have looked at literally hundreds of w/o online over these 12 months. YOU Marnie got me moving.   Thank you. I have saved this workout and will repeat it over the next few days and I will be finding more of your videos. I cannot express how much better I feel even tho it is only the first. Thank you Marnie! Thank you!,Carrol Last,2020-10-28T19:20:24Z,27
@Fauane Cirqueira same here,Isabel Ortiz-Cañavate,2020-12-30T19:20:25Z,1
@Marnie Alton Simplesmente perfeito. Não sei expressar o quão bem o seu treino me faz! Sinto-me renovada<br />Simply perfect! I don&#39;t know how to express how well your training makes me feel! I feel renewed.Kisses from Brazil,Fauane Cirqueira,2020-11-18T23:40:23Z,2
We are so happy you are active again Carrol! Keep it up 💪,POPSUGAR Fitness,2020-10-28T21:43:45Z,3
Carol! Thank you so much for this beautiful message. I absolutely get where you&#39;re coming from... Even after teaching fitness for 15 years I STILL sometimes struggle to motivate myself (especially at home). I&#39;m soooo happy you liked this! We have created a really supportive online community with tons of videos to choose from at M/BODY Online if you want to check out more. Please keep taking care of yourself and keep in touch. xo,Marnie Alton,2020-10-28T19:48:24Z,10
I was dying but I strangely like it,Ebony Clark,2021-05-07T21:19:52Z,0
"I love your workout, so much. Thank you!!!!",Ana Lúcia Barreto,2021-03-21T22:21:54Z,0
"Thank you, Marnie! Love your amazing work out and vibrant energy! Keep up the good work!<br />Popsugar Fitness, please bring more Marnie! We absolutely need to see more of her!!!!!",phan van,2021-02-19T11:51:10Z,1
Great video! Thank you,Cassandra Wain,2021-02-03T15:59:53Z,1
This was so fantastic. Thank you so much for sharing,Jonelle Nel,2021-01-29T04:36:07Z,1
You are amazing! Love your work and energy! Thank you so much!<br />😍,Anastasia florou,2021-01-27T09:18:43Z,1
Kisses from Greece!,Anastasia florou,2021-01-27T09:20:10Z,0
"Marnie, what a workout! The sweat session was amazing and that burn is real! Still feeling the effects of this workout half an hour after it ended. More Marnie/PopSugar collabs, please!",VeganMike,2021-01-20T21:05:17Z,2
just came across this video today and I love it!! can&#39;t stop doing Marnie&#39;s workouts at home xxxx,Jen Crowther,2021-01-07T11:47:59Z,1
"Hi from Spain Marnie! <br />Finding your workout videos during the confinement and enjoying them has been the only positive thing this 2020 has brought me and I wanted to thank you from the bottom of my heart. Many days working out with you has kept me sane. I really struggle at the moment and just knowing that everyday I can get stronger with you makes it all a little easier.<br /><br />Thank you so much also for your beautiful words of encouragement and support, for being a light in a really dark time. When I hear you say &quot;breathe in&quot; I swear, I breathe better.<br />May the Universe and all that is benevolent keep you safe and blessed. Thank you so much.",Isabel Ortiz-Cañavate,2020-12-30T19:19:37Z,1
Thank you so much for your beautiful comment. It truly means so much to me! Sending you so much love! Xo!,Marnie Alton,2021-03-12T20:39:08Z,0
"Thank you &lt;3 ! I think you are the cat&#39;s meow, seriously I love your workouts so much! It is so awesome to be able to do them every day and not over do anything. It feels so functionally right and I have done a ton of workout routines and teach yoga! I am so excited to learn more!",Korynn7,2020-12-23T02:47:03Z,1
"Hi there! This makes me so happy to hear that you loved the workout! You can find more workouts by me on <a href=""http://www.mbodyonline.com/"">www.mbodyonline.com</a>! Can&#39;t wait to see you there! Xo!",Marnie Alton,2021-03-12T01:18:24Z,0
