comment,id,date,num_likes
How did you know i just purchased a long foam roller?? Haha thanks! 🙏 So glad to see you back Anna!,a_ christabel,2020-11-23T03:38:55Z,8
We are mind readers! Glad you enjoyed it ❤️,POPSUGAR Fitness,2020-11-24T18:03:49Z,1
What size foam roller should I get? I’ve never used one before. Thanks!,Carolina David,2021-02-20T01:15:41Z,0
"Amazing Anna!  You are always so fun and encouraging I&#39;m going to get healthier this year Thanks to you!  Also, Ouch that foam roller gets in those muscles deep lol",Kilrkitty08,2021-02-12T15:38:33Z,0
So glad to have you back Anna! Please make one workout for the annoying armpit fat😭,RG,2021-01-18T07:29:51Z,1
"I had a really long walk/run earlier today and was looking for some core-centered wo...this was amazing and the foam roller part was perfect for me, i can&#39;t believe how sharp was this &quot;rock&quot; in my it band! Thanks, Anna and PS, I will do this again for sure!",TheSupersizzina,2021-01-13T00:09:02Z,0
Yay!!! Anna’s back. I started working out with her since the beginning. I love her attitude and her workouts. I’m Always looking forward to her classes. ♥️,Rin Da,2021-01-12T04:29:14Z,0
@Calm Tube I usually burn a candle when I workout.,Rin Da,2021-02-18T02:29:59Z,0
Nice workout 😊😊,premlata sharma,2021-01-04T09:01:50Z,0
I don’t have roller to do workout with ! Can i do without?,Mahreen Aslam,2020-12-26T09:03:53Z,0
Really enjoyed this workout ❤ thanks for going back to foundations . I feel like I&#39;m really building more strength with the smaller moves,Little Creators Homeschool,2020-12-10T12:39:24Z,0
I want to see you in the videos much more often! Always my favorite!,Stephania Abatis,2020-12-05T19:16:11Z,0
Hi I have a question. I love the quality of the sound. What mic do you use for the excercises?,Michael Payano,2020-12-03T11:08:11Z,0
Nothing like foam rolling! Thanks for this workout that gets it alllll in👍🏼,Kelly Pantaleoni,2020-12-02T12:22:25Z,0
Best foam roll out ever! Thank you,Catnip1,2020-12-01T18:14:37Z,0
refreshing to see people with different body types :),Denisse Luna,2020-11-29T19:29:12Z,8
Love your workouts! ❤️,Mariana Rivas,2020-11-29T18:47:19Z,0
Anna!! Where have u been.  So happy to see ur beautiful face.  U have been missed,Denise Galiano,2020-11-29T02:29:58Z,0
Anna&#39;s return! 😀,Tiny Tiger,2020-11-27T01:31:52Z,0
Great workout! 🤗Love the  🦋 abs crunch move and foam rolling exercises at the end😊,Monique Jenkins,2020-11-26T17:11:34Z,1
"my best friend on his Facebook page and see how he works hard he&#39;s 51 years old :<br /><a href=""https://m.facebook.com/profile.php?id=100013221071215"">https://m.facebook.com/profile.php?id=100013221071215</a>",mad mat,2020-11-26T10:25:40Z,0
If anna comes back on popsugar I come back again and again only for anna.,Shubh S,2020-11-26T07:44:06Z,0
"4 Bylo zničeno, země padla; onemocněl, svět padl; vysoké národy Země onemocněly. 5 A země byla znečištěna pod svými obyvateli; protože porušili zákony, porušili zákon a porušili věčnou smlouvu. 6 Z tohoto důvodu kletba pohltila zemi a její obyvatelé byli zpustošeni; z tohoto důvodu byli obyvatelé země pohlceni a lidé byli zredukováni.<br />7 Víno je ztraceno, réva nemocná, všechno veselé srdce zasténalo.<br />8 Přestala se radovat tamburína, přestal hluk těch, kteří se radovali, přestala radost harfy.<br />9 Nebudou pít víno zpěvem; cider bude hořký pro ty, kdo ho pijí.<br />10 Město je rozbité marností; každý dům byl zavřený, aby nikdo nemohl vstoupit.<br />11 Na ulicích pláče nedostatek vína; veškerá radost potemněla, radost byla vyhnána ze Země.<br />12 Město bylo pusté a brána byla zbořena.<br />13 Nebo tak bude uprostřed země, uprostřed národů, jako otřesená oliva, jako sběratelství po sklizni.<br />Izajáš 24: 4--13.<br />-<br />6 A uslyšíte války a pověsti o válkách; hleďte, abyste nebyli rušeni, protože je nutné, aby se to všechno stalo; ale konec ještě není. 7 Nebo povstane národ proti národu a království proti království; a na různých místech budou rány, hladomory a zemětřesení.8 A to vše bude počátkem bolesti. Matouš 24: 6-8 JEŽÍŠ.<br />-<br />26 „Tak, jak se to stalo za Noeho, tak to bude, až přijde Syn člověka. 27 Jedli, pili a oženili se a oddali se až do dne, kdy Noe vstoupil do archy; pak přišla povodeň a všechny je zničila.<br />28 „Totéž se stalo v Lotově době: jedli a pili, kupovali a prodávali, zaseli a stavěli. 29 Ale v den, kdy Lot opustil „Sodomu“ „“ pršelo z nebe oheň a síra a všechny je zničil.<br />30 „Tak to bude v den, kdy bude zjeven Syn člověka. Lukáš 17: 26–30 JEŽÍŠ<br />-<br />9 A když uslyšíte války a pobuřování (protesty proti jejich vládcům), neděste se; protože je nutné, aby se tyto věci staly první; ale konec nebude okamžitě. 10 Potom jim řekl: Národ povstane proti národu a království proti království; 11 a budou velká zemětřesení a na různých místech hladomory a mory; a z nebe bude hrůza a velká znamení.<br />Lukáš 21: 7-11<br />-<br />12 a protože se rozmnožila zlovolnost, láska mnoha ochladne.<br />13 Ale kdo vytrvá až do konce, bude spasen. 14 A toto evangelium království bude kázáno po celém světě na svědectví všem národům; A pak přijde konec. Matouš 24: 12-14<br />-<br />22 A kdyby se tyto dny nezkrátily, nikdo by nebyl spasen; ale kvůli vyvoleným se tyto dny zkrátí. Matouš <a href=""https://www.youtube.com/watch?v=pTWNfhgFZ-Q&amp;t=24m22s"">24:22</a> JEŽÍŠ<br />-<br />8 Bůh nám však ukazuje svou lásku, protože Kristus JEŽÍŠ za nás zemřel, když jsme byli ještě hříšníci.<br />9 Mnohem více, protože jsme již ospravedlněni v jeho krvi, budeme skrze něj spaseni před hněvem.<br />10 Neboť kdybychom byli nepřáteli, byli jsme smířeni s Bohem smrtí jeho Syna, mnohem více, když jsme smířeni, budeme spaseni jeho životem. Římanům 5: 8--10<br />---<br />16 „Protože Bůh tak miloval svět, že dal svého jednorozeného Syna (JEŽÍŠE), aby každý, kdo v něj věří, nezahynul, ale měl věčný život. Jan <a href=""https://www.youtube.com/watch?v=pTWNfhgFZ-Q&amp;t=3m16s"">3:16</a><br />-<br />18 Pojďte rychle, praví Pán, a pamatujte na to: jsou-li vaše hříchy jako šarlat, budou bílé jako sníh; pokud jsou rudé jako karmínové, budou jako bílá vlna. Izajáš <a href=""https://www.youtube.com/watch?v=pTWNfhgFZ-Q&amp;t=1m18s"">1:18</a><br />-<br />9 že když vyznáš svými ústy, že Ježíš je Pán, a ve svém srdci uvěříš, že ho Bůh vzkřísil z mrtvých, budeš spasen.<br />10 Neboť srdcem se věří za spravedlnost, ale ústy se vyznávají ke spáse.<br /> Římanům 10: 9-10<br />--23 Neboť odměnou za hřích je smrt, ale Božím darem je věčný život v Kristu Ježíši, našem Pánu. Římanům <a href=""https://www.youtube.com/watch?v=pTWNfhgFZ-Q&amp;t=6m23s"">6:23</a><br />-<br />12 A v žádném jiném není spásy; neboť pod nebem není žádné jiné jméno dané lidem, které by nás mohlo zachránit. Skutky 4: 11--12<br />-<br />10 aby se ve jménu Ježíše sklonilo každé koleno od těch, kteří jsou v nebi, na zemi i pod zemí;<br />11 a každý jazyk vyznává, že Ježíš Kristus je Pán, ke slávě Boha Otce. Filipanům 2: 10–11<br />-<br />12 Ale všem, kteří ho přijali, těm, kteří uvěřili v jeho jméno, dal právo stát se Božími dětmi; Jan <a href=""https://www.youtube.com/watch?v=pTWNfhgFZ-Q&amp;t=1m12s"">1:12</a><br />-<br />23 Ježíš odpověděl a řekl mu: Kdokoli mě miluje, zachovává mé slovo; a můj Otec ho bude milovat, a my k němu přijdeme a uděláme si s ním domov. Jan <a href=""https://www.youtube.com/watch?v=pTWNfhgFZ-Q&amp;t=14m23s"">14:23</a><br />-<br />23 Ale přichází hodina a nyní je, kdy praví ctitelé budou uctívat Otce v duchu a v pravdě; protože Otec také hledá takové ctitele, aby ho zbožňovali.<br />24 Bůh je Duch; a ti, kteří ho zbožňují, v duchu a ve skutečnosti je nutné, aby zbožňovali.<br />Jan 4: 23-24<br />27 Mír s vámi zanechávám, svůj mír vám dávám; Nedávám ti to tak, jak to dává svět. Nebuďte znepokojeni svým srdcem, ani se nebojte. Jan <a href=""https://www.youtube.com/watch?v=pTWNfhgFZ-Q&amp;t=14m27s"">14:27</a><br />JEŽÍŠ.<br />JMÉNO JEŽÍŠE má moc..",Walter Zepeda,2020-11-26T06:08:44Z,0
Same here😀,rosy dixit,2020-11-25T17:18:03Z,0
Brilliant...loved this...thanks Anna. Please can we have more of this.,Catherine Hinstridge,2020-11-24T19:59:16Z,1
Love this core and foam roller fusion. Good idea to put some self-massage in at the end. Carlos &amp; Bex,The Carlos Method Fitness TV,2020-11-24T17:46:29Z,1
The massage is our favorite part! Best way to end the workout 👍,POPSUGAR Fitness,2020-11-24T18:01:52Z,0
Great workout!,Karen Bonilla,2020-11-24T01:32:46Z,2
