comment,id,date,num_likes
"This was great thank you for this. One that is put in saved workouts. Looking forward to more. Thank you, and thank you Pop Sugar for bringing more ways to stay in shape.",Latrice Byrd,2020-08-17T16:58:10Z,15
"@POPSUGAR Fitness Awesome, thank you, ill be tunned in.",Latrice Byrd,2020-10-30T01:44:08Z,0
"Glad you loved it, Latrice! Stay tuned for new workout videos each week 💪",POPSUGAR Fitness,2020-10-29T23:10:27Z,1
"omg, way to much talkin",Monika Leszczyńska,2021-05-06T08:39:33Z,0
What an Amazing workout!!!<br />on 🔥thanks for an epic  workout @POPSUGAR and my go to fitness @MarnieAlton 🙌 💯💪💦❤🤘👏<br />sending my love and light  from 🇵🇭,Conchita Tangco,2021-04-29T02:25:14Z,0
The instructor is GREAT. Thanks so much. The ADS are the worst thing EVER. I couldn&#39;t keep the flow... There were just too many ads every few seconds...,Sandra Gumuzzio,2021-04-22T15:33:33Z,0
Love all of Marnie&#39;s workouts!!!,Amy A.,2021-04-08T15:17:01Z,0
I just love it ... and fall in love with my body as well ... Thanks :D,Maraly Quistian,2021-04-02T12:39:46Z,0
"In addition to the physical workout that I always get from Marnie&#39;s workouts, I love how I always come out of her sessions feeling lighter in my heart &amp; soul. Thank you Marnie (and thank you PopSugar)!! &lt;3",Alyssa Alexander,2021-03-30T21:25:21Z,0
Thank you for this,Erin Rowson,2021-03-22T16:59:29Z,0
"Very nice and challenging. However, the number of ads interrupts every 7 minutes. Very distracting.",dbels,2021-03-05T16:04:40Z,0
you are amazing!! thank you so much.. !!!!!,Anahí Jeneí,2021-02-05T13:04:12Z,0
"Love your workouts, though I have to echo the sentiment of way too many ads, on too many workouts nowadays",Melynda Jacobs,2021-02-03T09:23:30Z,0
Love Pop Sugar workouts but the number of ads on this is totally excessive.  I don&#39;t mind one or two but this one was totally ruined for me.,Emma Crighton,2021-01-24T09:57:05Z,0
I would have really enjoyed this if it weren’t for all the ad interruptions. Waaaay too many! It was ridiculous.,Stephanie Wheat,2021-01-19T03:18:20Z,0
More Marnie! Where have you been all my life? You are a=mazing! Superb teaching points and great session. from London x,B N,2021-01-18T08:19:04Z,0
Love this workout. Yeah there are a lot of ads but that just meant I had more reps. Don&#39;t focus on the negative and push through to your original goal...completing the workout.,Andrea Villamar,2020-12-23T16:50:47Z,0
Great workout but 4 or 5 ads during a workout is too much!,Janina Reutlinger,2020-12-11T16:13:13Z,0
You are amazing! I love your barre workouts!,Yanina Aldao Galvan,2020-11-21T15:56:30Z,0
Please give us more Marnie Alton 🙏🏻<br />I love her routines ❤️👍🏻,aj de lara,2020-11-20T09:57:29Z,0
I love all of popsugar workouts but the ads were too much on this video and I workout before work so now I have to rush and get ready. Workout was a bit confusing to follow since she was doing a different thing every minute. Not my favorite :/,Jennifer De la Fuente,2020-11-19T13:27:37Z,0
Llegué un poco tarde pero como siempre me encantó  👏👏👏👏muchas gracias,†Ash† Hunter,2020-11-16T14:01:10Z,0
Amazing!,Silvia Teixido,2020-11-03T15:54:02Z,0
Loved the workout but so many ads? Seriously?,tereza kubesova,2020-11-02T06:57:38Z,0
"This was amazing. Sweated a lot, felt energized. Thank you!",Margit Szántó,2020-10-30T18:27:08Z,0
I LOVE Marnie!!!,ELENA H.,2020-10-29T00:22:31Z,0
Marnie&#39;s the best! &lt;3,Brawny Oatmeal,2020-10-28T15:51:34Z,1
You made my day! Thank you for sharing this practice &amp; your wisdom! &lt;3,Stephanie B,2020-10-26T23:04:49Z,1
Awesome,Norma De Ebano,2020-10-25T14:09:42Z,0
LOVE YOU MARNIE!,Jaimie Topinka,2020-10-09T10:55:58Z,0
Great workout. Lots too this.,Steve Chuckster,2020-10-08T03:47:49Z,0
"That was an amazing workout! Marnie you have such a beautiful , vibrant energy! Loved it all the way. We want more!",Natalia Juiz,2020-10-06T02:55:11Z,1
