comment,id,date,num_likes
I love Christa&#39;s workouts. Kickboxing is by far my favorite way to relieve stress and stay fit. She makes it fun every time. Her workouts are always killer and mentally stimulating. Thanks PS and Christa,Kara Hunter,2020-09-29T23:11:10Z,57
i dont know if anyone gives a shit but in less than 15 minutes I hacked my friends Instagram account by using InstaPortal. You can find it by Googling for Instaportal account hack :),Carlos Odin,2021-03-09T09:48:24Z,0
"Such a great way to relieve stress! Thanks for joining, Kara! ☺️",POPSUGAR Fitness,2020-10-29T16:12:42Z,0
"I have a broken foot and have been trying to find workouts I can do, I already love Christa and have done all her workouts, but I found I could modify this and still do it! So thank you so much! I’ll be back to kicking like a ninja with you soon, I hope!",Storm Hargreaves,2021-04-26T06:58:58Z,0
More christa PLEASE!,Kate Regier,2021-04-21T19:55:18Z,0
"my upper back hurts so well, love it!",Alondra Brizuela,2021-04-21T01:58:18Z,0
"Desde que descobri essa plataforma não paro mais. Excelentes profissionais, mesmo não compreendendo o inglês, faço todos os exercícios.  POPSUGAR Fitness gratidão dessa brasileira.",Damaris de Paula Pimentel Carneiro,2021-03-09T21:39:54Z,0
Kaycee is so gorgeous 🥰,Lala Lee,2021-03-04T10:44:49Z,0
"A bit disappointed by the fact that you don&#39;t have any warm up - even if the pace is quite slow - and above all, no stretch in the end.",SushiOverdose,2021-02-15T11:46:53Z,0
"im gunnu loose it man, if my teacher puts this video up one more time for class im done",Signature Succ,2021-02-09T17:07:26Z,0
"Wow, this was a great workout! Can&#39;t wait to try the below-the-belt version. Thank you, Christa and Popsugar!",Retired Fat Girl,2021-02-03T05:32:06Z,0
I love Christina! I need more workouts !!😘💕,Xóchitl Guerrero,2021-01-17T03:48:16Z,0
"I don’t know who will see this but PLEASE have more ABOVE the belt Christa/boxing workouts!! I have three degenerative discs in my lower back so I can no longer safely do KICKboxing....I can only do stationary/no-kick boxing. I love Christa’s workouts (thank you Christa!!) but I cannot do half of them because they are kick-based. PopSugar I would gladly love more traditional boxing workouts from either Christa or Deja or anyone. Thank you so much for providing quality, free workouts during the pandemic. It’s so helpful.",celebratepaint,2021-01-14T14:25:13Z,1
Love!  I&#39;d love to listen to this music during my workouts. What is it? Can I purchase,Courtney Roe,2021-01-10T22:35:20Z,0
I love your workout but i get to tired so maybe can you make a workout easier next time please i love you bye,Maria Shaw,2021-01-08T09:37:13Z,0
love the burpee combo at the end! 11/19,Lauren Reiner,2020-11-19T15:45:07Z,0
12/4,Lauren Reiner,2020-12-04T17:05:12Z,0
"That was great! I had a frustrating morning so this was the perfect way to burn off a lot of steam, and I really liked Christa as well. Perfect balance of enough instruction and enough heat as well. My arms feeling this burn right now!",Olivia's Catastrophe,2020-11-18T16:46:03Z,1
Yaaaasssss kickboxing is great and I have a side stitch😏,NICOLLETTE!!,2020-11-11T01:23:48Z,0
Christa De Paulo + Brittny Babe = Me having a body like I had in my 20s (I am now 38). Now I am more mature to handle it and living my absolute best life now Single and traveling!  THANKS PS for changing my life! Accessing workouts from anywhere in the world without country restrictions is amazing!,InHisImage&Likeness,2020-11-09T10:52:27Z,0
Cristy is the best training of the word.😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄,seba Guzman,2020-11-05T20:53:24Z,0
Christa my all time fav🥰... out of all her workouts I felt this was the easiest.. effective but din kill me... I love the strikes works my shoulders really well,Dani P,2020-11-04T19:21:07Z,0
"Love Christa! Her and Raneir have the best workout sets, and the most infectious energies! I won&#39;t skip their videos EVER. ❤️",Jillian Loves Books,2020-10-29T16:19:25Z,2
Loved this one!! Quick and energetic workout!,x_papimuneco,2020-10-26T12:33:05Z,1
"I really liked it, because it´s Christa!! But please, dont record or focus on the another girls, because they dont move in the way the exercise needs to be...",susana moreno,2020-10-26T12:15:03Z,1
"Especially in this video,I had the same thought",Dani P,2020-11-04T19:16:37Z,0
LOVE those elbow strikes!!! ❤️❤️❤️,Ann Fong,2020-10-23T04:31:29Z,1
I love Christina! She make me do it! I’m a ninja now,Marlenne Magallanes,2020-10-23T01:11:17Z,1
Kicked my ass in to gear as always. Loved it! And loved that it was all above the belt! 💙,Bri Shoemaker,2020-10-20T01:14:56Z,2
