comment,id,date,num_likes
He is just a cutie! Loving his workouts! So super effective!,namaste nadine,2020-08-30T19:36:50Z,25
"We love Jake, too! Thanks for working out with us, Nadine 💪",POPSUGAR Fitness,2020-10-29T19:24:43Z,1
I do this every morning 🥵👍,Sweety Evehanee Eve veve,2021-04-26T02:28:20Z,0
Fantastic 👏👏👏,Lola Pino Vázquez,2021-02-26T11:23:09Z,0
4,Corbin Dallas,2021-01-24T21:04:48Z,0
"After 1 minute of this workout, I&#39;m like &quot;WTF is going on here&quot; xD Made it through though ]:&gt; Love Jake &lt;3",headinjar,2020-12-19T08:07:40Z,0
WONDERFUL!!!,Noor Fawzey,2020-12-14T03:19:11Z,0
"Jake is incredibly fit. It&#39;s important beginning that you are not trying to keep up with his pace, but focus on controlling your contractions and moving safely and effectively.",Joshua Venne,2020-12-12T17:11:22Z,0
Loving how straight forward the video is. 7 seconds in and you are working out,Uriel Chami,2020-11-17T20:35:53Z,0
I loved it so much!!! Love you Jake,Liliana Salazar,2020-11-16T17:42:46Z,0
How could they finish this without taking a break between.,Nwe Nwe,2020-11-14T14:41:18Z,1
Great workout 💪,Monique Jenkins,2020-11-10T17:18:09Z,0
Love this video- thanks Jake!,Brittany Michelle,2020-11-06T16:57:58Z,0
"Is it okay if we don&#39;t use weights for this one? I don&#39;t have any light weights, only 5 pounds, and those would be a little too much.",Ava Passon,2020-11-04T10:35:11Z,0
yup the description is on point. only 2minutes into the workout to feel the burn.,katedeakins,2020-10-26T11:45:07Z,0
Awesome and tough as always!,Gen Coleman,2020-10-17T10:23:45Z,0
Alway the best workouts! Thanks for giving me back my abs after two kids!,Kerstin R,2020-10-03T06:46:35Z,1
Mannnn awesome,canal Yokomizo,2020-10-01T09:57:23Z,0
Bring back Anna to join Jake in his workouts. these new girls in the background don&#39;t know how to do the funny banter with Jake and it&#39;s boring!,DaytripDaisy,2020-09-28T06:40:47Z,0
My favourite abs workout was a 10 min Jake one you guys did ages ago! Hadn&#39;t been on youtube for a while and didn&#39;t realise you brought him back for more workouts. This one was definitely a new favourite and was so tricky paired with my 2kg weights. Definitely a challenge I can&#39;t wait to repeat x,Olivia's Catastrophe,2020-09-25T10:46:06Z,0
So good!,Travelin' Quaker,2020-09-22T21:32:55Z,0
Jake has a neat way of making me feel cute even though I&#39;m sweaty,dead beat,2020-09-20T22:44:11Z,1
I LOVE JAKE SO MUCH! YOU NEED TO GET HIM IN FOR AN HOUR WORKOUT!,G,2020-09-19T22:17:51Z,0
Jake is the only trainer that can make my core hurt besides Tony Horton,Jenna Sais Quoi,2020-09-18T23:50:37Z,0
This was too fast for me,omphile direro,2020-09-17T15:05:52Z,0
This is insane I had to stop every 2 min ngl but felt so good for finishing after!!,Pang Qiya,2020-09-16T12:43:16Z,0
His workouts are so challenging! Congrats on making it to the end! 🌟,POPSUGAR Fitness,2020-10-29T19:29:24Z,1
Why does my neck hurt instead my abs?,C L,2020-09-15T03:17:44Z,0
I have been doing Jake 45 mins toning workout. Really love it! (Looking forward for a new release 45 mins toning vdo. Can&#39;t wait to try it)  Love you Jake. By the way big thanks to pop sugar and Jake! (Have said in the vdo that we are going to said big thanks to him.) 😂,Poonsri Vate-U-Lan,2020-09-14T23:38:58Z,3
Love love love 💘 💗 💕 ❤,Leila Kadribasic,2020-09-12T18:19:34Z,0
"Such a good instructor, I&#39;m amazed by his programming every time",Carson Mullins,2020-09-09T15:31:48Z,3
"His classes are such a challenge. Thanks for watching, Carson 🙌",POPSUGAR Fitness,2020-10-29T19:25:32Z,0
Great ab and arm workouts thank you,Deanna schunkewitz,2020-09-08T16:42:41Z,0
loved this and the modifications were great.  Felt the burn but was never like omg I can&#39;t do that,mary stack,2020-09-05T18:35:21Z,1
