comment,id,date,num_likes
Perfect! Going to be doing this more than once a week just to de-stress,halfa mo,2020-11-18T20:10:47Z,14
I couldnt agree more we all need to de stress at this crazy time and fitness is that best way to do this!,Healthi,2020-11-21T15:17:55Z,1
Love that! This workout will have you feeling relaxed and restored.,POPSUGAR Fitness,2020-11-18T22:55:35Z,2
"So good! Wish it was longer!,,",Tiffany Walker,2021-04-04T14:46:30Z,0
Loooove this stretch— thank you!!,Ingrid Rapala,2021-03-03T06:42:59Z,0
Can you guys make more videos think this please! Really enjoyed this one don&#39;t really enjoy yoga as it can be quite boring but this was and really helped me xx,Lucinda McGrath,2021-02-27T19:47:24Z,0
Hey popsugar!! Can you do a similar routine without equipment??🙏🏼🙏🏼🙏🏼,Catalina Díaz A.,2021-02-24T13:12:52Z,0
Love this and do it often. I wish there was a video that was all foam-roller. It just feels so good in so many places.,sjlo5,2021-02-07T01:29:23Z,0
I promised myself to stretch more this year. This is my 3rd week in a row doing this session. Love it and look forward to it every time!,CNL,2021-01-24T15:58:46Z,0
"I loved this session, Anna guided us with softness and ease and I could have not enjoyed this class more after the LIT wo! Thanks, PS for bringing such diverse content that embraces everyone&#39;s&#39; needs!",TheSupersizzina,2021-01-08T16:02:50Z,0
"Love this, thank you! It&#39;s so relaxing and also aaaaahhhh  my body feels sooo good.",Shagha,2020-12-31T19:15:15Z,0
This was so great! Thank you!,Luz,2020-12-10T02:11:19Z,0
"Thank you so much for that, I feel so much better. I&#39;m going to do that every week because the mouvements are great. The work you are pushing us to is a real medecin, for body and mind. So much bad advise on the Internet, and hopefully here you are ! You are amazing ! Love to all Popsugar team, your are wonderfull 💖",Marie Manisha,2020-12-08T15:09:36Z,0
This was amazing! Definitely a save and do again and again! One of my crew even used a pool noodle for her foam roller and towel! Every bit helps!,KTs Monthly Workout Challenges,2020-11-25T17:58:24Z,0
POPSUGAR please do a workout video for people who wants to start working out again after myomectomy. Thank you,Liza HM,2020-11-25T14:54:08Z,0
✨Perfection✨<br />Talk about a gift!<br />Thank you💖,Kelly Pantaleoni,2020-11-24T12:28:49Z,0
Amazing. One of the best stretch practice out there!,Haiyang Hu,2020-11-24T05:11:00Z,0
This is absolutely perfect before sleep 🥰 thank you 🙏😊 I love it 💓,Tatjana ASMR,2020-11-23T20:35:51Z,1
Super,Beautiful Nature,2020-11-23T06:46:49Z,0
"This was amazing 😊 love the stretches using the towel for lower body, and upper body. I feel very relaxed and energized 🙂",Monique Jenkins,2020-11-22T20:12:27Z,2
I just wanna thank Popsugar and all the trainers who helped me lose so much weight from the start of Quarantine to now (nov 22). From 75kg to 60kg 😁🔥 THANK YOUUU,PT Claudette,2020-11-22T07:43:15Z,9
This is the perfect workout and way to de stress. I think we could all do with that at this crazy time. Thank you POPSUGAR!,Healthi,2020-11-21T15:18:47Z,2
this is what i need !!,zocha nathania,2020-11-21T09:26:25Z,1
Thanks for this self-care recovery stretch. I plan to do a workout and then this video and alternate like that every day so I always get a good stretch in on my recovery days &lt;3,Katelyn Dawn,2020-11-20T19:21:20Z,0
w h a t,Juliette Diaz,2020-11-20T15:52:32Z,0
I love you anna,Shahbaz Mughal,2020-11-20T10:20:22Z,0
this is soooo helpful omg,riley quinter,2020-11-19T22:35:42Z,1
This is a treat@,Little Creators Homeschool,2020-11-19T21:21:57Z,0
Definitely needed to recover for my upcoming workouts 👍🏼💋👊🏼,Creighton Chaney 1941,2020-11-19T17:01:59Z,3
I definitely needed this! So glad Anna is in this video made it 100 times better! 😊😊😊,Blanca,2020-11-19T16:39:00Z,1
Anna is the best - she knows how to make sure we recover properly!,POPSUGAR Fitness,2020-11-19T17:36:11Z,1
Wow is Ann back 🤩,Afaf Al lawati,2020-11-19T12:14:13Z,1
"WOTEK Elastici Fitness Set on Amazon !!!<br />Link is here : <a href=""https://amzn.to/32Wnpts"">https://amzn.to/32Wnpts</a>",WEFTY CO,2020-11-19T11:55:45Z,0
Anna❤️,rawan aseza,2020-11-19T11:27:50Z,1
Perfect stretch! Thank you popsugar 😍,EIE,2020-11-19T09:20:34Z,1
"Here is my very own journey with weight loss<br />Usually weight loss requires a lot of dedication and work. I had my own experience with it, I was doing a lot of research on weight loss and found very interesting facts and tips on how to boost 🔥your metabolism by drinking tea. So, I posted on my blog. It explains how different type of teas works and how they accelerate fat burn.<br /><br />You can read it here: <a href=""https://sites.google.com/u/5/d/1GT9DDBYoT_iff0moXelsUWHKG3Euik9O/edit?usp=sites_home&amp;ths=true"">https://sites.google.com/u/5/d/1GT9DDBYoT_iff0moXelsUWHKG3Euik9O/edit?usp=sites_home&amp;ths=true</a><br /><br />Would love to get some feedback from you.<br /><br />Thanks",AARON MENSAH,2020-11-19T08:57:54Z,0
"Super, thanks",Ina Staniene,2020-11-19T07:33:04Z,1
All I’ve gotta do is buy a foam roller and I’ll be ready 👍🏾,Monique,2020-11-18T23:42:16Z,0
Loved the stretches but felt like it was hard to relax with all of the talking.,Amanda Weinper,2020-11-18T23:29:22Z,1
NOW IMA DO IT WITH U GUYS but I’m doin the hip hop one,Linkmonchild9,2020-11-18T23:19:54Z,3
I need to do this!!! looks like a good workout!!,Uma Abde,2020-11-18T23:09:46Z,1
That was fantastic...it will be in my rotation for sure!!!,Gerre Ward,2020-11-18T22:11:09Z,2
Loving these restorative movements!,a_ christabel,2020-11-18T22:06:20Z,3
The perfect movements for when you&#39;re sore or need a rest day!,POPSUGAR Fitness,2020-11-19T17:37:22Z,1
Que bom comprei o rolo e não sabia muitos exercícios;),Simone Gama,2020-11-18T21:17:56Z,1
This is the perfect cool down and stretch after an intense workout!!,FIT by Marissa,2020-11-18T19:25:51Z,2
It our go-to recovery day workout!,POPSUGAR Fitness,2020-11-18T22:55:47Z,2
"New fitness wear coming soon! Check us out @<a href=""http://sherainesupreme.com/"">SheRaineSupreme.com</a>",Rhomona Campbell,2020-11-18T17:27:21Z,0
Yes yes yes!!!!!!! This is perfect 👌🏻,zo zo,2020-11-18T17:25:24Z,1
Rrrt,Midnight playz,2020-11-18T17:18:08Z,0
Woah wow nice I always do workout with u guys,Linkmonchild9,2020-11-18T17:12:16Z,1
Cant wait to do this! Definitely needed after HIIT sessions!!,bobby A,2020-11-18T17:10:48Z,3
Yes - the perfect addition after an intense HIIT session!,POPSUGAR Fitness,2020-11-19T17:37:56Z,3
Nice,Gaming YT,2020-11-18T17:05:35Z,1
