comment,id,date,num_likes
Gracias ¡Muy demandante el ejercicio!,JKJDINME,2021-04-17T14:34:50Z,0
Oh wow I’m HOOKED. I immediately subscribed to her IG and YouTube! So many interesting moves I don’t usually do in a class!,h0tpink88,2021-03-28T03:12:03Z,1
Amazing pilates class! Thanks! Beijos do Brasil!,Priscila Canesqui da Costa,2021-03-24T22:05:30Z,0
You are awesome!!,AnaLucia Villanueva,2021-03-21T06:24:01Z,0
"Yes, I sweatly enjoyed thjs",Daisy Dolor [Bailey MS],2021-03-09T14:31:30Z,0
i&#39;m really enjoying it!,Jowita,2021-03-05T20:51:26Z,0
"This was my first time with this trainer, amazing energy and the class was much more challenging than I&#39;d initially expected! Thank you Isa and PS bring her back soon ❤️",TheSupersizzina,2021-02-22T15:55:13Z,1
you are beautiful,Kassa Yilma,2021-02-20T16:02:03Z,0
"Omg I did this today and it was great. I could do level 2 though I worked hard for it! Great class, great vibe. I subscribed and I’ll be back!",Sonya in NYC,2021-02-14T22:07:28Z,0
she&#39;s amazing!! definitely bring her back!,Jamaiya Penn,2021-02-10T05:47:19Z,7
That was awesome!,Jarek Plouhar,2021-02-07T09:34:03Z,0
I loved it. I hope more videos of her come.<br />Kisses from Brazil!!,Fauane Cirqueira,2021-02-05T22:51:46Z,0
"love her, more work outs with her pleaseeeeeeee",Anahis Beltran Guillen,2021-02-03T01:50:47Z,3
I wait for my channel,O7,2021-02-01T19:37:39Z,0
I looooooved it! You are so motivating and full of positive energy and so much love!!! I am a pilates beginner but I am doing a lot of other sports and this workout was perfect for me! I felt good from the begining &#39;til the end and now I am just full of love and positive vibes! I really needed something like this!! Thanks for being different and a light during this time!! Keep going! You are great!!! Be blessed!! Lots of LOVE! <br /><br />Chiara :p,Chiara Zepner,2021-01-25T14:20:54Z,0
The beginning of this vid was pretty hard on the wrists,ariana tola,2021-01-22T23:44:19Z,0
Quite possibly the most fun I’ve had doing Pilates !,Ashley Hernandez,2021-01-22T15:57:37Z,0
One of the best!,Daisy Dolor,2021-01-22T15:02:25Z,0
That was so much fun 🤩 love the hip twists in the middle - awesome workout thanks! Xx,Chloe Gilzean Godlewski,2021-01-16T10:55:35Z,0
Woo thank you girl I got my sweat on and core fired up!,Christine Murchison,2021-01-15T15:47:20Z,0
very nice but what so short of Please full hour those pilates 🙏🌺,Gosia Samosia,2021-01-12T11:13:06Z,0
"Thanks Isa, 🙏it was awesome 🤩 ! Loved 💗 the class! Greetings from Germany 🇩🇪!💜💙💜",Marie van Kleef,2021-01-12T10:28:30Z,0
The ab series on the floor was killer. I liked that you gave us different options with the 3 levels. Thanks so much!,Sherese Jackson,2021-01-10T17:21:40Z,0
That was so much fun!! Thank you!!,adrienne quane,2021-01-10T02:18:27Z,0
She has the best energy. This was almost immediately my favorite Pilates class ever,ShoMeSho,2021-01-09T21:11:36Z,26
Really enjoyed this workout! I love her energy!,Laura Vickers,2021-01-09T16:43:51Z,1
"Love your energy and this overall challenging, uplifting workout! Thank you so much.",Janet Blount,2021-01-09T15:01:56Z,3
Love your energy! Great work out! Really enjoyed it☺,Anika Chapdelaine,2021-01-09T14:48:06Z,0
LOVED that this was a lowkey but still challenging workout--it&#39;s always hard for me to find a good one beautifully in the middle like this. Would adore seeing Issa more on this channel!,Rebecca Raeta,2021-01-09T01:31:22Z,2
Que aula incrível! Eu amei! Do início ao fim. Me identifiquei muito com a proposta toda.,Luciana Kalil Santos Karpowicz,2021-01-09T00:17:07Z,0
Amazing workout! Thanks!,Fresh to Death Fitness,2021-01-08T19:16:19Z,0
Great class Issa!,Amy Stump,2021-01-08T16:36:02Z,0
"Good exercise, she&#39;s got great vibes!",Julia Carrer,2021-01-08T14:44:19Z,0
Thanks so much I really enjoyed it,Nathalie Nathalie,2021-01-08T11:15:47Z,0
That was AMAZING!!! So fun and light but also swetty haha love this!!,Patricia Bento Rosa,2021-01-08T11:07:29Z,1
"There are great products here<br /><a href=""https://kit.co/sercandelimehmet/fitness"">https://kit.co/sercandelimehmet/fitness</a>",Sercan Delimehmet,2021-01-08T10:31:32Z,0
Thank you,SUMIT Cosmetics,2021-01-08T08:08:28Z,0
Thank you! Nice workout to start the year!,Olga Vignard,2021-01-07T18:32:08Z,1
"So great, Isa!! I&#39;ve been doing your workouts on your own channel so when I saw that you were gonna be on Popsugar, I was so excited! This was tiring but energizing! xx",afiyin,2021-01-07T18:25:02Z,1
yaaaaay well done :-),IsaWelly,2021-01-07T22:31:10Z,0
Love it .thanks you💪💪,Aysegul Yilmazoglu,2021-01-07T17:42:08Z,0
Omg  I&#39;m so sweaty @14 minutes in! My muscles are trembling. Fantastic!,Jediya Rahim - Danford,2021-01-07T17:29:28Z,1
mine were too x I had to take a minute or two after xx thank you for joining me :-),IsaWelly,2021-01-07T22:32:43Z,0
"What a joyous and dynamic way to workout with a nice touch of humour. :). Most enjoyable and challenging, thanks so much :D!",Natasha Lebrun,2021-01-07T15:16:09Z,1
"Thank you so much, love your moves, energy and good vibes...and your pants;) 💛from Austria",Tina Koeppl,2021-01-07T15:12:24Z,1
"First thing first, just it? 20 minute later, Ok, I’m dying...",Ranika Kim,2021-01-07T13:59:27Z,10
Please pop sugar upload some no equipment full body strength and toning workouts! 🙏🏻,Jasmine Nigar,2021-01-07T12:06:00Z,8
"I love your energy, Isa, loved the workout :D",Martina Lubian,2021-01-07T10:54:56Z,2
"Killer workout, totally made my morning! Your energy is infectious.. Can&#39;t wait for more",chili pepper,2021-01-07T10:33:44Z,11
thank you :-),IsaWelly,2021-01-07T22:30:38Z,1
I love you Isa,Emo 79,2021-01-07T09:07:50Z,0
Hola,Mónica Mercadal,2021-01-07T05:23:15Z,0
U make it FUN!!!!,janice murray,2021-01-07T03:19:54Z,0
Love the workout,janice murray,2021-01-07T03:19:19Z,0
😌Gracias,†Ash† Hunter,2021-01-07T03:09:24Z,1
❤️,Sophia Mandema,2021-01-07T02:05:53Z,0
From the Philippines,jo miranda,2021-01-06T21:50:23Z,0
Fun and challenging! Followed your channel,A Alp,2021-01-06T21:29:33Z,1
Oh my goodness I am out of shape. Love it! Thank you!,susan winn,2021-01-06T20:51:57Z,2
Hello desde México,Belatrix Trixy,2021-01-06T20:26:55Z,0
ISSA!! so glad you guys had her on the platform,AlaskaMazes,2021-01-06T19:06:04Z,3
Great work happy New year my dear friend and welcome to my channel sport 💝,mixed martial arts- Kung Fu Palestine,2021-01-06T19:01:23Z,0
Hi Boys 😍💋 💝💖♥️❤️,Hot Girls Video XXX,2021-01-06T18:42:11Z,0
Boys? 💀,Dandelions Fair,2021-01-06T22:37:31Z,0
"Thank you, it&#39;s a great session !!",Sarah F,2021-01-06T18:32:49Z,3
Super gracius....it was amazing 👍👍👍,BODY BULLY FITNESS,2021-01-06T18:17:21Z,1
OMG 😍💋 💝💖❤️,Hot Girls Video XXX,2021-01-06T17:57:32Z,1
hi you very pretty,Kathy Amboka,2021-01-06T17:43:05Z,8
Bravo ⚘🌸⚘🌸🌼✌✌✌😎🌼✌👄😎From Poland.,Dariusz Wilk,2021-01-06T17:42:18Z,1
