comment,id,date,num_likes
That was a great workout. Thank you.,Treepose Go,2021-05-05T13:53:11Z,0
Those bridges with an extended leg were burning everything! Thanks Katie and PS ❤️,TheSupersizzina,2021-05-02T23:59:17Z,0
💜💜,Fariba Nazem,2021-05-02T10:33:31Z,0
Whoa. It has been a really long time since I have had to take that many breaks during a workout haha. But I think that is a really good thing.. so challenging! I am definitely adding this workout to my routine and I&#39;ll be looking for some more. Thank you!!,Angela Morini,2021-05-01T01:52:10Z,0
Thanks Katie!,Sonya Gardiner,2021-04-30T14:23:41Z,0
"The best workout ever!!<br /> Felt the burn , sweat on point feeling extremely toned !! Thankyou ❤❤❤",Gargi Jadhav,2021-04-30T12:43:33Z,0
"That was difficult, yet I like to feel challenged . Thanks , have not long come across this channel , and so far the best , in the sense I can feel the work that I have done ❤️",Divine Aphrodite,2021-04-30T12:10:29Z,0
Oooo girl my booty is DONE. Thanks Katie!,Jen Stepleton,2021-04-29T17:11:41Z,1
"Love the fitness content!! Keep crushing it. My channel is all about the garage gym life, so if y&#39;all want to give it some love, I would highly appreciate it!",LMZ Fitness,2021-04-29T16:37:14Z,0
"Gah! Thank you PopSugar... Katie you are such a <a href=""http://www.youtube.com/results?search_query=%23barrebabe"">#barrebabe</a> thanks for a great Barre burn. 🔥 🔥 🔥",Barre Fitness,2021-04-29T16:09:24Z,0
Great 👍,JACQUELINE Di MATTIA,2021-04-29T05:22:28Z,0
nice nice nice,Reko2,2021-04-29T00:34:10Z,0
Just found this chanel and i will be losing 50 lbs  thats my target,Tee blair cooking,2021-04-29T00:03:31Z,8
Intermittent fasting alongside working out and meal prepping! This worked the best for me! I feel it&#39;s 95% diet 5% exercise!,Melanie Pierluigi,2021-05-03T03:57:44Z,0
Amazing 💜,Anne Bellamy,2021-04-28T23:17:27Z,0
"Thank you! Although, I stayed because you would cue for weights and you did not.",logotsauce,2021-04-28T21:14:11Z,1
Music overpowering your instructions,Shireen K duas,2021-04-28T18:59:12Z,3
Не хватает вида с боку. Как правильно попу держать,YouTube YouTube,2021-04-28T18:57:04Z,0
Титры на русском   можно?,YouTube YouTube,2021-04-28T18:55:59Z,0
"Finally! better video quality, nicer sound! can totally keep following<br />thanks! hope it could get brighter in the camera.<br />but the interior decorating/color so lovely there, cant help looking things behind.",Liny W.,2021-04-28T17:50:52Z,0
Nice video,ding aragoncillo,2021-04-28T17:08:55Z,0
WHAT A BURN!!💪💗<br />This was such a challenge for me at 11 months postpartum. I have been loving barre to make me feel stronger! Katie from LSF is such a beautiful trainer inside &amp; out xo,Stephanie Hajal,2021-04-28T16:43:14Z,1
Great Workout ! <br />I&#39;m doing similar workout as well !!!,The Wolf Fitness,2021-04-28T16:39:10Z,2
@Nobody Else Thank you so much 🙏,The Wolf Fitness,2021-04-29T13:25:44Z,1
"Good to know, I subscribed to your channel",Nobody Else,2021-04-29T12:59:15Z,1
you have a lovely home.,Pixel_Geist,2021-04-28T16:38:57Z,6
