comment,id,date,num_likes
I was in such a crap mood and this was so wonderful to de-stress - thank you! 🙏,Julie Keyser,2021-04-27T15:41:13Z,0
"J’ai adopté ce nouveau moment de yoga dans ma vie, beaucoup de douceur, d’amour et de force, merci infiniment pour ce moment❤️",SB,2021-04-27T07:28:08Z,0
Loved it queen!! ❤,Avani Agashe,2021-04-16T02:17:33Z,0
"Я в ахуе просто, чесн слово...",Руслан Русланчиков,2021-04-11T21:14:15Z,0
"PopSugar please continue to give us diverse instructors like Jessica. I loved this - as everyone else is saying, more Jessica Jade, please!!",Brian Claus,2021-04-10T00:56:18Z,0
Very relaxing. It&#39;s hard to find yoga instruction that is simply gentle stretching. Sometimes you just want a good stretch. I loved this! ❤️,h. j.,2021-04-08T23:18:26Z,0
crazy 😜,Musique Zen - Sommeil détente spa yoga méditation,2021-04-01T14:16:25Z,0
"Please tell me that is not her only video, I neeeeeed more of her!",Aalomania,2021-03-28T09:54:31Z,1
Wow I was you feature many health conscious individuals I love it here but still viewing this and following along.  In the waiting room at ER to have a grandson👶,Platinum Spirit,2021-03-28T04:01:45Z,0
Hello who do you advertise with I found you or they found me 🏋️‍♀️keep flexing just subscribed🤩full watch to these exercises,Platinum Spirit,2021-03-28T03:59:18Z,0
"Can we have more of Jessica Jade or similar ones to this, it was so easy to follow and I felt so good after!",Catherine Young,2021-03-25T18:18:19Z,1
"This was great––I would love to see Jessica Jade in more videos! I haven&#39;t felt like any yoga practice have &quot;clicked&quot; with me recently, but this one was exactly what I needed.",Natalie Hansford,2021-03-25T17:08:18Z,0
"This was amazing, YOU are amazing! Thank you!!!",Prettymapleleaf,2021-03-24T18:49:38Z,0
I loved this so much! More Jessica Jade please!,Zip,2021-03-24T03:02:15Z,0
This woman is amazing,Gagan 17,2021-03-22T18:58:27Z,0
I love Jessica Jade!  I&#39;ve been following her for awhile!  More instructors like Jessica please!,Barbell Blondie,2021-03-19T17:44:01Z,1
Jessica the best! Nice workout!,Helen Redik,2021-03-17T20:31:18Z,1
I loved this video.  jessica has great energy and was enjoyable to follow. please more of her !!!!,Deanna Roby,2021-03-15T16:56:52Z,0
"What a kind and energizing way to start my morning! Thank you, Jessica!",Ashley Gregory,2021-03-15T15:19:21Z,0
More of this videos would make a difference!!!! Thanks,Mari Torres,2021-03-15T06:44:56Z,1
"amazing class, so relaxing! thank you, jessica &lt;3",Fernanda Vaz Rocha,2021-03-14T23:57:25Z,1
Great yoga &amp; meditation 🧘‍♀️. Please come back with more videos for popsugar. 🙂,Monique Jenkins,2021-03-14T22:23:51Z,1
Loved this! 30 minutes flew by!,Nyssa Biedermann,2021-03-14T20:45:42Z,1
"This part, though!!!<br /><br />&quot;Take a moment to understand different ways you can show up for yourself. Is there any way that you&#39;re avoiding things in your life or holding off on things because you&#39;re waiting for an ideal version of yourself to magically appear? If that&#39;s the case, think about one thing you can take from this practice that&#39;s going to help you show up for yourself and appreciate every version of yourself that shows up. No matter what journey you&#39;re on, every version you wake up as is equally deserving of celebration and admiration.&quot;",Linnea Meredith,2021-03-13T23:19:25Z,5
Jessica&#39;s energy and vibes are on another level!!! ✨💚💙💛,Tiffany Foster,2021-03-13T19:42:03Z,1
So calming. Thank you Jessica 🙏🏾,falexis,2021-03-13T19:10:10Z,0
"thank you so much dear Jessica! please do more of those videos. you are amazing! first time i tried such a meditation for myself, i really enjoyed it. hugs and greetings from Austria  :)",LeBroccoli,2021-03-13T17:13:59Z,0
This is the best yoga video I&#39;ve ever seen. I absolutely love her. Please popsugar- more jessica jade!!!,First name Last name,2021-03-13T16:19:02Z,1
❤️❤️❤️,Tiha Jamal,2021-03-13T12:41:10Z,0
Thank you Jessica 😊,Sharon Wilson,2021-03-13T02:16:32Z,1
"thank you, it was so positive!! i loved your approach",Ola,2021-03-12T21:44:57Z,1
I needed this! My new Friday before work go to video 💜,IcedCoffee 425,2021-03-12T21:13:07Z,1
Thank you! 🌷,Carolina Almeida,2021-03-12T20:50:24Z,1
The thing is do I have the motivation to do this. I will tomorrow promise!!!!,Maria Borella-Leon,2021-03-12T15:41:59Z,0
Dear Jessica...loved this session...are there anymore lessons with you and where can we find you???,Antonella Micheli,2021-03-12T12:55:37Z,0
Lovely morning meditation! Helped me start my morning on a good note💞,DoeRaeMe,2021-03-12T11:31:39Z,1
"In love with her voice! So relaxing, perfect routine for today. More videos with Jessica please! ^^",Orfer,2021-03-12T11:21:06Z,2
More of this ♥️,Miriam Mateos,2021-03-12T10:41:57Z,1
"Come on, you hoped on the fat positivity too? That&#39;s unhealthy, and the idea that you help other women to feel healthy in so overweight bodies makes you bad people! Now everyone are trying to be politically correct, even though knowing that&#39;s unhealthy specially in ling term! Celebrate diabetes!",e-sense,2021-03-12T08:28:59Z,10
"you are dehumanizing her  - that&#39;s on you really, not on her",GemmaJohnshat,2021-05-07T14:40:33Z,0
"@Flonoii Sana oh hi again, I see you&#39;re bodyshaming AGAIN... like, please, uf you don&#39;t like a PROBABLY healthy woman doing something for her health, then leave and don&#39;t spread hate",Marina Herrerías,2021-03-12T18:51:36Z,3
@Marina Herrerías Are. You. Blind. and Dumb ?!?!?!,Flonoii Sana,2021-03-12T18:17:27Z,3
Are<br />You<br />A<br />Doctor<br />?!?!?!?!,Marina Herrerías,2021-03-12T17:36:51Z,2
Me parece bien poner variedad de instructores asi aprendemos rutinas de distintas maneras!Muy bueno<br />☺,Patry Carp,2021-03-12T05:14:34Z,1
My dumb ass was very distracted by the wall shelves with plants. I thought they kept appearing and disappearing and then realized the camera is angled lower to record you on the floor and that the plants are still up there on the wall lol sorry never mind. Definitely doing this video tomorrow! Happy Friday!!,AStarkIsBorn,2021-03-12T04:22:36Z,6
"Such a wonderful teacher! I would love to see more videos with Jessica. And thank you very much for showcasing diverse teachers. I love seeing &amp; learning from hosts who look like me, too :)",Janice Camacho,2021-03-12T03:34:18Z,1
"Yesssss, I LOVED this! Thanks Jessica! :)",skye casey,2021-03-12T03:02:57Z,1
I love this video! Jessica is so warm and inviting - a perfect mindfulness guide!,Naomi Finkelstein,2021-03-12T02:55:45Z,5
Great meditation,elinor kent,2021-03-12T02:19:15Z,1
More please !!!!!,Stephanie Schabel,2021-03-12T01:59:57Z,1
"I didn&#39;t know this instructor, I loved her voice and how she conducted the class, I genuinely want her back! Thanks Jessica and PS ❤️",TheSupersizzina,2021-03-12T01:38:34Z,17
"Yeah, I’m gonna need more Jessica. K thanks.",CeeRose,2021-03-12T01:01:34Z,1
Jessica you are very calming and reassuring great yoga session! 🙏🏾,Nicole Palin,2021-03-12T00:36:34Z,3
❤️❤️❤️,Stars Moon,2021-03-12T00:04:28Z,1
I love this. I need to see our bodies doing all things positive!  Thank you Jessica.,Queen Taylor,2021-03-11T23:20:12Z,6
Thank you so much Jessica.  Excellent job 👏.  Many Blessings to you 🙏,Teresa Whittley,2021-03-11T23:02:10Z,2
This was EVERYTHING I needed today! More of Jessica!!!,Lauren France,2021-03-11T22:55:12Z,7
So glad you enjoyed it!,POPSUGAR Fitness,2021-03-22T20:25:50Z,0
So excited for this!!!!! 💗💗💗,Prettymapleleaf,2021-03-11T22:06:27Z,1
I would def love to see more of Jessica. It is such an inspiration. I cannot believe pple are so rude and small minded. Keep doing what u are doing. Body shape does not matter. Its about positivity and state of mind. U never know where anyone is on their journey. Jessica is AMAZING!💖😉👌,Barbiedoll Elite,2021-03-11T21:54:03Z,9
"Jessicaaaaa!! Thank you for being SUCH a refreshing breath of air! <b>*This*</b> is a 🗣 real body, not only is it real, it is CAPABLE, STRONG and in 👏mo 👏 tion 👏. You better show them people that you didn&#39;t come to play, tuhdae! 💪 💅","No, Lola.",2021-03-11T21:52:28Z,9
"All bodies are real bodies, not just fat bodies.",M SD,2021-03-12T15:53:49Z,5
"@Greg A. INDEED! Lol Like every other fitness instructor on this channel had unrealistic photoshopped bodies. Us humans can only be fat to have real bodies. Yup, only in the USA!",Flonoii Sana,2021-03-11T23:42:20Z,3
Only in the USA 🤣,Greg A.,2021-03-11T22:34:53Z,5
"Great also for those in recovery, full of gratitude, full of hope, reassuring.",Karolína Rothová,2021-03-11T21:37:20Z,3
This was exactly what I needed today. ❤️❤️,kristase,2021-03-11T21:16:52Z,4
Thanks POPSUGAR for featuring diverse racial instructors &amp; those of varying body types. I&#39;m happy to be a subscriber!,Candace Dawn,2021-03-11T21:06:10Z,8
It’s so nice to see a body type of someone who looks like me doing yoga! Thank you. seeing diversity in exercise videos (a normally very non diverse area in terms of body types) means ALOT! Also the teaching in this was great.,Miss14,2021-03-11T20:53:34Z,10
Thank you for having me! &lt;3,Jessica Jade Yoga,2021-03-11T20:24:03Z,59
"This was amazing, thank you",Catherine Young,2021-03-25T18:18:59Z,0
thank you too! You are wonderful! ✨,Мария Шнайдер,2021-03-17T12:33:36Z,1
Jessica!!!! You are the best! Such an inspiration! You helped me love my body which I have NEVER done.  Wish you taught a class I could purchase or attend! Thank you for you!,First name Last name,2021-03-13T16:31:54Z,2
I hope you come back soon! This was just what I needed today 🙏🏼😌 Namaste,Vivacity Healing,2021-03-12T03:18:21Z,4
"OMG YES! Movement with different bodies, thanks Popsugar! And thank you Jessica!",raven jewel,2021-03-11T20:14:02Z,12
This was great! I got a little teary at the end. Thanks for a beautiful practice!,lillustpotion,2021-03-11T19:19:46Z,5
She&#39;s everything,Maria Luiza Aguiar,2021-03-11T19:08:04Z,25
Oh well..... Yoga is NOT gonna make you lose weight. Most definitely.,Flonoii Sana,2021-03-11T18:55:59Z,6
"Yoga and meditation is still a very healthy thing for someone to do despite it not being exclusively for weight loss. And she is moving her body. Any time you take time to move your body you are burning calories and doing something good for yourself. Besides, not everyone has the goal of losing weight. So stop shaming people for doing something good for their body just because this isn&#39;t what <b>you</b> would do.",Sophie Seim,2021-03-13T16:58:18Z,4
"@Daniela Then, self-delete. lol",Flonoii Sana,2021-03-12T18:11:06Z,1
"@Flonoii Sana nope, just tired of idiots",Daniela,2021-03-12T17:52:32Z,1
THIS REPLY WAS FOR J FLEURY NOT FOR YOU JESSICA ..SORRY MISTAKE..,Antonella Micheli,2021-03-12T17:51:49Z,0
@Jessica Jade Yoga YOGA IS NOT FOR WEIGHT LOSS WRONG CHANNEL DEAR JESS!,Antonella Micheli,2021-03-12T12:59:15Z,3
I love this!!!💙💙💙,Jeanne Pasko,2021-03-11T18:55:36Z,1
Great Video Love those Curves And Your Glutes look Great!🤗🥊🥊🤗,Troy Crawford,2021-03-11T18:55:22Z,2
Thank you! I enjoyed this 🥰,Tiffy K,2021-03-11T18:51:19Z,2
"I absolutely love this Channel because of its diversity and information it Shares! Keep doing what you do, it is fantastic!!",PreciousRareFind,2021-03-11T18:38:43Z,12
"❝ <i>Allow your challenges, your sacrifices, your sufferings to make you FEARLESS</i> ❞",LoveTroll,2021-03-11T18:26:23Z,25
When do we get to see Jessica again? Great host 👍😃,lecavalier32,2021-03-11T18:21:56Z,16
Thank you so much! From Italy milan.,Desogus Wife Woni,2021-03-11T18:18:23Z,6
