comment,id,date,num_likes
"This is one of the best workouts, the second set was really challenging. Thanks Lita , you are amazing ❤️",Ruqaya Ali,2021-04-20T07:59:51Z,10
This is an intense workout.  And you make it fun too Lita.  I hope to find more workouts like these.  Popsugar rocks.  Thanks!,Adam Gilchrest,2021-05-03T18:11:05Z,0
Absolutely love Lita! She&#39;s my fav. All of her workouts are fire!!,Charlene Cooper,2021-04-30T00:42:55Z,0
Great challenge and so positive!!!,Megan Hannam,2021-04-29T11:45:28Z,0
Fab class &lt;3 Thank you!,headinjar,2021-04-28T12:23:37Z,0
Popsugar finesse family kiss glrl man mindaugas 35 ring marrane sexy xxx s love,katie gulle katie gulle,2021-04-28T00:54:18Z,0
"okay back for day two, not as hard as day one, but this is a real ball buster. thank you!!!",Andrea,2021-04-27T21:47:20Z,0
Somehow finished. Sweating like tap,Vyankatesh Joshi,2021-04-27T14:41:47Z,0
"I loved this workout, thaks for sharing. Excelent beautiful Lady",Diana R Alfonso,2021-04-26T12:17:27Z,0
"Imtheboss01@<a href=""http://yahoo.com/"">yahoo.com</a>",my house,2021-04-26T08:42:35Z,0
Just the other day i was working out with lita&#39;s SELF workout🤣,Kyle Lemery,2021-04-26T07:03:02Z,0
215 calories!! yuhhhu,Brenda Vega,2021-04-25T23:28:30Z,0
