comment,id,date,num_likes
"ᴏᴋɪɴᴀᴡᴀ ꜰʟᴀᴛ ʙᴇʟʟʏ ᴛᴏɴɪᴄ <a href=""http://tinyurl.com/Okinawaa-Flat-Bellyy-Tonic"">tinyurl.com/Okinawaa-Flat-Bellyy-Tonic</a><br /><br /><br /><br /><br /><br /><br /><br /><br />!💖🖤❤️今後は気をライブ配信の再編ありがとうです！この日のライブ配信は、かならりやばかったですね！１万人を超える人が見ていたもん（笑）やっぱり人参最高！まさかのカメラ切り忘れでやら1かしたのもドキドキでした,. 💖🖤在整個人類歷史上，強者，富人和具有狡猾特質的人捕食部落，氏族，城鎮，城市和鄉村中的弱者，無`&#39;守和貧窮成員。然而，人類的生存意願迫使那些被拒絕，被剝奪或摧毀的基本需求的人們找到了一種生活方式，並繼續將其DNA融入不斷發展的人類社會。. 說到食物，不要以為那些被拒絕的人只吃垃圾。相反，他們學會了在被忽視的肉類和蔬菜中尋找營養。他們學會了清潔，切塊，調味和慢燉慢燉的野菜和肉類，在食品市場上被忽略的部分家用蔬菜和肉類，並且學會了使用芳香的木煙（如山核桃，山核桃和豆科灌木 來調味g食物煮的時候",2-henry con,2021-04-24T19:39:00Z,0
How many calories burnt in 10 mins any idea?,fatima Tariq,2021-04-18T00:00:21Z,0
80 to 100 calories,premlata sharma,2021-04-22T07:24:01Z,0
"1st Ramadhan, im doing this . Yass",Umi Salmah,2021-04-13T15:35:29Z,0
"Wow, loved it",Alcides García Cerchar,2021-04-07T00:55:50Z,0
Loved ur outfit,Yididya fikre,2021-04-01T04:25:13Z,1
Do you think will work this workout also for boys? Thanks,DMG Home Fitness,2021-03-31T23:11:42Z,1
@Brian Joyce Thanks for that mate 💪,DMG Home Fitness,2021-04-06T23:22:58Z,2
"As a man who just did it for the first time after being recommended this channel, I can tell you it absolutely works. She about killed me!",Brian Joyce,2021-04-06T22:41:09Z,2
"So Katie, according to the timer shown on the workout, at 4 minutes in you had already burned 1,500 calories??  Or was that showing your total burn for the day? Still seems waaaaay too high unless you work out for 8 hours a day.",Jodi Famulare,2021-03-30T11:48:41Z,1
Tan eik fai l am 20 years malaysia loph😍🤝👍😘👌,Tan Eik Fai,2021-03-24T16:12:34Z,0
Thanks you ok 😍😘👍👋,Tan Eik Fai,2021-03-24T16:12:45Z,0
"This was fun and quick, a nice break in a busy afternoon! Thanks Katie and PS ❤️",TheSupersizzina,2021-03-23T22:52:57Z,0
