comment,id,date,num_likes
Jake is the only man I let make me cry...,Giovanna Andersen Milani,2021-04-11T15:28:00Z,0
"Love you Jake!!!!!!! Working out with you is always so awesome!!!!!! Bringing love from Hohenfels, Germany!! Xoxoxoxo",Olivia Wild,2021-04-09T06:29:46Z,0
Awesome ❤️,Pratha Mehta,2021-03-31T14:13:32Z,0
"Loved it Jake! As usual, one of my favourite trainers!!! Your workouts burn so good and the time goes by so fast xoxo",Tasmin Golding,2021-03-28T21:24:33Z,2
I love Jacke!! Is my favorite pop suggar trainer ♥️,Darcy Chi,2021-03-23T17:44:51Z,0
jake is the best!!!!,Dominika Juillet,2021-03-17T04:15:49Z,0
Such a lovely video.,Dale Hanson,2021-03-16T20:36:08Z,0
Charles town and  hi,Camryn Watson,2021-03-16T01:37:52Z,0
Yay my darling Jake ❤❤❤,Vaishali Prakash,2021-03-10T13:02:43Z,0
Jake’s energy and enthusiasm is awesome! Keep his workouts coming!,Mirty Soto Rosario,2021-03-10T01:53:42Z,2
Probably the best workout with @Jake. Good burn and wobble in the legs and butt muscles.<br />Thanks @PopSugar 👍🏼,Paul Stanley,2021-03-08T11:07:00Z,0
"This is great ! But it&#39;s not cardio, it&#39;s a booty and legs workout",clement hervochon,2021-03-07T10:47:31Z,0
Always love Jake’s workouts! He’s the best!,Nancy Matthews,2021-02-26T16:14:28Z,1
A great burn 🙏,melissa lee,2021-02-26T15:51:32Z,0
Belgium 😉,Morgane Folon,2021-02-25T07:19:34Z,0
Loooove jake&#39;s workoutsss!!!,Isabela Graça,2021-02-24T12:43:22Z,0
italy,Katia Martinelli,2021-02-20T15:22:01Z,0
So cute and the workout is so effective 🙂,Nandini Reddy,2021-02-17T14:50:09Z,1
"You are the best, Jake!",J Wallace,2021-02-15T11:12:04Z,0
Супер!!! Спасибо за тренировку!!,Мария,2021-02-11T09:22:08Z,0
Thank youuuuuu,riham galal,2021-02-09T19:32:14Z,0
"Jake i love you, ur workouts are always the bomb xD &lt;3",Nan,2021-02-06T08:17:48Z,0
Loved it!,Nayeli Morales,2021-02-06T01:26:23Z,0
wow.. thank you  from Bali,JAYA PUTRA,2021-02-04T11:25:44Z,0
"bro, I only barely made it to <a href=""https://www.youtube.com/watch?v=suv5iVmjeWA&amp;t=25m45s"">25:45</a>... next time I&#39;ll do better &gt;:D",LoveTheCreator NotTheCreation,2021-02-04T03:43:47Z,0
Sooo good as always! Thank you Jake!💯🙏🏻💜,Mindy Milburn,2021-02-03T22:35:14Z,0
Jake I loved this workout! And thanks so much @popsugar for sharing this content !!!,Violeta Suarez,2021-02-03T15:48:06Z,0
"Amazing fun workout, he is the best trainer 🙏",Ivanna Martinez,2021-02-03T06:25:41Z,0
Jake you’re the best!,Rosemary Palmer,2021-02-02T17:04:52Z,0
😘,riya jessie,2021-02-02T04:35:41Z,0
I always love Jakes workouts!! Thank you!,Julie Ferraro,2021-02-02T04:03:50Z,1
I wait for my channel,O7,2021-02-01T19:36:30Z,0
My booty thanks you!🤣,lisa pilla,2021-01-31T18:14:15Z,0
Hi from Brazil!,Fernanda Borges Gewehr,2021-01-30T13:08:15Z,1
Amazing workout 💪 love the moves for the calves and side booty🤗 it was challenging but very good 👍 It was a good target for an area I&#39;m trying to keep toned🙂,Monique Jenkins,2021-01-30T01:41:04Z,1
"Thank you Jake, Loved it!,!😍💪😅",Sylvia Gamez,2021-01-29T12:46:21Z,0
"Hi, I am here from Czech republic🥰💖love ya",Katerina Marova,2021-01-28T13:05:13Z,2
"Thank you Jack for a great workout as always! And the paintings look awesome, great job!",Lara Bn,2021-01-28T06:34:05Z,0
"From San Diego California, love your work out, it is easy to follow ❤️",Lerna J,2021-01-27T17:53:56Z,1
I did this workout on Monday and my butt still hurts. Great one.,Barbara Havers,2021-01-27T12:59:50Z,1
This was intense! Proud to have finished. Much love from Ohio💙💜💞,JB,2021-01-27T12:20:59Z,2
love your workouts and vibe!,chuanini,2021-01-27T07:18:15Z,1
Every time I do your workouts I always get an awesome sweat. You’re so funny and I really enjoy and look forward to working out with you! 😊,Gina Etter,2021-01-27T01:35:14Z,0
Love it!!!! Thank you.,Karen Bonilla,2021-01-26T22:55:29Z,0
Hi from Perú. You are amazing! This was my first work out with you and was really good.,Yoleidis Guzmán,2021-01-26T21:06:47Z,2
LOVED IT!! Time passed very fast!,Vanessa Núñez,2021-01-26T19:30:16Z,1
Holy smokes! Thanks for a killer session!,Alice,2021-01-26T17:27:16Z,1
"Loved this. Thank you from Bristol, UK 😘",Nesta Francis,2021-01-26T16:35:02Z,1
Brazil working out with you !!!! Lets burn 😍👊🏻,Monique Cabral Lima,2021-01-26T13:23:11Z,1
"I can’t believe in that I did it till the end!🤤 Thank you!❤️<br />1. January 26, Tuesday✅",Afsana Abbaszada,2021-01-26T13:18:43Z,1
Jake is my fave trainer at Popsugar ✌️✌️🤸‍♀️🤙,Lea Adamič,2021-01-26T12:07:05Z,1
Love you all the way from germany 😁,Nicole Kaptan,2021-01-26T08:53:05Z,0
"Omgoodness saving this as one of my favorites! The authenticity and fun in this one is so good. Loving a good leg burn 🔥 while laughing so hard. Sorry that happened but beautiful recovery. And thanks for welcoming us to your home, your childhood talent (love Blue Dog) and portraits of yesteryear.  I&#39;ll be doing this again and again.",Chrissy fromNYC,2021-01-26T04:17:05Z,2
"So fun! And hit everything. Thanks,!",Wendy Wahman,2021-01-26T01:47:18Z,0
I love your workouts!!,AnaLucia Villanueva,2021-01-26T01:15:20Z,1
Great .  From Hong Kong,June CHAN,2021-01-25T23:51:26Z,0
😊,Ximena Centeno,2021-01-25T20:15:32Z,0
👍👈🏼👀🦵👅 that’s to making it count !,Sarah Davis,2021-01-25T18:27:02Z,0
His workouts are always killer ♥️♥️♥️can’t wait to do this one 😍,Courtney Peterson,2021-01-25T17:33:47Z,2
the best of the best. u have alot of fans in lsrael....,יערה קרקו,2021-01-25T15:45:52Z,0
Such an amazing workout! Thank you so much you are the best!,Kirsten Sackel,2021-01-25T14:41:18Z,0
missed this when is the next one?,Alexandra Goicoechea,2021-01-25T14:40:56Z,0
