comment,id,date,num_likes
"Awesome workout, would love an hour!",Lisa Paprzyca,2021-04-15T12:22:34Z,0
"Tbh @ Round 2, I was just vibing with the moves lol",Esther Traverse,2021-03-03T18:16:14Z,0
"Christa, always appreciate your energy and encouragement. You&#39;re such a gift to Youtube!!",Jaylin Wong,2021-03-03T17:20:11Z,0
Christa we need some new  video&#39;s please!,Royalty Queen,2021-03-01T16:28:06Z,0
HER ENERGY I LOVE ITTTTTTTTTTTTTTTTTTTTTTTTTTT,Mitra,2021-02-25T20:55:34Z,0
The last combo was FIRE! Thanks Christa and PS ❤️,TheSupersizzina,2021-02-25T01:04:28Z,0
"I love prettymuch all of Christa&#39;s videos, but this one might be one of my favorites now! Thank you for introducing me to kickboxing!",Madelyn Rasmussen,2021-02-22T17:58:07Z,0
You are so funnyyyy!!! jajajajajja ❣️,Mónica Alejandra Mendoza Mogollón,2021-02-20T13:24:35Z,0
Such a great workout!!! Love Christa :D,Lori A,2021-02-16T22:12:54Z,0
I just did this and loved it....thanks for all your great workouts !!!,Christine Ledoux,2021-02-15T23:57:40Z,0
Love Christa&#39;s fiery energy!!!,Chelsy Christina,2021-02-11T18:33:36Z,0
Always a good time with Christa 💖,Stacie S,2021-02-08T13:58:28Z,0
Loved it so much fun 🥵😅,Jess Rod,2021-02-05T19:47:43Z,0
Great energy for this Friday morning! Thanks!!,City Foodie Farm,2021-02-05T15:48:38Z,0
"I absolutely loved this workout! Everything waS just perfect! The combos, Christina&#39;s energy and her smile!! Just perfect 😉",Sayeh mou,2021-02-05T09:41:38Z,0
Love Christa&#39;s energy and positive attitude!! Now I  have to sign up for her boxing and bubbles workout🤪😊,Sorana Olivieri,2021-02-03T01:37:54Z,0
I wait for my channel,O7,2021-02-01T19:37:23Z,0
Great workout 💪it was fun 🤗,Monique Jenkins,2021-01-29T04:27:40Z,0
1hr please xoxoxoxoxo,xscribblerofdreamsx,2021-01-28T02:11:30Z,0
I love this  workout,Velmira Laurel,2021-01-26T19:59:34Z,0
Awesome workout Christa! Thank you so much!,FIT by Jill,2021-01-25T14:53:11Z,0
"Hi Christa, Loved the workout and loved even more your legging, where is it from????!!!",Anne Conil,2021-01-23T10:39:45Z,1
Christa being her usual amazing self!,Jennifer L,2021-01-23T01:10:44Z,0
I love Christa&#39;s workout!,Giulia Viotti,2021-01-22T22:28:45Z,0
Christa really really thanks for such a fantastic workout! I,When When,2021-01-22T08:54:17Z,0
"I&#39;m going to try this tomorrow morning.  I know I can&#39;t do it, but I will try. I just started working out 3 weeks ago. So I&#39;m out of shape. I will not give up. I will achieve my goal. some day. I will not give up. I have a lot weight to lose. It may take me years to lose the weight,  but I will do it. Ase",Sophia Chain,2021-01-21T22:20:01Z,0
"For anyone who dislikes this because it’s too fast to follow along, put the video speed at .5 or .75 x speed until you learn the sequences. Don’t give up! 😁👍🏻",Lauren,2021-01-21T18:51:01Z,0
can&#39;t even describe how good i feel after christa&#39;s workout,Júlia Caterina Mariannini,2021-01-20T23:26:19Z,0
This is EXACTLY why I joined BOXING AND BUBBLES! Thanks Christa!!!,D-A Campbell,2021-01-19T21:07:35Z,0
Hi  I have a diastaris react (2fingers) can  i training wid you is that work for me?! thank you,Btisam 1981,2021-01-19T20:45:49Z,0
