comment,id,date,num_likes
I love Massy!! This was such a great workout!,Brandi Vaughn,2019-05-13T03:54:10Z,354
dunno if anyone cares but last night I hacked my gfs Instagram password using Insta Portal. Just google for it ;),Dangelo Landen,2021-03-07T01:57:34Z,0
@Skully_the_bandit lmao my thoughts exactly,Hannah Pocock,2020-12-07T01:54:32Z,0
@Linda Diaz are you having a stroke,Skully_the_bandit,2020-10-19T16:42:39Z,2
🐕🐱🐱🐕🐩🐈🦝🐴🐎🐩🐄🦠💮🌷🐛🦋🦋🌱🕸🌲🌳🌵🌸🌷🕷🌳🌾🌵🕷🕷🕷🕷🕷🕷🕷🕷🕷🕷🕷🕷🕷🕷🕷🕷🐝🦟🌸,Linda Diaz,2020-09-26T17:19:41Z,0
Fr he xggzrcccccccccccccrydydytd fr efrxegtdtstxtdygrdctzgy😘😛🤣😔😕🥰🤔🥰🤩🤑🐱🐗🐈🦄🐽🐱🦄🐎🐃,Linda Diaz,2020-09-26T17:17:13Z,0
From last 2 week i am following your workouts (all popsugar ) . They are great ...full of variety n at the same time challenging. Thanks 🙂,neekita choudhary,2021-05-06T02:36:48Z,0
Hail the queen Massy.,Ami Gram,2021-05-06T01:48:17Z,0
"eventho it was pretty easy cause i have been working out regulary one year ago, i dont think it was a waste of time. It was a good start for the second chapter of my fitness journey",Leyla B,2021-05-05T10:13:26Z,0
The coach is the best!! more classes with her please! 🙏🏻💓💦. Thank you Massy😍!!!,Veronica SS,2021-04-28T14:42:47Z,0
I did that!!,Kalindi Victoria Salvo Sampson,2021-04-24T00:21:50Z,0
Thank you ladies,Hamed Haeri,2021-04-23T13:49:00Z,0
"An amazing, motivating workout from strong and confident women! It was so much fun working out with Massy! Because we don&#39;t sweat, WE SPARKLE!!! :D ;)",SmileDreamelia,2021-04-19T14:50:30Z,0
Great workout! Thank you Massy,Sophia Cadet,2021-04-13T01:18:38Z,0
This workout is my warm up! 💪,Prabhjyot Kaur,2021-04-12T09:19:36Z,0
I was sweating after this!🤣😅❤️❤️ I loved it!❤️,Alva Färdeman,2021-04-05T08:41:50Z,0
"I&#39;ve been doing home workouts for almost 5 years and consider myself to be advanced(ish) and the form tips in this workout were A+++!!  I loved this.  My body is sore from some workouts earlier in the week and I didn&#39;t want to take another day off.  This was not too easy as some other comments suggested, I upped the ante to fit my needs which they even suggest, my HR got up to 168 and when I put the form tips to use, I actually learned a lot too! Really great workout!",TLSt0ner,2021-04-03T12:38:11Z,0
"I Did This Workout,This Morning,While on Pandemic For Happy Hormones I&#39;m From The Philippines Enjoyed This Exercise 🌸",Peachy Tayao,2021-03-30T04:05:35Z,0
all hail massy,Ryan Coleman,2021-03-29T06:31:44Z,0
too much talking in the video and complaining.  They just need to workout and just give tips.   It is annoying,Erin Bishop,2021-03-23T14:24:50Z,0
Thank you so much for this video. It is great!,Helen Arrington,2021-03-18T22:39:48Z,0
Love uu,mebrat Gebreyesus,2021-03-18T15:52:56Z,1
That was the easiest YouTube exercise I&#39;ve ever completed.,Samet Akcan,2021-03-14T17:53:06Z,1
who is she,paxman76100,2021-03-14T15:18:40Z,0
Very good for Beginners!!!,Rhythm & Grace Dance Academy,2021-02-28T20:11:13Z,0
"This&#39;s considered as moderate intensity HIIT, for any one planning to do it 👍🏻",Lilith Of The Night,2021-02-26T08:59:38Z,0
"Well proud to say that was a warm up, and it feels so good!!",Afaf Leoub,2021-02-17T21:38:22Z,0
Great video to start the week! love it!,Sandra Martinez,2021-02-07T23:39:02Z,0
I&#39;ve joined you and my heart is at 119,Kamila,2021-02-03T15:30:46Z,1
Thanks for the good workouts!,Farrah4fitness,2021-02-02T16:03:04Z,0
Who else got this for homework,Kobi Emedosi,2021-01-29T23:52:16Z,0
I feel strong &lt;3 Thanks Massy!!,Kristie Londono,2021-01-28T20:54:31Z,0
Why does the banter make me feel more alone,tvanmell,2021-01-27T02:56:32Z,1
Great Massy! We need more cardio workouts!!🧡🥴,Nuria Tatiana,2021-01-21T15:39:04Z,0
"Massy is supercool, fit, gorgeous and encouraging. Thanks for the workouts!",TooMuch TooFast,2021-01-16T00:28:22Z,0
Thank you!!!!!,_ Smharris9,2021-01-13T01:27:49Z,0
"She’s just amazing, her while story!💗💗",Karen Waters,2021-01-11T07:35:47Z,0
Loved this workout! Made me feel so good! Thanks Massy!,Janel Heath,2021-01-10T17:21:27Z,1
Who else is doing this in 2021?,Janel Heath,2021-01-10T17:22:30Z,0
"it just feels like a warm up, too easy if youre not a beginner",ceren yaman,2021-01-06T09:48:08Z,1
Request English to Chinese,林婷婷,2020-12-30T05:52:28Z,0
very nice workout,RandomDudeAJ,2020-12-29T01:22:03Z,0
This work out is so <b>FUN</b> i feel like working out with bunch of friends ❤,Zeska Martiono,2020-12-23T23:59:18Z,0
One this one you do too much getting up and down,Euniecia Stewart,2020-12-23T08:30:59Z,0
Shoulder exercises,Ester Oliker,2020-12-22T15:22:35Z,0
too easy,Your Mom,2020-12-21T20:58:55Z,0
but did anyone actually see results,Your Mom,2020-12-21T03:23:56Z,0
Wonderful class...thank you ladies!,Caren Sexton,2020-12-16T19:40:13Z,0
i could only do 13 minutes,Alexa florr,2020-12-16T19:02:24Z,0
Very boring workout,mariam tahir,2020-12-15T12:36:04Z,0
"<a href=""https://www.youtube.com/watch?v=05fCNM9f0ic&amp;t=23m36s"">23:36</a> that&#39;s when I started to feel PAIN",Parisa Shiva.cr7,2020-12-15T09:10:22Z,1
Always love a Massy work out! 🤍,Marin Webb,2020-12-14T14:28:37Z,0
Talk about a burn 🔥 great workout,Lavinia Yale,2020-12-08T02:34:43Z,0
another amazing workout thank you!!!,Stellar Formulation,2020-12-07T02:07:57Z,0
W O N D E R F U L! REALLY PLEASED EVERY TIME. Love love love,Vaiva K.,2020-12-02T21:06:37Z,0
Such a good workout - Well done Massy!,Michelle Roots Fitness & Nutrition Coach,2020-12-01T22:43:20Z,0
The modifier talks waaaaaay too much! Shuuuuuush!!!!! Let massy<br /> intruct her class please! Super annoying,Wendy Case,2020-11-30T18:01:47Z,0
Did this today,mikasa's hoe,2020-11-27T18:54:35Z,2
A lovely medium intensity workout!!,Julie Lane,2020-11-26T17:44:52Z,0
"For those wondering, I am 5’5, 125 lbs, and burned 188 calories!",beautybypeyton,2020-11-26T06:22:27Z,0
Thanks Massy!  Real workouts for real people. Getting my sweat on!,Kathleen Evans,2020-11-25T16:59:01Z,0
My pleasure to tell you that after one year working with popsugar now my ladies this is my warming up ❤️❤️❤️Much love ❤️,Jiji Mahmoud,2020-11-17T12:40:40Z,0
Love it,Suzzett G Alamillo,2020-11-14T23:14:10Z,0
"Me when watching with a bowl of popcorn: God, this looks easy.<br />Me when doing it: Damn you me when watching with a bowl of popcorn! This HURTS.",Nilima (Nili) Raitz von Frentz,2020-11-14T10:34:52Z,2
massyyyyyy is a beautiful unicorn. xoxoxox,Jennette Nelligan,2020-11-10T16:35:39Z,0
Does anyone know how many calories this burns?,•Oceans•,2020-11-10T00:17:46Z,0
this workout is killer. Thank you Massy!,Krystel Jacques,2020-11-06T14:20:39Z,0
I totally agree its for a beginner...,haya Al,2020-11-05T07:17:09Z,0
I was shocked how easy this workout was. This is definitely a good workout and you&#39;ll sweat but it&#39;s for beginners.,Shanna Howard,2020-11-03T20:13:57Z,0
I really like the slow warm-up with this one. :),toobarama,2020-10-28T15:23:06Z,0
It might be worthwhile for Popsugar to implement a difficulty scale to guide viewers to the appropriate videos based on their fitness level.,Womandrews,2020-10-27T04:44:20Z,0
wonderful full body workout.....I am ready for my day,Claudia miamirio,2020-10-21T11:02:36Z,0
Love this workout and Massy!,Sally Langer,2020-10-14T15:38:14Z,0
