comment,id,date,num_likes
"Loved it, amazing instructor with such a positive energy! Thank you so much ❤️",TheSupersizzina,2019-06-24T07:03:59Z,408
"Creo que esto no es lo mío, tardo más en agarrar el ritmo que lo que dura el movimiento bye",Brenda Zavala,2021-02-07T20:01:15Z,0
Love her too,Mojovation Fitness,2020-09-10T15:28:56Z,0
This workout was amazing. Thank you,Carrina Esquivel,2020-04-20T15:20:08Z,0
"Agreed! The instructor was awesome: positive, high energy, clear and easy to understand verbal and body cues, her passion shined through the screen! Her girls with her are equally amazing and all are beautiful! I loved everything about this workout. I had fun and enjoyed it very much.",Tiffany Bee,2020-04-09T18:52:33Z,7
@POPSUGAR Fitness You gals should do an afrobeat workout,Salma Huseini,2019-11-22T13:33:31Z,2
One of my favorite workouts!,Michelle Knoepps,2021-05-09T02:45:38Z,0
"WELCOME TO HOTTEST DATING ZONE_ __P__R__I__V__A__T__E__S__E__X_❤️ FULL_TRENDING TOP THIS YEAR HERE ➡️ <a href=""https://hotslut.live/finlandsexxxx1adies365"">https://hotslut.live/finlandsexxxx1adies365</a> ⤵️<br /><br />!💖🖤❤️<a href=""http://www.youtube.com/results?search_query=%23%E4%BB%8A%E5%BE%8C%E3%81%AF%E6%B0%97%E3%82%92%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1%E3%81%AE%E5%86%8D%E7%B7%A8%E3%81%82%E3%82%8A%E3%81%8C%E3%81%A8%E3%81%86%E3%81%A7%E3%81%99"">#今後は気をライブ配信の再編ありがとうです</a>！<a href=""http://www.youtube.com/results?search_query=%23%E3%81%93%E3%81%AE%E6%97%A5%E3%81%AE%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1%E3%81%AF"">#この日のライブ配信は</a>、<a href=""http://www.youtube.com/results?search_query=%23%E3%81%8B%E3%81%AA%E3%82%89%E3%82%8A%E3%82%84%E3%81%B0%E3%81%8B%E3%81%A3%E3%81%9F%E3%81%A7%E3%81%99%E3%81%AD"">#かならりやばかったですね</a>！<a href=""http://www.youtube.com/results?search_query=%231%E4%B8%87%E4%BA%BA%E3%82%92%E8%B6%85%E3%81%88%E3%82%8B%E4%BA%BA%E3%81%8C%E8%A6%8B%E3%81%A6%E3%81%84%E3%81%9F%E3%82%82%E3%82%93"">#１万人を超える人が見ていたもん</a>（<a href=""http://www.youtube.com/results?search_query=%23%E7%AC%91"">#笑</a>）<a href=""http://www.youtube.com/results?search_query=%23%E3%82%84%E3%81%A3%E3%81%B1%E3%82%8A%E4%BA%BA%E5%8F%82%E6%9C%80%E9%AB%98"">#やっぱり人参最高</a>！<a href=""http://www.youtube.com/results?search_query=%23%E3%81%BE%E3%81%95%E3%81%8B%E3%81%AE%E3%82%AB%E3%83%A1%E3%83%A9%E5%88%87%E3%82%8A%E5%BF%98%E3%82%8C%E3%81%A7%E3%82%84%E3%82%891%E3%81%8B%E3%81%97%E3%81%9F%E3%81%AE%E3%82%82%E3%83%89%E3%82%AD%E3%83%89%E3%82%AD%E3%81%A7%E3%81%97%E3%81%9F"">#まさかのカメラ切り忘れでやら1かしたのもドキドキでした</a>,.💖🖤 <a href=""http://www.youtube.com/results?search_query=%23%E5%9C%A8%E6%95%B4%E5%80%8B%E4%BA%BA%E9%A1%9E%E6%AD%B7%E5%8F%B2%E4%B8%8A"">#在整個人類歷史上</a>，<a href=""http://www.youtube.com/results?search_query=%23%E5%BC%B7%E8%80%85"">#強者</a>，<a href=""http://www.youtube.com/results?search_query=%23%E5%AF%8C%E4%BA%BA%E5%92%8C%E5%85%B7%E6%9C%89%E7%8B%A1%E7%8C%BE%E7%89%B9%E8%B3%AA%E7%9A%84%E4%BA%BA%E6%8D%95%E9%A3%9F%E9%83%A8%E8%90%BD"">#富人和具有狡猾特質的人捕食部落</a>，<a href=""http://www.youtube.com/results?search_query=%23%E6%B0%8F%E6%97%8F"">#氏族</a>，<a href=""http://www.youtube.com/results?search_query=%23%E5%9F%8E%E9%8E%AE"">#城鎮</a>，<a href=""http://www.youtube.com/results?search_query=%23%E5%9F%8E%E5%B8%82%E5%92%8C%E9%84%89%E6%9D%91%E4%B8%AD%E7%9A%84%E5%BC%B1%E8%80%85"">#城市和鄉村中的弱者</a>，<a href=""http://www.youtube.com/results?search_query=%23%E7%84%A1"">#無</a>`&#39;<a href=""http://www.youtube.com/results?search_query=%23%E5%AE%88%E5%92%8C%E8%B2%A7%E7%AA%AE%E6%88%90%E5%93%A1"">#守和貧窮成員</a>。<a href=""http://www.youtube.com/results?search_query=%23%E7%84%B6%E8%80%8C"">#然而</a>，<a href=""http://www.youtube.com/results?search_query=%23%E4%BA%BA%E9%A1%9E%E7%9A%84%E7%94%9F%E5%AD%98%E6%84%8F%E9%A1%98%E8%BF%AB%E4%BD%BF%E9%82%A3%E4%BA%9B%E8%A2%AB%E6%8B%92%E7%B5%95"">#人類的生存意願迫使那些被拒絕</a>，<a href=""http://www.youtube.com/results?search_query=%23%E8%A2%AB%E5%89%9D%E5%A5%AA%E6%88%96%E6%91%A7%E6%AF%80%E7%9A%84%E5%9F%BA%E6%9C%AC%E9%9C%80%E6%B1%82%E7%9A%84%E4%BA%BA%E5%80%91%E6%89%BE%E5%88%B0%E4%BA%86%E4%B8%80%E7%A8%AE%E7%94%9F%E6%B4%BB%E6%96%B9%E5%BC%8F"">#被剝奪或摧毀的基本需求的人們找到了一種生活方式</a>，<a href=""http://www.youtube.com/results?search_query=%23%E4%B8%A6%E7%B9%BC%E7%BA%8C%E5%B0%87%E5%85%B6dna%E8%9E%8D%E5%85%A5%E4%B8%8D%E6%96%B7%E7%99%BC%E5%B1%95%E7%9A%84%E4%BA%BA%E9%A1%9E%E7%A4%BE%E6%9C%83"">#並繼續將其DNA融入不斷發展的人類社會</a>。.<a href=""http://www.youtube.com/results?search_query=%23%E8%AA%AA%E5%88%B0%E9%A3%9F%E7%89%A9"">#說到食物</a>，<a href=""http://www.youtube.com/results?search_query=%23%E4%B8%8D%E8%A6%81%E4%BB%A5%E7%82%BA%E9%82%A3%E4%BA%9B%E8%A2%AB%E6%8B%92%E7%B5%95%E7%9A%84%E4%BA%BA%E5%8F%AA%E5%90%83%E5%9E%83%E5%9C%BE"">#不要以為那些被拒絕的人只吃垃圾</a>。<a href=""http://www.youtube.com/results?search_query=%23%E7%9B%B8%E5%8F%8D"">#相反</a>，<a href=""http://www.youtube.com/results?search_query=%23%E4%BB%96%E5%80%91%E5%AD%B8%E6%9C%83%E4%BA%86%E5%9C%A8%E8%A2%AB%E5%BF%BD%E8%A6%96%E7%9A%84%E8%82%89%E9%A1%9E%E5%92%8C%E8%94%AC%E8%8F%9C%E4%B8%AD%E5%B0%8B%E6%89%BE%E7%87%9F%E9%A4%8A"">#他們學會了在被忽視的肉類和蔬菜中尋找營養</a>。<a href=""http://www.youtube.com/results?search_query=%23%E4%BB%96%E5%80%91%E5%AD%B8%E6%9C%83%E4%BA%86%E6%B8%85%E6%BD%94"">#他們學會了清潔</a>，<a href=""http://www.youtube.com/results?search_query=%23%E5%88%87%E5%A1%8A"">#切塊</a>，<a href=""http://www.youtube.com/results?search_query=%23%E8%AA%BF%E5%91%B3%E5%92%8C%E6%85%A2%E7%87%89%E6%85%A2%E7%87%89%E7%9A%84%E9%87%8E%E8%8F%9C%E5%92%8C%E8%82%89%E9%A1%9E"">#調味和慢燉慢燉的野菜和肉類</a>，<a href=""http://www.youtube.com/results?search_query=%23%E5%9C%A8%E9%A3%9F%E5%93%81%E5%B8%82%E5%A0%B4%E4%B8%8A%E8%A2%AB%E5%BF%BD%E7%95%A5%E7%9A%84%E9%83%A8%E5%88%86%E5%AE%B6%E7%94%A8%E8%94%AC%E8%8F%9C%E5%92%8C%E8%82%89%E9%A1%9E"">#在食品市場上被忽略的部分家用蔬菜和肉類</a>，<a href=""http://www.youtube.com/results?search_query=%23%E4%B8%A6%E4%B8%94%E5%AD%B8%E6%9C%83%E4%BA%86%E4%BD%BF%E7%94%A8%E8%8A%B3%E9%A6%99%E7%9A%84%E6%9C%A8%E7%85%99"">#並且學會了使用芳香的木煙</a>（<a href=""http://www.youtube.com/results?search_query=%23%E5%A6%82%E5%B1%B1%E6%A0%B8%E6%A1%83"">#如山核桃</a>，<a href=""http://www.youtube.com/results?search_query=%23%E5%B1%B1%E6%A0%B8%E6%A1%83%E5%92%8C%E8%B1%86%E7%A7%91%E7%81%8C%E6%9C%A8"">#山核桃和豆科灌木</a> <a href=""http://www.youtube.com/results?search_query=%23%E4%BE%86%E8%AA%BF%E5%91%B3%E9%A3%9F2"">#來調味食2</a>*$",Audrey Mcdowell,2021-05-08T12:46:23Z,7
I really enjoyed this one thank you &lt;3,Vee Dubya,2021-05-05T10:48:21Z,0
the instrumental at the beginning sounds like at Pitbul song,Sujeidy,2021-05-05T03:21:24Z,0
