comment,id,date,num_likes
"I just did this work out, and wow!! I feel like you are my personal trainer, and I love it! 😄💫",K K,2019-09-14T16:59:06Z,203
@Destiny Roberts girl  today  is  thursday,Farmer Amina,2020-11-19T23:20:22Z,0
"If you want more Deja, I just saw her choreography videos are coming out every Thursday starting tomorrow :-D <a href=""https://www.youtube.com/watch?v=hQp-XBAgDho"">https://www.youtube.com/watch?v=hQp-XBAgDho</a>",Destiny Roberts,2020-01-01T22:55:51Z,2
Hard Core? Where?,james bond,2021-04-24T15:54:46Z,0
hip-hop ? Where?,james bond,2021-04-24T15:54:33Z,0
This was so much fun! What is the chilled song at the end please? It&#39;s so lovely!,Jordan Wellard,2021-04-07T18:22:58Z,0
Wow this was the worst workout from pop sugar. So disappointed. 1. Where was the hip??? None at all. A joke. The workout was barley a work out or HIIT at that... none of the moves really got my heart rate up like that so I really had to advanced the moves. By in NO MEANS AM I ADVANCED when it comes to working out. So that’s really saying something.,Nishaa S,2021-03-30T20:37:34Z,0
I just filed this one under my playlist for the days I&#39;m just not feeling it but need to move my booty. This one is fun and can be as challenging as you want!,swisarmygrlfrend,2021-03-29T20:34:03Z,0
Where’s the hip hop music? So many great moves but the music doesn’t inspire you to follow along,Rosa Maldonado,2021-03-17T16:35:08Z,1
I loved this workout. Deja is such a great instructor. I felt like I was working out with my friends. I got a great burn. Thank you.,Ada Orie,2021-03-02T17:14:12Z,0
"Than you, I saw the plus size girl and thought, that I can do that too, so it really helped me to finish this workout",Oppenheimer Roberta,2021-03-01T20:36:00Z,0
"Thank you, first time doing this session. Loved it, I definitely will make this one my go to sessions.😁",LadyD,2021-03-01T19:29:21Z,0
Do I need to warm up before this? How many times per week can I do this?,Yoliko,2021-02-28T05:02:15Z,0
"I usually love Deja&#39;s workouts, but this one felt weak; I didn&#39;t feel like I was getting a good workout at the end of it. It won&#39;t stay in my rotation. But if you are looking for a low impact low cardio workout, this may be for you.",Dana Jones,2021-02-14T21:00:13Z,1
"Like the people, looks pretty, but not really hip-hop music at all in my opinion.  Good inspirational messages!  Very pretty aesthetic.",Maya Dutta,2021-02-13T16:03:04Z,1
Sad that the plus sized girl was not given a bra to actually support her.,Tori Ashley Matos,2021-02-09T02:18:28Z,0
Her: we are at our next core water hydration <br />Me: <b>sweating while drinking Aquafina</b>,Day6atemywallet,2021-02-08T01:11:52Z,0
"Thank you Dear Deja for making your videos, I love your energy and the video is so focused! cheers!",Noemi Ivancso,2021-02-06T19:57:58Z,0
How many calories will this workout burn?,Khushboo Bhatia,2021-02-06T11:39:37Z,0
Her outfit is so cute!,curlychavelita,2021-02-05T19:36:34Z,0
wow i just started to watch this channel yesterday and exersice with you these workout is amazing i lost so much weight thank you so much,Klaudija Naujokaite,2021-02-05T11:29:48Z,0
no wonder it is called hardcore,Robin Rawat,2021-02-04T16:28:11Z,0
I really liked this workout!! You make a 30min workout seem like no more than 10 min. I am inspired and comfortable with my body!!!! Thank you.,Elena Zoghbi,2021-02-04T13:47:27Z,0
"This was fun! According to my apple watch I burned 225 calories...I wouldn&#39;t really call this HIIT tho, it wasn&#39;t intense enough, even doing to the &quot;advanced&quot; poses",Isabel-Mae99,2021-01-30T20:09:29Z,0
"Русские, вы тут?",Daisy Vika,2021-01-29T17:18:17Z,0
my  quarentine practice everyday 2021,brenda costa,2021-01-28T13:44:04Z,1
Calories burned 224,premlata sharma,2021-01-18T11:29:58Z,0
