comment,id,date,num_likes
"HI  EVERYONE!!!! This workout looks fantastic!! I adore weight training  and the  exercises do not look boring,  PEEEEERFECT!!!!!!",NAIADACREATIONS,2019-01-13T17:11:07Z,224
@Mario Ryker awesome! Took about 20 mins but it worked!,Karter Anders,2021-03-17T10:14:50Z,0
i dont know if anyone cares at all but in less than 15 minutes I hacked my gfs Instagram account using Instaportal. Just google for it if you wanna try it,Mario Ryker,2021-03-17T09:58:55Z,0
"Hello! I created this workout with my daughter, and I&#39;m looking for people&#39;s feedback! If you would like to try it, pls let me know 😊💪👉<a href=""https://youtu.be/xRwWgOwPKTA"">https://youtu.be/xRwWgOwPKTA</a>",Agata Nicosia,2020-11-10T22:27:58Z,1
I MISS ANNA  TOO!!!!!@POPSUGAR Fitness,NAIADACREATIONS,2019-01-15T22:15:15Z,1
We loved this workout!,POPSUGAR Fitness,2019-01-15T21:56:07Z,5
"I&#39;ll admit this workout completely killed me. Right now I only workout 2x every week and I&#39;m trying to increase that gradually. I tried sticking with the advanced and wow did I feel that afterwards. This is one of the toughest I&#39;ve had to do, considering I&#39;m more of a runner, but I would so recommend this to others! These girls are absolute warriors!",Brenda Mendez,2021-05-04T22:07:03Z,0
This was awesome.  I like that all muscles were worked!,J.C. Dotson,2021-05-02T15:45:04Z,0
Those warmup looks crazyyy woo,nimmin100,2021-05-01T16:08:16Z,0
"YOOOOO, THAT WARM UP IS CRAZY",Natalie Haynes,2021-04-26T00:01:37Z,0
"This is great! But does she know what a second is?? i feel like the circuits were rushed, and then when she started counting it was really fast, much faster than a second. She&#39;s very talented and in great shape, so I trust her a lot! It just felt like we were speeding through the entire workout instead of really focusing on the current one",Emily S,2021-04-23T18:09:46Z,0
Who on this earth goes so wild in a WARMUP!!? 🤪,himangi sharma,2021-04-19T02:42:42Z,0
"These ladies are superwomen. I tried this workout and SHEESH i would say definitely not a beginner workout at all, but incredibly good. I did fast forward a couple of the circuits because i did the first one a little to hard, so PACE YOURSELF LADIES we don&#39;t need a second day of agony.",Helena,2021-04-18T19:12:35Z,0
this was insane!!,Lex Go Financial,2021-04-17T19:15:38Z,0
wow what a real workout! thanks,Sergio Romau,2021-04-17T11:23:31Z,0
This old circuit did me good!! Thank you!,Charmaine Gibson,2021-04-11T14:34:57Z,0
this is the warm up they said. this is the warm...[ON THE FLOOR CRYING],Amira M.,2021-04-10T17:52:53Z,0
Is the lady in yellow pregnant?,Ami Gram,2021-04-09T15:38:11Z,0
Oldie but goodie! Thank you!,Charmaine Gibson,2021-04-02T20:48:52Z,0
"Oh my frickin’ goodness. THAT was a workout! It was hard, but I loved it!",Meli Loonsfoot,2021-03-30T11:28:20Z,0
Is this for beginner&#39;s also ? Is this mostly for hands? No legs?,Eumorphia Artemiou,2021-03-29T17:12:11Z,0
"Really good moves in the workout and a nice trainer. Downpoints were that she doesn&#39;t fully explain how to safely do the moves which is so important with strength training, and her 10 second countdowns lasted between 30 and 5 seconds.",Amy Garfield,2021-03-18T18:46:55Z,0
"Thanks, my legs died while doing this workout so i’m sure that it helps alot to burn burn calories",Saxen Art,2021-03-18T15:21:48Z,0
I love this workout!  It’s perfect for a short 30 workout,emily main,2021-03-16T21:22:00Z,0
I hate jumping exercises but I&#39;m going to give this a try.,Faith in all things W,2021-03-13T18:54:33Z,0
My arms are on fire!!! I&#39;m sweating so bad!! Every exercise combination was a surprise...I was like..It can&#39;t get any worse...But Ingrid proved me wrong!! ;) I FEEL SO STRONG AFTER THIS WORKOUT!! Thank you PopSugar Fitness :),SmileDreamelia,2021-03-13T15:05:44Z,0
"Great workout! I liked the combinations, thanks!",Maggie Baker,2021-02-28T15:07:30Z,0
This woman tryna kill me less than 60 seconds into the video 😭,CheekyLovesCheeseCake:),2021-02-24T13:09:09Z,0
"I love this workout. Not enough weighted strength training out there that’s really fun. I’ve been doing it twice a week, and I always feel so strong afterwards.",Devin Davis,2021-02-23T16:33:20Z,1
I love PopSugar Fitness videos but this was not my favorite strength training. I liked a few of the moves but overall it felt rushed with an emphasis on speed over form.,Julia Lechner,2021-02-21T01:45:22Z,0
Great workout!! I was cussing out the trainer the whole video 😂. She’s a badass!,Phuong D,2021-02-20T19:24:18Z,0
Does this help with skinny fat???,Sadie B,2021-02-19T02:08:24Z,0
بفمفثج,Asdfgasdfgasdf Asdfgasdfgasdf,2021-02-17T16:19:23Z,0
"warmup ends around <a href=""https://www.youtube.com/watch?v=fjzdyBWx9AI&amp;t=2m18s"">2:18</a>",Peach Bunny,2021-02-09T22:18:16Z,0
How many calories will this burn? Please reply.,Roshika Susan,2021-02-07T21:46:23Z,0
