comment,id,date,num_likes
Burned 159 calories in 15 mins!! Such a great workout,premlata sharma,2021-02-11T12:14:03Z,0
So good! No idea how I missed this one when it came out.,rose/rose,2020-10-03T15:09:44Z,0
"<a href=""https://www.youtube.com/watch?v=jF4HUU7irTs&amp;t=3m46s"">3:46</a> How do we go from super easy to super hard like that?",chitty' cha cha,2020-09-10T02:21:12Z,0
just did this as a quick lunch workout - so wonderful! thank you Deja and PopSugar Fitness!,Paige Rohde,2020-08-24T16:52:44Z,0
<b>I had to do this for school-</b>,cutie cake,2020-08-21T17:23:23Z,0
Love the music,laurel,2020-08-05T00:57:21Z,0
This is my favvvv,Karoll Thairy,2020-05-30T16:41:42Z,0
Amazing ❤️ struggles but I know I’m going to get it,Zanele Zimu,2020-04-20T10:15:35Z,0
This was perfect for a quick workout! I got my heart rate up for sure,Rachael DeLashmit,2020-04-16T00:22:48Z,0
so good! thank you!!,Wendy Wong,2020-03-26T15:52:24Z,1
That was fun,Aya Aly,2020-03-20T15:45:33Z,1
I&#39;m sure you&#39;ve heard that you are a young Lauri Ann Gibson,Longhair Dontcare,2020-02-12T03:52:28Z,2
"Yes, she actually used to be my boss + mentor. I absolutely LOVE her!",Deja Riley,2020-04-06T20:33:31Z,1
love u!!!,Yuxin Jin,2020-01-31T13:32:10Z,1
love you back 💞,Deja Riley,2020-04-06T20:34:11Z,0
"I liked this but it was a little hard for me to follow, I wish how to do the moves were explained more.",Ayame Krislock,2020-01-17T23:16:56Z,7
I totally agree. You have to watch a couple times first because she does not explain what to do clearly. No one wants to do that,Stacey Pranckus,2020-04-02T11:10:48Z,0
top sempre! adoroooo&lt;3,Valdeyka Costa,2019-12-13T17:30:40Z,1
God I love Deja workouts so much!! yay for Dance FitSugar. I had so much fun and was able to work up a sweat on a I day i thought i wouldn&#39;t have time to workout,Marcela De León Toledo,2019-12-03T02:25:25Z,2
Marcela De León Toledo way to go Marcela 😃🤍 P.S. I love you too 💕,Deja Riley,2020-02-02T05:09:05Z,1
I&#39;ve never seen anyone as positive as Ellie on this channel ♥,Kateřina Synáková,2019-12-01T20:00:48Z,8
Oh thank you so much! Glad you were able to join us for a quick sweat 💛,Ellie Aviles,2019-12-27T23:15:52Z,3
I want to do this tomorrow!,Annika,2019-11-18T19:24:08Z,1
boring,Mar Lopez,2019-11-15T12:41:08Z,0
I love this trainers energy!,Karlee,2019-11-03T10:39:28Z,9
Karlee thank you Karlee 😃✨,Deja Riley,2019-11-03T15:52:43Z,1
"Short, sweet and sweaty ....I&#39;m in love❣️❣️",Agnes W,2019-10-24T14:16:15Z,2
"@Deja and team, thank you! This really got me out of my hiatus. So fun.",N. T.,2019-10-21T23:28:34Z,2
N. T. So awesome! Glad your back working out with us 😃✨,Deja Riley,2019-11-03T15:53:12Z,1
Deja woooww!  I&#39;am in love with this workout ❤ How much we loose with this workout?,Dilan Tuzun,2019-10-20T10:20:03Z,1
