comment,id,date,num_likes
Great workout,JACQUELINE Di MATTIA,2019-12-29T17:49:32Z,9
Does anyone know who is this guy? He is hilarious!!!!! 😂😂😂,Ignacio G. Perotti Pinciroli,2020-03-24T12:50:03Z,0
"Hi, I&#39;m certified fitness coach seeking collaboration! Thnx",Xtrem Defence,2020-02-13T15:09:02Z,0
"Thanks this was really nice , it helped me to start my exercise routine",Aya Ali,2020-02-11T21:06:19Z,0
"Hello friend! Are you like walking or cycling? You might be interested in an app that motivates people to walk more, because you can make a little extra money by walking. It works so that for every 1000 steps you get 1sweatcoin and it is worth about 0,4 euro. For these sweatcoins you can buy different products (currently offers RAW sticks, speaker, OGarden ... product offer is constantly changing), but you can also choose 1000 € per paypal (for 20 000sweatcoin), or buy a discount on some product, sweatcoins in addition, they can be forwarded between accounts, so you can save on one thing in more people. It works on the principle that the company pays the app for advertising and part of the money you just like in the form of sweatcoin, you just have to walk them. It works, check out the reviews, download them in the tens of millions, I can highly recommend. Check it out and see for yourself by logging in via the link below, so we&#39;ll get a bonus and be automatically friends;).<br /><br />❤️https: //@t",Sek[i],2020-02-08T07:18:22Z,0
I dance with you sar nice sar i want,MD Dance group MAL,2020-02-01T03:53:41Z,0
Que onda con la que se rie mucho ? Una falta de respeto,T T,2020-01-26T21:37:02Z,0
I got so excited when I saw Rainier in the thumbnail! He&#39;s my absolute favourite trainer you guys have worked with :) Hope he makes more appearances on PopSugar (in free workouts)!,Nancy L,2020-01-24T01:28:33Z,1
need to try this need more energy ❤️❤️❤️❤️❤️ 😘😘  want to be more active,Kell’s living,2020-01-20T03:17:14Z,0
"Hey!! I love your  workout videos a lot, they are so motivational !! 😊 They always remind me to never give up!A big fan of yours from Hungary!😊",Beáta Rázsiné Kovács,2020-01-13T17:03:54Z,0
Cool,Kamila Hi,2020-01-11T05:52:37Z,0
"Hi, I broke an elbow and now I can not stretch all the way my arm or bend it. So I hope you can make a video with low impact on the arms. Like not putting much weight on it. Thank you",Creativo Amor,2020-01-10T18:36:44Z,0
I stopped for Jake Dupreeeeeee,nickie216,2020-01-05T13:36:14Z,0
"Meet me here  <a href=""http://www.vipxcams.com/"">www.vipxcams.com</a>",Sabrina Zekzaki terassi,2020-01-04T20:24:57Z,0
Un bijoux Anna and gorgeus team! Happy new décade guys.  Grand bonjour de la France. MERCI !,Surferas Chile,2020-01-03T12:12:38Z,1
Christa is comiiiing agaiiiin.🙌 💛🙏,Chrissie M,2020-01-03T10:36:33Z,0
i sexy body too,Dr Matin EAR CARE,2020-01-03T04:46:24Z,0
Damn all my favorite trainers! I don&#39;t have money to spend on this stuff so I guess I won&#39;t see them anymore. I love Jake and Renier but I can&#39;t buy their workouts. So bummed.,Sarah Dominello,2020-01-02T14:41:07Z,5
check out sydney cummings channel for bodyweight and dumbbell workouts FREE,Blair Van Tassel,2020-01-01T18:37:03Z,0
You guys are the best 💓,WangKong,2019-12-31T22:21:13Z,1
