comment,id,date,num_likes
"Only Jake DuPree can make me buy a whole ass workout program. I am so excited, his workouts are the best",Mo Nete,2019-09-29T16:36:02Z,243
no i dont really like jake but hes ok,Devon Teng,2021-01-28T23:04:17Z,1
You cant get bored of him I swear the workout goes fast,Ruba odeh,2021-01-17T18:41:02Z,0
Lol yes only jake is exactly right!! Hes great and entertaining!,Meagan Elizabeth,2020-09-08T21:24:36Z,0
Get the popsugar app and the workouts are free,Laura Rubin,2020-06-02T04:00:58Z,1
"So true, have similar thoughts!",Sheetal Doshi,2020-01-14T12:53:38Z,2
Sweating like crazy over here,Alex Zarate,2021-04-29T05:49:30Z,0
Anyone else get amused when someone asks if you workout and then have trouble explaining what POPSUGAR is ?,Corbin Dallas,2021-04-16T22:46:31Z,0
FYI - did this without weights due to injury and it was still an absolutely KILLER workout!,roustabout jones,2021-04-08T16:22:37Z,0
How does jake makes everything look so easy?????,leongermiishell,2021-03-11T05:21:06Z,0
I could do Jake DuPree workouts everyday forever! Soooo good!,Amy Major,2021-02-22T13:49:19Z,0
"Left me sweating like crazy, one of the best workouts I´ve done... LOVE IT!!",Valentina Cadavid Rozo,2021-02-03T20:59:39Z,0
Omg I love his energy and quick full body workout 😍🤠,Sherri Ricard,2021-01-27T14:28:32Z,0
Jake Dupree makes me so confident while working out and he makes sure that my body gets so toned and that I have fun while actually sweating my butt of! More of his workouts please. I would even endure a 60-min workout with him. &lt;3333,Alin Zainab D.,2021-01-14T14:47:46Z,0
"I always feel I&#39;m being kidnapped by him because there isn&#39;t a warm up at the start and I&#39;m used to it but I really prefer his way because I can&#39;t escape, it&#39;s always challenging, I don&#39;t have the time to think. Plus his jokes are really good.",I'M BOBBY,2021-01-12T21:16:34Z,0
What does he eat to have this right amount of energy,Sharmila Rao,2021-01-03T05:27:44Z,0
"Brilliant, as usual! This was my first workout of 2021! Thank you to Jake and PopSugar.",Bronwen D,2021-01-01T09:16:41Z,0
✌️,Jyothsna Ganga,2020-12-20T03:33:55Z,0
I’ve done so many of popsugar workout videos this past year but this is one of few episodes which I didn’t check the timer even once!!!! His workout is THE BEST!!!! Thank you so much!!!,Yuka T,2020-12-09T04:49:18Z,0
Love this!!!,Jenny Extravaganzza,2020-12-03T13:36:11Z,0
Somebody teach him how to count numbers 😭😹,abdhiArgal,2020-11-26T07:26:28Z,0
Omg my butt is hurting 🙈😂💪🏽,blgygntcs89,2020-11-25T22:02:01Z,0
Who&#39;s the girl on the left?,ben barajas,2020-11-24T03:17:45Z,0
your workout videos are the BEST THING I’ve ever come across. Thank you for your hard work. 💜,aaronlei阿拉雷,2020-11-20T08:59:35Z,0
He is my fav! 😍😍😍😍,Ash Michele,2020-11-16T20:57:19Z,0
This is my go to workout when I dont have the motivation! He is the best &lt;3,Peta Lewis,2020-11-15T23:36:33Z,0
literally love him and his workouts! ❤️,Catherine Busse,2020-11-10T00:29:09Z,0
When did a press The level 6x speed? Only 7 minutes and I am SWEATING,Isabela Soares,2020-10-05T21:31:11Z,0
"This work out is my best, i feel always motivated while doing it, thanks jacke💚",chouchou hfa,2020-09-25T08:16:16Z,0
Omg this was soo intense,Andrea Rodríguez,2020-09-11T19:54:08Z,0
Thank you Jake. you incredible &lt;3,umniah alhalaby,2020-08-25T19:59:58Z,0
Jake: you can take a break when you&#39;re dead.<br />Me: omg i&#39;m dead already!🤣,Elisabeta Avadanei,2020-08-24T09:33:41Z,5
i absolutely looooove him and his workouts,Safell Siguenas,2020-08-17T10:35:21Z,1
"Hola me guata mucho el ejercicio podria  hacer sus ejercicios sufro de artrosis de rodilla ,cadera y columna",Liliana Gonzalez,2020-08-14T21:19:17Z,0
"you are amazing.. Jake Dupree is my best here,, I always want more of these workouts &lt;3",umniah alhalaby,2020-08-13T13:50:39Z,0
Gosh he is strong..his breath is so steady n this routine isn&#39;t easy at all..🤪👍👍👍👍,KOKOAXXXable,2020-08-06T03:03:01Z,0
My favorite class ♡  thank you very much ♡♡&gt;,magpie lucky,2020-08-01T07:45:31Z,0
only jake dupree can move me like a cheeta......,Anjali's Little World,2020-07-29T02:58:45Z,0
"Holy shit....I just finished Jake&#39;s workout....man they are absolutely killer, but in good way!....at the end of the session I got literally drenched in sweat!....<br />Thank you Jake for this wonderful workout",Vaishali Prakash,2020-07-21T05:48:42Z,1
Loved it!  Jake DuPree&#39;s workouts are always so much fun!  My sweat was dripping and my booty was screamin&#39;!!!  Thank you!,Jinky,2020-07-18T21:15:55Z,1
Jake’s my fave sugar in the sugar pop series! U kill me every time and I love it! Thank u 🥰,Patricia Chow,2020-07-12T02:46:52Z,0
Love this workout! Amazing! My new favorite instructor!,Brenda Moulden,2020-07-10T14:49:26Z,0
"Yay! Jake is the best - burning, sweating, laughing",Edwina Farley,2020-07-01T06:15:20Z,0
Very intense and powerful but enjoyable !! Bravo and thank you!,josyan madi-skaff,2020-06-26T06:19:03Z,0
thank you so much to Jake Dupree and to Popsugar for this amazing workout!,Taruni Gopi dasi,2020-06-19T11:09:22Z,0
this was my favorite workout of all times!! the first 10 minutes I almost died but it was so amazing!!! how is he talking during the all video !!!!!<br /> i loved it because it is a real full body workout and also has a real good stretching at the end. Every time I have to  my own stretch because it&#39;s always so rush at the end but this was amazing!!!!!! THANK YOU,FraFra1990,2020-06-19T01:05:50Z,0
Tried this one today..everytime I do jakes workouts I’m doge and sweaty like gross looks like I just took a shower!,Angela DeFonte,2020-06-18T00:00:08Z,0
I LOVE Jake!,Farnaz,2020-06-09T03:41:11Z,0
"It’s killer literally , I’m dead after this workout 🥵",Arwa Ibrahim,2020-06-05T19:10:23Z,0
Best workout!! Officially my new favorite go too😊 thank you!,Tzipporah Shmurak,2020-06-01T21:27:44Z,0
Gonna try this workout everyday for a month. Day one I had to stop ten minutes in. Hoping by 30 days I can do it with no modifications all the way through!,The Clark Channel,2020-05-23T00:12:38Z,4
@Apelsine thank you! 😍,The Clark Channel,2020-07-10T19:42:43Z,1
@The Clark Channel Good work!!!,Apelsine,2020-07-07T04:50:17Z,0
"@123morenitaa hi!!! 3 weeks in, I can do it fully through without stopping! I still have to do some modifications, but if you keep going (I took one day off a week) it gets so much easier - and the results are GREAT :)",The Clark Channel,2020-06-19T23:29:12Z,3
Hi and now can you do everything? I will try tomorrow but I know i will have to stop after 5 minutes to rest... Jake is the best coach,123morenitaa,2020-06-19T23:18:53Z,0
"Whoa, what just happened?  It was either a tornado or an amazing workout.  Started with 3 lb weights, quickly dropped to 1 1/2 lb.  Could keep up with the cardio better with the lighter weights.  My daughter asked why that guy was so busy.  :). Great workout.",Emily Barnhart,2020-05-17T12:34:31Z,0
"&quot;I don&#39;t believe in break, so you can take your break when you&#39;re dead&quot; 😂",Monina Ann Bungay,2020-05-13T07:24:47Z,9
