comment,id,date,num_likes
My fave was the red floral dress with black shoes! ❤️ Love your fashion videos the most! Thanks for another one. After this quarantine is over we are all  going to be fashion queens! 😂😂,Samanta Rizzi,2020-04-28T10:09:54Z,0
Omg where are the high waisted boyfriend jeans from the first outfit from? I love the wash and the bottom of the jeans also 😍,pinkeeluvr,2020-04-14T16:16:58Z,1
Where are you boyfriend jeans from gorgeous xxthanks. Xx,Louise Pellegrini,2020-04-10T16:42:16Z,0
I love you and your videos always bring so much light to my day---especially knew I had to check your channel during quarantine! You are so wonderful and I love your style. :),Bella Field,2020-04-09T23:02:31Z,0
"Cute Pajama Set<br /><a href=""https://m.facebook.com/story.php?story_fbid=619783648617394&amp;id=408482426414185"">https://m.facebook.com/story.php?story_fbid=619783648617394&amp;id=408482426414185</a><br />Clothing Store : <br /><a href=""https://arkoffashion.com/"">https://arkoffashion.com</a>",Gabry - Ark of Fashion,2020-04-08T19:17:44Z,0
Wow modeling is your passion and love keep it up coz thats whats make u happy i support kaastigbahaymo,MON & SALBE YOUTUBE,2020-04-07T17:22:59Z,0
Can you please do an updated get ready with me for this makeup and hair ?... your skin looks so good !,HolaNoemi,2020-04-05T05:50:51Z,0
Love the outfits,Fashion Style,2020-03-31T07:48:53Z,0
Ugh super cute outfits Tess. I really enjoy your fashion videos. 💜 I also miss get the look videos 😭,Jeanette Tinoco,2020-03-28T05:07:23Z,0
Omg your dresser😍,Logan Porter,2020-03-27T13:24:08Z,0
First and last 💖,aroona kc,2020-03-26T17:30:00Z,1
Tess do a what I eat in a day video,Iman 9,2020-03-25T13:19:02Z,0
Omgg first outfit 😍😍,Ranuly Perera,2020-03-25T06:39:23Z,0
Could you do a video of comfy outfits that you can wear whilst in quarantine but still feel cute to keep spirits high and also motivate me to get out of bed and out of my pjs 😂,Imagination Beauty,2020-03-23T17:13:16Z,0
GIRL !!! I love the way you organized your jewels behind you !! plleeeeaaase do a room tour especially related to how you organized your cupboards and this jewelry area because I STRUGGLE with mine as I have so much !!! thanks beautyyyy,Alexia Diam,2020-03-23T10:53:26Z,0
Do you self tan? If so what do you use!?!,Cierra Mt. Pleasant,2020-03-21T17:52:02Z,0
I&#39;m wearing the same clothes since a week in quarantine ! Spring outfit - payjamas,Farisa Khan,2020-03-21T03:04:48Z,0
You&#39;re so cut,Sávio Gonçalves,2020-03-21T02:27:47Z,0
You should try PF Flyers sneakers. Set you apart from the converse crowd. Awesome video Tess✌🏽,ABSV /a beautiful sunset vlog,2020-03-20T14:22:07Z,0
Love outfit 2! Dress and black combat boots are a great combo! Love it. Will rock it this summer or sure! Outfit 4 is my second fav.,Celimene,2020-03-19T09:29:41Z,0
"Love these outfits but suck cause, we are in quarantine",Michyy nicole,2020-03-19T01:03:57Z,0
🤎🤎🤎,Shivani Gogar,2020-03-18T23:49:48Z,0
Anyone else getting Hannah Anne outfit vibes? You look gorgeous and I love all these outfit ideas ❤️,Victoria Gillerlain,2020-03-18T23:17:47Z,0
Ok I love them ALL,LittleMissHailey,2020-03-18T19:15:52Z,1
Cuteeee,An Ode To You,2020-03-18T18:11:20Z,0
"I don’t ever comment anything negative on tess’s videos (or anyone’s). She was, for a long time, the only content creator I could stand. But her recent IG post, more specifically her response, really bothered me. She had originally captioned her post that she was going to “self isolate” out of town with her friends and vlog, as if it is a vacation and not an international health crisis. Many people commented that doing that goes against CDC recommendations and is really quite reckless and is furthering the problem. People don’t get that you may spread or get this this by touching anything, talking to a cashier, touching and putting back grocery items, etc which is why people are being asked to go out for essentials only to minimize risk to everyone. You don’t know if your cashier (or their spouse) has CF or is old or has asthma and can’t just stay home from work. Instead of addressing comments, trying to understand everyone’s concerns, or deleting the post she just closed the comments and reworded the post to make it look like she was staying home. This was misleading and very irritating. She clearly doesn’t want people to see the original post and everyone’s comments on it because it gave away what was in the original post which got negative feedback. I have unfollowed and am disappointed that someone I’ve respected so long would do that just for likes (which equal money for an influencer). Even if she totally disagreed and kept the post up and with original wording I would understand and that would have shown integrity. But to shut off comments and mislead people intentionally is disappointing. I thought people should know.",Kassandra _,2020-03-18T16:33:19Z,10
Love the neutral look with the jumpsuit! &lt;3,Esperanza Lorena,2020-03-18T14:26:38Z,0
Love the oversized blazer!,INTOAMILLI LADY,2020-03-18T09:33:15Z,0
I love your fashion videos! I really love the first and the last outfit! I also like the idea of wearing a floral dress with combat boots (although I don&#39;t own a pair of combat boots yet).,Darkbrume Caldin,2020-03-18T08:34:51Z,0
I’d love to see a “spring outfit essentials” video that’s not sponsored,Alexandra Tisor,2020-03-18T05:24:32Z,4
Loved these!!,Mekalah Anderson,2020-03-18T04:29:41Z,0
Where are these chains gold earrings from I&#39;m obsessed! Been a follower for a long time absolutely love you content!👏🏼 Keep Killin it!💁🏼‍♀️,Taylor Amlin,2020-03-18T02:18:27Z,1
love the jumpsuit!! i need that!,Grace Caroline Fletcher,2020-03-17T22:18:23Z,0
Perfect outfits to wear from your kitchen to your living room for a lovely quarantined spring day 😂😂,Megan Alexis,2020-03-17T21:27:27Z,0
I need more get the look!,Princesse 182,2020-03-17T19:57:21Z,0
Love these looks😍😍😍,Chiara Scaglioni,2020-03-17T19:46:34Z,0
I would love to get those white boots from you! You lookin to sell? 🙏,theannouncerbiy,2020-03-17T19:30:46Z,0
You have the most amazing style! &lt;3 Stay safe hun.,Angelina,2020-03-17T17:24:32Z,0
Tess are you still releasing a clothing line??,Sapir Angel,2020-03-17T17:19:53Z,0
your style is soo inspiring!! i always see you popping up on my Pinterest ! 😍,adelyn elizabeth,2020-03-17T16:52:08Z,0
Hope everyone is staying safe this quarantine time! Greeting from North Carolina were there’s no TP anyways let’s be online friends Instagram @_claudia_am,Claudia AM,2020-03-17T16:10:47Z,0
Loved those looks! That jumpsuit was super cute!,Tiana Gidley,2020-03-17T15:50:15Z,0
Whereeeeee is your dresser from?????😍,Ally Alvarez,2020-03-17T15:44:36Z,0
I would love to see a thrift store styling video! You could also talk about the different thrift/vintage stores in NYC and which are your favorite. &lt;3,Sophie Hannig,2020-03-17T14:31:27Z,0
