comment,id,date,num_likes
"I hope you guys are all doing well, staying in and staying healthy! *As stated in the video, the part with my friends was filmed awhile ago. I just wanted to reiterate that so there is no confusion.<br />Feel free to leave some video requests of what you want to see while we are all staying home. Love you all a lot, thanks for watching :)",Tess Christine,2020-04-04T23:06:28Z,334
Tess Christine what do you eat at home quarantine video and pj quarantine outfit videos and quarantine morning/night routine ☺️🌻,Melanie Perez,2020-04-05T23:02:06Z,1
i just really wants to see you so just keep uploading and i&#39;ll be happy ❤❤,Hedaa Said,2020-04-05T18:01:05Z,1
Tess Christine please stay safe 🙏🏼,Michelle de Jesus,2020-04-05T11:37:53Z,0
the girlfriend of harry styles,twipink subs,2020-12-02T15:08:58Z,0
"Your eyebrows look to dark, the last one was so funny!👍😂",Connie R Montoya,2020-09-07T23:34:58Z,0
"This video just told me that I don’t have any friends in <a href=""https://www.youtube.com/watch?v=RLUCsHHLLUE&amp;t=10m40s"">10:40</a> ways 🙌🏼🤣🤣🤣🤣♥️♥️♥️♥️",A B I,2020-08-10T22:06:36Z,0
I love that Pat is always up to everything hahahaha what a man,Agustina Castellano,2020-06-15T22:01:00Z,2
Where are your earrings from? I have been looking for a good pair of chunky gold hoops.,Sabrina Rai,2020-05-25T01:36:04Z,0
This made me smile!!!! So cute!!!! Thank you Tess. &lt;3,Penelope Urot,2020-05-14T08:39:49Z,0
Do another video like this was funny,Geiosha Wilson,2020-05-10T16:28:06Z,0
you are the only person who would make me consider going on tiktok!!,qzectbu145,2020-04-25T03:49:02Z,0
Tess this is one of my favorite videos of yours ever😭😭 My friends and I looove TikTok we even have a shared account. The clips of you and your friends dying of laughter and watching your own TikToks perfectly sums up why my friends and i love making videos lol. Hope you’re safe and healthy❤️,Tatiana Vargas,2020-04-17T20:40:57Z,0
i want friends like this so badly,Sarah lol,2020-04-15T19:51:04Z,1
"So I&#39;m at <a href=""https://www.youtube.com/watch?v=RLUCsHHLLUE&amp;t=4m31s"">4:31</a> and I can&#39;t help but think that Pat looks like Harry Styles",Sanahin Lucinae Arabyan,2020-04-13T22:59:32Z,0
THIS WAS SO CUTEEEEEEEEEEEEEEEEEEE OH MY GOODNESS THANK YOU!,Millie,2020-04-12T01:02:43Z,0
Tess it seems like all of you just look even more stylish the longer you’re on YouTube! Amazing,Jillian Damiani,2020-04-10T20:25:26Z,0
I&#39;m laughing at all of the tik tok comments saying Pat is Harry Styles. can&#39;t believe they don&#39;t know the OGs :(,MsXD100,2020-04-10T17:11:08Z,0
SUPER CUTE,Jessa Peque,2020-04-10T08:44:05Z,0
"This was super nice to watch, refreshing take on the tictok trend. Thank you.",Monecia Sinclair,2020-04-10T03:32:12Z,0
"Tess&#39;s videos are my favorite, she&#39;s the best",Sherry Faith,2020-04-10T00:09:54Z,0
That was so much fun!! Hope to see you on our channel too!,The Passeggiata,2020-04-09T19:40:36Z,0
So funny 😂 love  you both,Ellie louise,2020-04-09T19:36:26Z,0
"if you do this again soon, you should do the &quot;choose your player&quot; quarantine style!",Rosie Lambert,2020-04-09T19:32:08Z,0
Living for this 😂,ChandelW,2020-04-09T15:49:45Z,0
LOVE LOVE LOVE this,Kristina Pentecost,2020-04-09T15:22:07Z,0
Thanks for this funny video 😍,Agathe S,2020-04-09T10:17:19Z,0
This was so cute!,Hannah Carrico,2020-04-09T00:48:14Z,0
"<a href=""https://youtu.be/w-jYFTz1QMk"">https://youtu.be/w-jYFTz1QMk</a><br />EXPLORE SINGAPORE<br />Please support,like &amp; share",love It,2020-04-08T16:48:49Z,0
Hilarious 🤣 that’s all I had to say. Lol loved it✨✨,Fia Swish,2020-04-08T14:37:14Z,0
Thanks for this light content it’s what we need right now! Where are your bed pillows from? I love the colour combination 😍,Maria Star,2020-04-08T08:00:26Z,0
The last one was soo cute! I love you guys!,Ana García,2020-04-08T06:20:11Z,0
"loved the video!<br />stay safe, tess",Diana Rocha,2020-04-07T21:58:58Z,0
Where is your necklace from? 😩,Olivia G-F,2020-04-07T21:10:41Z,0
"I really appreciate the fact you took the time to speak about coronavirus. Thank you for those who are suffering! I&#39;m thinking about you because I know you are in NYC, and it&#39;s a mess there rn. Sending you a bunch of love from France and thank you for still making videos! Love you Tess, really!",Maïwenn,2020-04-07T16:28:02Z,0
"Omg, the pureness in your voice in the beginning is the reason I subscribed to you and stay subscribed. You’re so down to earth and it’s so refreshing to see..love the video Tess, hope you’re staying safe and healthy during this time ❤️ 💗 ❤️ 💗",Vina,2020-04-07T09:51:07Z,1
that was hilarious lmao,Weronika Zofia,2020-04-07T09:33:25Z,0
when she said i love y´all I wanted to cry,audrey begliomini,2020-04-07T08:18:12Z,0
Aggghhhhhhh I love you so much!,Jackie M,2020-04-07T02:35:17Z,0
You could do a Zoom mukbang with Lady Speedsticks ;) love y&#39;all,Daniella Sabrina,2020-04-07T01:13:28Z,0
Omg I laughed so much 😂😂,Melike Akca,2020-04-06T22:00:55Z,0
"Thank you for uploading this xo really hope you’re doing well and Pat too xo <a href=""http://www.youtube.com/results?search_query=%23StaySafe"">#StaySafe</a> and <a href=""http://www.youtube.com/results?search_query=%23StayStrong"">#StayStrong</a> - in this together xo",Saffyy,2020-04-06T21:58:37Z,0
"They say the app is from China and that they are sharing you information from your account to photos to messages, etc. Becareful.",Yachy Ivy,2020-04-06T20:11:52Z,0
838 lmao,talkingtoalison,2020-04-06T14:57:04Z,0
Super random question but where do you get your bras from?,talkingtoalison,2020-04-06T14:55:20Z,0
Do not watch whilst your partner is on a conf call -- made me laugh out loud x),Sara De Vocht,2020-04-06T12:20:04Z,0
So nice to see your face ❤,linndyz,2020-04-06T11:31:26Z,0
where is ur tan jacket from?! in the first Tik Tok??,Katie T,2020-04-06T02:27:27Z,0
