comment,id,date,num_likes
Loved the Harry style look it was so good!!! 🤍,Elizabeth Sigamoney,2021-03-07T06:54:24Z,1
This is too good! Patrick is on point !,Laurence,2021-02-24T15:34:15Z,0
Your husband basically looks like if Harry Styles and Yungblud had a child together. I’m not even kidding,Sabikun M.,2021-01-18T14:37:13Z,0
If I were Patrik I would be dressed as Harry Styles for halloween OMG THEY LOOK SOSOS OOOOOOO ALIKE!,Noa Fist,2021-01-15T16:22:51Z,0
TESS you should do another video like this but instead you should dress up like your look alike Jessica Alba i’ve always thought you looked like her!! and recreate iconic outfits from some of her movies scenes<br />btw i loved this video patrick is such a trooper😂,Paula Montenegro,2020-12-23T19:46:47Z,0
lmao when covid ends you should to a social experiment and take him out in public dressed as harry and see if people go crazy,Elizabeth Bacher,2020-12-07T00:35:14Z,1
harry styles who?,Hot Chocolate,2020-10-28T21:31:22Z,0
The Harry one kinda freaked me out he looked so much like him lol,Shannon Evans,2020-09-24T02:05:39Z,0
"That Harry was AWESOME!!! Great job you guys, you two are goals haha 🥰",Beatriz Santos,2020-09-12T05:55:50Z,0
Hahahaha omg Ace Ventura is SPOT- ON!!! 🤣🤣🤣🤣🤣👌 Nailed it!,Vikingsandra,2020-09-10T19:24:22Z,0
If you were to do this again you should do Thomas Doherty too 😊,Hailey Ruiz,2020-09-08T21:43:33Z,0
Holy... Loved it!! Huge Harry fan and gotta say Pat nailed it,samuelssonemma,2020-09-04T16:35:45Z,0
Omg I am FREAKING OUT over that Harry one!! It’s so good and it looks so good on Patrick!!,Demi Strong McKowen,2020-08-30T02:11:23Z,0
When I first started watching your videos and saw Patrick I taught he was harry styles <br />😂,Talia R,2020-08-27T10:14:05Z,0
Your hubby is such a great sport and wow you guys nailed all the looks!,Kye Hutchins,2020-08-21T10:35:42Z,0
😂😂😂😂😂,Ana C.,2020-08-21T01:32:25Z,0
Amazing!! 🤣 Pat is so funny!,Luna Blandin,2020-08-16T19:13:43Z,0
"Sooooo you’re trying to tell me that’s not Harry Styles? 😂 you guys did such a good job, honestly he resembled every single person you guys recreated",Sarah Farma,2020-08-07T15:49:13Z,0
I love this video! Thanks for the smiles ❤️  Recently Patrick has been reminding me of Rami Malek!,Vanessa Bongon,2020-08-03T20:56:18Z,0
This was amazing 10/10! As a Harrie you did incredible 🖤,Athena M,2020-08-01T19:41:44Z,0
