comment,id,date,num_likes
where is that leather mail holder from,Ashley Kim,2021-04-12T03:36:03Z,0
Hey Tess Love ❤️ you’re Channel you know you’re boyfriend looks like Harry Styles 💕💕💕💕💕💕,Lakeshia Jones,2020-07-31T10:23:32Z,0
So happy I stumbled across your channel! You have the best energy and I’m loving your content!✨🌟,Kim K.,2020-07-27T16:42:18Z,0
&quot;HI&quot; Tess &amp; Patrick  xoxoxoxoxoxo,lynne kelly,2020-07-15T16:05:59Z,0
"where is your free standing mirror from....Patrick, have you read all those books in quarantine?",lynne kelly,2020-07-15T16:04:23Z,0
She speaks like Kim Kardashian. 😂🍑,Sanskriti Barua,2020-06-06T09:05:27Z,0
Where is your cardigan from?,Sabrina Rai,2020-05-25T01:30:13Z,0
Tess this is one of the many reasons why I watch you. My fiancé and I are currently playing game cube too for the last few months. You guys should get Mario party games they are so much fun. Can you do a kitchen inspired tour ? 😊,Haley Hager,2020-05-21T13:16:17Z,0
Those dumplings sound so good 😍,Lauren Mixture,2020-05-03T21:20:44Z,0
"Hi Tess, where are your gold hoop earrings from? They&#39;re beautiful!",zainy217,2020-04-29T06:37:53Z,0
☺️,りーさ,2020-04-26T04:05:09Z,0
I haven&#39;t tried this coffee yet!! I was afraid it was going to be weird?! I love your reaction because that would&#39;ve been mine! haha,H Madz,2020-04-25T18:24:08Z,0
"honestly, most gorg wedding photos i&#39;ve ever seen",Amanda V,2020-04-23T18:22:47Z,0
Can you do a video about your favorite jewels and include those gorgeous gold earrings? 😍 Thank you Tess!,StellaBlundy,2020-04-23T09:50:26Z,0
Where did you get your photo frames?,Laura Day,2020-04-22T12:47:51Z,0
"Hey Tess, where is the cardigan from you’ve been wearing on top of the Fabletics set? Thanks for keeping up filming and getting people’s minds off of the negative things happening out there!",xsterolinex 0403,2020-04-21T10:29:44Z,0
"Nice Vlog😻 I don’t know how many your videos I’ve watched since ever I found you on YouTube but this perfect couple hasn’t changed✌🏼 Love them obviously🤩 Whenever I watch your videos, the way that you edit, the selections of music, and....just every single process is easy n fun to see🙂 Nice works!",YU 11,2020-04-21T02:35:48Z,0
Love your bed frame!,Kassidy Wooley,2020-04-21T02:24:53Z,0
Phone case?!,Nyaira,2020-04-19T14:32:19Z,0
"Tess, you have the most interesting Day In My Life video! Everyone is doing that but yours are always so diverse and fun to watch. You really put effort into it. I&#39;ve been watching your videos for so many years. Love you, Patrick, and you guys&#39; relationship, and your personality. Your personality shines through",Chantal Liu,2020-04-19T13:37:27Z,0
"Tess my fiancé loves your videos but this one completely upended out Saturday morning; these whipped coffee instructions are a hoax! We feverishly whisked by hand 3X - different batches etc. with no success! This was an utter and complete disaster for us.... We noticed you cut the video and the coffee was finally magically in this so called whipped state. Could you please do a testimonial to tell us how much time it took to achieve this and whether it is actually worth the effort? <a href=""http://www.youtube.com/results?search_query=%23whippedcoffeetruther"">#whippedcoffeetruther</a>",Ryan Jones NSNY,2020-04-18T17:22:13Z,2
Always love your videos! Where’d you get your shower curtain?!😍,Tianna Cruz,2020-04-18T12:33:09Z,0
Your wedding photos are so BEAUTIFUL and so is your apartement.,They Call Me Red Fox,2020-04-18T12:11:48Z,0
"Instead of using a hand whisk, you could use an electric hand whisk or beaters to get the right consistency, faster. 😊",Lisa Johnson,2020-04-18T10:52:45Z,0
dumplings looked soooo good 💗💗,Aurélie Jenna,2020-04-17T21:07:59Z,0
Monkey Ball is the best. Do the monkey racing mini game!!,Morgan Perrin,2020-04-17T19:00:20Z,0
caint wait for a complete apartment tour it looks so pretty already !🥺,Aïcha,2020-04-17T18:45:58Z,0
What brand is your comfy sweater? so cute!!,Laura Heathcott,2020-04-17T13:28:12Z,0
I prefer italian coffee hahah,Yaiza Ivars,2020-04-17T13:06:17Z,0
You look like jessica alba and you are gorgeous ❤ following you for 5 years now and saying this now 😂😂,Safiye Zehra Uygun,2020-04-17T08:44:46Z,0
Need an apartment tour pleaseee &lt;3,Kamakshi Bhaskar,2020-04-16T18:01:57Z,1
Looks vile,Shell Charles,2020-04-16T15:01:37Z,0
the wedding photo of tess with pats hat on reminds me of the scene in the parent trap where hallie helps her mom at the bridal photo shoot haha,Olivia Lorenz,2020-04-16T14:51:00Z,0
"I love love love being at home, I have so many things to do why are people complaining lol...",Melissa Moreno,2020-04-16T14:07:00Z,0
Pierogis are so tasty... Could it them everyday,Marina WavePl,2020-04-16T10:16:16Z,0
Can anyone tell me where are chairs from? Ones that stand by the kitchen island? I&#39;ve been looking for them for a long time :(,magdalena sochacka,2020-04-16T09:42:03Z,0
Patrick looked like Harry styles in the thumbnail,We're stronger together,2020-04-16T08:28:15Z,0
Love the wedding pictures &amp; frames!  what size were the pictures ? Love your videos ❤️,DILIA ACOSTA,2020-04-16T05:17:00Z,0
Love those workout clothes 😍✨,Chiara Scaglioni,2020-04-16T05:08:26Z,0
"She has such a newlywed glow! Super beautiful, and can we talk about how amazing their apartment aesthetic is !! 💕",Nayeli Mendiola,2020-04-15T22:45:24Z,0
"I have a question, do you get the same results using an electronic hand mixer than whipping it by hand?",Anna Cannon,2020-04-15T21:34:46Z,0
congrats on not saying &quot;um&quot;! i know its hard breaking habbits. loved the vid 💕,Jana,2020-04-15T21:25:39Z,0
Where’d you get your shower curtain? I have a little yellow tile in my bathroom and it’s so hard to find a nice curtain with gray and yellow like that.,Carassee Souvenir,2020-04-15T20:48:31Z,0
Hi Tess :) Where are your floral decorations from?????,Berenice Penaloza,2020-04-15T17:49:28Z,0
"Ugh I love perogies!!!! They are sooo slept on, we saute onion and jalapeno with them and they are soooo good.",Brennan Larson,2020-04-15T17:24:39Z,0
What lipliner did you use? I love it so much!,Rachael Rutherford,2020-04-15T14:26:15Z,0
Can we pleeeeease do an apt tour?!,Tanya Karazan,2020-04-15T06:39:43Z,0
I wanna try her dumplings but I live in Colorado,ColoradoChic,2020-04-15T05:13:39Z,0
OMG I TOTALLY FORGOT ABOUT MONKEY BALL!!!,monica loves cats,2020-04-15T05:00:59Z,0
Patrick likes Bob Dylan :),sherry cruz,2020-04-14T21:56:01Z,0
Omg!!! That Hanson T shirt!!!,Moran Sharon Wollach,2020-04-14T21:41:54Z,0
"Hi Tess, Watch all your videos, Lpve them. Could you kindly list or review your bedroom tour. You mentioned in the moving in video that you were expected new furniture. I absolutely love how your new apartment concept is with the woods and the textiles like the brass bedframe. Would love to know where you received the items. If you have prior please forgive. Also separately will try the whipped coffee. Also love you and Patrick. So motivating.",Nicky J.,2020-04-14T21:39:04Z,0
I would love to see an at home workout routine from you :),Mind.of.Lilly,2020-04-14T21:04:56Z,0
"I think you guys would really love backgammon, you should get a board!",Sarah McIlvain,2020-04-14T20:34:19Z,0
Can you share your rug details? Love your bedroom space! Thanks for being a light of positivity 😊💕,Chandra DeBeir,2020-04-14T19:26:27Z,0
"Hello Tess! I love those gold frames, I am getting married soon and am on the hunt for some beautiful frames. Do you remember where they are from? Thank you!",Laura Leyva,2020-04-14T18:49:58Z,0
I haven’t seen your videos in a while but omg I gotta catch up on so much. 😅💕,Stephanie Lazo Magno,2020-04-14T18:46:50Z,0
Random but ...Where did you get your couch ?!,Bobbe Urena,2020-04-14T18:37:02Z,0
"When I built my bed from Ikea, I hadn&#39;t realized I had to buy a whole separate &quot;mid beam&quot;. So I had to sleep on an air mattress until I found a day when I could drive an hour and a half to the nearest Ikea, where I purchased a midbeam... then I accidentally left it in the food court because my hot dog distracted me. Had to drive all the way back the next day to pick it up. <br />Congrats to anyone who read all that lol",Amy Hughes,2020-04-14T18:18:49Z,85
Omg lol... that sound awful,Ainat,2020-04-25T19:12:53Z,0
The thumbnail had me ngl ...i thought harry styles is havin din with selena gomez ..gosh how i clicked fast,Khadidja Jay,2020-04-14T18:09:50Z,0
"Totally love your new apartment, it looks so cute!!",Tiana Gidley,2020-04-14T17:35:59Z,1
What color lipstick are you wearing? 😬,Dee Reyes,2020-04-14T17:32:55Z,0
"Random question but do you have any fav wines? I’m trying to explore but don’t know where to start. Most wine that I’ve had, have been from going to wineries. Pls help ✨",jayy22,2020-04-14T17:23:21Z,0
Can you do a apartment tour,Diana Hernandez,2020-04-14T17:12:18Z,0
You have to have Trader Joe’s Colombian instant coffee!,Iris Lopez-Guevara,2020-04-14T16:50:19Z,0
Dalgona coffee,Rachel Happy,2020-04-14T14:35:22Z,0
oh my gosh monkey ball is the best game!! i&#39;m so jealous you get to play that!,Allison Battillo,2020-04-14T13:31:07Z,0
she is so sweet supporting small companies. love you. Let&#39;s support each other. Pls subscribe to my new YouTube channel. That will be a lot to me and motivate me to do more workout videos. Stay safe. Stay fit. Love you all,Dida Farah,2020-04-14T13:30:36Z,0
"I saw that y’all’s vinyls were being stacked face down, and correct me if I’m wrong, but I have always been told that doing that warps them so that they are bent after being like that for awhile. Can anyone else put their input? I would love to become more educated because I’ve always had mine upright :)",Harley Lee,2020-04-14T12:27:58Z,0
omg love that you&#39;re playing monkey ball on gamecube!! Best game everr,Theonie Adams,2020-04-14T11:54:33Z,0
"I still don&#39;t understand why people put on extra pillows on the bed, you put them on the bed in the morning and get them off the bed before you go to bed.",Free Music,2020-04-14T11:14:28Z,1
Thanks for sharing xx,Faith love to Praise,2020-04-14T09:53:13Z,0
"<a href=""https://youtu.be/9pSUTvVh5g4"">https://youtu.be/9pSUTvVh5g4</a><br />Join me in this Bible study and find out which of Noah&#39;s children you descended from 😊",Faith love to Praise,2020-04-14T09:53:04Z,0
What a cute apartment. Love it ♥️,Jo - WanderWithJo,2020-04-14T09:25:22Z,0
Απλά φραπες με γάλα 😅,Katerina Palaiochorinou,2020-04-14T09:02:19Z,0
Add some caramel to the top of the coffee!!,Olena Semenova,2020-04-14T06:46:47Z,0
"Loved this video &lt;3 Will you please do an apartment tour, it looks amazing &lt;3",Urška Zupančič,2020-04-14T06:33:30Z,0
we love queens who support their friends businesses &lt;3,Rosalie Arianna,2020-04-14T05:33:18Z,1
Does anyone know Tess&#39; Pinterest?,Beth,2020-04-14T05:16:45Z,0
"Your husband’s tattoos are so nice! I especially love the one on his upper right arm, its so simple yet so amazing!",Mellie,2020-04-14T04:36:37Z,0
💕💕,Dragana,2020-04-14T04:01:57Z,0
PSA honey also works instead of sugar in the whipped coffee! I use an electric frother ($6 from target) and it’s sooo yummy and fluffy,Sophie T,2020-04-14T03:58:18Z,0
"I love your little home. Super, super cute x",Ana Mckearney,2020-04-14T03:32:24Z,0
"Coffee for the energy and mood and decorating the new apartment, very productive day😊",Lorenzo Aioanei,2020-04-14T03:11:09Z,0
Where is your shower curtain from? Lol,priscilla vargas,2020-04-14T02:54:14Z,0
I spy that beautiful bottle of Empress Gin from BC 🇨🇦,Erica Hewson,2020-04-14T02:46:46Z,0
We have the same plate/bowl/dish set! We got them as a wedding gift and love them! Hope you two are staying happy &amp; healthy!,Kayla Howard,2020-04-14T02:32:16Z,0
Love you hope you are staying safe i know its very hard right now in new york. Im in Jersey so we aren&#39;t that far off but really hope your love ones are ok. 💪🏼🥰😍🤗,beatriz limon,2020-04-14T02:10:29Z,0
I remember watching you move across country to your first NYC apartment and this apartment is very much giving me those vibes! Love what you’ve done! Hope you guys are doing well💖,Brittany Maddox,2020-04-14T01:48:54Z,0
Whippin the coffee in the white outfit had me on my toes 😆,Cassidy,2020-04-14T01:29:37Z,0
"I was just on edge the whole time you put the coffee in your cup, because I was so worried you&#39;d get it on your cute white leggings!! I have a similar pair and they&#39;re so easily to accidently stain... cute video ❤",Just Being Ania,2020-04-14T01:23:26Z,0
Add cinnamon and/or cocoa powder to the coffee! It makes it sooo good,courtneylynnlove,2020-04-14T00:55:50Z,0
"wow she’s really not eloquent at all is she. “Tastes like chocolate milk...but...coffee...”, “that peanut butter lookin’ stuff..”",mm,2020-04-14T00:10:20Z,0
"Whipped coffee comes from India and Pakistan (and potentially other places such as macau),  but it’s NOT AN AMERICAN THING. I feel like people need to hear and understand before they white wash and appropriate it completely.",mm,2020-04-14T00:06:37Z,0
I absolutely loved just seeing you spend a day at home 💛 So glad you shared!,linndyz,2020-04-13T23:44:45Z,0
Where are your frames from?,qtravelers,2020-04-13T23:39:41Z,0
