comment,id,date,num_likes
Y’all prob gunna move again bc ur baby,Anxlia,2021-01-13T03:13:38Z,0
Such a nice space and a great video!  I was wondering where your bed throw pillows from?,123sabrinatubes,2020-11-10T16:17:21Z,0
"I know this is kinda old, but girl where is your couch from?????",Abrina Miranda,2020-10-30T13:23:41Z,0
I just moved to Arizona and love seeing other creators story’s,CLIMB4WARD,2020-10-28T05:43:01Z,0
Where is the bed frame from?,Christine Machin,2020-10-14T21:49:57Z,0
Where did you get your couch from ?,Naomi Wright,2020-09-26T05:56:43Z,0
LOL all I heard in this video Was “UM”,spreadthepeanutbutter,2020-09-02T02:28:20Z,0
Who else is like 10 to 14,Layla Vlogs,2020-08-31T20:47:56Z,0
"just started watching your vlogs. everything is great and i love them but I am wondering if I will catch a bad habit of yours of doing so many ummmmmm ummm ummms. a little downside of it (sorry don&#39;t mean to offend, but it is just a little annoying )",Vasudha Sharma,2020-08-29T15:46:02Z,0
💛💛,Brandi Gurrola,2020-07-31T17:47:46Z,0
Am I the only one who thinks she kinda looks like Nikki Reed?,covers by gaba,2020-06-26T01:14:31Z,0
Lmao I love lucnh,Zara Swart,2020-06-15T04:19:31Z,0
"Ooh someone read Norwegian Wood, my fave book. So happy to see that &lt;3",melis sezginel,2020-06-14T22:14:37Z,0
Lucnh break got me 😂😂 i love you guys,Gabriella Hajjar,2020-06-07T13:55:04Z,0
"I had to quit watching, I couldn’t take all the “um’s”.",Elisha Hughes,2020-06-03T11:28:52Z,1
Elisha Hughes I muted the vid 😅,thelifeof paola,2020-06-04T23:59:48Z,0
"Does anyone know where the furniture at <a href=""https://www.youtube.com/watch?v=meMzBn00P30&amp;t=13m15s"">13:15</a> is from ?? thanks !",Geo Aslanidi,2020-05-25T20:08:56Z,0
I think eventually Patrick needs to sell the books he doesn’t touch at all to a used bookstore because storage room for them is running out 😂😂😂,Lissel D,2020-05-17T20:13:18Z,0
"Ummm,, how do these young folk have the cash to buy all this stuff and move from dumbo to pre war etc.. bldgs??? What do they do for a living??",Julie T.,2020-05-17T14:28:51Z,0
"Omg this looks a lot like your other apartment before the last one, this makes me confuse 😂 but it looks great and i used to love that old one",Jessica C.,2020-05-14T17:37:41Z,0
"<a href=""https://www.youtube.com/watch?v=meMzBn00P30&amp;t=16m19s"">16:19</a> we NEED a closet declutter vid😭",Mae Juliet,2020-05-05T17:35:16Z,0
"Once you notice how often she says &quot;um&quot;, it&#39;s all you hear 😂",Sindy Pap,2020-05-04T15:37:40Z,1
Hugssss plzzzzz,Lakwatcherang Gwapa,2020-05-02T17:35:48Z,0
Wow 😱❤️👍,Lakwatcherang Gwapa,2020-05-02T17:35:29Z,0
"Whatever it takes, it’s worth redoing everything as these classic features like apartment in Chelsea in London or in Paris, you wouldn’t find much as becoming very rare everywhere in the world!<br />Honestly my dream apartment!",unacucciola,2020-05-02T03:19:13Z,0
anyone realise that she say &quot;hmm&quot; way too much. hahaha,Michelle Wee,2020-04-29T10:37:34Z,4
A fun game idea : Every time she says &quot;uhm&quot; skip 5 seconds forwars with the arrow key.,Mini_Nate,2020-04-28T19:35:43Z,3
Love the photograph of the cat! Anyone know who it&#39;s by??,Jessica G,2020-04-28T18:33:17Z,0
"You should really work on your orally, very repetitive “ humm...”  but I loves the vid!",Sofi Belber,2020-04-28T07:05:24Z,1
Just found your channel and I think you&#39;re so great. Your style is amazing. Do you happen to remember the name/style of the Wayfair rug? Thank you! :),Rachael Medina,2020-04-26T03:47:59Z,0
Where did you get your kitchen island ??,MacKenzie Trojanek,2020-04-22T17:13:41Z,0
"I love that cat print, where is it from?",Alex Fortin,2020-04-20T13:20:42Z,0
Does the constant ummms bother anyone else?,Pat,2020-04-14T00:17:50Z,1
your new apartment looks lovely! &lt;3,juliezeneth,2020-04-13T19:57:46Z,0
Where was your couch from??,Yoshie Maravilla,2020-04-12T23:20:29Z,0
How many hummm can u say per second ?,miniphe47,2020-04-12T21:36:42Z,1
Where would you place your dining table?,AEAN AEAN,2020-04-12T10:55:06Z,0
How many times did she say “ Umm”!,Your Highness,2020-04-11T22:51:20Z,3
where in ny is this apartment? its really cute and whats the rent?,TheJoker,2020-04-11T05:30:03Z,0
ya&#39;ll are awesome! also subbed because He is a fellow Patrick! <b>high fives</b>,Official iGamer,2020-04-09T17:42:18Z,0
Where is your couch from?,Skylar Pye,2020-04-07T17:20:35Z,0
Love this video! New to your channel and I&#39;m already loving it!,Anto carello,2020-04-06T16:14:17Z,0
love your new place 💗💗💗,Aurélie Jenna,2020-04-06T12:54:38Z,0
This is so irrelevant to the video but your hair is so stunning omgggg,iga cecylia,2020-04-05T20:40:14Z,0
We’re did you get your grey sweat pants :)? So cute,Poshtwins,2020-04-05T14:57:50Z,0
I love how you decorate and I enjoyed this vlog!,Kailey Llewellyn,2020-04-03T15:24:12Z,0
where did you get the couch from?,Hippeeatheart,2020-04-03T05:10:30Z,0
Lol she says a lot of &quot;ums&quot;,Rustic Book Reviews,2020-04-02T00:32:58Z,1
"So exciting! And Tess I know this isn’t a fashion blog but your outfit when Pat was making the mouth with the glove, so cute! Where’s your jacket from?! And was that a chloe bag you were wearing?",Sarah Says,2020-04-01T20:23:28Z,0
loooove the thumbnail! so simple and chic,Ale9jandra,2020-03-31T21:43:21Z,0
Dude your videos aren’t showing up in my subscriptions.. I had to search but I am subscribed to your channel and I have been for years... idk why it’s not showing up 😣,Cepeda Woods,2020-03-31T16:00:02Z,0
Why don’t you put a hanging light on top of the entryway table? - you’ll have something hanging and also a lamp like you wanted without overcrowding the table 💖,Carlota Diaz,2020-03-30T21:37:35Z,0
she married harry styles,Jazmin Almaguer,2020-03-29T10:06:58Z,0
where is her sofa from??,Sara Nicholson,2020-03-29T01:35:27Z,0
Where is the mail catcher from? I love it!,Désirée Smeets,2020-03-28T18:29:57Z,0
"Stop saying “um” please, just take it out when you’re editing",Cynthia Nicole,2020-03-27T15:43:03Z,1
"Did somebody realise how many times she says&#39;&#39; umm&#39;&#39;?? I am not trying to hate, I loved the video :)",Ni la,2020-03-27T13:43:15Z,1
I wish you told us how much it costs. thats very interesting and ofc also how big it is. But its very beautiful congrats!!🎊,Ad Te,2020-03-25T23:15:50Z,0
More home videos please Tess!,Alex,2020-03-25T05:36:56Z,0
Take a shot every time she says “um”,Lexus Claire,2020-03-25T01:03:33Z,4
"once I heard the um repetition, its all I could hear...oooooof",Valeria Springli,2020-03-24T20:56:32Z,3
Me to my husband while watching this video:<br /><br />“Do you know what we should do? Mount our TV”<br /><br />😂,Mariah Funk,2020-03-24T16:50:01Z,5
"<a href=""https://www.youtube.com/watch?v=meMzBn00P30&amp;t=4m43s"">4:43</a> what restaurant did they eat at????",Kelsey,2020-03-24T04:52:13Z,0
"hi! do you know what pain color your kitchen cabinets are? I love that shade of blue, it&#39;s so unique",Luisa Nasiek,2020-03-23T16:35:38Z,0
Love the video but you say “um” wayyyyy too much,Eve Costi,2020-03-22T04:27:06Z,5
Where&#39;s your couch from?,Laura L,2020-03-21T18:07:03Z,0
"Sick vlog!! I also went NYC recently and created a montage of my experience! Check it out here <a href=""https://www.youtube.com/watch?v=dYJnKVk32lw"">https://www.youtube.com/watch?v=dYJnKVk32lw</a>",Jada Cairo,2020-03-21T15:10:20Z,0
are you still living in Brooklyn??,bridge 14,2020-03-21T01:30:46Z,0
Moscow mule copper cups would be cute,Jo Kelley,2020-03-20T08:06:05Z,0
arghhh the ummmms haha,Renee Tan,2020-03-20T04:32:01Z,1
I&#39;m looking for a new place too! Did you use an agency?!,Marykate Kelley,2020-03-19T08:52:56Z,0
It looks so cute!,Esperanza Lorena,2020-03-18T14:23:12Z,0
So glad I came across tour channel! I’m also a fellow NYC Youtuber. I LOVE what you’ve done with your apartment 💕,This Life With Shar,2020-03-18T00:21:53Z,0
so exciting!!!!,little a,2020-03-17T01:48:53Z,0
"Love the video, and can&#39;t wait to see more of the apartment. It was kind of hard to go from the talking parts and the music which felt way too loud in comparison. I kept having to turn it down when the music played.",Jade Ferguson,2020-03-16T05:12:46Z,0
Loved this! Thanks for including us!! 💕,Maia Terry,2020-03-16T04:12:41Z,0
Can you link the wayfair entry way table and  also your island? i can’t find them online.,Kimmy Carrera,2020-03-16T03:06:58Z,0
