comment,id,date,num_likes
"I’m happy you guys are appreciative of my transparency with prices. It’s what I would want to know before I moved here and from what I’ve seen, it’s the norm for the places and neighborhoods I was looking at. I guess you now know why I’m not one of those youtubers buying designer stuff all the time.... I’d rather live here. We are all crazy, but we all live here for a reason. It won’t be forever, but for now it’s all worth it :)",Tess Christine,2020-02-15T02:25:45Z,1453
@Tess Christine Totally get what you mean! Currently living in the most expensive city in my country but it&#39;s really worth it. I don&#39;t want to like in a small town right now maybe when I&#39;m older.,Yonghwa Jonghyun,2020-02-21T16:27:35Z,2
"Tess Christine besides, all of those luxury items aren’t worth the price, it’s better to invest in real life experiences rather than material things for sure 💜",Zuza Mal,2020-02-16T08:54:10Z,5
Can I ask what you pay for your current place? Thanks ♥️,Michele C,2020-02-16T04:02:20Z,0
I don’t think anyone wonders why you don’t buy designer stuff all the time. You and pat travel all the time and that obviously costs money. Plus it sounds like your are working on a new project(fingers crossed it’s a fashion line) and I know that costs money too. You and Pat like to put money back into your business and into your experiences. Nothing wrong with that!,Morgan Hill,2020-02-15T16:10:44Z,31
This video was amazingly helpful. Love that you included the actual rent prices. I&#39;m looking forward to hearing about your challenges with your current apartment. I think that could be hugely helpful so people know what pitfalls to be on the lookout for when apartment hunting in general 😊,Katherine Dennison,2020-02-15T14:35:53Z,11
Y&#39;all are so cute!,Allison Etzler,2021-03-02T18:37:12Z,0
"<a href=""https://www.youtube.com/watch?v=tBt2FtKXWMc&amp;t=9m08s"">9:08</a> isn&#39;t that the nursery for their baby? 🙈 So when they moved again, they chose that apartment?",haalloondricka,2021-01-25T19:45:03Z,0
"Watching videos back, loving it ❤️ when you uploaded this did you know 8 months later you’d be pregnant? 🥺 amazing how 2020 made a lot of changes for people and brought a new perspective and so crazy how things happen! Been following for years and so proud of the life you and Pat have made!",Sarah Says,2021-01-09T15:25:12Z,1
lol 11.12 has a new meaning now...,becca ross,2021-01-02T22:02:08Z,0
your ring is 1000% my DREAM ring. so gorgeous... just wow...,rebecca lois,2020-08-22T01:25:23Z,0
I really like your videos and want to keep watching them but you say UM so much.. it’s kind of distracting 😕,Dana Kruse,2020-08-21T20:57:28Z,0
rewatching this post corona/quarantine and its so funny when she said &quot;you wouldnt need a home office if you didnt work from home but you can go a little crazy&quot; and literally a month later we&#39;re all working from home 😭also so lucky that you got the appt with the gym right before this all started!,Chiara Lucia,2020-07-31T14:39:56Z,2
First apartment is awesome!!! What building is it? I live in the same part of Brooklyn and consider shopping for a new apartment soon . Thanks,Svitlana,2020-07-29T05:17:47Z,0
You remind me of Nikki Reed,Najla Sarmini,2020-06-18T12:14:02Z,0
"You look like Nikki Reed, so beautiful both of you !",Ash Rob,2020-05-22T19:30:38Z,0
What does Patrick do as a job professionally?,Lissel D,2020-05-18T19:25:37Z,0
New York apartments are so weird,Dilara 123,2020-04-07T21:35:03Z,1
tequila shot everytime she says ummm...?,natalia Hdez,2020-04-06T03:39:35Z,1
I’m seriously so happy for her. Congratulations to you both on getting married! omg.. she’s so grown up now.. I remember watching her when I was still a young girl and looking at her now so mature and just wow.. wish you all the best!!!,"Love, light & joy",2020-03-26T19:24:41Z,1
um,kheath580,2020-03-23T18:48:30Z,3
Wow in Arizona you can get a super high end apartment for less than 2000. An apartment like these would be like $900.,Air23,2020-03-12T06:28:20Z,0
You guys should make a couple channel like Alex and Dan,Jill Logan,2020-03-11T22:11:35Z,0
It’s crazy how drastically location effects price. I live in a 2 bedroom 1 bath apartment in a nicer metropolitan area of Arkansas and rent is $675 a month.,Hannah Roebuck,2020-03-11T17:43:14Z,0
"But I mean it makes sense, who wants to live in Arkansas? 😂",Hannah Roebuck,2020-03-11T17:44:08Z,0
i’m a student at pratt and i had no idea you lived in fort green!! i love when my fav youtubers are new yorkers 🥺❤️,Brenna Stampe,2020-03-10T15:27:16Z,0
"<a href=""https://youtu.be/m3cyID7BkSk"">https://youtu.be/m3cyID7BkSk</a> music no copyright",المغرب Morroco,2020-03-10T14:44:11Z,0
"<a href=""https://youtu.be/95gTnyeUkJY"">https://youtu.be/95gTnyeUkJY</a> music nocopyright",المغرب Morroco,2020-03-10T14:38:27Z,0
