comment,id,date,num_likes
I always try to do my hair your way and I end up looking like my hair exploded :(,Mind.of.Lilly,2021-02-03T09:38:56Z,0
coming back to this video after her pregnancy announcement!!! 🤎,vayda,2021-01-01T19:25:04Z,4
We had no idea what was coming this year...,Alexa,2020-09-19T12:36:54Z,2
What was the mid year surprise🤔,small big person,2020-07-30T20:33:40Z,0
New Subscriber here! I absolutely love love love your vlogs! Is it me or does Tess resembles Katie Holmes! ❤️,Paris Athome Interior,2020-07-16T13:18:01Z,0
Favourite youtuber ❤️,_Tera__,2020-06-29T08:43:01Z,0
"does anyone know what Tess does (work), im new here and im curious haha",Ghofran Gadouar,2020-04-14T21:17:04Z,0
Miss this ! &lt;3,Lexie Harold,2020-04-12T22:24:19Z,0
Its me jessie and ari if they touch they sorry,daddy chicken nugget,2020-04-08T03:49:43Z,0
"Please Tess, start again the &quot;get the look video&quot; 🙏🏻",Océane Pouille,2020-03-11T16:23:02Z,0
I loved the get the look videos and the get healthy with me series,Moonheart1001,2020-02-02T21:37:27Z,0
What foundation shade did u use?,Tanya Shah,2020-01-28T21:38:29Z,0
Does anyone knows where the brushes she uses are from?,Pauline Fart,2020-01-27T01:18:50Z,0
tess maybe you can do videos like that but please dont talk too much !! Im from uruguay and i dont speak english,Belen Quintero,2020-01-20T17:21:28Z,0
GET THE LOOK SAOIRSE RONAN!,Annika,2020-01-20T07:57:00Z,0
CAN YOU DO A GET THE LOOK FLORENCE PUGH,Annika,2020-01-20T07:54:07Z,0
"I found your channel a few years back and even though I don&#39;t watch all of your videos, omg I have to admit how kind and classy you look!and how authentic as well!<br />* you guys have made me fall in love with nyc even more",Sia papa,2020-01-17T09:19:48Z,0
I would love to se more vlogs and i&#39;m looking forward to follow the appartement hunting.,Annemette Hansen,2020-01-16T16:03:01Z,0
"you are srsly glowing!! If anyone is interested I just posted my night time winter 2020 routine :) <a href=""https://www.youtube.com/watch?v=t13Ju0J5n3E&amp;t=376s"">https://www.youtube.com/watch?v=t13Ju0J5n3E&amp;t=376s</a><br />thanks &lt;3",JuliaLeone,2020-01-16T00:39:44Z,0
My favorite thing about your videos are you always are so informative. So I’m excited for you to get pregnant!!! &amp; to see apartment hunting &amp; traveling of course,Lexi S,2020-01-15T22:24:11Z,0
"Definitely more mukbangs! It’s like a sit down get ready with me chit chat but more casual and with food! I think it would be cool to do some alone, then some with pat, and then some with friends!",Jordana Miller,2020-01-15T08:42:44Z,0
Get The Look for Less!!,Kaitlyn Shupert,2020-01-15T02:51:14Z,0
I’m shocked you’re moving again! I feel like you guys literally just got this place,Molly B,2020-01-14T19:10:21Z,0
"Oooh do a cute couples morning routine, and film in it a way it’s from his/her perspective type thing!",Molly B,2020-01-14T19:09:38Z,0
bring back the ny guide vids!,Ambika1aggarwal,2020-01-14T14:42:30Z,0
You can turn off the comments if you&#39;re not okay with cruel comments.,Sanskriti Barua,2020-01-14T13:49:11Z,0
Cooking with Tess😍🍳🍲🌮,Kris K.,2020-01-14T09:07:20Z,0
"Would love to see a closet “deep dive”? After all these years of hauls and collecting clothes, what have you kept, what do you still wear, what has just sat in your closet?",Ellie Breslin,2020-01-14T01:50:12Z,19
I’m so happy that you have this glowing energy and you’re so happy. You’ve continuously been this light on YouTube and I cannot wait to see what content you have in 2020,Angel Gaboury Dufort,2020-01-13T20:10:59Z,0
"I would really love to see your normal styling videos but maybe on different body types, which could be a fun way to get your friends involved! Mens fashion too! Get Pat on camera!",L,2020-01-13T11:37:26Z,1
&quot;Like....like.....like.....like&quot;,sbgjg71,2020-01-13T01:35:24Z,0
As soon as the extensions were in I got major throwback vibes to 2012 Tess!! ❤️,Lacie Ellithorpe,2020-01-13T00:53:23Z,0
"But you met your celebrity crush in a bar randomly (I&#39;m so sorry his name escaped me).....I&#39;ll never forget the excitement in your voice that entire video. Super awesome, super special!",Camo Pug,2020-01-12T18:38:43Z,0
Love the long hair moment!! 😍🔥,Katelyn Ha,2020-01-12T14:22:12Z,0
Literally Tess is so beautifully humble and just all around an amazing human being. I have been watching her for the longest time now since high school and by far she is one of my favorite YouTubers and biggest inspirations to live life to the fullest! ❤️,Megan Barnette,2020-01-12T09:29:46Z,1
Come to Taiwan!!!!!!!!!!!!!!!!!!!!,Sharon Lin,2020-01-12T06:37:02Z,0
"Been watching you for years now and I always love how you’re always so real with us and stay being you unlike other people changing bc of subscribers they gain. Do you Tess, upload what you want no matter what people will think!!! I’m here to support what you want to give us! Also, lowkey can’t wait to see you and Pat with kids awww lol, love you!! 🥰",Jocie M,2020-01-12T05:55:07Z,0
Yes more travel video; I love when you guys travel together 💕💕💕,Irianna Joseph,2020-01-12T01:11:27Z,0
your skin looks AMAZING!,April C,2020-01-11T16:22:31Z,0
do a collab with Michelle Reed!,Katherine R,2020-01-11T14:46:19Z,0
We need a Selena Gomez and Taylor Swift get the look video with recents looks from them,Anatolí Toumanidi,2020-01-11T12:33:32Z,0
"these are for sure my favorite videos to watch from you, also in a way super nostalgic in a way since i’ve been watching you for so long! super excited to see more lookbooks and whatever you come up with for the new year, love you!!",maija,2020-01-11T09:55:46Z,0
I would love to see a video about how you edit your pictures !! I’m obsessed! 🤍🤍,Wendy Sotelo Galindo,2020-01-11T06:45:39Z,0
"You know? I didn’t liked youtubers but then, I found you and I love your personality, your style and your relationship. So, everything you decide to do on your channel, would be fine.",Fernanda Galicia,2020-01-10T23:24:51Z,1
