comment,id,date,num_likes
I thought that was Harry styles 😂😂,Keishera Sorrell,2020-11-19T03:58:45Z,0
Why does he look so much like Harry Styles,J P,2020-08-11T22:35:32Z,0
The 100!!,Veronica Javellana,2020-08-02T22:50:37Z,0
Outlander is amazing! Love the walking dead too,Oliver Wilson,2020-07-30T20:14:29Z,0
It’s awesome. Each season is different. Based on books by Diana gabaldon. Outstanding show,Kim Esser,2020-07-30T07:43:25Z,0
So cute. I see you’re watching outlander. My favorite show,Kim Esser,2020-07-30T07:40:28Z,0
You have to watch ozark on Netflix!!!!! And breaking bad is the best show ever! Ozark is very good too!!,MagDrake2013,2020-07-28T04:13:04Z,0
👍👍👍,MPJ Travel,2020-07-26T22:14:55Z,0
me: I am going to get married just to build a fort with my husband hahahaha,Larissa Altafim,2020-06-06T02:33:43Z,0
There&#39;s so much love here 😍😍😍 ...,Maria Camila,2020-05-25T01:34:03Z,0
"Before I forget, I love the barstools 😎",Donna P,2020-05-23T21:32:12Z,0
Heey tess! Where is your beautiful jewlerly from? 💕,Maria Paula Ocampo,2020-05-17T23:25:44Z,0
Why is Rains gross to you!,Madhu Jana,2020-05-17T21:20:00Z,0
I&#39;ve been watching Outlander for years. Glad you found it! Love the song in the opening,Chalana Brown,2020-05-15T21:09:27Z,0
Tess! You have to watch Unorthodox on Netflix! it&#39;s only 4 episodes and takes place in Williamsburg so quite close to you I guess? You probably heard of it but it&#39;s so good! binged it 2 times in one week ahahah,Emilie Fabri,2020-05-10T11:50:45Z,0
I watch your vlog to see your husband. So cute😹,Hannah Hannah,2020-05-10T02:27:06Z,0
where is your jewelry from?,ChubbiBunny66,2020-05-09T05:20:30Z,0
Can you do an outer banks inspired outfits? I love your videos ❤️❤️,laetitia picard,2020-05-08T18:46:31Z,0
Cute fort!,Dragana,2020-05-08T15:07:19Z,0
You look flawless! 😍,Dragana,2020-05-08T14:54:39Z,0
Love that you’re watching Outlander though!,SailorMoon257,2020-05-08T00:29:05Z,0
"Hi Tess! I love watching your videos! They always inspire me in one way or another. You channel really inspired me to make my own channel! If by chance you see my comment, I would really appreciate it if you could give me some advice on how to make better videos and grow my channel! Hope you&#39;re having a wonderful day!",Vanessa Sun,2020-05-06T20:39:28Z,0
I just finished watching Baby on Netflix which I loved. Definitely not a show for everyone because it follows a very specific plot (inspired by a true story) but maybe watch the trailer and see if you like it.,moksha,2020-05-06T17:24:01Z,0
Tess you are so gorgeous!! You remind me of Kourtney K.,Anne Abraham,2020-05-05T17:03:19Z,1
So good video ❤️👍,Sina NSN,2020-05-04T07:42:12Z,0
I recommend watching Outer Banks or The Society! BOTH ARE SO GOOD!,leah daniela,2020-05-04T07:17:09Z,0
Outlander is one of the BEST shows I’ve ever watched. You guys will love it. Prepare to feel all kinds of emotions,Giovana Vidal,2020-05-04T03:15:08Z,0
OUTLANDER is soooo underrated. Truly amazing.,Serena Loren White,2020-05-04T01:16:10Z,0
I’m IN LOVE with outlander and finished it in a week😅  do you have more recommendations like this???,Maya Bal,2020-05-03T19:34:15Z,0
If its the anthropology huge mirror I know it&#39;s going to look so awesome on that wall,Diana Gonzalez,2020-05-03T18:47:13Z,0
