comment,id,date,num_likes
Thank you for mentioning black owned businesses! Love you Tess!,sarah metzger,2020-09-27T22:58:12Z,0
"Mentally, emotionally, and financially not ok because of this pandemic",Rachiee Love,2020-09-08T01:36:30Z,0
Both of you have such timeless and amazing style. I love it!,Melanie Ray,2020-09-07T19:07:12Z,0
Aww i love how she said ‘you feel like an adult’ 🥺💓❤️ so cute,Roxana Partenie,2020-09-06T19:24:58Z,0
i loooove this video!,Carolinda Moji,2020-09-06T17:50:25Z,0
You could do a video of an in-home themed fashion show using things you have in your closet! :) Could be cute and fun!,Casey Allen,2020-09-04T23:39:39Z,0
got married a week after you and Patrick and my husband and I have also found ourselves stuck at home for our first year of marriage. can&#39;t believe this is what it has come to! haha. hope you guys are taking care and have something fun planned for your first year anniversary (it doesn&#39;t have to be extravagant at all!),Coley,2020-08-28T02:02:13Z,0
LMAO Patrick with the balloon pigtail at the end😂😂,Jennifer L,2020-08-28T00:02:31Z,0
"Tess could film herself everyday during quarantine in the same pjs, eating the same food, while watching the same episode of the vampire diaries over and over and over...And I’d STILL watch her vlogs😂",Jennifer L,2020-08-27T23:59:18Z,0
If you guys are comfortable with it maybe you can go upstate to an isolated Airbnb and get a change of scenery 🥺 hang in there!,Blake H,2020-08-26T22:44:22Z,0
"I&#39;m at the point in which I&#39;ve deleted instagram, broke up with my ex boyfriend (now since half a year), cut off some toxic friends and now I&#39;m left with only myself trying to figure out who I am and what feels right. At the moment I feel like no one truly gets me but I also know that I have to get myself and that&#39;s all that matters now.",Lil S.,2020-08-26T09:33:38Z,27
I literally feel this on another level. You&#39;ve got this &lt;3,Sejal Bagaria,2020-09-02T11:31:14Z,0
Growth!!! I started watching you when I was 22 years young lol 😀<br />Lol it took me almost 10 years to finally find my voice &amp; put content out 😭😂🤣 <br />Your top when you went to the park !!? Ii love it 💕😁 plz add to your new line. Plz plz plz plz !,Nature Nutrient,2020-08-26T00:14:09Z,0
I love your intro and how you talk to us. I&#39;ve been quarantined with my boyfriend for the past four months and It can be really hard and boring sometimes. Mental health is very important right now. We try to go out for hikes as a way to free our minds a little from everything happening and to breath in some fresh air :) Congrats on your clothing line btw!,Erin and Matt,2020-08-25T20:11:35Z,0
I love your channel so much❤️,Kailey Llewellyn,2020-08-25T14:54:49Z,0
