comment,id,date,num_likes
"Let me know what piece was your favorite! I am so excited to show you where we take this. I have so many goals with this brand and it&#39;s just the beginning! Thank you for your endless support, I won&#39;t let you down.",Tess Christine,2020-08-24T03:05:28Z,682
I am obsessed with the Dacey top!!!!! You are the absolute sweetest youtuber. Been here since one of your first get the look series in 2011! Congratulations Tess 😍💕🥰,Chelsea Soriano,2020-09-01T21:21:36Z,0
"<a href=""https://youtu.be/JA0DDnkrZG0"">https://youtu.be/JA0DDnkrZG0</a>",JOY BOY,2020-09-01T13:19:26Z,0
It’s been 2 days and almost everything is sold out!!! Congratulations!!,Maria Diez,2020-08-26T14:20:43Z,0
I&#39;ve been watching you for 8 years? Maybe 9? You&#39;re my favourite and it&#39;s been great following you💕 very proud of you!!,gabby_olivari,2020-08-25T23:19:05Z,0
um i need everything,Surani J,2020-08-25T02:49:07Z,0
"Aaaa Congrats on your new clothing line, so happy and proud of you &lt;3",booitsmichelle,2021-01-02T15:53:24Z,0
I cannot wait until you bring plus sizes! 🌹🌹,Our Oilistic Life,2020-12-17T21:52:58Z,0
U make me smiley,Isabel Hipolito,2020-11-20T03:50:58Z,0
congratulations BABBEES,Isabel Hipolito,2020-11-20T03:50:53Z,0
Are those her wedding shoes,Isabel Hipolito,2020-11-20T03:49:39Z,0
She look different in profile,Isabel Hipolito,2020-11-20T03:48:39Z,0
she artistic,Isabel Hipolito,2020-11-20T03:48:01Z,0
I am very happy for you. I pray that everything will go well in your business.,The M Network,2020-11-01T03:13:46Z,0
Thats sooo expensive. I can find sooo many similar or even better looking things for cheaper😶🤦‍♀️,Vanessa Johnson,2020-10-20T20:04:41Z,0
Congratulations on your success!,unacucciola,2020-10-15T12:30:01Z,0
Congratulations 🎉,angel jordan,2020-10-04T15:26:19Z,0
"Tess, I’ve been watching you since vampire diaries get the looks, I was 12 and now I’m 20. You’ve grown incredibly since then, I’m so super proud of you 😭. MASSIVE well done ❤️❤️❤️❤️",Nici McLean,2020-10-02T21:19:46Z,0
Beautiful,khabar tube tv,2020-10-02T03:18:27Z,0
SO happy for you! These are beautiful. My favorite is the Dacey Ruffle Tank :) sad everything is sold out!,Cassandra Tumasz,2020-10-01T20:12:35Z,0
I absolutely love all of it!!! Im so happy for you and cant wait to purchase!,Alyssa Dazet,2020-09-18T14:33:14Z,0
proud of my granddaughter,Christine Cerone,2020-09-17T18:02:24Z,0
"Congratulation !!! Omg girl I love  it so beautiful and the fact that you named each piece after your friend&#39;s names is so adorable , God bless your heart you&#39;re so sweet ♥️♥️♥️ wish you more success ❤😘",Aven turine,2020-09-15T19:17:02Z,0
This collection is absolutely perfect Tess! So so well done - I&#39;ve followed you since 2013 and have always loved your style!! xxx,bymillie,2020-09-15T12:22:22Z,0
Can&#39;t belive it&#39;s been 2 weeks since the release !!!,Natalia Obrochta,2020-09-10T20:02:31Z,0
I just watched this had it in my watch laters for when i was less busy. MAN everything is pretty much sold out!!!! I am late to the game 😭 Congratulations Tess you deserve this so much. Will defs buy when back on stock ☺️,Bee Maree,2020-09-09T08:46:37Z,0
I absolutely love how she named her clothes after her friends like I cant right now I&#39;m crying 😭💞,Michyy nicole,2020-09-09T04:37:14Z,0
I wanna you to make jewelry too!!!!!!!,YU 11,2020-09-09T01:22:34Z,0
"I am so obsessed, honestly crying through this whole video lol. I love all the pieces but I think my fav is the Alex top!",Sabine Lynn,2020-09-08T20:52:20Z,0
I’ve never seen such clothing line where I absolutely love every pieces and want to buy each of them,Rachiee Love,2020-09-08T01:52:50Z,0
"Amazingggggg, so proud 🥺🥺🥺🥺",Emely Arias,2020-09-07T02:15:34Z,0
So proud of you for doing this! I too love fashion and could only dream of starting my own brand. So excited to see what you&#39;ll come out with next. ☺️,Elizabeth Christensen,2020-09-06T02:36:14Z,0
Your vlogs makes me feel so calm &amp; relaxed 🌻<br />I recently started silent vlogging too! <br /><br />Waiting patiently for your next video ❤️❤️❤️,香港慢生活PinkPoppy,2020-09-05T18:19:22Z,0
LOVE!!,Layne Fable,2020-09-04T18:51:28Z,1
Everything is sold out 😪,Dayana Salazar,2020-09-04T15:23:24Z,0
I found out your channel a month ago and I regret why I didn&#39;t knew you! You are beautiful inside out ❤️<br />Lots of love from India ❤️!,Reeta Singh,2020-09-03T19:52:48Z,0
Congratulations hun!! You deserve all the sucess in the world!! Love the pieces so beautiful!! ☺️😍,Ana Beatriz,2020-09-02T14:47:44Z,0
It&#39;s so sweet of you to name the clothes after your friends.❤ I hope to get here one day which is why I started my own youtube channel.,Badawiya Vlogs,2020-09-01T11:30:13Z,0
"So proud and happy for you, Tess! This is definitely the first of many! <br />Btw, I loved your TVD get the look vids! 💕💕💕",magicalair,2020-08-31T08:56:10Z,0
so proud of you tess!!!,Taylor Baker,2020-08-30T21:42:19Z,0
Love from Pakistan,Imran Khan Rustamani,2020-08-30T19:05:12Z,0
"Wow, I love all of the items! And I&#39;m so happy that you could finally realize your dream. You look so proud and you definitely should be!",Mind.of.Lilly,2020-08-30T17:12:57Z,0
"Shut up and take my moneeeyy!!! 😭❤️❤️ Omgg Tess i’m so happy for you and all the things have donee. Congratsss, ypu rlly deserve it❤️❤️",sofia 98,2020-08-30T16:47:10Z,0
This collection is perfection. It represents your life so well in the fact that each piece reflects you while they are designed and named for your friends- showing how important your friends are to you and how much you all share a piece of each other. So wonderful to see you achieve such an amazing accomplishment!,Colby Aubuchon,2020-08-30T01:20:02Z,0
