comment,id,date,num_likes
Thank you for watching and thank you again for all the support for Backyard Roses! Very thankful for you. Let me know below which look was your favorite!! xx,Tess Christine,2020-09-06T23:59:48Z,173
Love them all but damn that last one looks so amazing!! x,linndyz,2020-09-07T11:57:11Z,0
All the outfits where amazing. Couldn’t choose a favourite.,Paula K,2020-09-07T06:31:33Z,0
All of them ❤❤❤,Patrícia Tomás,2020-09-07T00:29:41Z,0
Im so sad i couldnt get anything since it sold out but ill defintely be waiting for a restock and future releases❤❤❤,amber love,2020-09-18T19:42:33Z,0
Love the collection! Can’t wait for my Carrie top to get here 🥰 Can you maybe do a Fall Haul next? I am in desperate need of some inspiration for fall 😇✨,Johanna Höltermann,2020-09-15T06:38:30Z,1
The Backyard Roses pants are to die for!,shelbitedeschi,2020-09-12T15:53:15Z,0
"How is living in New York for you right now? I saw this video <a href=""https://youtu.be/JVDWbQtbN7U"">https://youtu.be/JVDWbQtbN7U</a> and was wondering how you experience all this.<br /><br />Ps Love the looks!",HD EW,2020-09-11T06:25:49Z,0
your style has not evolved in the 5 years ive followed u lol,Alexis Ijeoma Nwokoji,2020-09-10T23:54:57Z,0
Everything you do is so inspiring! Your clothing line is awesome! I hope to buy one of your top asap!!,Carmen Art Journal,2020-09-09T19:39:06Z,0
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -",Aleena Ali,2020-09-09T06:05:13Z,0
"This collection would look so cute on nina dobrev and Shay Mitchell. Congrats on your collection tess, it&#39;s so beautiful. Hopefully I get my hands on something thr second time around lol 😭",Jeanette Tinoco,2020-09-09T03:26:50Z,0
please don&#39;t get a BBL lol like all these other youtubers.,isabel valadez,2020-09-09T03:06:36Z,0
This song would totally be in the Vampire Diaries as they walk around the grill just think about it Tess,Maddy R,2020-09-09T02:24:19Z,0
💜💜💜,zmiao yuan,2020-09-09T01:40:39Z,0
You can talk about your clothing line forever! I will always listen! Love hearing you so excited and passionate!😊💖,Taryn B,2020-09-08T23:58:25Z,0
im wondering why... if the demand is CLEARLY so overwhelmingly high... there can&#39;t be just a full restock? i&#39;m so bummed i didnt get to order anything..  is it because all the pieces are meant to be super limited edition? I guess lesson learned that i need  to set an alarm for the next launch lol,Alexa Cardenas,2020-09-08T16:56:37Z,1
@Aleena Ali ???,Alexa Cardenas,2020-09-09T16:28:18Z,0
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -g",Aleena Ali,2020-09-09T06:07:05Z,0
What’s the BGM name? Thanks,yang wen,2020-09-08T16:50:22Z,0
❤️❤️❤️❤️❤️❤️,D orsa,2020-09-08T16:15:54Z,0
Congrats on your clothing line Tess! I love all the pieces. Can&#39;t wait for your Fall line!,Amanda M,2020-09-08T15:52:24Z,0
I️ wish I️ wasn’t in college so I️ could afford your line 😂 I’m so happy for you regardless!,Arianna Dugan,2020-09-08T15:49:12Z,0
Wow love these looks 💕,VRTIST,2020-09-08T06:43:33Z,0
I&#39;m so ready for the dacey top in black pretty pleeasee,xoxclairebearxox5478,2020-09-08T00:44:54Z,0
You look gorgeous! I love your clothing line &lt;3,Lumiere d'Helen,2020-09-08T00:33:09Z,0
"As always, you create outfits with a chic, yet wearable and comfy style. Love all of the looks so much!😍",harrisonpamela40,2020-09-08T00:18:03Z,5
You’re so beautiful Tess ❤️,Ciara Thomas,2020-09-08T00:13:00Z,0
You are adorable!! So happy to see you doing great things!,anhar Sabri,2020-09-07T21:31:44Z,0
please please please restock the Kristina dress,Mary Ann Olson,2020-09-07T20:45:41Z,0
U are stunning ❤️,Ibtissam The sweet,2020-09-07T19:40:48Z,0
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -r",Aleena Ali,2020-09-09T06:06:56Z,0
Beautiful! I love lookbooks! Might have to do one of my own soon...,Katie Chambers,2020-09-07T19:26:26Z,1
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -",Aleena Ali,2020-09-09T06:06:05Z,0
"I loved this video so much, the fall vibes and everything 🍂🧡 so chill",Katy Pink,2020-09-07T18:49:53Z,0
Beautiful beautiful beautiful beautiful how many times can I say this 😍😍😍😍😍,thatbrown gurl,2020-09-07T18:44:32Z,0
Stunning !!! 💕,Annie Jepson,2020-09-07T18:14:51Z,0
"I can see the passion in your eyes when you talk about your clothing line. It&#39;s beautiful. Please update your hairstyle and makeup routine, you look gorgeous. Hugs from Brazil ❤",Reijane Costa,2020-09-07T17:56:07Z,6
"Tess, is it on your plans to make your clothing line available for women all sizes? Xo, love your channel 😘",Lorenza Santana,2020-09-07T17:25:16Z,3
"Oh yeah, that would be fetch",Julia Julie,2020-09-07T19:24:52Z,0
agreed!!,skandar123keynes,2020-09-07T17:30:08Z,0
Congratulations Tess. You deserve it,Holy Wow,2020-09-07T15:52:21Z,0
I was so bummed I went on at like 1.06pm est and all the clothes I want were gone 😭 but congrats and I’m so excited to see the next few collections 💖,sophia liu,2020-09-07T15:41:32Z,0
How to make the outfit look good<br />Step 1: Have the perfect body<br />Step 2: Have the perfect body<br />Stept 3: All of the above,Julia Julie,2020-09-07T15:38:27Z,3
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -gh",Aleena Ali,2020-09-09T06:08:05Z,0
I’m really sad I didn’t get the chance to purchase any of these items. I really hope I get the chance in next collection 🙏🏽,Sophia Rose,2020-09-07T15:00:04Z,14
WOHOOOO THIS AWESOME! SO HAPPY FOR YOUUUU,maya alraheb,2020-09-07T14:34:02Z,0
what stores can I find your clothing line . keep me posted,Sara Green,2020-09-07T13:51:39Z,0
"What l like the most about Tess is that, she is really so clear. She never talk so much. She speaks succinctly. I never skip her videos because l do not need it. 💖 l never get bored.",Dilek Barut,2020-09-07T13:15:31Z,31
I‘d LOVE to see a video where you style the same piece in different ways! I feel like your Khrystine jacket would be so versatile in fall ❤️,Hey Katinka,2020-09-07T12:33:25Z,6
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -",Aleena Ali,2020-09-09T06:05:50Z,0
"I love your style, character and videos so much, so please upload more videos and longer videos 😭",dancingmango,2020-09-07T10:20:36Z,0
So beautiful,BG TV,2020-09-07T09:51:09Z,0
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -t",Aleena Ali,2020-09-09T06:07:55Z,1
💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗,Kristina x,2020-09-07T07:38:33Z,0
This is exactly what I was looking for and more!! Thank you☁️🤍,WorldWithNani,2020-09-07T07:18:42Z,0
I am in love with every single outfit.. you&#39;re the best Tess❤,Resida Biba,2020-09-07T07:12:58Z,0
Your videos are really good.<br />I&#39;m so inspired that I started my own YouTube channel. Keep up the good work!,Meyash vlogs,2020-09-07T07:09:51Z,0
that ASOS corset top is sooo cutteeee 💜💜💜💜💜,Aurélie Jenna,2020-09-07T07:09:38Z,0
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -r",Aleena Ali,2020-09-09T06:08:13Z,0
"I want all of those outfits, exact pieces",Rachiee Love,2020-09-07T07:09:02Z,0
🥰,Johanna Da Rocha,2020-09-07T07:03:45Z,0
I love you &#39;re Line. But i&#39;m not sure if you send to Germany? 🤗🥰,Esther K.,2020-09-07T06:58:34Z,0
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -q",Aleena Ali,2020-09-09T06:08:21Z,0
"I LOVE FALL so I&#39;m more excited for that line. :) however egain congrats on your success, the summer line was already absolutely amazing.",lilli.kirschmann.art,2020-09-07T06:44:21Z,0
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -",Aleena Ali,2020-09-09T06:06:13Z,0
I&#39;ve been watching your Videos for years! I&#39;m so happy for your achievement!,- Lisa -,2020-09-07T05:50:25Z,0
Pre ordered my Carrie Top 😍 can’t wait 🙌🏽 alsooo congrats such big moves girl! Proud of you 💛😩,Melissaysitall,2020-09-07T05:28:55Z,1
"Ive been a subscriber and have watched your videos for years, I have always loved your style and energy! Your clothing line is soooo beautiful and definitely up my alley, but girllllll those prices... low income people like to dress nice too 🥴 guess I gotta stick to forever 21 and papaya 😅",Summer,2020-09-07T05:25:18Z,0
I&#39;m so happy and proud of you Tess!&lt;3,Karylle Anne,2020-09-07T04:51:14Z,0
"Congrats again on the clothing line! Would love if you had models with different body types on the website showing the different sizes and fits, if that could happen for the fall drop, it&#39;d be amazing",Andrea,2020-09-07T04:28:27Z,5
I’m so happy about this!!! Super excited for fall line as fall clothes are my fav,Jenna Cramer,2020-09-07T03:30:04Z,1
Same 😁😁,lilli.kirschmann.art,2020-09-07T06:45:40Z,0
Theses outfits are very cute!! 💕,Melody Santiago,2020-09-07T03:09:01Z,0
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -r",Aleena Ali,2020-09-09T06:06:48Z,0
"Which pieces would you recommend for plus sized ladies? I have a larger bust and my tummy is definitely my problem area, and all the pieces just seem really form fitting and like they may not be flattering on a shape like mine.",Amanda Harris,2020-09-07T02:59:43Z,3
"I think the only flops from this line were the beige top and beige pants, the other items were nice",sushilover9,2020-09-07T02:56:37Z,3
"Wanted to love this company and this collection so much. Unfortunately, my package was missing one of the pieces from my order &amp; by the time my package arrived, the item had been sold out. I was told I would no longer receive my item, which saddens me deeply. A bummer first impression, but wishing you the best of luck on future drops.",Shanan Pierce,2020-09-07T02:35:14Z,4
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -o",Aleena Ali,2020-09-09T06:07:35Z,0
I can&#39;t wait for more of your clothing line. Will be buying more items from your collection. I love how you style them in this video!!,maliestevez,2020-09-07T02:33:38Z,0
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -",Aleena Ali,2020-09-09T06:06:27Z,0
"I&#39;ve been a fan of Tess for YEARS. I&#39;ve been watching her channel since she used to film her videos on her parents&#39; backyard. However, I can&#39;t help but notice that her IG page for Backyard Roses lacks diversity. There is literally only one POC girl featured on her IG page while the rest are a bunch of white girls. Even the girls she sent PR packages too are white. This baffles me considering the fact that she&#39;s been so advocate for racial equality yet her clothing line mostly features white girls. SOOOO disappointed. You cant preach about racial equality while simultaneously creating a brand that mainly targets/showcases white girls. I am aware that the model on BR website is POC, but that still does not change the fact that her brand LACKS DIVERSITY. Put your money where your mouth is and stop with the performative activism.",Saoni,2020-09-07T02:04:39Z,2
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -t",Aleena Ali,2020-09-09T06:07:46Z,0
Tess Christine on Youtube is basically my Google for How to Style my Wardrobe. Love your videos❤️,Manda May Today,2020-09-07T01:59:48Z,1
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -u",Aleena Ali,2020-09-09T06:07:24Z,0
so beautiful!,R,2020-09-07T01:37:06Z,0
The name of one of the shoe brand is wrong. You wrote shultz but is schutz. I used to work for them lol<br />I love your style so much! I always get inspired by your looks.,Zu Brito,2020-09-07T01:33:45Z,0
"YAY CAN&#39;T WAIT FOR YOUR FALL, WINTER, AND RESORT COLLECTIONS!!! SO PROUD OF YOU! ❤️",ULUU,2020-09-07T01:12:28Z,176
"Once the fall collection is out, will these summer pieces still be available for purchase? 🙂",M0r32Lyfe,2020-09-07T00:48:06Z,0
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -",Aleena Ali,2020-09-09T06:05:58Z,0
"I want this vid to apply to me so bad, I was at work when it dropped and when I got home 2 hours later it was all sold out! So proud of you and waiting on that restock 💗",Laura Elena,2020-09-07T00:40:01Z,0
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -",Aleena Ali,2020-09-09T06:06:20Z,0
I ABSOLUTELY LOVE YOUR STYLE,Sam Elle,2020-09-07T00:38:04Z,1
Congratulations on your fashion line tess!❤️,Harlie Walden-Meredith,2020-09-07T00:33:18Z,0
"<a href=""https://youtu.be/ADYoYAcLg14"">https://youtu.be/ADYoYAcLg14</a>.  -f",Aleena Ali,2020-09-09T06:06:40Z,0
Hey Lovely! thanks for the cute outfit ideas. Fave is #2. You just reminded me that I used to dress cute....gotta get back to it.,M,2020-09-07T00:25:35Z,0
I love your taste in clothing!! Sooooo cuteeee!! MODEL!!,Raelin Miller,2020-09-07T00:18:58Z,1
"I&#39;m so happy for you! In love with everything, although I wasn&#39;t able to afford anything. So excited to see what you do next and hope I can also rock some of the pieces! So proud of you Tess 💕",sandybaby17,2020-09-07T00:18:54Z,0
Congratulations on your line!! Ever piece is so beautiful!! Wish you nothing but success 🥰,Alyse Raye Boutique,2020-09-07T00:12:56Z,4
I&#39;m so exciting to get the pieces i ordered. The whole line is gorgeous!! &lt;3,april,2020-09-07T00:12:04Z,8
"Love your style Tess, and so proud of your clothing line💝",Samar Suleiman,2020-09-07T00:12:00Z,4
"I feel proud to see your style videos with your own line! ❤️ so excited and happy for this, it&#39;s so well deserved! You&#39;re incredible Tess! ✨",Victoria Arguello,2020-09-07T00:11:24Z,11
