comment,id,date,num_likes
"<a href=""https://youtu.be/bjfbHED3wNQ"">https://youtu.be/bjfbHED3wNQ</a>",Manel,2021-04-24T20:39:10Z,0
Where is the couch from,Mercy Deshield,2021-04-14T14:30:00Z,0
Hey Tess I was wondering where did you get the mailcatcher love the vibe mid century modern vintage decor of it. 😊,Christina Michelle,2021-03-21T03:00:49Z,0
How much does this cost?,allison wilton,2021-03-19T12:41:43Z,0
Making 3 of thoese in Belize 🇧🇿 for renting,Shane Alarcon,2021-03-19T03:22:19Z,0
loveee it,funmi,2021-03-05T12:15:14Z,0
Where did you get the pot for the plant?,JustTiffanyLou,2021-03-03T04:16:46Z,0
"Great closet space  esp for a NY space, lucky you 2",charles coffey,2021-02-24T03:34:16Z,0
can you please tell me where that mirror is from I need to know🥺🥺❤️,Sally,2021-02-22T11:16:04Z,0
Your apartment look very nice!!!,Mirlaine Cassamajor,2021-02-18T00:58:05Z,0
Some decals on the dark side of that fridge would free it up.,Iain Sanders,2021-02-13T13:08:11Z,0
"Hey guys! I have a video like this up on my channel, I would love if you checked it out! &lt;3",Caitlyn Mayyy,2021-02-04T23:53:39Z,0
What size mirror is that? Think of purchasing but want to get an idea of the size compared to me,Kaitlin Mcmullan,2021-01-29T20:11:55Z,0
"I just discovered Small Apartment Tours and I&#39;m obsessed.  I love your apartment.  You should get the SINK TOPPER.  It&#39;s the best thing ever for bathroom sinks with no counter space.  You can check it out on their website <a href=""http://www.sinktopper.com/"">www.sinktopper.com</a> but I got mine on Amazon.",CHRIS H,2021-01-27T22:10:10Z,0
"Omg , i am subscribing  ! This is exactly what i imagine my home to look like 😍 !!!",Zoya Anis,2021-01-22T06:41:19Z,0
Where is the couch from?😍🥺,Aida,2021-01-20T05:23:29Z,0
One day... I will make the move to Brooklyn. Maybe.,Joy Mae NYC,2021-01-19T18:52:59Z,1
Where did you get your sofa from its soooo cute,JNC,2021-01-09T08:11:44Z,0
I love your couch!! Where is it from?,Tosca Ortiz,2021-01-07T20:43:20Z,0
Why american woman love talking<br />( talking to much,Beelfeey Tv,2021-01-06T21:34:43Z,0
👌🏽 Love your apartment,Londeka Mbambo,2020-12-31T12:25:28Z,0
You guys have literally the PERFECT apartment! 😍,Sally,2020-12-28T23:09:20Z,0
Love it. My style . 😊💕👍🏽,"S.G Life, Learning Lessons with S.G",2020-12-27T00:58:34Z,0
that extra half bath and office space is game changing. love it!,Celeste A.,2020-12-24T20:06:54Z,0
"In Modern Living Room Everyone Using &quot;SoundProof Curtains&quot; That Stops Outside Noise by 80% (25 Db) Tested. Check Here: <a href=""https://livesoundproof.com/best-soundproof-curtains/"">https://livesoundproof.com/best-soundproof-curtains/</a>",Laura Brown,2020-12-22T05:53:54Z,0
You&#39;re such a calm soul i love it! 🥺,Dimitra Christaki,2020-12-21T08:34:35Z,0
Where is your black plant stand from?,Sandra Gutierrez,2020-12-18T18:55:38Z,0
Hi! Where did you get your adorable leather mail slot?,Carol Sohn,2020-12-12T02:14:29Z,0
"What fabric color is the couch? If this is the harmony couch, I’m trying to order it now. Please answer 🥺 idk why you’re skipping everyone’s questions about the couch",Jakai,2020-12-11T12:53:33Z,0
HOW MUCH DID YOU GET THE APARTMENT FOR !!,Michelle Lozano,2020-12-08T20:09:31Z,1
