comment,id,date,num_likes
"Hi!! I see all of your comments! Thank you for being so caring and thoughtful 🥺 I am a bit sad. We have gone through it this year and not seeing my family or going to my best friends wedding really hit me this week. I know a lot of people are having a tough time and I’m with you. I’m currently editing the Catskills video and it’s clear I needed some time out of the city with my NY family. I feel so much better. Thank you for caring, I love you and I hope you are all ok too. Ily.",Tess Christine,2020-09-21T00:24:25Z,456
I definitely noticed that something seemed odd and when looking at the comments many others did too. I’m glad you responded and I’m so happy to hear you’ve been feeling a lot better! 💛,Miranda Henkel,2020-09-23T17:16:56Z,0
I know how you&#39;re feeling.. here in Italy the situation isn&#39;t that good and it has been very awful in the past months.. my cousin was supposed to marry her fiancé  back in May but she couldn&#39;t and now their wedding is going to be in October but we&#39;re not going because it is a different city and it is dangerous especially for my grandparents ! also my mother broke her wrist and arm in august.. 2020&#39;s shit :(,Chiara Vitale,2020-09-22T19:54:59Z,0
"Hi Tess, same with me. I wasn’t able to go back home (Brazil) haven’t seen my fam for over 2 years now and missed my cousins wedding. I started therapy and actually helped. Just a tip!<br />Stay safe and healthy sending good vibes 😘",Lorenza Santana,2020-09-22T14:22:39Z,0
"Sending you so much love. So proud of you for doing what&#39;s needed to keep us all safe. I can&#39;t say the same for everyone who has influence. And, I&#39;m watching OTH for the first time, too! I&#39;m on Season 2 and it keeps getting crazier and crazier. My husband will pop in every now and then and ask what&#39;s happening. He&#39;s getting a crack out of it.",Neely O'Connor,2020-09-21T20:52:50Z,0
"i hope you are okay :( it’s hitting me too, this really really sucks but we’re all going through it together and we have to look at the bright side of things that we have rn!! it will get better ❤️",Chiara Lucia,2020-09-21T15:53:11Z,0
I like your cardigan whre is it from?,alx p,2021-02-14T10:59:04Z,0
this sounds weird but the way she was eating that salad made it look so good lol,m.,2020-12-31T17:30:41Z,0
YAS CARRIE,Isabel Hipolito,2020-11-20T03:54:26Z,0
SO AESTHETIC,Isabel Hipolito,2020-11-20T03:53:17Z,0
You need to watch Lucifer! I think it&#39;s right up your ally :),Kacey Willis,2020-10-20T03:29:21Z,0
Exactly how I feel it sucks with covid. So cute 💙,amber love,2020-10-08T15:42:05Z,0
Love your styleee🔥,Kristy,2020-10-05T22:47:19Z,0
I’m so sorry you have to miss her wedding. 🥺💗,TheStilinski24,2020-09-29T14:07:40Z,0
"Carrie 😂😂😂 “ no Rhonda, no Rhonda”",Sarah Brandon,2020-09-28T16:25:37Z,0
"Could you maybe do a video about your jewelry? Where you find it, how you select and style pieces? I can tell you&#39;re really good at it and it always makes your looks look super put together and gives it that extra flare!",Caroline German,2020-09-28T16:01:23Z,2
what is your camera used for vlog?,Mohamed Samir,2020-09-26T23:46:01Z,0
Sending you love Tess!!,Kim Cornetta,2020-09-25T22:48:49Z,0
I love you all so much and have watched you for years. I feel like we are friends LOL. Carrie seriously lifts my mood!,Sarah Loftin,2020-09-25T21:04:12Z,0
