comment,id,date,num_likes
Do you think we are having a boy or a girl?! :),Tess Christine,2021-03-18T01:50:16Z,169
"@Quinton Fillip definitely, been using Flixzone for months myself =)",Brennan Reuben,2021-05-02T13:53:48Z,0
Pro trick: you can watch movies at flixzone. Me and my gf have been using it for watching a lot of movies lately.,Quinton Fillip,2021-05-02T13:43:09Z,0
"<a href=""https://youtu.be/JHCJnyZe5Tg"">https://youtu.be/JHCJnyZe5Tg</a>.",Aleena Ali,2021-03-20T14:02:48Z,0
I&#39;ve been feeling like it&#39;s a girl from the start but now I&#39;m suddenly starting to doubt!!,linndyz,2021-03-20T10:44:53Z,0
Boy :),charmed4786,2021-03-20T05:30:50Z,0
Its a boy becauss the ring went back and forward,Misz N,2021-04-27T20:48:35Z,0
"In my country, Portugal, we use a needle instead of a ring to do that test! 😜 And instead of the belly, we put above the palm of the &quot;master&quot; hand ;)",Cristiana Vieira,2021-03-30T12:30:46Z,0
Tess is it your natural hair color now? :D<br />ps. You look stunning!,I remember,2021-03-28T17:06:42Z,0
"Patrick is so cute, with how clueless he is. Hahaha",Nancy Yang,2021-03-24T21:33:12Z,0
i love how you looked at patrick for almost every answer and hes like... well i dONt kNow RAggY,Lillian Ramirez,2021-03-23T23:40:18Z,0
"haha, i think its funny how quickly the boy points came back...",c doyle,2021-03-22T09:34:09Z,0
"<a href=""https://www.youtube.com/watch?v=ORPooH5KVWo&amp;t=6m56s"">6:56</a> lmao the giggles in this video are gold",Dragana,2021-03-22T03:49:49Z,0
this was so much fun to watch!,Carina,2021-03-21T11:15:21Z,0
Watching this after the gender reveal is just funny,Anureet Arora,2021-03-21T07:22:32Z,0
I wish I could see myself as happy as you are someday ;),hypnosemi,2021-03-20T23:27:30Z,0
"I was convinced it was a boy and I&#39;m still guessing boy, but I&#39;m not as positive as I was before lol.",SabrinaChic,2021-03-20T21:59:56Z,1
It&#39;s a boy 👦,Dee Movingbeats,2021-03-20T18:52:54Z,0
not me trying to closely analyse your reaction to guess the gender ahaha,Vartika,2021-03-20T17:59:56Z,1
"the laugher in this video is so precious and sweet, so excited for you both! &lt;3",linndyz,2021-03-20T10:47:38Z,0
My mums feet changed from a 5 to a 6 when she had me but idk if this is a common thing,Aimarie23,2021-03-20T09:55:23Z,0
Boy boy boy 💙💙💙,Christina Sankey,2021-03-20T09:13:09Z,0
I&#39;m getting major boy vibes but still think you are having a girl 🤷‍♀️🤷‍♂️😂 either way~ hope you will continue to have smooth pregnancy and a healthy baby at the end 😘,Viktória Kovács,2021-03-20T08:58:17Z,0
I think its a boy ❤,Richa Rathod,2021-03-20T08:06:46Z,0
i feel like it’s going to be a boy!,emily mary,2021-03-20T08:04:15Z,0
I think it’s a boy 💙,Vanessa Salinas,2021-03-20T04:07:59Z,0
girl 💓💓💓,Arianna Meyer,2021-03-20T00:46:12Z,0
"I&#39;m thinking boyyyy!!!💙💙 So excited for you guys, Tess is GLOWING!",Elizabeth Werdnik,2021-03-20T00:29:49Z,0
"I think girl but it could be a boy, but healthy babe 🥺. <br /><br />I cannot wait to see what your guys are having ❤️!",Cassandra Dube-Savard,2021-03-20T00:23:19Z,0
"You guys have amazing poker faces, i have no idea",TheHerothief,2021-03-19T23:59:49Z,0
More excited to know than when I was pregnant😂 lol,Sarai Gallegos,2021-03-19T23:57:03Z,0
I&#39;m excited to find out the gender. I really think it&#39;s a boy. 💙💙💙,Jeanette Tinoco,2021-03-19T22:38:50Z,0
My guess is girl!,Lindsey Campbell,2021-03-19T22:33:06Z,0
It&#39;s definitely a girl 🤞🏽,Khethiwe Lamula,2021-03-19T21:42:41Z,0
i mean.............. i. AM. human,ju and books,2021-03-19T21:08:01Z,0
Y’all are my fav,Chanler Kunzman,2021-03-19T19:56:31Z,0
DEF a boy! ..... i think,Amy Zywicki,2021-03-19T19:45:50Z,0
"Fun fact - did u know what u eat only 4% of it goes to the baby, that’s like a yogurt size",beautyspeakswithin23,2021-03-19T19:28:44Z,0
Putting my guess here: girl. I feel like the heart rate is most often right,Anaelle Sure,2021-03-19T18:31:49Z,0
I think boy!,Laura Weidner,2021-03-19T17:34:17Z,0
During my entire pregnancy I had cravings for sweet things! I never enjoy sweets lol. Not even my own birthday cake before pregnancy. <br />Currently have a 5 month old BOY 😂❤️❤️❤️❤️😍😍 I think they’re having a boy!,Malky Ortiz,2021-03-19T17:32:40Z,0
I say girl,Vikingsandra,2021-03-19T17:14:32Z,0
I am getting the boy mom vibes ! :) I have a little boy its the best ! but healthy is most important of coarse :),TAKETHERISKFAMILY,2021-03-19T17:04:36Z,0
