comment,id,date,num_likes
you look so much like Nikki reed,Nejoud Behbehani,2021-03-11T19:16:11Z,0
I WANT THAT.,Noa Fist,2021-01-15T15:42:10Z,0
"<a href=""https://youtu.be/6RhCS77HoIs"">https://youtu.be/6RhCS77HoIs</a>",Gavin Mckinney,2021-01-06T20:19:31Z,0
rewatching this because london is the first place i want to return to once this pandemic is over 🤎,vayda,2020-12-25T17:06:27Z,1
"Very nice picture and i am very happy, I&#39;m Sandeep Kumar from jagraon city Punjab India and ex student Tstu tambov Moscow Russia, happy new year and merry Christmas.",Sandeep Kumar,2020-11-29T16:04:39Z,0
not me thinking he is harry style for a second,mona caroline,2020-10-31T16:06:48Z,0
Kara’s my favorite I was so sad she wasn’t in this lol,Annie,2020-10-11T04:03:01Z,0
"Such a feel-good vlog, I LOVED it, puts a smile on my face to see you guys have such a good time 😃",Vikingsandra,2020-09-10T19:53:29Z,0
"Does anyone know where I can find the coat Tess wears at <a href=""https://www.youtube.com/watch?v=BfNRs492cqc&amp;t=7m28s"">7:28</a>?? I would be soo happy :))",Luisa K.,2020-09-04T21:03:17Z,0
Rewatching Tess’s travel vlogs because I miss traveling so much 😭,Mikala Ann,2020-08-13T19:28:24Z,0
What a nice vlog ! We also went to London last December and we vlogged it even though it was way shorter ahahahah!,The Malika Sisters,2020-06-13T20:38:22Z,0
Watched this tons! I kept coming back to this vlog. I miss London sm! 🥰✨,Isabelle Ocampo,2020-06-12T08:04:42Z,0
هل من عربي هنا (جزائري),ania vlog,2020-06-05T21:08:28Z,2
"Beautiful video I love this, am inspired ❤❤❤ <a href=""https://youtu.be/vEaMDS793o4"">https://youtu.be/vEaMDS793o4</a>",Liza Baby,2020-05-30T09:07:52Z,0
So nice video and good country,billy tourguide,2020-05-23T20:55:52Z,0
You guys need Jesus... everything you seem to live for is so superficial and meaningless,Juline Heidt,2020-03-01T12:23:14Z,0
"Lovely Vlog .. Please drop in to my channel to view London my way ...<a href=""https://youtu.be/IagURJiJw6M"">https://youtu.be/IagURJiJw6M</a>",Be Obsessed,2020-02-17T07:47:39Z,0
Hey everyone :)<br />Anyone know the name of the dinner Restaurant in Paris?,Márcia Macieira,2020-02-11T16:19:54Z,0
Carrie and Patrick really friends goals 😂😂😂,Hedaa Said,2020-01-31T20:08:58Z,0
i really love your friends,Hedaa Said,2020-01-31T20:04:49Z,0
"I was in London October 2018 and I was soooo disappointed about Big Ben. But we actually found Little Ben, which was fun too 😂",MimisMoments,2020-01-19T07:37:32Z,0
Tess and Carrie traveling together are my fav vlogs,Akshara,2020-01-06T15:11:30Z,0
"At <a href=""https://www.youtube.com/watch?v=BfNRs492cqc&amp;t=3m11s"">3:11</a> I don&#39;t know why but Pat reminded me of Harry Styles",Brianna Vergel,2019-12-27T04:54:04Z,0
"&quot;i got this scarf in paris&quot; &quot;it&#39;s really cute i stole it when we were in ireland&quot; <a href=""http://www.youtube.com/results?search_query=%23RELATABLE"">#RELATABLE</a> i love u guys ur life is amazing lol",Rebecca Richards,2019-11-27T02:59:01Z,1
"Good job, my girl!",Muma Gad,2019-10-01T11:56:06Z,0
I&#39;m watching all your vlogs and I love them. Your group of friends is amazing,valeria,2019-09-26T10:03:05Z,0
