comment,id,date,num_likes
I love your videos 💋,dominique armand,2021-01-11T20:23:22Z,0
I love your videos!! Also where your white shirt is from its super cute!,ashley osornio,2020-05-31T19:26:09Z,0
Can u please link down your daily outfits!!,Shaina Lee,2019-11-13T20:26:58Z,0
Can you show more of the food clips as well! 💓💓💓<br />I love your vlogs 😍,Katie Benfield,2019-11-09T18:44:59Z,0
Tess I love you but your plant has mealybugs spray some neem oil on that girl,Meredith May,2019-09-24T02:57:59Z,0
"When you started showing that wedding planner I got so excited, even in photos it was perfect. Your wedding was perfect Tess, I love to see the behind the scenes after just to see if its exactly how you planned it and I feel like it did so im so happy!",Marie-Joëlle Champagne,2019-09-23T11:06:10Z,0
💓💓💓💓,Misha Larue,2019-09-20T18:22:21Z,0
Oh my gosh I found your boyfriend tag video five years ago and now y’all are getting married! Congrats that’s amazing!!,Nor,2019-09-10T18:25:04Z,0
I live in upstate NY in the adirondacks! Best place in the world to camp for sure. Love you Tess! Xo,Melissa Place,2019-08-25T16:59:00Z,0
Love your necklace! Where’s it from?!,Lindzanne1,2019-08-18T02:37:28Z,0
um never thought of putting everything into a presentation and now i definitely will be so I can get my vision together (wedding is far out but such a good idea to start to put together!) - LOVE THIS AND YOU! happy planning!,Kimberly Fontan,2019-08-18T00:08:00Z,0
"the first video i ever seen of tess’ was the ariana grande hairstyles, now shes engaged in brooklyn livin her best life!!!!! love you tess❤️❤️❤️",jillian,2019-07-28T17:33:37Z,0
“Is this baseball?” 😂,Rainbow Pierrot,2019-07-27T11:33:54Z,0
"<a href=""https://youtu.be/FxFMyXi-pQc"">https://youtu.be/FxFMyXi-pQc</a>",SLKREAPER,2019-07-26T12:24:43Z,0
👍,Sruduk Ibnoe,2019-07-23T05:25:52Z,0
Love these wedding videos ❤️❤️ &amp; now I think I need a google pixel book lol 😂,Yennni G,2019-07-21T03:07:47Z,0
"Great video! ❤ Quality content is 💯✔ I think you can still improve your vlogs. I suggest you practice removing fillers like &quot;Ahm, Ah, So&quot; from your speeches. 🙂",Kim Rizardo,2019-07-20T19:09:20Z,0
the camping seems fun &lt;3,booitsmichelle,2019-07-20T13:19:15Z,0
진짜 예뻐요!,져니라이프 journey life,2019-07-19T12:51:00Z,1
&quot;what is this game? is this baseball?&quot; is my not-sporty ass all the time,Olivia CJY,2019-07-18T04:00:58Z,4
What camera do you use?,Ivan Jimenez,2019-07-17T20:04:40Z,0
It’s so good that you’re staying organized throughout the planning! Makes it all a breeze by the time you get to the big day!,Tiana and Lance,2019-07-14T19:18:02Z,0
I&#39;m so excited for your wedding!!,Toxic Style,2019-07-14T07:38:25Z,0
What app do you use to take pictures?,Alyssa Botbyl,2019-07-12T02:04:00Z,0
"<a href=""https://www.youtube.com/watch?v=JwavYIm-CaQ&amp;t=8m31s"">8:31</a> THE  SMOOTHEST SMOOTHIE-STACHE TONGUE LICK-OFF I HAVE SEEN IN MY LIFE wow",Nidhi Mehta,2019-07-11T14:19:51Z,1
Always wondered in general! But did Tess sleep in makeup or reapplied it next morning? Since it’s camping idk how would either things work lol,Joelle M,2019-07-10T22:05:43Z,2
That 70’s show!! It’s hilarious!,Joelle M,2019-07-10T22:00:49Z,1
Her vlogs always make me want to visit New York.,EnchantedPrincess11,2019-07-10T15:32:34Z,0
Yay I’m glad you went to upstate because that’s where I’m from! Camping is very fun around here especially near lakes.,rockerchick6168,2019-07-10T05:53:03Z,0
@Moriah Seale Accept Islam as your religion. Because if you die as a Nonmuslim you will enter Hell. But if you die as a Muslim you will enter paradies.,Sabay Mabay,2019-07-11T10:25:32Z,0
I really want to do that with friends. What sites do you recommend?,Moriah Seale,2019-07-10T06:58:27Z,0
