comment,id,date,num_likes
"Great video, what’s the location ?",iqhlas hossain,2021-03-12T05:03:13Z,0
I miss NYC.. from Tokyo Japan😎,Shimatsuka Satoru,2020-06-08T10:34:56Z,0
"Does Carrie have a channel?!?! Cuz, ive been binging your vids and im obsessed with her and she should have a channel! 10/10 would subscribe.",Melanie Campbell,2020-04-07T16:19:18Z,0
CARRIE IS HILARIOUS,Gerbi,2019-11-11T00:39:57Z,0
I love how none of your friends are afraid of the camera!! Everyone’s so natural with it! Not afraid to be funny and ridiculous with you 😂❤️,Shaina Ramos,2019-11-09T13:57:39Z,0
these vlogs feel like an episode of FRIENDS lol,Samantha Flagella,2019-11-03T22:35:25Z,0
Someone please tell me the song in the intro!!!??,Advika Singh,2019-10-29T19:49:40Z,0
I swear i see something jamaican in every vlog nowadays,Cayden,2019-10-29T16:43:25Z,0
wow i LOVE your guys friendship(:,Jami Marie,2019-10-28T22:41:05Z,0
This vlog is the funniest vlog you ever make ! 😂😂💗,Luna Blandin,2019-10-27T23:34:03Z,0
What great bunch of people I love 💕 them  beautiful wedding Tess n Patrick congrats 🎉,Frenchíe Kaí,2019-10-26T02:24:06Z,0
I LOVED this. So FUN!! ♥️♥️😄😄,Kram Trednuh,2019-10-23T11:51:47Z,0
Which docs do you have!!,Savannah Eggers,2019-10-20T22:04:04Z,0
why was everyone so good at juggling LMAO,carolina F,2019-10-12T02:22:15Z,1
"Wish you guys were my friends, You guys are a riot. I love it 😂",Brenda Goncalves,2019-10-11T20:37:35Z,0
Hey Tess I&#39;ve been watching your videos for a long time but lately your videos don&#39;t come up in my homepage so I think you don&#39;t upload when in reality you do Idk why.,Carme Mas,2019-10-11T03:53:14Z,0
Love the vlogs☺️☺️☺️,TyKara Ann,2019-10-09T20:00:14Z,0
I love this,Robert N,2019-10-09T19:08:57Z,0
What foundation are you wearing now?! Skin looks amazing- I feel like we are all in need of an updated makeup routine 🙏🏻,LeeAnne Schmidt,2019-10-09T01:47:56Z,0
But if you were playing the version of “what are the odds” when the numbers can add up to the total number Kara would’ve have to do it!!,bookishsami,2019-10-08T23:24:45Z,1
"yay jamaican reppin!!! haha love that pat and louis got some goodies. Tess, if you and your friends and Pat come to jamaica, ill be happy to give you some recommendations!! and our foooooodd (beaches too!) yess",Zoe Howell,2019-10-08T02:10:40Z,1
"that little Kara moment at <a href=""https://www.youtube.com/watch?v=NXmUabR6EIw&amp;t=11m54s"">11:54</a>.. in love with that girl",Elisa Idir,2019-10-07T21:36:28Z,0
So this is what having a friend group is like. Cool.,pipperlue,2019-10-07T19:18:42Z,0
"WHOA! Louie’s shirt says OSHS, which if he is from Kansas, then that is an Olathe South high school shirt. That’s where I am from! That’s super cool if that’s it. Blue and yellow (or gold) are the colors too! Love this group of friends. Always positive and genuine. The content and creativity is amazing! Shoutout Louie if he is a Kansas guy",Luis Ruiz,2019-10-07T08:03:55Z,0
"Made me so happy to see the Jamaican food stand and matching armbands!! You guys should visit, you&#39;d love it! :)",Sarah Miles,2019-10-06T21:44:00Z,0
"My BIGGEST goal in life is to live in New York, I love watching your videos so much❣️",Katrina Fletcher,2019-10-06T20:37:43Z,0
Ok...First.. It&#39;s my favourite vlog &lt;3 and Ship Carrie and Louis &lt;3,Eszti Ujvárosi,2019-10-06T16:30:50Z,0
carrie cam is my fave!!! this friendship group is so beautiful!,Anna T,2019-10-06T10:39:48Z,0
Enjoyed watching this so much!,Isa Vanstraelen,2019-10-06T10:13:27Z,0
In odds on when the number adds up to what it is out of (e.g. when it&#39;s 24 and 6 out of 30) then the person that was the challenger has to do the dare,emma gerschwitz,2019-10-06T10:10:21Z,0
"Amazing video Tess, so funny! Btw, where is your skirt from please??? &lt;3",Julie Pabion,2019-10-06T10:02:14Z,0
what a beautiful set of friends 🥺♥️,Ryz Amil,2019-10-06T09:53:01Z,1
friendships goal❤️,Putri Febrianti,2019-10-06T03:19:42Z,0
"&quot;You know whats cool, is that we live in fucking new york city&quot; that quote is going to be my motivation from now on",Fernanda León,2019-10-06T02:16:20Z,17
"Wait, did the cider they drink have alcohol? lol I am asking a serious question there haha",Ale Tolentino,2019-10-06T02:08:30Z,0
Oh Carrie ❤️ ahahah,Cass Furtado,2019-10-05T22:26:38Z,0
But for real y’all living the F R I E N D S fantasy! And I love it!,AbiInMusic,2019-10-05T22:02:24Z,0
Must be nice having a group of friends to hang out like that ♥️😂😂♥️😂♥️😊,AbiInMusic,2019-10-05T21:46:19Z,0
🖤,Ashley Beckner,2019-10-05T15:21:54Z,0
What instrumental is this ?,delliebby,2019-10-05T15:21:54Z,0
"So much happiness in one video, I love it. :)",Abby Cohen,2019-10-05T15:15:56Z,0
Where is Julias jacket from? I LOVE IT,GGPRftw1,2019-10-05T14:30:59Z,0
Guess you could say Kara wore those apple bottom jeans 😂,Hannah Suchomel,2019-10-05T13:39:59Z,9
"Your vlogs always make want to move to NY!! Btw I love Carrie, she’s literally so funny",Carolina Simões,2019-10-05T09:46:12Z,0
So fun! I love you and your whole squad. You come up with the funniest stuff.,Elin-Sofie Ødegård,2019-10-05T09:01:22Z,0
Loveeed this vlog! (and your friendship group) 🙌,Joye Creates,2019-10-05T04:13:05Z,0
Carrie is literally the best! She always knows how to make anyone laugh😂,lovebirdsbeauty,2019-10-05T01:39:27Z,0
A friend group I would actually want to be a part of,Adriana Rivera,2019-10-04T23:58:11Z,0
I aspire to have a friend group like this,andra gabriela,2019-10-04T22:24:56Z,0
yessss Tess we missed you!,Autumn Willows,2019-10-04T22:14:41Z,0
Wish I had a group of friends like this.,Michyy nicole,2019-10-04T21:04:25Z,0
Lol two years in a row someone gets shiz on their pants at the apple orchard,Brenna McWha,2019-10-04T19:49:31Z,0
