comment,id,date,num_likes
"All I want is Tess life, is all I want too much to ask?",Noa Fist,2021-01-15T16:13:36Z,0
Vlog without carry 🥺,Iman 9,2020-08-30T10:27:51Z,0
"They are look very happy So,I like the movie!! Thank you happy time to me.",きょもんのおもち。,2020-08-13T13:20:32Z,0
I love watching videos like this with your friends! Leaves me feeling really happy &lt;3,Meagan Ryder,2020-06-16T04:10:00Z,0
"At <a href=""https://www.youtube.com/watch?v=WTbil4_2ewg&amp;t=10m27s"">10:27</a>, you have an admirer.",Madison Fuller,2020-05-29T23:13:01Z,0
"<a href=""https://www.youtube.com/watch?v=WTbil4_2ewg&amp;t=1m17s"">1:17</a> Watching this today May 2 2020 when Alex just had her baby 🥺",Priscella Shek,2020-05-03T00:42:27Z,0
Circle of friendship. I loved it!,にほんご,2020-04-20T02:23:06Z,0
"loooooove this one ~ gonna borrow that relay idea, ha!",laura godoy,2019-12-27T05:47:05Z,0
How did you find this group of friends?,Ellie Cheek,2019-12-07T19:35:13Z,1
Does anyone know where the red one piece tess was wearing from??! Leaving on vacay soon ugh i need 😍,kelishana,2019-11-27T00:32:13Z,0
I’ve been procrastinating watching this vlog bc I’m so SAD she was literally 30 minutes from my house:-(,anna vetter,2019-11-25T12:16:02Z,0
"I love your friend group, so wholesome 💕 &amp; I loved the clip where all the girls were doing their makeup ☺️",Yennni G,2019-11-23T04:41:53Z,0
This made me so happy ❤,linndyz,2019-11-22T16:30:53Z,1
"aww the relay games were so wholesome! i love how you guys didn&#39;t feel the need to go out &amp; party the whole time, i want friends like yours 😭💖",Annie C,2019-11-20T06:24:39Z,1
"<a href=""https://www.youtube.com/watch?v=WTbil4_2ewg&amp;t=17m04s"">17:04</a> LOL",ilovemusicyeah1,2019-11-19T20:59:11Z,1
"What is Euphoria, can someone explain? I never heard of it.<br /><br />Edit: I need friends like this!",Mind.of.Lilly,2019-11-19T15:04:51Z,0
Hbo show starring Zendaya. It’s the best. Very dark though.,Morgan Hill,2019-12-05T02:22:07Z,0
This vlog was amazing!  Highlight: Julia’s dog singing Shallow!!🎼🥰,harrisonpamela40,2019-11-19T01:58:40Z,0
That montage of the four girls doing their halloween makeup was so dope,Andrea Cruz,2019-11-18T20:43:09Z,6
I love your vlogs so much!,A GYPSY GOLDEN,2019-11-17T14:15:41Z,0
So...are Kara and Josh still together? 🥴,Honigmilch891,2019-11-15T07:48:15Z,0
Literally the best group of people on YouTube,Rose Haddadi,2019-11-15T01:09:33Z,1
You have the cutest life and I&#39;m just so happy for you.,Kelli Billings,2019-11-14T17:58:34Z,0
"Julia, I didn’t know you could sing! Sing more!!🙂",Emily Brazeau,2019-11-14T03:42:52Z,0
I love your vlogs! AND pretty much anything you upload &lt;3,Boho Lotus,2019-11-13T15:56:35Z,0
The relay race has to be the best drinking game ever invented,Emma,2019-11-13T04:20:55Z,11
Where do i submit an application to become a part of your friend group? You guys are amazing.. literally the best.. I&#39;m living through your friendships ♡,asiadivine3,2019-11-13T03:58:09Z,0
Omg! Your videos get better and better. Love the content.🥰,disha goswami,2019-11-13T00:22:27Z,0
what a freaking fun life,Kaitlyn Untrecht,2019-11-13T00:04:02Z,0
Pat looks like Pable Escobar,Malick Roungou,2019-11-12T20:16:32Z,0
Love these vlogs SO much!!,ChandelW,2019-11-12T17:00:03Z,0
"Tess: I don’t know why I like scary things, I just think it’s so fun!<br />Also Tess while at Halloween Horror Nights: Nope no I don’t like it! nope nope no Alex!! No",Natalie Greene,2019-11-12T16:58:44Z,1
A long weekend which lasts from Wednesday to Sunday with all fun activities like these? Sign me up! 🙋🏻‍♀️,Katarzyna Grzejda,2019-11-12T16:04:58Z,0
🖤,Maud Marrot,2019-11-12T10:51:57Z,0
