comment,id,date,num_likes
which plant is beside youu,himadri arora,2020-11-12T16:30:07Z,0
That sweater is so so nice,BlondieBrunette14,2020-10-10T22:34:13Z,0
"Hello Tessa, You are the queen of fashion and aesthetic <b>***LOVE***</b> you. I always love dressing up during spring and summer. I know someone who sells spring and summer clothes and their clothes are good.....<a href=""https://amlexonline.com/collections/sweatshirts"">https://amlexonline.com/collections/sweatshirts</a>",various vlog,2020-07-27T17:09:16Z,0
miss the styling lookbook please do more &lt;3,booitsmichelle,2020-03-21T05:15:08Z,0
YOU ARE SOOO BEAUTIFUL,cinqo7,2020-03-12T07:08:36Z,0
ela teacher edition,anoushka naik,2020-02-11T00:49:46Z,0
"Awesome video, it shows you take your time with your videos.. been watching you for a few years now and your videos just get better and better! Love you Tess! ❤️",Aman M. Ihmaidi,2020-01-14T15:08:13Z,0
Tess will always be one of my all time faves &lt;3 <br />I found you through fashion &amp; outfit videos.. please do more in 2020!!!!,Queen Chlo,2020-01-06T13:56:03Z,0
i wish more of her clothing was affordable her sweater was almost 200!,Melanie F,2020-01-06T13:17:50Z,0
"Jesus loves you all and is coming soon! ❤️ if you haven’t repented/turned from sin and accepted Jesus as Savior believing He died and rose again for you, today is perfect and scripture says that today is the day of salvation!!",Rebecca Ince,2020-01-06T05:49:14Z,1
such creative ways to wear that sweater,Caroline Kingscott,2020-01-03T19:58:01Z,1
Venho agradecer e parabenizar. <br />Feliz 2020!,Luiz M. S.,2020-01-01T12:15:02Z,0
I love seeing you post a fashion video again. It would be awesome to see a look for less video in the new year,Mattie Taylor,2019-12-18T20:59:56Z,1
"More fashion videos please, Tess!! 💕",enitx23,2019-12-18T11:31:45Z,1
Please bring back the fashion videos! I miss those😭❤,Niharika Ayare,2019-12-17T13:49:37Z,3
i miss your fashion vids! i love your outfit ideas &lt;3,qzectbu145,2019-12-16T19:59:08Z,2
"i love your week in my life videos but i miss the fashion videos so much, they are the reason i love you ... please do more!!!!",Sara Martins,2019-12-16T14:17:23Z,1
"Super cute, but wish these were more affordable!",Alma,2019-12-15T06:46:33Z,0
I feel like you only do fashion vids now when it’s sponsored. Sooo miss your get the look for less series,Victoria De Angelis,2019-12-15T00:19:56Z,14
The last outfit was definitely my fav!! 😍😍😍,jazmonet jackson,2019-12-14T20:16:37Z,0
The last outfit was definitely my fav!! 😍😍😍,jazmonet jackson,2019-12-14T20:16:35Z,0
Love the look with the satin skirt!,shelbitedeschi,2019-12-14T17:03:45Z,0
can you do a new york winter fashion outfit ideas?! how do you look cute when it’s snowing out,Janelle de Jesus,2019-12-14T14:37:21Z,0
Great video tess. I love how you styled the top for every outfit. 💚,Jeanette Tinoco,2019-12-14T05:14:20Z,0
❤️❤️❤️,FERNANDA,2019-12-14T04:05:11Z,0
I wish you would partner with more brands that most of your audience can actually afford :/ almost no millennial can drop $100+ on a necklace,Francie,2019-12-13T20:52:41Z,4
I love these type of videos 💕🦋,Nikole Jackson,2019-12-13T20:13:32Z,0
I recently started my youtube channel and would loooooove if anyone who see&#39;s this would check it out ☺️💕 planning to post a lot more soon including college vids at the University of Wisconsin-Madison!,Mary Antonneau,2019-12-13T18:50:34Z,0
great video! thanks Tess!,Mar. Fer.,2019-12-13T17:10:44Z,0
i love watching your style videos!!! pls make more for fall/winter clothing. also can you share with us your favorite hats/caps????,s h a i n a l y n,2019-12-13T09:38:09Z,0
Wow..just love how u paired that leopard belt with the satin skirt. Looks great!,Vlogs by Zara,2019-12-13T05:33:07Z,0
What size did you get the top shop skirt in? :),Yeahok Vid,2019-12-12T20:29:09Z,0
How tall are you?,Yeahok Vid,2019-12-12T20:25:58Z,0
