comment,id,date,num_likes
SO off topic but what do you do for teeth whitening?,Sincerely Miss Sarah,2020-08-13T01:32:46Z,0
"Great video with amazing value. Connecting with the right makeup artist for you is so important prior to your wedding day. However, a great alternative would be to actually do the makeup yourself! Now I know this is not a popular idea, however it can make for a fun experience and something to look back on in the future. Similar to a bride making her own dress. Just a small detail you personally added to the day. If this is something you are considering or are curious about check out this video I made with a few tips to help make that process a bit easier and not so overwhelming. Really hope it helps or inspires someone to try it out :) - <a href=""https://youtu.be/OO_1GhhjhvE"">https://youtu.be/OO_1GhhjhvE</a>",Beyond The Literal,2020-06-20T00:47:52Z,0
"omg were you at spalon montage for your hair?? I recognize the salon!!! <a href=""http://www.youtube.com/results?search_query=%23minnesota"">#minnesota</a> hehe",Sarah lol,2020-04-15T20:43:52Z,0
How much did she charge for makeup,sun chips,2020-04-09T18:36:25Z,0
You skin look amazing ! The makeup is unreal !  😍 Your hair are exactly how i imagined it 😄,Luna Blandin,2019-10-27T22:21:18Z,1
You look so beautiful 😍🌹🌹🌹,Nalore,2019-10-02T23:21:22Z,1
"I am also engaged now, thinking of just doing my makeup myself. I have never liked how it turned out when anyone else has done it.",Emmo,2019-09-15T20:26:26Z,0
Your mua did a beautiful job! As a pro mua myself I kinda cringe though when I see muas use beauty blenders on clients (unless it’s the clients own) because sponges are not hygentic unless they are disposable,Livi170,2019-09-13T11:30:39Z,0
You looked absolutely gorgeous!!,Marie-Joëlle Champagne,2019-09-12T11:28:48Z,0
"Hi! My name is Tess too, i&#39;m new to your channel and i really like it! :-)",Cheritta Tess,2019-09-12T09:56:26Z,1
Looks amazing 😍,NA-KD,2019-09-10T14:17:01Z,0
Patiently waiting for your last wedding series video. I am getting married on November 2nd of this year and this series has got me SO excited for yours and mine since they are almost around the same time!!! I don&#39;t want these wedding videos to end 😭❤ You did such an amazing job with all the videos!,TrebleThreat,2019-09-06T23:41:26Z,1
Hi <br /><br />Your mom is my teacher😂,Paisley Berg,2019-09-06T02:47:10Z,0
I’m so excited for your wedding♥️ and I’m not even going lol,Adrienne Munoz,2019-09-01T02:56:51Z,0
"<a href=""https://www.youtube.com/watch?v=a_AFjRyoDug"">https://www.youtube.com/watch?v=a_AFjRyoDug</a>",Classic Susy,2019-08-31T13:42:26Z,0
Can you please post more vlogs? One every week?:),J,2019-08-30T18:16:07Z,0
I loved the hair style you chose!,Tatiana Pacheco,2019-08-30T01:05:13Z,0
"Could you maybe make an other New York secret coffee, restaurant and rooftop tour. ❤️",Alicia Keinz,2019-08-29T05:06:30Z,1
I loooove the hair and makeup! Loved the bun!,Amy Halpin,2019-08-27T10:46:25Z,0
Tess you are glowing in this video. so excited for you!!!!! 👰🏻,LoveJulzxx,2019-08-27T07:09:49Z,0
"Beautiful, and sooo you :) can&#39;t wait for the actual wedding day!!",Sami,2019-08-25T06:54:01Z,0
"I still can&#39;t believe you&#39;re getting married! Been such a journey<br />Absolutely love you, tess. Xx",pankaja singh,2019-08-24T16:35:31Z,0
Subscribed......,Life fun maker,2019-08-24T08:24:51Z,0
"Hey, i just posted my first youtube vid, it&#39;s a travel vlog!✈️🌻 would love for anyone to watch it, xoxo! <br />Reply back if you&#39;d like me to support your channel as well :)",Jaida Lewis,2019-08-23T16:07:39Z,0
HOLY SMOKES THE HAIR LOOKS SOOOOOO GOOD. I&#39;M SHOOK.,Cynthia,2019-08-23T01:56:23Z,0
so pretty!!,Valentina Diaz Arizaleta,2019-08-23T01:20:52Z,0
Omg all the feels I have! I almost cried thinking about how long I’ve watched you for and how far you and pat have come I’m so happy for you both!!! 🥺❤️❤️❤️,Jessica Agudo,2019-08-22T19:29:08Z,1
Tess you are absolutely gorgeous! So excited for you and can’t wait for the wedding!,Emily Ryan,2019-08-22T15:49:22Z,0
Omg your so beautiful I can’t believe it’s happening I’ve been watching your channel since I was 19 so 7 years I can’t wait for the weeding I’m so happy for you both 😘,Shayla Smiley,2019-08-22T11:25:59Z,0
The makeup artist seems so nice omg 😍,rose Proust,2019-08-22T08:25:40Z,0
Love that hair😍,Sam K,2019-08-22T00:35:59Z,0
Don’t worry Tess my cousin on my mom’s side of the family she stressed and struggled with what to do wear for her wedding but on the day of the wedding her hair came out beautiful!,Danielle Nims,2019-08-21T23:30:13Z,0
"I’m three weeks out from my wedding too!! When you announced that you were getting married in September, I wondered if it was the same weekend as mine! My fiancé and I are also ready for it to just be here already, haha. Congrats girl, you’re going to look beautiful!",Abby Alvin,2019-08-21T20:38:24Z,0
gorgeous!!! can&#39;t wait for the big day!!,Victoria Yatko,2019-08-21T15:08:02Z,0
