comment,id,date,num_likes
Can you link the Airbnb you were staying at?? Thank you!,Lindsay Brookmyer,2020-12-28T18:19:12Z,1
"Patrick looks like a mix of Harry Styles, Johnny Depp and Brad Pitt",Shruti Gupta,2020-11-23T16:19:28Z,0
Omg the British guy 😍 gorgeous and that smile! Ugh! Love,Meg sechrist,2020-07-27T11:17:26Z,0
"I don&#39;t want a group friend LIKE this, I want to be a PART of this",Haneen Khaled,2020-06-15T18:41:27Z,0
Your vlogs make me indescribably happy,TheSlurpy11,2019-11-20T09:24:11Z,0
We love Carrie 💓💓💓,Katie Benfield,2019-11-09T18:49:16Z,0
Yes aquamarine! That was my jam. My best friend and I watched that movie a billion times.,Melany McAngus,2019-11-05T08:29:58Z,0
I love carrie so much 😂😂,Brooke Grieder,2019-10-28T23:08:14Z,0
"<a href=""https://www.youtube.com/watch?v=m-s7-rUAXBQ&amp;t=8m35s"">8:35</a> i can&#39;t...So funny ! xD",Luna Blandin,2019-10-27T22:06:31Z,0
Oh and Louie is cuuuuute🥰,ohhhsopeachy,2019-10-03T07:40:39Z,0
Oh man I love Carrie !!! Hahhaha 😍,ohhhsopeachy,2019-10-03T07:39:49Z,0
I am 1000% the Carrie of my friend group and I love,Elizabeth Patterson,2019-09-25T22:39:54Z,0
I wanna be friends with you guys omg!!,Tori Rach Cortez,2019-09-06T22:32:26Z,0
"Please follow my husband and I page. show us some love we will show love back ! thanks in advance .... @<a href=""https://www.youtube.com/watch?v=ZMd2FS4MQfQ"">https://www.youtube.com/watch?v=ZMd2FS4MQfQ</a>",Labellapearl,2019-08-30T18:20:58Z,0
What kind of camera does pat have? It looks sooo retro I love it! Awesome vlog girlie!!💓,Tara Saxon,2019-08-26T18:24:14Z,0
"I m from Indonesian ,The best friend",VIDEO SMULE CHANNEL,2019-08-20T12:34:53Z,0
"Sangat Cantik,Fresh ,sexi,I like",VIDEO SMULE CHANNEL,2019-08-20T12:32:03Z,0
I love when Tess does week in the life :),Shay Beasley,2019-08-17T18:02:06Z,0
Where are those sunglasses that you’re wearing at the pool from?,Kenzie Garza,2019-08-16T19:07:35Z,0
OMG literally the first I thought of when Carrie starting talking about the white bandeau was Aquamarine. Good times,Yumna Farooq,2019-08-13T21:59:35Z,2
Overwhelmed with with wedding stuff?Funny ..,Carol O Toole,2019-08-13T19:45:27Z,1
Carrie is my spirit animal.,Lindsey Miller,2019-08-12T20:52:46Z,0
What is the link to the airbnb you stayed in at the Hamptons?!  Love your videos!!,Nicole Avritch,2019-08-12T17:01:53Z,0
